timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1769546600.726749,-0.017727,0.008943,0.746944,0.000383,0.000471,-0.006181
1769546600.741647,-0.000297,-0.032925,1.792903,0.001079,-0.000627,-0.014268
1769546600.741924,-0.016223,0.009887,-0.772218,-0.000684,0.000656,0.006368
1769546600.757189,-0.023486,0.006552,0.719209,0.000379,0.000547,-0.005901
1769546600.757501,-0.013847,0.035773,1.849699,0.001204,0.000699,-0.015517
1769546600.757890,-0.032836,-0.009388,-0.462580,-0.000504,0.000496,0.003707
1769546600.773404,-0.013676,0.022028,0.127841,-0.000192,0.000605,-0.001155
1769546600.774047,-0.056884,0.047048,1.352506,0.000428,0.001483,-0.011770
1769546600.774311,0.006387,-0.025568,0.424690,0.000457,-0.000571,-0.003137
1769546600.788349,-0.021344,0.016816,-0.396285,-0.000539,0.000552,0.003187
1769546600.788722,-0.014072,0.001904,0.747054,0.000447,0.000434,-0.006191
1769546600.788914,0.004431,-0.021462,1.760710,0.001090,-0.000430,-0.014431
1769546600.789091,-0.011519,0.011425,-0.779515,-0.000759,0.000755,0.006404
1769546600.804265,-0.026813,0.026036,0.702196,0.000100,0.000530,-0.006030
1769546600.804557,-0.011370,0.020706,1.643125,0.000919,0.000844,-0.015608
1769546600.804709,-0.011868,-0.002455,-0.893574,-0.000708,0.000437,0.003803
1769546600.820286,-0.021134,0.021076,-0.573985,-0.000381,0.000794,-0.001254
1769546600.820559,-0.018919,0.049845,0.320529,0.000073,0.000826,-0.011190
1769546600.820689,0.001930,0.004760,-0.835097,-0.000782,0.000118,-0.004256
1769546600.835850,-0.008353,0.064739,-2.033110,-0.001950,0.001260,0.002978
1769546600.836142,0.006217,0.027673,-1.225797,-0.000208,0.001507,-0.006476
1769546600.836313,0.046763,-0.015646,-0.431919,0.001812,-0.000107,-0.015426
1769546600.850760,0.001697,0.017424,-3.391865,0.000742,0.001708,0.005818
1769546600.850955,0.008922,0.023823,-2.275532,0.002598,0.001677,-0.006029
1769546600.851062,0.025460,0.032767,-1.465305,0.004679,0.001621,-0.015620
1769546600.866741,0.002266,0.010989,-4.134583,0.003628,0.001181,0.003779
1769546600.866912,-0.004833,0.051928,-3.732045,0.003916,0.001633,-0.001458
1769546600.866990,-0.023243,0.014193,-2.734414,0.005107,0.001659,-0.011028
1769546600.882168,0.067572,-0.007744,-3.623577,0.005080,0.001083,-0.003838
1769546600.882363,0.045544,-0.045275,-4.569123,0.005086,0.002190,0.003059
1769546600.882452,0.027853,0.023732,-3.450177,0.005580,0.001638,-0.006436
1769546600.897350,0.009503,-0.001831,-2.376999,0.005854,0.000228,-0.015318
1769546600.897564,0.005361,0.046291,-5.022698,0.003818,0.001463,0.006165
1769546600.897634,-0.006851,0.003360,-3.561636,0.004926,0.001132,-0.005735
1769546600.912108,0.034461,0.005072,-2.369393,0.006407,0.000949,-0.015655
1769546600.912297,0.020549,0.007482,-4.674451,0.005347,0.000376,0.003697
1769546600.912366,-0.016172,-0.005139,-4.020752,0.006632,0.001207,-0.001424
1769546600.927593,0.019204,0.012499,-2.830709,0.008977,0.001388,-0.011380
1769546600.927782,0.027423,-0.055003,-3.597600,0.009659,0.000978,-0.004409
1769546600.927853,0.005857,-0.034267,-4.469236,0.008908,0.001254,0.002842
1769546600.942602,0.025485,-0.071409,-3.214135,0.010568,0.001567,-0.006973
1769546600.942822,0.055124,-0.089362,-2.072044,0.012394,0.000271,-0.016359
1769546600.942898,0.000120,-0.048367,-4.678944,0.009974,0.001861,0.005597
1769546600.958653,0.008455,-0.054537,-3.226349,0.011024,0.001165,-0.006147
1769546600.958880,0.008256,-0.068300,-1.977318,0.011765,0.001379,-0.015988
1769546600.958969,0.015139,-0.103869,-4.263187,0.009649,0.000727,0.003020
1769546600.974597,0.024854,-0.040428,-3.556097,0.008923,0.001695,-0.001986
1769546600.974777,0.001729,-0.045174,-2.373675,0.008013,0.001721,-0.011968
1769546600.974849,0.046111,-0.063566,-3.092421,0.006504,0.001309,-0.005323
1769546600.974909,0.026697,-0.037235,-3.963617,0.004425,0.001701,0.002277
