timestamp,phase_index,home1,target1_rad,abs_angle1_rad,rel_angle1_rad,velocity1_rad_s,torque1_Nm,home2,target2_rad,abs_angle2_rad,rel_angle2_rad,velocity2_rad_s,torque2_Nm,home3,target3_rad,abs_angle3_rad,rel_angle3_rad,velocity3_rad_s,torque3_Nm,home4,target4_rad,abs_angle4_rad,rel_angle4_rad,velocity4_rad_s,torque4_Nm
1769549419.073933,1.000000,0.542649,1.877826,0.610933,0.068284,0.891279,-0.000183,1.012245,1.012245,1.011864,-0.000381,0.004120,-0.000183,-1.330396,-2.901192,-1.350614,-0.020218,-0.881209,-0.073426,-0.736057,-0.736057,-0.736057,0.000000,-0.052644,0.010071
1769549419.076212,1.000000,0.542649,1.877826,0.612840,0.070192,0.871138,-0.000183,1.012245,1.012245,1.011864,-0.000381,0.018769,0.005676,-1.330396,-2.901192,-1.352522,-0.022126,-0.883955,-0.017762,-0.736057,-0.736057,-0.736057,0.000000,0.068208,-0.000183
1769549419.078434,1.000000,0.542649,1.877826,0.614748,0.072099,0.859236,-0.000183,1.012245,1.012245,1.011864,-0.000381,0.023346,-0.000183,-1.330396,-2.901192,-1.354429,-0.024033,-0.842756,-0.000183,-0.736057,-0.736057,-0.736057,0.000000,0.034333,-0.000183
1769549419.080540,1.000000,0.542649,1.877826,0.617037,0.074388,0.969100,0.062074,1.012245,1.012245,1.011482,-0.000763,-0.017853,-0.000183,-1.330396,-2.901192,-1.355955,-0.025559,-0.786908,-0.000183,-0.736057,-0.736057,-0.736057,0.000000,0.063630,-0.000183
1769549419.082563,1.000000,0.542649,1.877826,0.618563,0.075914,0.940719,-0.000183,1.012245,1.012245,1.011482,-0.000763,-0.008698,-0.000183,-1.330396,-2.901192,-1.357862,-0.027466,-0.882124,-0.077089,-0.736057,-0.736057,-0.736057,0.000000,0.074617,-0.000183
1769549419.084655,1.000000,0.542649,1.877826,0.620470,0.077821,0.954452,0.019226,1.012245,1.012245,1.011864,-0.000381,0.031586,-0.000183,-1.330396,-2.901192,-1.359770,-0.029374,-0.949874,-0.071229,-0.736057,-0.736057,-0.735676,0.000381,0.037995,-0.000183
1769549419.086807,1.000000,0.542649,1.877826,0.622377,0.079728,0.827192,0.095033,1.012245,1.012245,1.011864,-0.000381,0.004120,-0.000183,-1.330396,-2.901192,-1.361677,-0.031281,-0.855573,-0.068666,-0.736057,-0.736057,-0.736057,0.000000,-0.009613,-0.000183
1769549419.089080,1.000000,0.542649,1.877826,0.623903,0.081254,0.771344,0.004944,1.012245,1.012245,1.011864,-0.000381,0.045319,-0.000183,-1.330396,-2.901192,-1.363584,-0.033188,-0.843671,-0.088075,-0.736057,-0.736057,-0.736057,0.000000,-0.036164,-0.000183
1769549419.091155,1.000000,0.542649,1.877826,0.625811,0.083162,0.836347,0.090272,1.012245,1.012245,1.011864,-0.000381,0.089265,-0.000183,-1.330396,-2.901192,-1.365110,-0.034714,-0.794232,-0.148135,-0.736057,-0.736057,-0.736057,0.000000,-0.017853,-0.000183
1769549419.093277,1.000000,0.542649,1.877826,0.627718,0.085069,0.870222,-0.000183,1.012245,1.012245,1.011864,-0.000381,0.005035,-0.000183,-1.330396,-2.901192,-1.366636,-0.036240,-0.782330,-0.081483,-0.736057,-0.736057,-0.736057,0.000000,0.014191,-0.000183
1769549419.095297,1.000000,0.542649,1.877826,0.629625,0.086976,0.920577,0.138613,1.012245,1.012245,1.011482,-0.000763,-0.038911,0.032044,-1.330396,-2.901192,-1.368544,-0.038148,-0.847333,-0.056214,-0.736057,-0.736057,-0.736057,0.000000,-0.052644,0.000549
1769549419.097363,1.000000,0.542649,1.877826,0.631533,0.088884,0.905928,-0.000183,1.012245,1.012245,1.011864,-0.000381,-0.008698,-0.000183,-1.330396,-2.901192,-1.370069,-0.039673,-0.844587,-0.098695,-0.736057,-0.736057,-0.735676,0.000381,0.056306,-0.000183
1769549419.099470,1.000000,0.542649,1.877826,0.633440,0.090791,0.892195,0.132021,1.012245,1.012245,1.011864,-0.000381,0.013275,0.047791,-1.330396,-2.901192,-1.371595,-0.041199,-0.783246,-0.177798,-0.736057,-0.736057,-0.736057,0.000000,-0.037079,-0.000183
1769549419.101434,1.000000,0.542649,1.877826,0.634966,0.092317,0.824445,0.042664,1.012245,1.012245,1.011864,-0.000381,0.043488,-0.000183,-1.330396,-2.901192,-1.373503,-0.043107,-0.854658,-0.177066,-0.736057,-0.736057,-0.736057,0.000000,0.023346,-0.000183
1769549419.103793,1.000000,0.542649,1.877826,0.636873,0.094224,0.828107,0.035706,1.012245,1.012245,1.011864,-0.000381,0.061799,-0.000183,-1.330396,-2.901192,-1.375410,-0.045014,-0.792401,-0.000183,-0.736057,-0.736057,-0.736057,0.000000,-0.021515,-0.000183
1769549419.106112,1.000000,0.542649,1.877826,0.639162,0.096513,0.913252,-0.000183,1.012245,1.012245,1.011864,-0.000381,-0.048981,0.033875,-1.330396,-2.901192,-1.377317,-0.046921,-0.868391,-0.072694,-0.736057,-0.736057,-0.736057,0.000000,-0.043488,-0.000183
1769549419.108417,1.000000,0.542649,1.877826,0.641070,0.098421,0.974594,0.182925,1.012245,1.012245,1.011864,-0.000381,0.041657,0.033875,-1.330396,-2.901192,-1.379225,-0.048829,-0.897688,-0.071962,-0.736057,-0.736057,-0.736057,0.000000,-0.024262,-0.000183
1769549419.110621,1.000000,0.542649,1.877826,0.642977,0.100328,0.877546,-0.000183,1.012245,1.012245,1.011482,-0.000763,-0.074617,-0.000183,-1.330396,-2.901192,-1.381132,-0.050736,-0.850996,-0.036072,-0.736057,-0.736057,-0.736057,0.000000,-0.007782,-0.000183
1769549419.112974,1.000000,0.542649,1.877826,0.644884,0.102235,0.816205,0.002380,1.012245,1.012245,1.011482,-0.000763,-0.045319,0.093935,-1.330396,-2.901192,-1.383040,-0.052644,-0.744793,-0.107118,-0.736057,-0.736057,-0.736057,0.000000,-0.006867,-0.000183
1769549419.115207,1.000000,0.542649,1.877826,0.647173,0.104524,0.889448,-0.006409,1.012245,1.012245,1.011864,-0.000381,-0.057221,-0.000183,-1.330396,-2.901192,-1.384565,-0.054170,-0.775006,-0.157656,-0.736057,-0.736057,-0.736057,0.000000,-0.054475,-0.000183
1769549419.117172,1.000000,0.542649,1.877826,0.649081,0.106432,1.005722,0.093935,1.012245,1.012245,1.011864,-0.000381,0.006867,-0.000183,-1.330396,-2.901192,-1.386091,-0.055695,-0.835431,-0.000183,-0.736057,-0.736057,-0.736057,0.000000,-0.001373,-0.000183
1769549419.119371,1.000000,0.542649,1.877826,0.650988,0.108339,0.946212,-0.009339,1.012245,1.012245,1.011864,-0.000381,0.023346,-0.000183,-1.330396,-2.901192,-1.387999,-0.057603,-0.857404,-0.034241,-0.736057,-0.736057,-0.736057,0.000000,-0.048981,-0.000183
