timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1769550588.695074,0.021679,-0.042128,0.314843,0.000451,-0.000705,-0.002484
1769550588.710968,0.007662,-0.013083,-1.079497,-0.000651,-0.000238,0.009051
1769550588.711165,0.017332,-0.023181,0.020949,0.000327,0.000186,-0.000157
1769550588.711278,0.008921,-0.002651,1.013529,0.001041,-0.000343,-0.008514
1769550588.726511,-0.005850,-0.018602,-1.398767,-0.000673,-0.000225,0.010953
1769550588.726693,0.005637,0.002080,-0.428909,-0.000100,-0.000015,0.002158
1769550588.726792,0.000350,-0.024058,1.365454,0.001187,-0.000334,-0.014126
1769550588.726861,0.022397,-0.002404,-1.567568,-0.001048,-0.000324,0.008939
1769550588.742265,0.005904,-0.031240,-1.099321,-0.000313,0.000325,0.004280
1769550588.742477,0.038341,0.025207,-0.176869,0.000428,0.000905,-0.004224
1769550588.742576,0.011064,-0.036909,-0.448371,0.000358,0.000006,-0.002839
1769550588.758231,0.015591,0.011778,-2.018977,-0.000747,-0.000410,0.009208
1769550588.758541,0.002512,-0.013909,-0.989848,0.000106,-0.000724,-0.000217
1769550588.758662,-0.005833,0.034209,-0.170560,0.000437,-0.001353,-0.008452
1769550588.773131,-0.003413,-0.004414,-2.627537,-0.000990,-0.001648,0.011308
1769550588.773347,0.005449,0.006872,-1.619133,-0.000265,-0.001530,0.002178
1769550588.773443,0.012562,-0.011973,0.430886,0.001315,-0.001898,-0.014247
1769550588.788599,0.005638,-0.001082,-2.357021,-0.000509,-0.001817,0.009248
1769550588.788841,0.013932,-0.000585,-1.810821,-0.000447,-0.001790,0.004352
1769550588.788946,0.006661,0.014635,-0.830922,0.000179,-0.001223,-0.003888
1769550588.803452,-0.011376,-0.009401,-0.973422,0.000130,-0.001408,-0.002766
1769550588.803661,-0.001474,0.017745,-2.376286,-0.001055,-0.001913,0.009241
1769550588.803746,-0.007767,0.004854,-1.261175,-0.000140,-0.002350,0.000101
1769550588.819003,-0.018208,0.019855,-0.314134,0.000340,-0.002700,-0.007825
1769550588.819207,0.003541,-0.002049,-2.596824,-0.001150,-0.002474,0.011209
1769550588.819290,-0.006968,-0.012304,-1.472516,-0.000345,-0.002727,0.002440
1769550588.834560,0.017684,-0.011228,0.468495,0.001302,-0.002841,-0.013914
1769550588.834820,-0.010119,-0.007375,-2.307898,-0.001061,-0.003469,0.009146
1769550588.834918,-0.006318,0.007881,-1.713074,-0.000484,-0.003121,0.004486
1769550588.850607,-0.025767,0.001419,-0.713704,0.000176,-0.003115,-0.003634
1769550588.850837,-0.030832,0.003333,-0.883054,-0.000273,-0.003705,-0.002467
1769550588.850936,-0.027242,-0.003942,-2.238606,-0.000865,-0.003929,0.009371
1769550588.865835,-0.026503,0.010843,-1.093089,-0.000251,-0.003470,0.000039
1769550588.866056,-0.014939,0.004499,-0.137370,0.000616,-0.003944,-0.007878
1769550588.866139,-0.020577,-0.025649,-2.410504,-0.000900,-0.003201,0.011137
1769550588.866205,-0.002217,0.018850,-1.307021,-0.000440,-0.003212,0.002334
1769550588.881481,-0.043951,0.011100,0.612163,0.000868,-0.002157,-0.013838
1769550588.881667,0.014247,0.013037,-2.093497,-0.000851,-0.002833,0.008884
1769550588.881746,-0.030077,-0.018632,-1.505306,-0.000622,-0.001835,0.004273
1769550588.897590,-0.027214,0.034167,-0.608208,-0.000308,-0.001591,-0.003422
1769550588.897795,-0.013897,-0.004529,-0.697017,-0.000255,-0.000999,-0.002353
1769550588.897866,0.007226,0.011784,-2.078961,-0.001191,-0.001183,0.009272
1769550588.913491,-0.027324,-0.017897,-0.949259,-0.000326,-0.000507,-0.000044
1769550588.913674,0.013737,0.005765,0.012058,0.000252,-0.001166,-0.008036
1769550588.913744,-0.009610,-0.018134,-2.258558,-0.001183,-0.000286,0.011121
1769550588.928988,-0.020847,0.012626,-1.208510,-0.000611,-0.000130,0.002380
1769550588.929166,-0.026188,0.047572,0.664515,0.000605,0.001453,-0.013525
1769550588.929235,-0.011163,0.010160,-1.978035,-0.000860,0.000393,0.009264
1769550588.944900,-0.025118,-0.007351,-1.458012,-0.000695,0.001620,0.004821
1769550588.945104,0.016695,0.008093,-0.506035,0.000061,0.001718,-0.002883
1769550588.945222,-0.015633,-0.017013,-0.569975,0.000047,0.002066,-0.002467
1769550588.960090,-0.017892,-0.004932,-1.962856,-0.001149,0.002144,0.009488
1769550588.960441,0.005443,-0.005262,-0.829683,-0.000222,0.003294,0.000464
1769550588.960541,0.023385,-0.012239,0.169965,0.000387,0.002740,-0.007789
1769550588.975441,-0.009583,-0.003067,-2.159063,-0.001178,0.004157,0.011413
1769550588.975644,-0.007319,-0.003991,-1.050828,-0.000534,0.004537,0.002268
1769550588.975749,-0.004610,0.066380,0.688899,0.000338,0.006889,-0.012795
1769550588.975839,0.005449,-0.022583,-1.791424,-0.000838,0.005727,0.008710
1769550588.991421,0.006966,0.028299,-1.343157,-0.000869,0.007497,0.004922
1769550588.991606,0.006343,0.000430,-0.335040,0.000101,0.007231,-0.003138
1769550588.991687,0.021009,-0.002184,-0.417905,0.000011,0.007815,-0.002551
1769550589.007454,0.021423,-0.014463,-1.772154,-0.001005,0.008189,0.009134
1769550589.007632,0.046146,-0.015165,-0.663727,-0.000019,0.008494,0.000086
1769550589.007713,0.033765,-0.023974,0.385487,0.000556,0.008795,-0.008840
1769550589.022452,0.029620,0.006854,-2.004834,-0.001190,0.009705,0.010724
1769550589.022658,0.025060,-0.009386,-0.940193,-0.000413,0.009938,0.002207
1769550589.022758,0.008058,0.069451,0.805672,0.000439,0.012334,-0.012950
1769550589.038030,0.036884,-0.026532,-1.710109,-0.000605,0.010810,0.008682
1769550589.038479,0.016265,0.027316,-1.300192,-0.000849,0.012261,0.004933
1769550589.038709,0.021551,-0.001263,-0.277594,0.000200,0.011711,-0.003083
1769550589.053366,0.033046,0.005337,-0.350668,-0.000022,0.012177,-0.002364
1769550589.053569,0.042392,-0.006695,-1.712807,-0.000917,0.012569,0.009171
1769550589.053644,0.035254,-0.014676,-0.567235,0.000123,0.013037,-0.000036
1769550589.068427,0.050727,-0.017363,0.548427,0.000981,0.013185,-0.009218
1769550589.068642,0.046721,0.007103,-1.921263,-0.000898,0.014054,0.011193
1769550589.068713,0.033768,-0.014091,-0.785137,-0.000066,0.014410,0.001911
1769550589.083930,0.011577,0.053567,0.721315,0.000363,0.016102,-0.011037
1769550589.084122,0.069717,-0.022940,-1.496450,-0.000183,0.014452,0.008442
1769550589.084193,0.008025,0.007496,-1.218534,-0.000663,0.015666,0.005694
1769550589.099881,0.056486,-0.001773,-0.121470,0.000293,0.015260,-0.003021
1769550589.100072,0.067710,-0.010247,-0.252280,0.000245,0.016042,-0.002299
1769550589.100158,0.041037,-0.007093,-1.606186,-0.000743,0.016170,0.009101
1769550589.115873,0.054205,-0.013331,-0.525250,0.000206,0.016133,0.000240
1769550589.116042,0.064879,-0.006654,0.635018,0.001147,0.015934,-0.009110
1769550589.116129,0.038079,-0.008386,-1.860316,-0.000826,0.016170,0.011321
1769550589.131381,0.054072,-0.016240,-0.720473,0.000062,0.016193,0.002133
1769550589.131553,0.007783,0.059761,0.674519,0.000464,0.017553,-0.010216
1769550589.131646,0.046581,-0.040910,-1.388212,-0.000127,0.015477,0.008155
1769550589.131715,0.048445,0.021270,-1.182425,-0.000557,0.016938,0.005895
1769550589.147530,0.050501,-0.021423,-0.060635,0.000512,0.015986,-0.003199
1769550589.147744,0.039794,-0.033853,-0.218587,0.000259,0.016120,-0.002352
1769550589.147815,0.042575,-0.008510,-1.577042,-0.000533,0.016565,0.009158
1769550589.162808,0.054603,-0.004047,-0.466649,0.000280,0.016456,-0.000076
1769550589.162979,0.051510,-0.039073,0.656126,0.001166,0.015843,-0.009420
1769550589.163046,0.045292,0.008115,-1.813297,-0.000891,0.015827,0.011175
1769550589.178415,0.024848,-0.015504,-0.721714,0.000004,0.015880,0.002221
1769550589.178564,-0.018126,0.047771,0.619192,0.000480,0.016331,-0.009472
1769550589.178632,0.054708,-0.031825,-1.366210,-0.000162,0.015491,0.007463
1769550589.193730,0.031359,0.005554,-1.198272,-0.000444,0.015951,0.006243
1769550589.193902,0.035251,-0.043615,0.024133,0.000644,0.014900,-0.003643
1769550589.193999,0.035255,-0.018355,-0.145851,0.000443,0.015032,-0.002292
1769550589.209792,0.035421,-0.002886,-1.539455,-0.000439,0.014904,0.009270
1769550589.209941,0.000565,-0.004934,-0.417332,0.000177,0.014804,-0.000014
1769550589.210017,0.042210,0.013243,0.726571,0.001152,0.014180,-0.009638
1769550589.225272,0.011742,-0.011796,-1.802235,-0.000683,0.014330,0.011182
1769550589.225481,0.011848,0.005414,-0.682189,0.000054,0.014035,0.002192
1769550589.225619,0.001766,0.005919,0.561379,0.000817,0.014157,-0.008606
1769550589.240795,0.043287,-0.032779,-1.340288,-0.000237,0.012723,0.007767
1769550589.240951,-0.012089,-0.003423,-1.200576,-0.000399,0.012915,0.006333
1769550589.241039,0.021709,-0.044298,0.064752,0.000779,0.011392,-0.003542
1769550589.241106,0.025106,-0.004348,-0.145758,0.000511,0.012414,-0.002238
1769550589.256145,-0.008238,-0.019036,-1.542412,-0.000451,0.012633,0.009389
1769550589.256305,0.013507,0.019168,-0.466861,-0.000019,0.012826,0.000278
1769550589.256402,0.014245,-0.010143,0.743690,0.001177,0.012535,-0.009551
1769550589.272732,-0.012103,-0.016645,-1.843108,-0.000769,0.011843,0.011903
1769550589.272906,0.006888,-0.004517,-0.675260,0.000089,0.011827,0.002423
1769550589.272994,-0.000446,-0.013082,0.635121,0.000922,0.011622,-0.008459
1769550589.288596,-0.001708,-0.021022,-1.241426,-0.000170,0.010652,0.007362
1769550589.288749,-0.005793,-0.007726,-1.191083,-0.000358,0.011384,0.006564
1769550589.288844,0.006522,-0.032648,0.129259,0.000731,0.010278,-0.004160
1769550589.304555,0.006855,-0.003229,-0.162194,0.000216,0.011079,-0.002450
1769550589.304707,-0.021441,-0.022489,-1.574011,-0.000637,0.011013,0.009552
1769550589.304776,0.002227,0.013083,-0.488722,0.000094,0.011088,0.000322
1769550589.319824,-0.018863,0.000908,0.669661,0.000871,0.010482,-0.009452
1769550589.319962,-0.020841,-0.016492,-1.817804,-0.000809,0.009938,0.011390
1769550589.320034,0.004783,-0.015320,-0.684983,0.000015,0.010587,0.002265
1769550589.335446,-0.018622,-0.015850,0.623026,0.000888,0.010439,-0.008502
1769550589.335605,-0.005713,-0.009914,-1.264718,-0.000380,0.010436,0.007217
1769550589.335680,-0.005769,-0.014257,-1.217394,-0.000314,0.010685,0.006675
1769550589.350671,0.005046,-0.033472,0.187848,0.000809,0.010325,-0.004810
1769550589.350809,-0.015493,-0.003350,-0.123586,0.000247,0.010901,-0.002200
1769550589.350881,-0.024963,-0.014908,-1.560438,-0.000634,0.011561,0.009415
1769550589.350951,-0.028626,0.002360,-0.460592,-0.000015,0.011291,0.000625
1769550589.366638,-0.004817,-0.002377,0.748688,0.000969,0.011983,-0.009192
1769550589.366779,-0.004273,-0.024985,-1.731481,-0.000693,0.011282,0.011485
1769550589.367067,-0.017083,-0.012161,-0.723042,0.000005,0.012444,0.002632
1769550589.382714,0.000425,-0.016249,0.634197,0.000820,0.012563,-0.008595
1769550589.382854,0.015866,-0.001996,-1.259937,-0.000370,0.013130,0.007006
1769550589.382936,-0.019288,-0.025266,-1.171456,-0.000408,0.013276,0.006761
1769550589.397803,0.011327,-0.020388,0.197033,0.000683,0.012909,-0.004752
1769550589.397962,-0.002193,-0.009990,-0.115441,0.000488,0.013482,-0.002669
1769550589.398036,-0.020991,0.005621,-1.638836,-0.000715,0.014484,0.009581
1769550589.413942,-0.000802,-0.008528,-0.527515,0.000102,0.015223,0.000599
1769550589.414343,-0.002391,0.010518,0.571856,0.000896,0.015687,-0.008811
1769550589.414733,0.018973,-0.033509,-1.733045,-0.000613,0.015585,0.010972
1769550589.429207,0.013009,-0.016359,-0.703538,0.000169,0.016329,0.002414
1769550589.429365,0.013495,-0.028123,0.569164,0.001124,0.015876,-0.007979
1769550589.429452,0.008902,0.007774,-1.268570,-0.000312,0.016965,0.007014
1769550589.444429,-0.002789,-0.018502,-1.183532,-0.000368,0.017485,0.006721
1769550589.444592,0.024407,-0.014358,0.300743,0.000674,0.017642,-0.005370
1769550589.444676,0.018010,-0.020956,-0.041334,0.000328,0.018571,-0.002721
1769550589.460210,0.011225,-0.000962,-1.464930,-0.000627,0.019045,0.009576
1769550589.460376,0.001859,-0.009252,-0.381653,0.000100,0.019322,0.000506
1769550589.460455,0.015231,0.020374,0.735331,0.000630,0.020131,-0.009033
1769550589.475710,0.044328,-0.040728,-1.555574,-0.000331,0.019826,0.010331
1769550589.475894,0.007371,-0.021434,-0.611427,-0.000051,0.020959,0.002463
1769550589.475994,0.050319,-0.002415,0.769999,0.000954,0.021450,-0.008750
