timestamp,tension (N)
1769550588.429380,-1.060000
1769550588.432258,-1.060000
1769550588.435150,-1.060000
1769550588.438068,-1.060000
1769550588.441019,-1.060000
1769550588.443897,-1.060000
1769550588.446843,-1.060000
1769550588.449788,-1.060000
1769550588.452714,-1.060000
1769550588.457591,-1.060000
1769550588.460559,-1.060000
1769550588.463917,-1.060000
1769550588.467233,-1.060000
1769550588.470397,-1.060000
1769550588.473981,-1.060000
1769550588.476872,-1.060000
1769550588.479753,-1.060000
1769550588.483203,-1.060000
1769550588.486824,-1.060000
1769550588.489800,-1.060000
1769550588.492682,-1.060000
1769550588.495895,-1.060000
1769550588.498929,-1.060000
1769550588.501890,-1.060000
1769550588.505001,-1.060000
1769550588.507793,-1.060000
1769550588.510740,-1.060000
1769550588.513949,-1.060000
1769550588.516743,-1.060000
1769550588.519633,-1.060000
1769550588.522449,-1.060000
1769550588.525435,-1.060000
1769550588.528261,-1.060000
1769550588.531005,-1.060000
1769550588.533853,-1.060000
1769550588.536600,-1.060000
1769550588.539464,-1.060000
1769550588.542333,-1.060000
1769550588.545085,-1.060000
1769550588.547858,-1.060000
1769550588.550705,-1.060000
1769550588.553530,-1.060000
1769550588.556343,-1.060000
1769550588.559197,-1.060000
1769550588.562002,-1.060000
1769550588.564874,-1.060000
1769550588.567765,-1.060000
1769550588.570484,-1.060000
1769550588.573381,-1.060000
1769550588.576246,-1.060000
1769550588.579109,-1.060000
1769550588.582024,-1.060000
1769550588.584779,-1.060000
1769550588.587638,-1.060000
1769550588.590412,-1.060000
1769550588.593355,-1.060000
1769550588.596170,-1.060000
1769550588.598915,-1.060000
1769550588.601789,-1.060000
1769550588.604658,-1.060000
1769550588.608803,-1.060000
1769550588.611614,-1.060000
1769550588.614998,-1.060000
1769550588.618284,-1.060000
1769550588.621541,-1.060000
1769550588.625126,-1.060000
1769550588.627889,-1.060000
1769550588.630772,-1.060000
1769550588.634280,-1.060000
1769550588.637924,-1.060000
1769550588.640661,-1.060000
1769550588.643523,-1.060000
1769550588.647035,-1.060000
1769550588.649874,-1.060000
1769550588.652719,-1.060000
1769550588.656077,-1.060000
1769550588.658999,-1.060000
1769550588.661909,-1.060000
1769550588.665105,-1.060000
1769550588.667981,-1.060000
1769550588.670748,-1.060000
1769550588.673526,-1.060000
1769550588.676345,-1.060000
1769550588.679158,-1.060000
1769550588.681920,-1.060000
1769550588.684767,-1.060000
1769550588.687652,-1.060000
1769550588.690425,-1.060000
1769550588.693202,-1.060000
1769550588.696048,-1.060000
1769550588.698909,-1.060000
1769550588.701663,-1.060000
1769550588.704469,-1.080000
1769550588.707270,-1.080000
1769550588.710098,-1.380000
