timestamp,tension (N)
1769550588.511436,-1.020000
1769550588.514243,-1.020000
1769550588.517005,-1.020000
1769550588.520572,-1.020000
1769550588.524094,-1.020000
1769550588.526943,-1.020000
1769550588.529738,-1.020000
1769550588.533136,-1.020000
1769550588.535943,-1.020000
1769550588.538756,-1.020000
1769550588.542260,-1.020000
1769550588.545076,-1.020000
1769550588.547890,-1.020000
1769550588.551400,-1.020000
1769550588.554264,-1.020000
1769550588.557041,-1.020000
1769550588.559788,-1.020000
1769550588.562627,-1.020000
1769550588.565467,-1.020000
1769550588.568306,-1.020000
1769550588.570993,-1.020000
1769550588.573783,-1.020000
1769550588.576577,-1.020000
1769550588.579419,-1.020000
1769550588.582230,-1.020000
1769550588.585117,-1.020000
1769550588.587885,-1.020000
1769550588.590804,-1.020000
1769550588.593672,-1.020000
1769550588.596419,-1.020000
1769550588.599179,-1.020000
1769550588.601975,-1.020000
1769550588.604747,-1.020000
1769550588.607468,-1.020000
1769550588.610257,-1.020000
1769550588.613007,-1.020000
1769550588.615808,-1.020000
1769550588.618574,-1.020000
1769550588.621262,-1.020000
1769550588.624086,-1.020000
1769550588.626848,-1.020000
1769550588.629606,-1.020000
1769550588.632529,-1.020000
1769550588.635266,-1.020000
1769550588.637972,-1.020000
1769550588.640772,-1.020000
1769550588.643465,-1.020000
1769550588.646220,-1.020000
1769550588.648953,-1.020000
1769550588.651734,-1.020000
1769550588.654492,-1.020000
1769550588.658944,-1.020000
1769550588.661663,-1.020000
1769550588.665118,-1.020000
1769550588.668462,-1.020000
1769550588.671759,-1.020000
1769550588.675312,-1.020000
1769550588.678130,-1.020000
1769550588.680855,-1.020000
1769550588.683671,-1.020000
1769550588.686429,-1.020000
1769550588.689737,-1.020000
1769550588.692508,-1.020000
1769550588.695375,-1.020000
1769550588.698763,-1.040000
1769550588.701580,-1.040000
1769550588.704310,-1.060000
1769550588.707125,-1.320000
1769550588.709933,-1.420000
1769550588.712632,-1.500000
1769550588.715379,-1.560000
1769550588.718628,-1.640000
1769550588.721329,-1.700000
1769550588.724179,-1.780000
1769550588.727113,-1.840000
1769550588.730022,-1.920000
1769550588.732807,-1.980000
1769550588.735643,-2.040000
1769550588.738521,-2.140000
1769550588.741316,-2.200000
1769550588.744070,-2.280000
1769550588.746889,-2.340000
1769550588.749825,-2.420000
1769550588.752695,-2.480000
1769550588.755553,-2.520000
1769550588.758665,-2.480000
1769550588.761415,-2.520000
1769550588.764127,-2.500000
1769550588.766976,-2.480000
1769550588.769732,-2.520000
1769550588.772502,-2.540000
1769550588.775162,-2.500000
1769550588.778019,-2.540000
1769550588.780892,-2.540000
1769550588.783678,-2.520000
1769550588.786499,-2.540000
1769550588.789422,-2.560000
1769550588.792268,-2.540000
1769550588.794987,-2.540000
1769550588.797744,-2.560000
1769550588.800595,-2.540000
1769550588.803346,-2.540000
1769550588.806167,-2.540000
1769550588.809036,-2.540000
1769550588.811924,-2.540000
1769550588.814707,-2.520000
1769550588.817493,-2.520000
1769550588.820190,-2.500000
1769550588.822878,-2.500000
1769550588.825532,-2.500000
1769550588.830843,-2.480000
1769550588.833592,-2.260000
1769550588.836396,-2.280000
1769550588.839172,-2.280000
1769550588.841908,-2.280000
1769550588.845270,-2.300000
1769550588.848501,-2.300000
1769550588.852090,-2.320000
1769550588.854854,-2.320000
1769550588.857583,-2.320000
1769550588.860305,-2.340000
1769550588.863069,-2.340000
1769550588.866590,-2.340000
1769550588.869362,-2.340000
1769550588.872150,-2.340000
1769550588.874945,-2.360000
1769550588.877669,-2.360000
1769550588.880445,-2.360000
1769550588.883253,-2.360000
1769550588.886639,-2.360000
1769550588.889450,-2.360000
1769550588.892267,-2.360000
1769550588.895010,-2.360000
1769550588.897831,-2.360000
1769550588.900583,-2.360000
1769550588.903346,-2.360000
1769550588.906139,-2.360000
1769550588.908996,-2.360000
1769550588.911760,-2.360000
1769550588.914592,-2.360000
1769550588.917374,-2.360000
1769550588.920114,-2.360000
1769550588.922888,-2.360000
1769550588.925683,-2.360000
