timestamp,tension (N)
1769550856.256901,-1.300000
1769550856.259734,-1.300000
1769550856.262540,-1.300000
1769550856.265384,-1.300000
1769550856.268233,-1.300000
1769550856.271005,-1.300000
1769550856.273780,-1.300000
1769550856.276636,-1.300000
1769550856.279419,-1.300000
1769550856.282323,-1.300000
1769550856.285270,-1.300000
1769550856.288114,-1.300000
1769550856.290917,-1.300000
1769550856.293710,-1.300000
1769550856.296461,-1.300000
1769550856.299193,-1.300000
1769550856.301990,-1.300000
1769550856.304790,-1.300000
1769550856.307621,-1.300000
1769550856.310410,-1.300000
1769550856.313196,-1.300000
1769550856.315940,-1.300000
1769550856.318767,-1.300000
1769550856.321582,-1.300000
1769550856.324425,-1.300000
1769550856.327274,-1.300000
1769550856.330047,-1.300000
1769550856.332835,-1.300000
1769550856.335673,-1.300000
1769550856.338552,-1.300000
1769550856.341371,-1.300000
1769550856.344379,-1.300000
1769550856.347282,-1.300000
1769550856.350067,-1.300000
1769550856.352951,-1.300000
1769550856.355742,-1.300000
1769550856.360163,-1.300000
1769550856.362963,-1.300000
1769550856.366442,-1.300000
1769550856.369776,-1.300000
1769550856.373108,-1.300000
1769550856.376845,-1.300000
1769550856.379738,-1.300000
1769550856.382540,-1.300000
1769550856.386116,-1.300000
1769550856.389735,-1.300000
1769550856.392554,-1.300000
1769550856.395481,-1.300000
1769550856.399038,-1.300000
1769550856.401812,-1.300000
1769550856.404633,-1.300000
1769550856.407427,-1.300000
1769550856.410232,-1.300000
1769550856.413069,-1.300000
1769550856.415779,-1.300000
1769550856.419121,-1.300000
1769550856.421919,-1.300000
1769550856.424719,-1.300000
1769550856.427552,-1.300000
1769550856.430418,-1.300000
1769550856.433274,-1.300000
1769550856.436121,-1.300000
1769550856.439080,-1.300000
1769550856.441934,-1.300000
1769550856.444854,-1.300000
1769550856.447600,-1.300000
1769550856.450431,-1.300000
1769550856.453254,-1.300000
1769550856.456028,-1.300000
1769550856.458914,-1.300000
1769550856.461756,-1.280000
1769550856.464612,-1.280000
1769550856.467505,-1.280000
1769550856.470372,-1.280000
1769550856.473119,-1.280000
1769550856.475957,-1.280000
1769550856.478911,-1.280000
1769550856.481810,-1.280000
1769550856.484708,-1.280000
1769550856.487571,-1.280000
1769550856.490342,-1.280000
1769550856.493164,-1.280000
1769550856.495975,-1.280000
1769550856.498826,-1.280000
1769550856.501579,-1.280000
1769550856.504383,-1.280000
1769550856.507208,-1.280000
1769550856.509928,-1.280000
1769550856.512757,-1.280000
1769550856.517702,-1.280000
1769550856.520497,-1.260000
1769550856.524062,-1.260000
1769550856.527445,-1.260000
1769550856.530737,-1.260000
1769550856.534335,-1.260000
1769550856.537110,-1.260000
1769550856.539962,-1.260000
1769550856.542707,-1.260000
1769550856.545549,-1.260000
1769550856.548974,-1.260000
1769550856.551848,-1.260000
1769550856.554753,-1.260000
1769550856.558293,-1.260000
1769550856.561118,-1.260000
1769550856.564263,-1.260000
1769550856.567550,-1.260000
1769550856.570355,-1.260000
1769550856.573153,-1.260000
1769550856.575938,-1.260000
1769550856.578735,-1.240000
1769550856.581549,-1.260000
1769550856.584276,-1.240000
1769550856.587111,-1.240000
1769550856.589879,-1.240000
1769550856.592761,-1.240000
1769550856.595549,-1.240000
1769550856.598360,-1.240000
