timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1769547413.898078,0.011603,0.029653,-0.544945,0.000119,0.000215,0.004686
1769547413.914047,0.000363,0.055769,0.620908,0.000739,0.000705,-0.005225
1769547413.914339,0.033591,-0.019883,0.061942,0.000819,-0.000567,0.000637
1769547413.929722,0.008922,0.032592,-1.134674,-0.000435,0.000189,0.009575
1769547413.929956,0.010657,0.031581,-0.052054,0.000342,0.000248,0.000572
1769547413.930042,0.027112,0.007841,0.945785,0.000709,0.000286,-0.008338
1769547413.930114,0.017451,0.018438,-1.424623,-0.000581,-0.000401,0.012024
1769547413.945891,0.014322,0.030638,-0.242285,0.000109,-0.000008,0.002230
1769547413.946125,0.038218,0.003810,1.472379,0.001536,-0.000730,-0.011742
1769547413.946219,0.013386,0.024997,-1.128909,-0.000496,0.000041,0.008928
1769547413.961444,0.005982,0.034296,-0.547291,0.000013,0.000111,0.004626
1769547413.961654,-0.004271,0.043607,0.575917,0.000673,0.000115,-0.004918
1769547413.961721,0.043352,-0.006410,0.056213,0.000011,-0.001455,-0.000627
1769547413.976864,0.011065,0.027410,-1.134121,-0.000309,0.000097,0.009537
1769547413.976997,0.011058,0.034114,-0.025596,0.000401,0.000410,0.000367
1769547413.977064,0.035338,0.019770,1.087917,0.001269,-0.000633,-0.009061
1769547413.992870,0.017961,0.025410,-1.378203,-0.000473,-0.000246,0.011547
1769547413.993016,0.007335,0.035864,-0.247388,0.000097,0.000224,0.002164
1769547413.993084,0.047904,-0.003394,1.505683,0.001641,-0.000617,-0.012128
1769547414.008174,0.015496,0.030147,-1.080120,-0.000082,0.000510,0.009292
1769547414.008301,0.009115,0.033474,-0.548868,-0.000084,0.000115,0.004754
1769547414.008370,0.000250,0.053136,0.572288,0.000497,0.000446,-0.004820
1769547414.023396,0.051603,-0.019575,0.072810,0.000536,-0.001252,-0.000253
1769547414.023577,0.010904,0.027536,-1.143583,-0.000387,0.000222,0.009555
1769547414.023663,0.016821,0.026911,-0.023413,0.000304,0.000060,0.000318
1769547414.038134,0.042749,0.007450,1.084437,0.001431,-0.000250,-0.008324
1769547414.038384,0.017901,0.017091,-1.367736,-0.000538,-0.000278,0.011478
1769547414.038498,0.012199,0.026472,-0.244286,0.000284,0.000305,0.002266
1769547414.054142,0.033471,-0.005050,1.487043,0.001690,-0.000720,-0.011941
1769547414.054337,0.018058,0.037339,-1.145516,-0.000708,0.000100,0.009170
1769547414.054404,0.001511,0.019988,-0.557922,-0.000106,-0.000118,0.004702
1769547414.069812,-0.002851,0.053519,0.580857,0.000602,0.000416,-0.004902
1769547414.070009,0.040646,-0.024544,0.111895,0.000809,-0.000773,-0.000286
