timestamp,tension (N)
1769547413.749401,-1.180000
1769547413.752406,-1.180000
1769547413.755342,-1.180000
1769547413.758300,-1.180000
1769547413.761240,-1.180000
1769547413.764240,-1.180000
1769547413.767144,-1.180000
1769547413.770088,-1.180000
1769547413.773026,-1.180000
1769547413.775951,-1.180000
1769547413.779018,-1.180000
1769547413.781868,-1.180000
1769547413.784776,-1.180000
1769547413.787706,-1.180000
1769547413.790918,-1.180000
1769547413.793874,-1.180000
1769547413.796854,-1.180000
1769547413.801071,-1.180000
1769547413.803863,-1.180000
1769547413.807433,-1.180000
1769547413.810688,-1.180000
1769547413.814147,-1.180000
1769547413.817619,-1.180000
1769547413.820426,-1.180000
1769547413.823858,-1.180000
1769547413.827566,-1.180000
1769547413.830449,-1.180000
1769547413.833292,-1.180000
1769547413.836721,-1.180000
1769547413.839520,-1.160000
1769547413.842340,-1.180000
1769547413.846031,-1.180000
1769547413.848971,-1.180000
1769547413.851856,-1.180000
1769547413.855222,-1.180000
1769547413.858131,-1.180000
1769547413.860977,-1.180000
1769547413.863835,-1.180000
1769547413.866760,-1.180000
1769547413.869618,-1.180000
1769547413.872495,-1.180000
1769547413.875448,-1.180000
1769547413.878315,-1.180000
1769547413.881237,-1.180000
1769547413.884149,-1.180000
1769547413.887180,-1.180000
1769547413.890074,-1.180000
1769547413.893089,-1.180000
1769547413.895996,-1.180000
1769547413.898963,-1.180000
1769547413.901933,-1.180000
1769547413.904935,-1.180000
1769547413.907906,-1.180000
1769547413.910879,-1.180000
1769547413.913887,-1.180000
1769547413.916690,-1.180000
1769547413.919600,-1.180000
1769547413.922405,-1.180000
1769547413.925349,-1.180000
1769547413.928216,-1.180000
1769547413.931252,-1.180000
1769547413.934216,-1.180000
1769547413.937158,-1.160000
1769547413.940144,-1.160000
1769547413.943174,-1.160000
1769547413.946167,-1.160000
1769547413.949193,-1.160000
1769547413.952058,-1.160000
1769547413.955020,-1.160000
1769547413.959018,-1.160000
1769547413.961838,-1.160000
1769547413.965431,-1.160000
1769547413.968737,-1.160000
1769547413.972037,-1.160000
1769547413.975539,-1.160000
1769547413.978472,-1.180000
1769547413.981791,-1.180000
1769547413.985398,-1.180000
1769547413.988305,-1.180000
1769547413.991205,-1.180000
1769547413.994535,-1.180000
1769547413.997468,-1.180000
1769547414.000411,-1.180000
1769547414.003879,-1.180000
1769547414.006741,-1.160000
1769547414.009726,-1.180000
1769547414.013022,-1.160000
1769547414.015989,-1.160000
1769547414.018944,-1.160000
1769547414.021964,-1.160000
1769547414.024956,-1.160000
1769547414.027933,-1.160000
1769547414.030916,-1.160000
1769547414.033807,-1.160000
1769547414.036740,-1.160000
1769547414.039716,-1.180000
1769547414.042681,-1.180000
1769547414.045621,-1.180000
1769547414.048731,-1.160000
1769547414.051536,-1.160000
1769547414.054506,-1.180000
1769547414.057334,-1.180000
1769547414.060205,-1.180000
1769547414.063027,-1.180000
1769547414.065829,-1.180000
1769547414.068657,-1.200000
1769547414.071529,-1.520000
1769547414.074342,-1.700000
1769547414.077274,-1.880000
1769547414.080131,-2.040000
1769547414.083013,-2.220000
1769547414.085914,-2.420000
1769547414.088901,-2.620000
1769547414.091948,-2.840000
1769547414.094979,-3.120000
1769547414.097967,-3.320000
1769547414.100955,-3.580000
1769547414.103856,-3.780000
1769547414.106773,-4.020000
1769547414.109753,-4.220000
1769547414.112550,-4.500000
1769547414.117235,-4.860000
1769547414.120151,-5.100000
1769547414.123074,-5.300000
1769547414.126688,-5.500000
1769547414.130177,-5.680000
1769547414.133659,-5.780000
1769547414.137473,-5.860000
1769547414.140351,-5.860000
1769547414.143233,-5.880000
1769547414.146186,-5.940000
1769547414.149081,-5.900000
1769547414.152456,-5.820000
1769547414.155418,-5.840000
1769547414.158231,-5.880000
1769547414.161031,-5.800000
1769547414.164387,-5.780000
1769547414.167375,-5.780000
1769547414.170184,-5.700000
1769547414.173220,-5.660000
1769547414.176169,-5.600000
1769547414.179178,-5.540000
1769547414.182797,-5.480000
1769547414.185674,-5.420000
1769547414.188669,-5.340000
1769547414.191607,-5.340000
1769547414.194991,-5.280000
1769547414.197830,-5.200000
1769547414.200772,-5.180000
1769547414.203632,-5.120000
1769547414.206402,-5.060000
1769547414.209277,-5.040000
1769547414.212221,-4.760000
1769547414.215262,-4.780000
1769547414.218145,-4.780000
1769547414.221052,-4.780000
1769547414.223949,-4.780000
1769547414.226837,-4.780000
1769547414.229728,-4.760000
1769547414.232682,-4.760000
1769547414.235878,-4.740000
1769547414.238909,-4.480000
1769547414.242111,-4.440000
1769547414.244956,-4.380000
1769547414.247951,-4.320000
1769547414.250970,-4.320000
1769547414.253984,-4.260000
1769547414.256936,-4.220000
1769547414.259988,-4.220000
1769547414.262888,-4.180000
1769547414.265816,-4.140000
1769547414.268682,-4.100000
1769547414.271631,-4.080000
1769547414.274448,-4.020000
1769547414.277494,-3.980000
1769547414.280506,-3.940000
1769547414.283525,-3.960000
1769547414.288402,-3.880000
1769547414.291353,-3.900000
1769547414.294329,-3.840000
1769547414.297774,-3.780000
1769547414.301286,-3.720000
1769547414.304356,-3.720000
1769547414.307975,-3.700000
1769547414.310921,-3.720000
1769547414.313829,-3.700000
1769547414.317298,-3.680000
1769547414.320904,-3.640000
1769547414.323894,-3.620000
1769547414.326855,-3.580000
1769547414.330248,-3.560000
1769547414.333272,-3.560000
1769547414.336193,-3.540000
1769547414.339447,-3.480000
1769547414.342275,-3.460000
1769547414.345222,-3.460000
1769547414.348599,-3.440000
1769547414.351478,-3.400000
1769547414.354384,-3.400000
1769547414.357304,-3.420000
1769547414.360273,-3.400000
1769547414.363166,-3.360000
1769547414.366265,-3.320000
1769547414.369143,-3.300000
1769547414.372265,-3.260000
1769547414.375285,-3.220000
1769547414.378127,-3.180000
1769547414.381129,-3.180000
1769547414.384013,-3.180000
1769547414.387025,-3.120000
1769547414.389860,-3.120000
1769547414.392882,-3.100000
1769547414.395784,-3.080000
1769547414.398595,-3.080000
1769547414.401511,-3.040000
1769547414.404412,-3.000000
1769547414.407232,-2.980000
1769547414.410288,-2.960000
1769547414.413150,-2.940000
1769547414.416093,-2.940000
1769547414.419161,-2.920000
1769547414.421987,-2.900000
1769547414.424992,-2.880000
1769547414.428043,-2.860000
1769547414.430830,-2.840000
1769547414.433757,-2.820000
1769547414.436597,-2.820000
1769547414.439484,-2.780000
1769547414.442450,-2.780000
1769547414.445341,-2.760000
1769547414.448260,-2.740000
1769547414.451149,-2.720000
1769547414.455606,-2.720000
1769547414.458438,-2.700000
1769547414.461283,-2.680000
1769547414.464886,-2.620000
1769547414.468233,-2.580000
1769547414.471672,-2.540000
1769547414.474989,-2.480000
1769547414.477924,-2.440000
1769547414.481286,-2.400000
1769547414.485017,-2.360000
1769547414.487889,-2.320000
1769547414.490817,-2.280000
1769547414.494149,-2.260000
1769547414.497053,-2.240000
1769547414.499896,-2.200000
1769547414.503294,-2.160000
1769547414.506263,-2.140000
1769547414.509172,-2.120000
1769547414.512448,-2.100000
1769547414.515205,-2.020000
1769547414.518128,-1.980000
1769547414.521194,-1.980000
1769547414.524178,-1.940000
1769547414.527000,-1.920000
1769547414.530044,-1.880000
1769547414.533065,-1.860000
1769547414.536017,-1.840000
1769547414.538984,-1.780000
1769547414.541940,-1.720000
1769547414.544863,-1.660000
1769547414.547816,-1.620000
1769547414.550833,-1.580000
1769547414.553711,-1.540000
1769547414.556639,-1.480000
1769547414.559601,-1.460000
1769547414.562551,-1.420000
1769547414.565453,-1.360000
1769547414.568298,-1.340000
1769547414.571178,-1.340000
1769547414.574114,-1.320000
1769547414.577092,-1.300000
1769547414.580055,-1.260000
1769547414.583036,-1.200000
1769547414.585957,-1.160000
1769547414.588912,-1.100000
1769547414.591757,-1.060000
1769547414.594649,-1.040000
1769547414.597561,-1.040000
1769547414.600443,-1.020000
1769547414.603135,-1.000000
1769547414.605958,-0.980000
1769547414.608869,-0.940000
1769547414.611606,-0.900000
1769547414.614424,-0.860000
1769547414.619468,-0.800000
1769547414.622358,-0.760000
1769547414.625623,-0.740000
1769547414.628948,-0.680000
1769547414.632364,-0.640000
1769547414.635712,-0.620000
1769547414.638469,-0.580000
1769547414.641319,-0.540000
1769547414.644814,-0.500000
1769547414.648377,-0.440000
1769547414.651204,-0.380000
1769547414.653940,-0.340000
1769547414.657240,-0.300000
1769547414.660056,-0.240000
1769547414.662738,-0.200000
1769547414.666146,-0.180000
1769547414.668977,-0.160000
1769547414.671791,-0.140000
1769547414.675176,-0.120000
1769547414.677982,-0.140000
1769547414.680674,-0.100000
1769547414.683449,-0.080000
1769547414.686209,-0.040000
1769547414.689135,-0.040000
1769547414.691861,-0.040000
1769547414.694596,-0.040000
1769547414.697277,-0.020000
1769547414.699990,-0.020000
1769547414.702727,-0.020000
1769547414.705461,-0.020000
1769547414.708196,-0.020000
1769547414.710910,-0.040000
1769547414.713633,-0.040000
1769547414.716397,-0.020000
1769547414.719220,-0.020000
1769547414.721985,-0.020000
1769547414.724871,-0.020000
1769547414.727568,-0.020000
1769547414.730296,-0.020000
1769547414.732965,-0.020000
1769547414.735722,-0.020000
1769547414.738138,0.000000
1769547414.741075,-0.020000
1769547414.743584,0.000000
1769547414.746297,-0.020000
1769547414.749013,-0.020000
1769547414.751715,-0.020000
1769547414.754398,-0.020000
1769547414.757177,-0.240000
1769547414.760026,-0.220000
1769547414.762848,-0.220000
1769547414.765519,-0.200000
1769547414.768119,-0.200000
1769547414.770937,-0.180000
1769547414.773784,-0.180000
1769547414.776620,-0.180000
1769547414.781793,-0.160000
1769547414.784564,-0.160000
1769547414.787415,-0.160000
1769547414.790872,-0.140000
1769547414.794224,-0.140000
1769547414.797531,-0.120000
1769547414.800843,-0.120000
1769547414.803672,-0.120000
1769547414.807035,-0.120000
1769547414.810558,-0.100000
1769547414.813314,-0.100000
1769547414.815959,-0.100000
1769547414.819350,-0.100000
1769547414.822118,-0.080000
1769547414.824898,-0.080000
1769547414.828231,-0.080000
1769547414.830894,-0.080000
1769547414.833563,-0.080000
1769547414.836981,-0.080000
1769547414.839701,-0.080000
1769547414.842397,-0.060000
1769547414.845159,-0.060000
1769547414.847908,-0.060000
1769547414.850679,-0.060000
1769547414.853543,-0.060000
1769547414.856354,-0.060000
1769547414.859173,-0.060000
1769547414.861858,-0.060000
1769547414.864650,-0.040000
1769547414.867364,-0.040000
1769547414.870376,-0.040000
1769547414.873228,-0.040000
1769547414.876032,-0.040000
1769547414.878764,-0.040000
1769547414.881518,-0.040000
1769547414.884291,-0.040000
1769547414.887139,-0.040000
1769547414.889909,-0.040000
1769547414.892769,-0.040000
1769547414.895550,-0.040000
1769547414.898274,-0.040000
1769547414.900978,-0.040000
1769547414.903727,-0.040000
1769547414.906577,-0.040000
1769547414.909292,-0.040000
1769547414.912099,-0.040000
1769547414.914797,-0.060000
1769547414.917530,-0.360000
1769547414.920167,-0.500000
1769547414.922833,-0.700000
1769547414.925751,-0.860000
1769547414.928674,-1.100000
1769547414.931668,-1.340000
1769547414.934630,-1.560000
1769547414.937735,-1.820000
1769547414.940674,-2.140000
1769547414.945615,-2.640000
1769547414.948453,-2.900000
1769547414.951470,-3.120000
1769547414.955203,-3.480000
1769547414.958769,-3.780000
1769547414.962107,-4.080000
1769547414.965976,-4.420000
1769547414.968879,-4.680000
1769547414.971727,-4.900000
1769547414.975578,-5.140000
1769547414.979260,-5.400000
1769547414.982139,-5.540000
1769547414.985045,-5.680000
1769547414.988042,-5.820000
1769547414.991041,-5.920000
1769547414.993902,-6.060000
1769547414.996897,-6.160000
1769547415.000024,-6.240000
1769547415.002896,-6.360000
1769547415.005870,-6.480000
1769547415.008710,-6.520000
1769547415.011659,-6.600000
1769547415.014616,-6.660000
1769547415.017533,-6.640000
1769547415.020474,-6.680000
1769547415.023480,-6.700000
1769547415.026456,-6.660000
1769547415.029399,-6.660000
1769547415.032365,-6.680000
1769547415.035375,-6.640000
1769547415.038321,-6.580000
1769547415.041253,-6.540000
1769547415.044267,-6.460000
1769547415.047202,-6.320000
1769547415.050135,-6.280000
1769547415.053164,-6.180000
1769547415.055984,-6.020000
1769547415.058939,-5.940000
1769547415.061842,-5.920000
1769547415.064711,-5.760000
1769547415.067573,-5.680000
1769547415.070468,-5.640000
1769547415.073279,-5.520000
1769547415.076153,-5.300000
1769547415.078927,-5.300000
1769547415.081765,-5.300000
1769547415.084635,-5.300000
1769547415.087501,-5.300000
1769547415.090306,-5.300000
1769547415.093117,-5.300000
1769547415.097694,-5.300000
1769547415.100502,-5.300000
1769547415.103282,-5.300000
1769547415.106971,-5.300000
1769547415.110314,-5.300000
1769547415.113558,-5.300000
1769547415.117183,-5.280000
1769547415.120114,-5.280000
1769547415.122996,-5.280000
1769547415.126614,-5.280000
1769547415.130178,-5.260000
1769547415.132875,-5.000000
1769547415.135721,-4.920000
1769547415.139338,-4.720000
1769547415.142390,-4.600000
1769547415.145345,-4.380000
1769547415.148601,-4.220000
1769547415.151604,-4.020000
1769547415.154691,-3.840000
1769547415.158245,-3.540000
1769547415.161356,-3.320000
1769547415.164452,-3.100000
1769547415.167553,-2.860000
1769547415.170564,-2.580000
1769547415.173558,-2.340000
1769547415.176524,-2.060000
1769547415.179716,-1.800000
1769547415.182819,-1.560000
1769547415.185860,-1.280000
1769547415.188853,-1.040000
1769547415.191782,-0.920000
1769547415.194682,-0.780000
1769547415.197709,-0.680000
1769547415.200661,-0.660000
1769547415.203696,-0.560000
1769547415.206609,-0.540000
1769547415.209523,-0.500000
1769547415.212505,-0.480000
1769547415.215474,-0.480000
1769547415.218408,-0.440000
1769547415.221342,-0.380000
1769547415.224194,-0.520000
1769547415.227202,-0.460000
1769547415.229905,-0.500000
1769547415.232799,-0.560000
1769547415.235592,-0.540000
1769547415.238495,-0.520000
1769547415.241223,-0.600000
1769547415.244043,-0.580000
1769547415.246910,-0.580000
1769547415.249928,-0.620000
1769547415.252810,-0.600000
1769547415.255665,-0.640000
1769547415.258500,-0.640000
1769547415.261422,-0.680000
1769547415.264141,-0.720000
1769547415.268502,-0.740000
1769547415.271259,-0.680000
1769547415.274699,-0.720000
1769547415.278135,-0.780000
1769547415.281257,-0.820000
1769547415.284891,-0.820000
1769547415.287540,-0.900000
1769547415.290323,-0.880000
1769547415.293875,-0.880000
1769547415.297400,-0.940000
1769547415.300158,-1.000000
1769547415.302923,-0.920000
1769547415.306418,-1.220000
1769547415.309289,-1.200000
1769547415.312047,-1.200000
1769547415.315488,-1.200000
1769547415.318363,-1.200000
1769547415.321250,-1.180000
1769547415.324718,-1.200000
1769547415.327519,-1.200000
1769547415.330268,-1.200000
1769547415.333129,-1.200000
1769547415.335976,-1.200000
1769547415.338778,-1.200000
1769547415.341596,-1.200000
1769547415.344471,-1.220000
1769547415.347462,-1.220000
1769547415.350444,-1.220000
1769547415.353391,-1.240000
1769547415.356346,-1.240000
1769547415.359160,-1.240000
1769547415.361996,-1.260000
1769547415.364823,-1.260000
1769547415.367662,-1.260000
1769547415.370581,-1.280000
1769547415.373436,-1.280000
1769547415.376347,-1.300000
1769547415.379217,-1.540000
1769547415.382115,-1.580000
1769547415.384914,-1.600000
1769547415.387819,-1.620000
1769547415.390772,-1.660000
1769547415.393544,-1.700000
1769547415.396306,-1.660000
1769547415.399195,-1.680000
1769547415.402033,-1.740000
1769547415.404920,-1.760000
1769547415.407897,-1.760000
1769547415.410785,-1.860000
1769547415.413595,-1.920000
1769547415.416425,-1.920000
1769547415.419120,-2.000000
1769547415.421911,-2.040000
1769547415.424664,-2.100000
1769547415.427610,-2.100000
1769547415.430422,-2.100000
1769547415.434936,-2.080000
1769547415.437765,-2.120000
1769547415.441236,-2.160000
1769547415.444668,-2.260000
1769547415.447896,-2.360000
1769547415.451570,-2.380000
1769547415.454425,-2.380000
1769547415.457281,-2.400000
1769547415.460817,-2.480000
1769547415.464396,-2.560000
1769547415.467205,-2.600000
1769547415.470129,-2.680000
1769547415.473612,-2.700000
1769547415.476418,-2.700000
1769547415.479256,-2.760000
1769547415.482831,-2.820000
1769547415.485770,-2.840000
1769547415.488530,-2.840000
1769547415.491973,-2.880000
1769547415.494936,-2.960000
1769547415.497838,-3.040000
1769547415.500690,-3.080000
1769547415.503596,-3.140000
1769547415.506487,-3.200000
1769547415.509332,-3.220000
1769547415.512228,-3.240000
1769547415.515126,-3.280000
1769547415.517979,-3.340000
1769547415.521192,-3.300000
1769547415.524056,-3.380000
1769547415.526853,-3.400000
1769547415.529791,-3.440000
1769547415.532735,-3.460000
1769547415.535459,-3.500000
1769547415.538384,-3.580000
1769547415.541223,-3.640000
1769547415.544156,-3.660000
1769547415.546978,-3.740000
1769547415.549792,-3.840000
1769547415.552683,-3.880000
1769547415.555558,-3.940000
1769547415.558418,-3.960000
1769547415.561282,-4.020000
1769547415.564144,-4.040000
1769547415.566993,-4.080000
1769547415.569798,-4.080000
1769547415.572697,-4.160000
1769547415.575577,-4.180000
1769547415.578479,-4.240000
1769547415.581293,-4.280000
1769547415.584152,-4.300000
1769547415.586953,-4.320000
1769547415.589906,-4.340000
1769547415.592844,-4.360000
1769547415.595717,-4.420000
1769547415.601047,-4.520000
1769547415.603750,-4.500000
1769547415.606583,-4.520000
1769547415.609432,-4.480000
1769547415.612226,-4.440000
1769547415.615386,-4.420000
1769547415.618592,-4.480000
1769547415.622264,-4.560000
1769547415.625116,-4.620000
1769547415.627911,-4.660000
1769547415.631631,-4.720000
1769547415.635240,-4.760000
1769547415.638024,-4.800000
1769547415.640859,-4.840000
1769547415.644477,-4.920000
1769547415.647286,-4.980000
1769547415.650145,-5.020000
1769547415.653567,-5.080000
1769547415.656348,-5.020000
1769547415.659190,-5.020000
1769547415.662590,-5.040000
1769547415.665410,-5.120000
1769547415.668224,-5.120000
1769547415.671048,-5.160000
1769547415.673873,-5.160000
1769547415.676767,-5.200000
1769547415.679661,-5.180000
1769547415.682481,-5.180000
1769547415.685346,-5.140000
1769547415.688140,-5.140000
1769547415.691051,-5.140000
1769547415.693892,-5.180000
1769547415.696688,-5.220000
1769547415.699572,-5.220000
1769547415.702461,-5.240000
1769547415.705335,-5.240000
1769547415.708225,-5.240000
1769547415.711063,-5.320000
1769547415.713930,-5.400000
1769547415.716825,-5.420000
1769547415.719740,-5.440000
1769547415.722570,-5.420000
1769547415.725391,-5.420000
1769547415.728163,-5.400000
1769547415.731186,-5.380000
1769547415.734027,-5.420000
1769547415.736938,-5.460000
1769547415.739863,-5.440000
1769547415.742712,-5.460000
1769547415.745540,-5.480000
1769547415.748426,-5.520000
1769547415.751228,-5.520000
1769547415.754177,-5.540000
1769547415.757015,-5.620000
1769547415.759934,-5.640000
1769547415.762864,-5.640000
1769547415.765765,-5.560000
1769547415.768494,-5.500000
1769547415.773100,-5.260000
1769547415.775874,-5.260000
1769547415.778792,-5.260000
1769547415.782461,-5.520000
1769547415.785806,-5.600000
1769547415.789183,-5.600000
1769547415.792669,-5.640000
1769547415.795518,-5.680000
1769547415.798333,-5.680000
1769547415.802016,-5.680000
1769547415.805516,-5.700000
1769547415.808723,-5.680000
1769547415.811584,-5.680000
1769547415.814896,-5.680000
1769547415.817696,-5.680000
1769547415.820512,-5.700000
1769547415.823957,-5.720000
1769547415.826805,-5.740000
1769547415.829653,-5.780000
1769547415.833181,-5.800000
1769547415.836058,-5.820000
1769547415.838872,-5.820000
1769547415.841825,-5.820000
1769547415.844686,-5.820000
1769547415.847413,-5.840000
1769547415.850234,-5.900000
1769547415.853180,-5.920000
1769547415.856009,-5.960000
1769547415.858895,-5.960000
1769547415.861768,-5.980000
1769547415.864716,-5.940000
1769547415.867599,-5.960000
1769547415.870453,-5.960000
1769547415.873323,-5.980000
1769547415.875947,-6.000000
1769547415.878596,-6.000000
1769547415.881432,-5.980000
1769547415.884338,-5.760000
1769547415.887200,-5.760000
1769547415.890044,-6.020000
1769547415.892770,-6.020000
1769547415.895522,-6.020000
1769547415.898318,-6.040000
1769547415.901167,-6.040000
1769547415.904143,-5.820000
1769547415.907150,-5.840000
1769547415.910036,-5.840000
1769547415.912946,-5.860000
1769547415.915820,-5.860000
1769547415.918677,-5.860000
1769547415.921529,-5.880000
1769547415.924430,-5.880000
1769547415.927285,-6.140000
1769547415.930136,-6.160000
1769547415.933039,-6.220000
1769547415.935919,-6.260000
1769547415.938732,-6.260000
1769547415.943670,-6.280000
1769547415.946522,-6.280000
1769547415.949445,-6.280000
1769547415.953017,-6.300000
1769547415.956571,-6.320000
1769547415.959670,-6.360000
1769547415.963282,-6.400000
1769547415.966187,-6.400000
1769547415.969091,-6.420000
1769547415.972565,-6.420000
1769547415.976197,-6.460000
1769547415.979241,-6.460000
1769547415.982024,-6.500000
1769547415.985287,-6.500000
1769547415.988166,-6.480000
1769547415.991038,-6.460000
1769547415.994522,-6.480000
1769547415.997401,-6.520000
1769547416.000268,-6.540000
1769547416.003674,-6.580000
1769547416.006527,-6.580000
1769547416.009339,-6.580000
1769547416.012295,-6.600000
