timestamp,tension (N)
1769547413.796968,-1.140000
1769547413.799921,-1.140000
1769547413.802772,-1.140000
1769547413.805553,-1.140000
1769547413.808350,-1.140000
1769547413.811164,-1.140000
1769547413.813972,-1.140000
1769547413.816897,-1.140000
1769547413.819766,-1.140000
1769547413.822545,-1.140000
1769547413.825329,-1.140000
1769547413.828137,-1.140000
1769547413.831075,-1.140000
1769547413.833841,-1.140000
1769547413.836638,-1.140000
1769547413.839448,-1.140000
1769547413.842251,-1.140000
1769547413.845117,-1.140000
1769547413.847900,-1.140000
1769547413.850881,-1.140000
1769547413.853872,-1.140000
1769547413.856691,-1.140000
1769547413.859649,-1.140000
1769547413.862585,-1.140000
1769547413.865462,-1.140000
1769547413.868371,-1.140000
1769547413.871283,-1.140000
1769547413.874210,-1.140000
1769547413.877125,-1.140000
1769547413.881594,-1.140000
1769547413.884519,-1.140000
1769547413.887894,-1.140000
1769547413.891263,-1.140000
1769547413.894583,-1.140000
1769547413.898086,-1.140000
1769547413.900972,-1.140000
1769547413.904445,-1.140000
1769547413.907959,-1.140000
1769547413.910816,-1.140000
1769547413.913714,-1.140000
1769547413.917122,-1.140000
1769547413.920072,-1.140000
1769547413.922955,-1.140000
1769547413.926494,-1.140000
1769547413.929402,-1.140000
1769547413.932367,-1.140000
1769547413.935643,-1.140000
1769547413.938565,-1.140000
1769547413.941533,-1.140000
1769547413.944521,-1.140000
1769547413.947334,-1.140000
1769547413.950139,-1.140000
1769547413.953087,-1.140000
1769547413.955907,-1.140000
1769547413.958857,-1.140000
1769547413.961873,-1.140000
1769547413.964788,-1.140000
1769547413.967638,-1.140000
1769547413.970545,-1.140000
1769547413.973498,-1.140000
1769547413.976366,-1.140000
1769547413.979259,-1.140000
1769547413.982166,-1.140000
1769547413.984967,-1.140000
1769547413.987904,-1.140000
1769547413.990972,-1.140000
1769547413.993889,-1.140000
1769547413.996769,-1.140000
1769547413.999653,-1.140000
1769547414.002516,-1.140000
1769547414.005406,-1.140000
1769547414.008294,-1.140000
1769547414.011238,-1.140000
1769547414.014045,-1.140000
1769547414.016898,-1.140000
1769547414.019754,-1.140000
1769547414.022729,-1.140000
1769547414.025531,-1.140000
1769547414.028330,-1.140000
1769547414.031141,-1.140000
1769547414.033951,-1.140000
1769547414.038949,-1.140000
1769547414.041781,-1.140000
1769547414.045228,-1.140000
1769547414.048708,-1.140000
1769547414.051900,-1.140000
1769547414.055610,-1.140000
1769547414.058408,-1.140000
1769547414.061715,-1.160000
1769547414.065274,-1.160000
1769547414.068126,-1.460000
1769547414.070817,-1.600000
1769547414.073665,-1.780000
1769547414.076429,-1.960000
1769547414.079204,-2.160000
1769547414.082039,-2.360000
1769547414.085589,-2.580000
1769547414.088473,-2.840000
1769547414.091293,-3.080000
1769547414.094211,-3.280000
1769547414.097117,-3.560000
1769547414.100055,-3.720000
1769547414.102950,-3.980000
1769547414.105915,-4.260000
1769547414.108852,-4.560000
1769547414.111738,-4.740000
1769547414.114483,-5.020000
1769547414.117347,-5.240000
1769547414.120139,-5.500000
1769547414.123114,-5.720000
1769547414.125995,-5.940000
1769547414.128767,-6.100000
1769547414.131662,-6.280000
1769547414.134439,-6.320000
1769547414.137352,-6.440000
1769547414.140262,-6.540000
1769547414.143147,-6.540000
1769547414.146067,-6.660000
1769547414.148931,-6.740000
1769547414.151788,-6.720000
1769547414.154643,-6.800000
1769547414.157463,-6.860000
1769547414.160431,-6.820000
1769547414.163399,-6.820000
1769547414.166274,-6.880000
1769547414.169134,-6.860000
1769547414.172041,-6.840000
1769547414.174945,-6.880000
1769547414.177957,-6.880000
1769547414.180904,-6.780000
1769547414.183820,-6.840000
1769547414.186674,-6.840000
1769547414.191391,-6.800000
1769547414.194214,-6.740000
1769547414.197310,-6.660000
1769547414.200217,-6.720000
1769547414.203139,-6.720000
1769547414.206278,-6.600000
1769547414.209749,-6.640000
1769547414.213240,-6.640000
1769547414.216102,-6.580000
1769547414.218959,-6.540000
1769547414.222621,-6.580000
1769547414.226257,-6.600000
1769547414.229229,-6.560000
1769547414.231894,-6.500000
1769547414.235582,-6.480000
1769547414.238273,-6.500000
1769547414.241100,-6.480000
1769547414.244516,-6.460000
1769547414.247351,-6.460000
1769547414.250208,-6.440000
1769547414.253859,-6.420000
1769547414.256812,-6.380000
1769547414.259624,-6.380000
1769547414.262562,-6.160000
1769547414.265397,-6.160000
1769547414.268303,-6.180000
1769547414.271137,-6.180000
1769547414.274056,-6.180000
1769547414.277005,-6.200000
1769547414.279906,-6.200000
1769547414.282752,-6.200000
1769547414.285689,-6.200000
1769547414.288532,-6.200000
1769547414.291421,-6.200000
1769547414.294295,-6.200000
1769547414.297181,-6.200000
1769547414.300142,-6.200000
1769547414.303029,-6.200000
1769547414.305968,-6.200000
1769547414.308846,-6.180000
1769547414.311826,-6.180000
1769547414.314612,-6.180000
1769547414.317573,-6.160000
1769547414.320435,-6.160000
1769547414.323338,-6.140000
1769547414.326224,-6.140000
1769547414.329042,-6.140000
1769547414.331888,-6.120000
1769547414.334823,-6.120000
1769547414.339281,-5.860000
1769547414.342131,-5.860000
1769547414.344845,-6.080000
1769547414.347618,-5.840000
1769547414.350435,-5.800000
1769547414.353573,-5.780000
1769547414.356923,-5.720000
1769547414.360364,-5.680000
1769547414.363263,-5.640000
1769547414.366694,-5.660000
1769547414.370301,-5.660000
1769547414.373231,-5.640000
1769547414.376132,-5.640000
1769547414.379607,-5.640000
1769547414.382564,-5.560000
1769547414.385418,-5.540000
1769547414.388880,-5.580000
