timestamp,tension (N)
1769547413.717018,-1.020000
1769547413.719934,-1.020000
1769547413.722897,-1.020000
1769547413.725778,-1.020000
1769547413.728629,-1.020000
1769547413.731499,-1.020000
1769547413.734341,-1.020000
1769547413.737695,-1.020000
1769547413.740588,-1.020000
1769547413.743482,-1.020000
1769547413.746430,-1.020000
1769547413.749352,-1.020000
1769547413.752269,-1.020000
1769547413.755304,-1.020000
1769547413.758250,-1.020000
1769547413.761145,-1.020000
1769547413.764159,-1.020000
1769547413.767047,-1.020000
1769547413.770016,-1.020000
1769547413.772982,-1.020000
1769547413.775886,-1.020000
1769547413.778921,-1.020000
1769547413.781826,-1.020000
1769547413.784658,-1.020000
1769547413.787570,-1.020000
1769547413.790442,-1.020000
1769547413.793217,-1.020000
1769547413.796156,-1.020000
1769547413.798965,-1.020000
1769547413.801804,-1.020000
1769547413.804633,-1.020000
1769547413.807440,-1.020000
1769547413.810267,-1.020000
1769547413.813042,-1.020000
1769547413.815954,-1.020000
1769547413.818851,-1.020000
1769547413.821829,-1.020000
1769547413.824645,-1.020000
1769547413.827627,-1.020000
1769547413.830422,-1.020000
1769547413.833350,-1.020000
1769547413.836168,-1.020000
1769547413.839019,-1.020000
1769547413.841851,-1.020000
1769547413.844687,-1.020000
1769547413.847637,-1.020000
1769547413.850409,-1.020000
1769547413.853362,-1.020000
1769547413.856136,-1.020000
1769547413.859008,-1.020000
1769547413.861940,-1.020000
1769547413.864878,-1.020000
1769547413.869026,-1.020000
1769547413.871852,-1.020000
1769547413.875228,-1.020000
1769547413.878525,-1.020000
1769547413.881741,-1.020000
1769547413.885280,-1.020000
1769547413.888171,-1.020000
1769547413.891017,-1.020000
1769547413.894516,-1.020000
1769547413.898061,-1.020000
1769547413.900984,-1.020000
1769547413.903812,-1.020000
1769547413.907009,-1.020000
1769547413.909900,-1.020000
1769547413.912839,-1.020000
1769547413.916017,-1.020000
1769547413.918864,-1.020000
1769547413.921711,-1.020000
1769547413.925032,-1.020000
1769547413.928003,-1.020000
1769547413.930877,-1.020000
1769547413.933971,-1.020000
1769547413.936923,-1.020000
1769547413.939936,-1.020000
1769547413.942899,-1.020000
1769547413.946096,-1.020000
1769547413.949188,-1.020000
1769547413.952085,-1.020000
1769547413.954966,-1.020000
1769547413.957919,-1.020000
1769547413.960973,-1.020000
1769547413.963894,-1.020000
1769547413.966806,-1.020000
1769547413.969669,-1.020000
1769547413.972540,-1.020000
1769547413.975498,-1.020000
1769547413.978258,-1.020000
1769547413.981217,-1.020000
1769547413.984089,-1.020000
1769547413.987013,-1.020000
1769547413.990024,-1.020000
1769547413.992981,-1.020000
1769547413.995924,-1.020000
1769547413.998988,-1.020000
1769547414.001984,-1.020000
1769547414.004843,-1.020000
1769547414.007708,-1.020000
1769547414.010570,-1.020000
1769547414.013360,-1.020000
1769547414.016140,-1.020000
1769547414.019012,-1.020000
1769547414.022107,-1.020000
1769547414.024877,-1.020000
1769547414.029769,-1.020000
1769547414.032570,-1.020000
