timestamp,tension (N)
1769546156.341909,-0.780000
1769546156.344829,-0.780000
1769546156.347598,-0.780000
1769546156.350477,-0.780000
1769546156.353354,-0.780000
1769546156.356208,-0.780000
1769546156.359083,-0.780000
1769546156.363891,-0.780000
1769546156.366719,-0.780000
1769546156.369468,-0.780000
1769546156.373048,-0.780000
1769546156.376470,-0.780000
1769546156.379497,-0.780000
1769546156.382977,-0.780000
1769546156.385838,-0.780000
1769546156.388748,-0.780000
1769546156.392226,-0.780000
1769546156.395770,-0.780000
1769546156.398624,-0.780000
1769546156.401531,-0.780000
1769546156.404749,-0.780000
1769546156.407600,-0.780000
1769546156.410356,-0.780000
1769546156.413819,-0.780000
1769546156.416623,-0.780000
1769546156.419404,-0.780000
1769546156.422852,-0.780000
1769546156.425685,-0.780000
1769546156.428464,-0.780000
1769546156.431356,-0.780000
1769546156.434132,-0.780000
1769546156.436966,-0.780000
1769546156.439708,-0.780000
1769546156.442477,-0.780000
1769546156.445303,-0.780000
1769546156.448100,-0.780000
1769546156.450953,-0.780000
1769546156.453783,-0.780000
1769546156.456708,-0.780000
1769546156.459552,-0.780000
1769546156.462468,-0.780000
1769546156.465344,-0.780000
1769546156.468294,-0.780000
1769546156.471173,-0.780000
1769546156.474043,-0.780000
1769546156.476850,-0.780000
1769546156.479657,-0.780000
1769546156.482447,-0.780000
1769546156.485429,-0.780000
1769546156.488179,-0.780000
1769546156.490975,-0.780000
1769546156.493791,-0.780000
1769546156.496534,-0.780000
1769546156.499331,-0.780000
1769546156.502156,-0.780000
1769546156.504949,-0.780000
1769546156.507758,-0.780000
1769546156.510500,-0.780000
1769546156.513279,-0.780000
1769546156.516032,-0.780000
1769546156.520202,-0.780000
1769546156.523113,-0.780000
1769546156.525995,-0.780000
1769546156.529254,-0.780000
1769546156.532592,-0.780000
1769546156.535857,-0.780000
1769546156.539277,-0.780000
1769546156.542011,-0.780000
1769546156.544918,-0.780000
1769546156.548411,-0.780000
1769546156.551972,-0.780000
1769546156.554746,-0.780000
1769546156.557539,-0.780000
1769546156.561058,-0.780000
1769546156.563884,-0.780000
1769546156.566669,-0.780000
1769546156.570046,-0.780000
1769546156.572872,-0.780000
1769546156.575725,-0.780000
1769546156.579011,-0.780000
1769546156.581749,-0.780000
1769546156.584546,-0.780000
1769546156.587361,-0.780000
1769546156.590142,-0.780000
1769546156.593466,-0.780000
1769546156.596379,-0.780000
1769546156.599138,-0.780000
1769546156.602069,-0.780000
1769546156.604878,-0.780000
1769546156.607758,-0.780000
1769546156.610655,-0.780000
1769546156.613400,-0.780000
1769546156.616126,-0.780000
1769546156.618979,-0.780000
1769546156.621772,-0.780000
1769546156.624605,-0.780000
1769546156.627408,-0.780000
1769546156.630221,-0.780000
1769546156.633003,-0.780000
1769546156.635831,-0.780000
1769546156.638641,-0.780000
1769546156.641525,-0.780000
1769546156.644373,-0.780000
1769546156.647109,-0.780000
1769546156.650080,-0.780000
1769546156.653034,-0.780000
1769546156.655876,-0.760000
1769546156.658625,-0.760000
1769546156.661419,-0.760000
1769546156.664312,-0.740000
1769546156.667058,-0.480000
1769546156.669868,-0.420000
1769546156.672714,-0.360000
1769546156.675561,-0.340000
1769546156.678306,-0.300000
1769546156.681192,-0.280000
1769546156.684003,-0.300000
1769546156.686804,-0.260000
1769546156.689596,-0.280000
1769546156.692539,-0.280000
1769546156.697350,-0.280000
