timestamp,phase_index,home1,target1_rad,abs_angle1_rad,rel_angle1_rad,velocity1_rad_s,torque1_Nm,home2,target2_rad,abs_angle2_rad,rel_angle2_rad,velocity2_rad_s,torque2_Nm,home3,target3_rad,abs_angle3_rad,rel_angle3_rad,velocity3_rad_s,torque3_Nm,home4,target4_rad,abs_angle4_rad,rel_angle4_rad,velocity4_rad_s,torque4_Nm
1769546156.732744,1.000000,0.627718,2.853013,0.700580,0.072862,0.848249,0.190982,0.297742,0.297742,0.298123,0.000381,-0.056306,-0.000183,-1.348707,-3.966701,-1.368162,-0.019455,-0.803388,-0.000183,-1.134318,-1.134318,-1.134318,0.000000,0.104829,-0.000183
1769546156.735995,1.000000,0.627718,2.853013,0.702487,0.074769,0.737469,0.153262,0.297742,0.297742,0.298123,0.000381,-0.061799,-0.000183,-1.348707,-3.966701,-1.370069,-0.021363,-0.852827,-0.008606,-1.134318,-1.134318,-1.134318,0.000000,0.041657,-0.000183
1769546156.738226,1.000000,0.627718,2.853013,0.704395,0.076677,0.867475,0.091371,0.297742,0.297742,0.298123,0.000381,0.005951,-0.000183,-1.348707,-3.966701,-1.371595,-0.022889,-0.784161,-0.096864,-1.134318,-1.134318,-1.133936,0.000381,0.018769,-0.000183
1769546156.740312,1.000000,0.627718,2.853013,0.706683,0.078965,0.922408,-0.000183,0.297742,0.297742,0.298123,0.000381,-0.009613,-0.000183,-1.348707,-3.966701,-1.373503,-0.024796,-0.786908,-0.126894,-1.134318,-1.134318,-1.134318,0.000000,-0.021515,-0.000183
1769546156.742509,1.000000,0.627718,2.853013,0.708209,0.080491,0.842756,0.014832,0.297742,0.297742,0.298123,0.000381,-0.034333,-0.000183,-1.348707,-3.966701,-1.375029,-0.026322,-0.900435,-0.000183,-1.134318,-1.134318,-1.134318,0.000000,0.011444,-0.000183
1769546156.744556,1.000000,0.627718,2.853013,0.709735,0.082017,0.878462,0.032776,0.297742,0.297742,0.298123,0.000381,-0.017853,-0.000183,-1.348707,-3.966701,-1.376936,-0.028229,-0.949874,-0.000183,-1.134318,-1.134318,-1.133936,0.000381,0.081025,-0.000183
1769546156.746747,1.000000,0.627718,2.853013,0.712024,0.084306,0.968185,-0.000183,0.297742,0.297742,0.298123,0.000381,-0.021515,-0.000183,-1.348707,-3.966701,-1.379225,-0.030518,-0.949874,-0.000183,-1.134318,-1.134318,-1.134318,0.000000,0.005951,-0.000183
1769546156.748676,1.000000,0.627718,2.853013,0.713550,0.085832,0.891279,0.007507,0.297742,0.297742,0.298123,0.000381,-0.040742,-0.000183,-1.348707,-3.966701,-1.381132,-0.032425,-0.950790,-0.097597,-1.134318,-1.134318,-1.133936,0.000381,0.024262,-0.000183
1769546156.750793,1.000000,0.627718,2.853013,0.715457,0.087739,0.814374,-0.000183,0.297742,0.297742,0.298123,0.000381,-0.028840,-0.000183,-1.348707,-3.966701,-1.382658,-0.033951,-0.834516,-0.118837,-1.134318,-1.134318,-1.133936,0.000381,0.029755,-0.000183
1769546156.752924,1.000000,0.627718,2.853013,0.717365,0.089647,0.891279,-0.000183,0.297742,0.297742,0.298123,0.000381,0.011444,-0.000183,-1.348707,-3.966701,-1.384184,-0.035477,-0.855573,-0.044495,-1.134318,-1.134318,-1.134318,0.000000,-0.027008,-0.000183
1769546156.754885,1.000000,0.627718,2.853013,0.718891,0.091173,0.885786,-0.000183,0.297742,0.297742,0.298123,0.000381,0.063630,-0.000183,-1.348707,-3.966701,-1.386091,-0.037385,-0.850080,-0.000183,-1.134318,-1.134318,-1.134318,0.000000,-0.005035,-0.000183
1769546156.756846,1.000000,0.627718,2.853013,0.721180,0.093462,0.936141,0.064637,0.297742,0.297742,0.298123,0.000381,0.051728,-0.000183,-1.348707,-3.966701,-1.387617,-0.038911,-0.870222,-0.099428,-1.134318,-1.134318,-1.134318,0.000000,0.028840,-0.000183
1769546156.758888,1.000000,0.627718,2.853013,0.722705,0.094987,0.827192,-0.000183,0.297742,0.297742,0.297742,0.000000,-0.100252,-0.000183,-1.348707,-3.966701,-1.389525,-0.040818,-0.850080,-0.078553,-1.134318,-1.134318,-1.133936,0.000381,0.027924,-0.000183
1769546156.760797,1.000000,0.627718,2.853013,0.723850,0.096132,0.836347,0.058412,0.297742,0.297742,0.298123,0.000381,-0.012360,-0.000183,-1.348707,-3.966701,-1.391051,-0.042344,-0.764935,-0.074525,-1.134318,-1.134318,-1.133936,0.000381,0.007782,-0.000183
1769546156.762873,1.000000,0.627718,2.853013,0.725757,0.098039,0.709087,0.040467,0.297742,0.297742,0.298123,0.000381,-0.004120,-0.000183,-1.348707,-3.966701,-1.392576,-0.043870,-0.784161,-0.153628,-1.134318,-1.134318,-1.134318,0.000000,-0.051728,-0.000183
1769546156.764846,1.000000,0.627718,2.853013,0.727283,0.099565,0.831769,0.153262,0.297742,0.297742,0.297742,0.000000,-0.027008,-0.000183,-1.348707,-3.966701,-1.394102,-0.045396,-0.783246,-0.000183,-1.134318,-1.134318,-1.133936,0.000381,0.007782,-0.000183
1769546156.766849,1.000000,0.627718,2.853013,0.728809,0.101091,0.796979,0.204898,0.297742,0.297742,0.298123,0.000381,0.120394,-0.000183,-1.348707,-3.966701,-1.396010,-0.047303,-0.751202,-0.039002,-1.134318,-1.134318,-1.134318,0.000000,-0.063630,-0.000183
1769546156.768772,1.000000,0.627718,2.853013,0.730335,0.102617,0.748455,-0.000183,0.297742,0.297742,0.298123,0.000381,0.123140,-0.000183,-1.348707,-3.966701,-1.397917,-0.049210,-0.886702,-0.000183,-1.134318,-1.134318,-1.134318,0.000000,0.028840,-0.000183
1769546156.770870,1.000000,0.627718,2.853013,0.731861,0.104143,0.767681,0.184024,0.297742,0.297742,0.298123,0.000381,-0.007782,-0.000183,-1.348707,-3.966701,-1.399443,-0.050736,-0.872969,-0.077455,-1.134318,-1.134318,-1.134318,0.000000,0.015106,-0.000183
1769546156.772920,1.000000,0.627718,2.853013,0.733768,0.106050,0.831769,0.174868,0.297742,0.297742,0.298123,0.000381,0.019684,-0.000183,-1.348707,-3.966701,-1.401350,-0.052644,-0.876631,-0.000183,-1.134318,-1.134318,-1.133936,0.000381,0.021515,-0.000183
1769546156.775048,1.000000,0.627718,2.853013,0.735294,0.107576,0.743877,-0.000183,0.297742,0.297742,0.298123,0.000381,-0.014191,-0.000183,-1.348707,-3.966701,-1.403258,-0.054551,-0.723735,-0.109316,-1.134318,-1.134318,-1.134318,0.000000,-0.013275,-0.000183
1769546156.777325,1.000000,0.627718,2.853013,0.737201,0.109483,0.796979,-0.000183,0.297742,0.297742,0.298123,0.000381,-0.029755,-0.000183,-1.348707,-3.966701,-1.404784,-0.056077,-0.828107,-0.000183,-1.134318,-1.134318,-1.134318,0.000000,-0.058137,-0.000183
1769546156.779388,1.000000,0.627718,2.853013,0.739109,0.111391,0.892195,0.206363,0.297742,0.297742,0.298123,0.000381,0.015106,-0.000183,-1.348707,-3.966701,-1.406691,-0.057984,-0.884871,-0.000183,-1.134318,-1.134318,-1.134318,0.000000,-0.121309,-0.000183
1769546156.781521,1.000000,0.627718,2.853013,0.740635,0.112917,0.851911,0.004211,0.297742,0.297742,0.297742,0.000000,-0.041657,-0.012268,-1.348707,-3.966701,-1.408217,-0.059510,-0.865644,-0.038636,-1.134318,-1.134318,-1.133936,0.000381,0.088350,-0.000183
