timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1769546271.308581,-0.005770,-0.002899,-0.980018,-0.000683,0.000001,0.008260
1769546271.308760,0.003239,-0.000649,-0.018450,0.000033,0.000243,0.000328
1769546271.308832,0.017538,-0.051617,0.578338,0.000674,-0.000578,-0.003882
1769546271.323653,-0.001634,-0.006055,-1.594698,-0.001066,0.000085,0.013373
1769546271.323922,-0.006234,-0.000274,-0.119527,-0.000133,0.000097,0.001210
1769546271.324029,0.044177,-0.065124,1.221142,0.001082,-0.001547,-0.009319
1769546271.339460,-0.001062,-0.000221,-1.460320,-0.001260,0.000049,0.011902
1769546271.339648,-0.001764,0.001429,-0.436376,-0.000313,0.000182,0.003689
1769546271.339741,0.002466,0.008333,1.014152,0.000734,0.000312,-0.008407
1769546271.355537,0.016409,-0.030567,-0.966499,-0.000434,-0.000586,0.008554
1769546271.355792,-0.003338,-0.007266,-0.980033,-0.000612,0.000020,0.008222
1769546271.355923,0.003679,-0.005447,-0.047551,0.000068,0.000104,0.000607
1769546271.370614,0.032122,-0.013147,0.557219,0.000561,-0.000513,-0.004528
1769546271.370990,-0.009668,-0.001122,-1.608520,-0.001122,0.000002,0.013488
1769546271.371135,-0.002045,-0.000163,-0.122077,-0.000037,-0.000032,0.001043
1769546271.386240,0.028845,-0.043723,1.261536,0.001093,-0.001182,-0.009833
1769546271.386508,-0.001830,-0.013137,-1.426309,-0.000812,-0.000140,0.012172
1769546271.386647,-0.000106,-0.004219,-0.437407,-0.000260,0.000114,0.003824
1769546271.401955,-0.015934,0.016225,1.006026,0.000481,0.000486,-0.008267
1769546271.402254,0.021810,-0.015751,-0.907698,-0.000472,-0.001160,0.007869
1769546271.402405,-0.021027,-0.016347,-0.815158,-0.000738,0.000139,0.008410
1769546271.417655,0.025042,-0.005286,0.335946,0.000246,0.000007,0.000584
1769546271.417880,0.014104,-0.066428,1.222766,0.001082,-0.000158,-0.004528
1769546271.418009,-0.001678,0.005094,-1.021305,-0.001042,-0.000134,0.013582
1769546271.418126,-0.020508,-0.012458,0.523210,0.000112,-0.000887,0.001137
1769546271.433153,0.002896,-0.043169,1.978888,0.001514,-0.002248,-0.010476
1769546271.433362,-0.027110,-0.016775,-0.799135,-0.001025,-0.000216,0.011932
1769546271.433448,0.021958,-0.021753,0.183760,0.000065,0.001911,0.003865
1769546271.449037,0.035278,0.009549,1.574127,0.000914,0.003311,-0.007911
1769546271.449299,0.045027,-0.030407,-0.299974,-0.000313,0.001710,0.007719
1769546271.449416,-0.000870,-0.011490,-0.348336,-0.000443,0.002182,0.008165
1769546271.465153,0.004820,0.001210,0.587898,0.000291,0.001450,0.000106
1769546271.465388,0.039051,-0.055239,1.269409,0.001361,0.000413,-0.005104
1769546271.465490,0.015544,-0.050655,-1.105497,-0.000606,0.000381,0.013320
1769546271.480216,0.021904,0.024048,0.318731,0.000138,0.000559,0.001054
1769546271.480399,-0.015535,-0.033775,1.733061,0.001001,-0.000496,-0.010920
1769546271.480465,-0.024115,0.024900,-1.075796,-0.000950,-0.000673,0.012023
1769546271.496047,-0.003534,-0.036569,-0.071515,0.000365,-0.000645,0.003363
1769546271.496202,0.001360,0.006473,1.193502,0.001068,-0.000833,-0.008031
1769546271.496289,-0.032135,-0.081018,-0.505512,-0.000126,-0.001575,0.007159
1769546271.512046,0.016446,-0.014118,-0.768208,-0.000375,0.001244,0.007989
1769546271.512230,0.019153,0.022978,0.223280,0.000005,0.003628,0.000458
1769546271.512300,0.045818,-0.024701,0.788775,0.000506,0.005788,-0.005743
1769546271.527629,0.073579,-0.002409,-1.365763,-0.001032,0.009067,0.013038
1769546271.527838,0.128255,0.000870,0.007605,-0.000035,0.011112,0.000927
1769546271.527926,0.124238,-0.041101,1.585624,0.001197,0.012171,-0.010910
1769546271.527999,0.123627,-0.005397,-1.278606,-0.000904,0.012784,0.012002
1769546271.542996,0.106768,-0.004735,-0.240484,-0.000073,0.012890,0.003723
1769546271.543166,0.085691,0.061393,0.946063,0.000442,0.013370,-0.007017
1769546271.543245,0.139904,-0.084990,-0.709885,0.000088,0.013304,0.006507
1769546271.558309,0.175612,0.024030,-0.963212,-0.000580,0.013669,0.007826
1769546271.558489,0.096199,-0.023442,-0.095422,0.000188,0.013058,-0.000056
1769546271.558576,0.112933,0.007890,0.524081,0.000531,0.010955,-0.005541
1769546271.573485,0.109526,-0.020521,-1.787914,-0.001137,0.009378,0.013261
1769546271.573694,0.069405,0.031662,-0.339568,-0.000054,0.007101,0.001083
1769546271.573767,0.033822,-0.038562,1.209248,0.001454,0.004896,-0.012032
1769546271.588843,0.074148,0.002856,-1.746008,-0.000963,0.004561,0.011928
1769546271.589011,0.055952,0.015447,-0.747574,-0.000389,0.004587,0.003507
1769546271.589108,0.029576,0.014060,0.485749,0.000264,0.005990,-0.007178
1769546271.604227,0.147934,-0.057670,-1.033989,0.000207,0.005920,0.005779
1769546271.604396,0.128000,0.001840,-1.306887,-0.000244,0.007291,0.007850
1769546271.604481,0.069521,-0.009966,-0.326128,0.000076,0.007368,-0.000147
1769546271.619379,0.142459,-0.011755,0.369944,0.000471,0.006653,-0.006274
1769546271.619553,0.123394,0.006444,-1.858603,-0.001149,0.007422,0.013164
1769546271.619628,0.081324,0.032917,-0.438116,-0.000163,0.007587,0.000894
1769546271.634897,0.145640,-0.044414,1.242154,0.001570,0.007021,-0.012840
1769546271.635084,0.182853,-0.007057,-1.747990,-0.000778,0.007627,0.012016
1769546271.635177,0.116677,0.011637,-0.742704,-0.000728,0.006058,0.003564
1769546271.650916,0.089862,0.005416,0.471614,0.000276,0.004295,-0.007247
1769546271.651081,0.153336,-0.026731,-1.063397,-0.000026,0.000935,0.005427
1769546271.651149,0.053421,0.004494,-1.361046,-0.000507,-0.002381,0.007654
1769546271.666893,0.027805,0.005394,-0.452058,-0.000109,-0.004996,-0.000078
1769546271.667108,0.075579,-0.024706,0.191553,0.000834,-0.007570,-0.005419
1769546271.667176,0.031916,0.010556,-2.098397,-0.001144,-0.009455,0.013039
1769546271.682294,-0.024345,0.002360,-0.650805,-0.000303,-0.011333,0.001063
1769546271.682516,0.041352,0.001717,0.979067,0.001003,-0.013228,-0.012741
1769546271.682593,0.019548,0.018940,-1.936093,-0.001408,-0.014694,0.011573
1769546271.682654,-0.026622,-0.007018,-0.884244,-0.000363,-0.016440,0.003241
1769546271.697272,-0.022817,-0.006409,0.416261,0.000662,-0.017356,-0.007448
1769546271.697529,0.040371,-0.017680,-1.075517,-0.000240,-0.018935,0.005757
1769546271.697619,-0.033728,0.011850,-1.329096,-0.001063,-0.019091,0.008208
1769546271.712743,-0.008742,-0.010983,-0.427053,-0.000054,-0.019293,0.000413
1769546271.712993,0.062186,-0.011179,0.242158,0.000525,-0.019863,-0.005566
