timestamp,tension (N)
1769546271.147468,-0.660000
1769546271.151458,-0.660000
1769546271.154249,-0.660000
1769546271.156960,-0.660000
1769546271.159718,-0.660000
1769546271.162467,-0.660000
1769546271.165551,-0.660000
1769546271.168801,-0.660000
1769546271.172357,-0.660000
1769546271.175137,-0.660000
1769546271.177823,-0.660000
1769546271.180688,-0.660000
1769546271.183413,-0.660000
1769546271.186633,-0.660000
1769546271.189342,-0.660000
1769546271.192074,-0.660000
1769546271.194789,-0.660000
1769546271.197560,-0.660000
1769546271.200325,-0.660000
1769546271.203062,-0.660000
1769546271.206339,-0.660000
1769546271.209097,-0.660000
1769546271.211890,-0.660000
1769546271.215348,-0.660000
1769546271.218125,-0.660000
1769546271.220828,-0.660000
1769546271.223576,-0.660000
1769546271.226355,-0.660000
1769546271.229156,-0.660000
1769546271.231935,-0.660000
1769546271.234639,-0.660000
1769546271.237526,-0.660000
1769546271.240323,-0.660000
1769546271.243050,-0.660000
1769546271.245893,-0.660000
1769546271.248644,-0.660000
1769546271.251449,-0.660000
1769546271.254241,-0.660000
1769546271.256997,-0.660000
1769546271.259760,-0.660000
1769546271.262475,-0.660000
1769546271.265180,-0.660000
1769546271.267950,-0.660000
1769546271.270644,-0.660000
1769546271.273454,-0.660000
1769546271.276199,-0.660000
1769546271.279067,-0.660000
1769546271.281903,-0.660000
1769546271.284698,-0.660000
1769546271.287494,-0.660000
1769546271.290299,-0.660000
1769546271.293035,-0.660000
1769546271.295748,-0.660000
1769546271.298483,-0.660000
1769546271.301253,-0.660000
1769546271.304038,-0.660000
1769546271.308063,-0.660000
1769546271.310824,-0.660000
1769546271.313560,-0.660000
1769546271.316308,-0.660000
1769546271.319098,-0.660000
1769546271.322217,-0.660000
1769546271.325402,-0.660000
1769546271.328913,-0.660000
1769546271.331727,-0.660000
1769546271.334488,-0.660000
1769546271.337281,-0.660000
1769546271.339992,-0.660000
1769546271.343344,-0.660000
1769546271.346163,-0.660000
1769546271.348908,-0.660000
1769546271.352416,-0.660000
1769546271.355288,-0.660000
1769546271.358148,-0.660000
1769546271.361434,-0.660000
1769546271.364241,-0.660000
1769546271.367065,-0.660000
1769546271.370471,-0.660000
1769546271.373245,-0.660000
1769546271.376039,-0.660000
1769546271.378762,-0.660000
1769546271.381553,-0.640000
1769546271.384525,-0.640000
1769546271.387464,-0.380000
1769546271.390249,-0.260000
1769546271.392992,-0.120000
1769546271.395756,-0.060000
1769546271.398682,-0.040000
1769546271.401510,-0.020000
1769546271.404189,0.020000
1769546271.406692,0.000000
1769546271.409189,0.000000
1769546271.411750,0.020000
1769546271.414069,0.000000
1769546271.416548,0.000000
1769546271.419132,0.020000
1769546271.421648,0.000000
1769546271.424131,0.000000
1769546271.426736,0.040000
1769546271.429446,-0.060000
1769546271.432036,0.040000
1769546271.434459,0.000000
1769546271.437207,-0.020000
1769546271.439824,0.080000
1769546271.442667,-0.260000
1769546271.445220,0.000000
1769546271.447884,0.060000
1769546271.450729,-0.240000
1769546271.453343,0.060000
1769546271.455911,0.020000
1769546271.458642,-0.200000
1769546271.461283,0.080000
