timestamp,tension (N)
1769546840.541782,-0.660000
1769546840.544910,-0.660000
1769546840.547851,-0.660000
1769546840.550789,-0.660000
1769546840.553939,-0.660000
1769546840.556789,-0.660000
1769546840.559598,-0.660000
1769546840.562501,-0.660000
1769546840.565247,-0.660000
1769546840.568059,-0.660000
1769546840.570994,-0.660000
1769546840.573879,-0.660000
1769546840.576663,-0.660000
1769546840.579429,-0.660000
1769546840.582265,-0.660000
1769546840.585040,-0.660000
1769546840.587879,-0.660000
1769546840.590598,-0.660000
1769546840.593325,-0.660000
1769546840.596166,-0.660000
1769546840.598919,-0.660000
1769546840.601738,-0.660000
1769546840.604605,-0.660000
1769546840.607452,-0.660000
1769546840.610258,-0.660000
1769546840.613179,-0.660000
1769546840.615954,-0.660000
1769546840.618699,-0.660000
1769546840.621582,-0.660000
1769546840.624463,-0.660000
1769546840.627344,-0.660000
1769546840.630203,-0.660000
1769546840.633061,-0.660000
1769546840.635849,-0.660000
1769546840.639931,-0.660000
1769546840.642677,-0.660000
1769546840.645514,-0.660000
1769546840.649245,-0.660000
1769546840.652648,-0.660000
1769546840.655629,-0.660000
1769546840.659281,-0.660000
1769546840.662095,-0.660000
1769546840.664829,-0.660000
1769546840.668401,-0.660000
1769546840.671978,-0.660000
1769546840.675028,-0.660000
1769546840.677847,-0.660000
1769546840.681034,-0.660000
1769546840.683929,-0.660000
1769546840.686678,-0.660000
1769546840.690039,-0.660000
1769546840.692865,-0.660000
1769546840.695684,-0.660000
1769546840.699137,-0.660000
1769546840.701870,-0.660000
1769546840.704648,-0.660000
1769546840.707419,-0.660000
1769546840.710241,-0.660000
1769546840.713018,-0.660000
1769546840.715867,-0.660000
1769546840.718654,-0.660000
1769546840.721417,-0.660000
1769546840.724254,-0.660000
1769546840.727033,-0.660000
1769546840.730036,-0.660000
1769546840.732956,-0.660000
1769546840.735789,-0.660000
1769546840.738615,-0.660000
1769546840.741415,-0.660000
1769546840.744462,-0.660000
1769546840.747312,-0.660000
1769546840.750224,-0.660000
1769546840.753029,-0.660000
1769546840.756032,-0.660000
1769546840.758979,-0.660000
1769546840.761813,-0.660000
1769546840.764637,-0.660000
1769546840.767393,-0.660000
1769546840.770244,-0.660000
1769546840.773157,-0.660000
1769546840.776123,-0.660000
1769546840.778895,-0.660000
1769546840.781750,-0.660000
1769546840.784551,-0.660000
1769546840.787287,-0.660000
1769546840.790017,-0.660000
1769546840.792967,-0.660000
1769546840.795692,-0.660000
1769546840.798489,-0.660000
1769546840.801270,-0.660000
1769546840.804097,-0.660000
1769546840.806865,-0.660000
1769546840.809642,-0.660000
1769546840.812619,-0.660000
1769546840.817295,-0.660000
1769546840.820116,-0.660000
1769546840.822884,-0.680000
1769546840.826530,-0.680000
1769546840.829862,-0.680000
1769546840.832930,-0.700000
1769546840.836540,-0.960000
1769546840.839294,-1.060000
1769546840.842140,-1.100000
1769546840.845808,-1.160000
1769546840.849394,-1.240000
1769546840.852287,-1.300000
1769546840.855355,-1.360000
1769546840.858713,-1.440000
1769546840.861640,-1.480000
1769546840.864661,-1.540000
1769546840.867913,-1.620000
1769546840.870844,-1.680000
1769546840.873758,-1.760000
1769546840.877120,-1.840000
1769546840.879935,-1.860000
1769546840.882651,-1.900000
1769546840.885440,-1.900000
1769546840.888205,-1.900000
1769546840.890926,-1.900000
1769546840.893870,-1.860000
1769546840.896710,-1.880000
1769546840.899692,-1.860000
1769546840.902633,-1.840000
1769546840.905545,-1.840000
1769546840.908396,-1.820000
1769546840.911250,-1.820000
1769546840.914142,-1.800000
1769546840.917045,-1.780000
1769546840.919960,-1.820000
1769546840.922910,-1.820000
1769546840.925777,-1.800000
1769546840.928632,-1.820000
1769546840.931423,-1.800000
1769546840.934245,-1.780000
1769546840.937078,-1.780000
1769546840.939898,-1.560000
1769546840.942708,-1.560000
1769546840.945597,-1.560000
1769546840.948543,-1.580000
1769546840.951392,-1.580000
1769546840.954359,-1.580000
1769546840.957183,-1.580000
1769546840.959996,-1.600000
1769546840.962857,-1.600000
1769546840.965654,-1.600000
1769546840.968381,-1.600000
1769546840.971136,-1.600000
1769546840.973989,-1.580000
1769546840.976817,-1.580000
1769546840.979694,-1.580000
1769546840.982596,-1.580000
1769546840.986888,-1.560000
1769546840.989708,-1.560000
1769546840.993289,-1.560000
1769546840.996667,-1.540000
1769546840.999919,-1.540000
1769546841.003505,-1.520000
1769546841.006295,-1.520000
1769546841.009078,-1.500000
1769546841.012870,-1.480000
1769546841.016417,-1.480000
1769546841.019262,-1.460000
1769546841.022092,-1.460000
1769546841.025748,-1.460000
1769546841.028814,-1.440000
1769546841.031672,-1.440000
1769546841.035007,-1.440000
1769546841.037956,-1.420000
1769546841.040881,-1.420000
1769546841.044302,-1.420000
1769546841.047161,-1.400000
1769546841.049963,-1.400000
1769546841.052764,-1.400000
1769546841.055566,-1.380000
1769546841.058474,-1.380000
1769546841.061374,-1.380000
1769546841.064229,-1.360000
1769546841.067019,-1.360000
1769546841.069937,-1.340000
1769546841.072817,-1.340000
1769546841.075856,-1.320000
1769546841.078756,-1.320000
1769546841.081776,-1.320000
1769546841.084669,-1.300000
1769546841.087540,-1.300000
1769546841.090415,-1.280000
1769546841.093333,-1.280000
1769546841.096217,-1.280000
1769546841.099032,-1.260000
1769546841.102002,-1.260000
1769546841.104917,-1.240000
1769546841.107810,-1.240000
1769546841.110703,-1.240000
1769546841.113523,-1.220000
1769546841.116416,-1.220000
1769546841.119315,-1.220000
1769546841.122221,-1.220000
1769546841.125227,-1.200000
1769546841.128002,-1.200000
1769546841.130862,-1.200000
1769546841.133687,-1.180000
1769546841.136633,-1.180000
1769546841.139494,-1.180000
1769546841.142322,-1.180000
1769546841.145276,-1.160000
1769546841.148160,-1.160000
1769546841.150989,-1.160000
1769546841.153867,-1.140000
1769546841.158653,-1.140000
1769546841.161488,-1.140000
1769546841.164958,-1.120000
