timestamp,tension (N)
1769546840.591265,-0.700000
1769546840.593899,-0.700000
1769546840.596635,-0.700000
1769546840.599290,-0.700000
1769546840.601997,-0.700000
1769546840.604719,-0.700000
1769546840.607439,-0.700000
1769546840.610206,-0.700000
1769546840.612818,-0.700000
1769546840.615493,-0.700000
1769546840.618132,-0.700000
1769546840.620853,-0.700000
1769546840.623627,-0.700000
1769546840.626355,-0.700000
1769546840.628986,-0.700000
1769546840.631766,-0.700000
1769546840.634361,-0.700000
1769546840.637013,-0.700000
1769546840.639717,-0.700000
1769546840.642379,-0.700000
1769546840.645038,-0.700000
1769546840.647701,-0.700000
1769546840.650382,-0.700000
1769546840.652944,-0.700000
1769546840.655583,-0.700000
1769546840.658243,-0.700000
1769546840.660875,-0.700000
1769546840.663544,-0.700000
1769546840.666227,-0.700000
1769546840.668864,-0.700000
1769546840.671457,-0.700000
1769546840.674119,-0.700000
1769546840.676776,-0.700000
1769546840.679424,-0.700000
1769546840.682104,-0.700000
1769546840.684736,-0.700000
1769546840.687348,-0.700000
1769546840.689981,-0.700000
1769546840.692569,-0.700000
1769546840.697253,-0.700000
1769546840.699925,-0.700000
1769546840.702551,-0.700000
1769546840.705238,-0.700000
1769546840.707873,-0.700000
1769546840.711052,-0.700000
1769546840.713912,-0.700000
1769546840.717321,-0.700000
1769546840.719973,-0.700000
1769546840.722627,-0.700000
1769546840.726270,-0.700000
1769546840.729732,-0.700000
1769546840.732380,-0.700000
1769546840.735061,-0.700000
1769546840.738500,-0.700000
1769546840.741336,-0.700000
1769546840.744119,-0.700000
1769546840.747181,-0.700000
1769546840.749928,-0.700000
1769546840.752627,-0.700000
1769546840.755870,-0.700000
1769546840.758607,-0.700000
1769546840.761281,-0.700000
1769546840.763927,-0.700000
1769546840.766559,-0.700000
1769546840.769240,-0.700000
1769546840.771924,-0.700000
1769546840.774579,-0.700000
1769546840.777227,-0.700000
1769546840.779869,-0.700000
1769546840.782472,-0.700000
1769546840.785135,-0.700000
1769546840.787781,-0.700000
1769546840.790317,-0.700000
1769546840.792978,-0.700000
1769546840.795663,-0.700000
1769546840.798301,-0.700000
1769546840.800937,-0.700000
1769546840.803565,-0.700000
1769546840.806231,-0.700000
1769546840.808877,-0.700000
1769546840.811558,-0.700000
1769546840.814208,-0.700000
1769546840.816801,-0.700000
1769546840.819401,-0.700000
1769546840.822034,-0.700000
1769546840.824696,-0.720000
1769546840.827455,-0.720000
1769546840.830205,-0.960000
1769546840.833038,-1.020000
1769546840.835892,-1.080000
1769546840.838717,-1.180000
1769546840.841726,-1.220000
1769546840.844559,-1.300000
1769546840.847512,-1.320000
1769546840.850403,-1.440000
1769546840.853270,-1.480000
1769546840.856097,-1.520000
1769546840.858943,-1.580000
1769546840.861746,-1.640000
1769546840.865835,-1.720000
1769546840.868704,-1.800000
1769546840.872212,-1.880000
1769546840.875479,-1.960000
1769546840.878742,-2.040000
1769546840.882350,-2.080000
1769546840.885116,-2.100000
1769546840.887863,-2.100000
1769546840.890688,-2.140000
1769546840.893521,-2.140000
1769546840.896763,-2.120000
1769546840.899675,-2.140000
1769546840.902516,-2.140000
1769546840.906056,-2.160000
1769546840.908981,-2.180000
1769546840.911755,-2.160000
1769546840.915304,-2.180000
1769546840.918056,-2.200000
1769546840.920806,-2.200000
1769546840.923496,-2.200000
1769546840.926356,-2.220000
1769546840.929216,-2.220000
1769546840.932415,-2.240000
1769546840.935242,-2.220000
1769546840.937965,-2.200000
1769546840.940741,-2.200000
1769546840.943580,-2.180000
1769546840.946450,-2.180000
1769546840.949276,-2.180000
1769546840.952078,-2.140000
1769546840.954876,-2.160000
1769546840.957695,-2.160000
1769546840.960625,-2.160000
1769546840.963477,-2.160000
1769546840.966312,-1.940000
1769546840.969057,-1.940000
1769546840.971908,-1.960000
1769546840.974759,-1.960000
1769546840.977532,-1.960000
1769546840.980339,-1.980000
1769546840.983227,-1.980000
1769546840.986056,-1.980000
1769546840.988865,-1.980000
1769546840.991707,-1.980000
1769546840.994579,-1.980000
1769546840.997923,-1.980000
1769546841.000659,-2.000000
1769546841.003303,-2.000000
1769546841.005905,-2.000000
1769546841.008529,-2.000000
1769546841.012601,-2.000000
1769546841.015229,-2.000000
1769546841.017875,-2.000000
1769546841.020483,-2.000000
1769546841.023102,-2.000000
1769546841.026106,-2.000000
1769546841.029284,-2.000000
1769546841.032682,-2.000000
1769546841.035356,-2.000000
1769546841.038020,-2.000000
1769546841.040648,-2.000000
1769546841.043252,-2.000000
1769546841.046492,-2.000000
1769546841.049107,-2.000000
1769546841.051702,-2.000000
1769546841.054308,-2.000000
1769546841.056954,-2.000000
1769546841.059514,-2.000000
1769546841.062309,-1.980000
1769546841.065682,-1.980000
1769546841.068556,-1.980000
1769546841.071323,-1.980000
1769546841.074079,-1.980000
1769546841.076947,-1.980000
1769546841.079697,-1.980000
1769546841.082489,-1.960000
1769546841.085254,-1.960000
1769546841.088143,-1.960000
1769546841.090966,-1.960000
1769546841.093789,-1.960000
1769546841.096601,-1.940000
1769546841.099453,-1.940000
1769546841.102240,-1.940000
1769546841.105083,-1.920000
1769546841.107918,-1.920000
1769546841.110757,-1.920000
1769546841.113629,-1.920000
1769546841.116586,-1.920000
1769546841.119428,-1.920000
1769546841.122132,-1.900000
1769546841.124827,-1.900000
1769546841.127522,-1.900000
1769546841.130231,-1.900000
1769546841.132957,-1.900000
1769546841.135839,-1.880000
1769546841.138664,-1.880000
1769546841.141482,-1.880000
1769546841.144332,-1.880000
1769546841.147228,-1.860000
1769546841.150018,-1.860000
1769546841.152807,-1.860000
1769546841.155650,-1.860000
1769546841.158470,-1.860000
1769546841.161320,-1.860000
1769546841.164225,-1.840000
1769546841.167079,-1.840000
1769546841.169941,-1.840000
1769546841.172765,-1.840000
1769546841.175604,-1.820000
1769546841.178531,-1.820000
1769546841.181398,-1.820000
1769546841.184215,-1.820000
1769546841.188710,-1.800000
1769546841.191512,-1.800000
1769546841.195109,-1.800000
1769546841.198812,-1.780000
1769546841.201714,-1.780000
1769546841.205410,-1.780000
1769546841.208215,-1.780000
1769546841.211020,-1.780000
1769546841.213776,-1.760000
1769546841.216599,-1.760000
1769546841.220053,-1.760000
1769546841.222916,-1.760000
1769546841.225672,-1.760000
1769546841.228464,-1.780000
1769546841.231320,-1.780000
1769546841.234086,-1.780000
1769546841.236876,-1.780000
1769546841.240000,-1.780000
1769546841.242785,-1.780000
1769546841.245724,-1.780000
1769546841.249222,-1.780000
1769546841.251983,-1.780000
1769546841.254737,-1.780000
1769546841.257583,-1.780000
1769546841.260373,-1.800000
1769546841.263228,-1.800000
1769546841.266008,-1.800000
1769546841.268876,-1.800000
1769546841.271734,-1.800000
1769546841.274614,-1.800000
1769546841.277444,-1.820000
1769546841.280212,-1.820000
1769546841.283026,-1.820000
1769546841.285856,-1.820000
1769546841.288730,-1.840000
1769546841.291525,-1.840000
1769546841.294363,-1.840000
1769546841.297248,-1.840000
1769546841.300097,-1.860000
1769546841.303003,-1.860000
1769546841.305780,-1.860000
1769546841.308616,-1.880000
1769546841.311430,-1.880000
1769546841.314206,-1.900000
1769546841.316896,-1.900000
1769546841.319657,-1.900000
1769546841.322516,-1.920000
1769546841.325287,-1.920000
1769546841.328101,-1.940000
1769546841.330931,-1.940000
1769546841.333725,-1.960000
1769546841.338212,-1.960000
1769546841.341049,-1.980000
1769546841.344535,-1.980000
1769546841.347911,-2.240000
1769546841.351211,-2.260000
1769546841.354799,-2.280000
1769546841.357512,-2.280000
1769546841.360350,-2.300000
1769546841.363205,-2.320000
1769546841.366030,-2.300000
1769546841.369395,-2.320000
1769546841.372130,-2.100000
1769546841.374915,-2.340000
1769546841.377762,-2.120000
1769546841.380512,-2.120000
1769546841.383327,-2.140000
1769546841.386114,-2.140000
1769546841.389435,-2.160000
1769546841.392231,-2.160000
1769546841.394985,-2.180000
1769546841.397856,-2.180000
1769546841.400644,-2.180000
1769546841.403458,-2.180000
1769546841.406210,-2.200000
1769546841.408973,-2.200000
1769546841.411696,-2.200000
1769546841.414479,-2.220000
1769546841.417291,-2.220000
1769546841.420094,-2.240000
1769546841.422935,-2.240000
1769546841.425680,-2.240000
1769546841.428543,-2.260000
1769546841.431316,-2.260000
1769546841.434100,-2.260000
1769546841.436884,-2.280000
1769546841.439727,-2.280000
1769546841.442469,-2.280000
1769546841.445340,-2.300000
1769546841.448400,-2.300000
1769546841.451216,-2.320000
1769546841.454071,-2.320000
1769546841.456933,-2.320000
1769546841.459739,-2.340000
1769546841.462533,-2.340000
1769546841.465356,-2.340000
1769546841.468106,-2.360000
1769546841.470954,-2.360000
1769546841.473735,-2.360000
1769546841.476561,-2.380000
1769546841.479357,-2.380000
1769546841.482218,-2.380000
1769546841.485053,-2.380000
1769546841.487935,-2.380000
1769546841.490866,-2.400000
1769546841.493624,-2.400000
1769546841.496401,-2.400000
1769546841.499128,-2.400000
1769546841.501916,-2.420000
1769546841.504732,-2.420000
1769546841.507607,-2.420000
1769546841.510462,-2.440000
1769546841.514632,-2.440000
1769546841.517428,-2.440000
1769546841.520204,-2.460000
1769546841.523022,-2.460000
1769546841.525826,-2.460000
1769546841.529016,-2.460000
1769546841.532284,-2.480000
1769546841.535881,-2.480000
1769546841.538554,-2.500000
1769546841.541203,-2.500000
1769546841.543963,-2.500000
1769546841.546576,-2.500000
1769546841.550015,-2.520000
1769546841.552770,-2.520000
1769546841.555546,-2.520000
1769546841.558345,-2.520000
1769546841.561120,-2.520000
1769546841.563876,-2.520000
1769546841.566605,-2.520000
1769546841.570075,-2.520000
1769546841.572853,-2.520000
1769546841.575635,-2.520000
1769546841.578397,-2.520000
1769546841.581194,-2.520000
1769546841.583970,-2.520000
1769546841.586744,-2.520000
1769546841.589525,-2.520000
1769546841.592333,-2.520000
1769546841.595105,-2.520000
1769546841.597827,-2.520000
1769546841.600669,-2.520000
1769546841.603443,-2.520000
1769546841.606217,-2.520000
1769546841.609003,-2.520000
1769546841.611747,-2.520000
1769546841.614570,-2.520000
1769546841.617380,-2.520000
1769546841.620334,-2.520000
1769546841.623198,-2.520000
1769546841.626054,-2.520000
1769546841.628807,-2.520000
1769546841.631648,-2.520000
1769546841.634537,-2.520000
1769546841.637304,-2.520000
1769546841.640102,-2.520000
1769546841.642881,-2.520000
1769546841.645668,-2.520000
1769546841.648479,-2.520000
1769546841.651262,-2.520000
1769546841.654125,-2.520000
1769546841.656926,-2.520000
1769546841.659714,-2.520000
1769546841.662604,-2.520000
1769546841.665491,-2.540000
1769546841.668346,-2.540000
1769546841.673445,-2.540000
1769546841.676203,-2.540000
1769546841.678980,-2.540000
1769546841.681752,-2.560000
1769546841.684525,-2.560000
1769546841.687838,-2.560000
1769546841.691169,-2.560000
1769546841.694764,-2.560000
1769546841.697552,-2.580000
1769546841.700321,-2.580000
1769546841.703192,-2.580000
1769546841.705976,-2.580000
1769546841.709317,-2.580000
1769546841.712038,-2.580000
1769546841.715229,-2.580000
1769546841.718563,-2.580000
1769546841.721326,-2.580000
1769546841.724151,-2.580000
1769546841.726932,-2.580000
1769546841.729648,-2.580000
1769546841.732427,-2.580000
1769546841.735214,-2.580000
1769546841.738685,-2.600000
1769546841.741507,-2.600000
1769546841.744331,-2.600000
1769546841.747203,-2.600000
1769546841.749965,-2.600000
1769546841.753067,-2.600000
1769546841.755916,-2.600000
1769546841.758654,-2.600000
1769546841.761458,-2.600000
1769546841.764287,-2.600000
1769546841.767040,-2.600000
1769546841.769873,-2.600000
1769546841.772754,-2.620000
1769546841.775549,-2.620000
1769546841.778347,-2.620000
