timestamp,tension (N)
1769546840.517369,-0.800000
1769546840.520069,-0.800000
1769546840.523644,-0.800000
1769546840.526896,-0.800000
1769546840.529887,-0.800000
1769546840.533412,-0.800000
1769546840.536086,-0.800000
1769546840.538973,-0.800000
1769546840.542241,-0.800000
1769546840.545554,-0.800000
1769546840.548360,-0.800000
1769546840.551133,-0.800000
1769546840.554363,-0.800000
1769546840.557101,-0.800000
1769546840.559898,-0.800000
1769546840.562979,-0.800000
1769546840.565648,-0.800000
1769546840.568265,-0.800000
1769546840.571663,-0.800000
1769546840.574428,-0.800000
1769546840.577085,-0.800000
1769546840.579860,-0.800000
1769546840.582521,-0.800000
1769546840.585401,-0.800000
1769546840.588127,-0.800000
1769546840.590803,-0.800000
1769546840.593529,-0.800000
1769546840.596339,-0.800000
1769546840.599119,-0.800000
1769546840.601830,-0.800000
1769546840.604590,-0.800000
1769546840.607356,-0.800000
1769546840.610106,-0.800000
1769546840.612880,-0.800000
1769546840.615547,-0.800000
1769546840.618388,-0.800000
1769546840.621150,-0.800000
1769546840.623940,-0.800000
1769546840.626713,-0.800000
1769546840.629520,-0.800000
1769546840.632330,-0.800000
1769546840.634973,-0.800000
1769546840.637584,-0.800000
1769546840.640223,-0.800000
1769546840.642823,-0.800000
1769546840.645470,-0.800000
1769546840.648161,-0.800000
1769546840.650803,-0.800000
1769546840.653453,-0.800000
1769546840.656095,-0.800000
1769546840.658772,-0.800000
1769546840.661450,-0.800000
1769546840.664151,-0.800000
1769546840.666747,-0.800000
1769546840.669337,-0.800000
1769546840.672014,-0.800000
1769546840.677051,-0.800000
1769546840.679799,-0.800000
1769546840.682730,-0.800000
1769546840.685937,-0.800000
1769546840.689037,-0.800000
1769546840.692157,-0.800000
1769546840.695696,-0.800000
1769546840.698370,-0.800000
1769546840.701051,-0.800000
1769546840.704515,-0.800000
1769546840.707979,-0.800000
1769546840.710674,-0.800000
1769546840.713377,-0.800000
1769546840.716628,-0.800000
1769546840.719327,-0.800000
1769546840.721986,-0.800000
1769546840.725332,-0.800000
1769546840.728148,-0.800000
1769546840.730881,-0.800000
1769546840.734048,-0.800000
1769546840.736747,-0.800000
1769546840.739468,-0.800000
1769546840.742265,-0.800000
1769546840.745009,-0.800000
1769546840.747870,-0.800000
1769546840.750510,-0.800000
1769546840.753430,-0.800000
1769546840.756159,-0.800000
1769546840.758823,-0.800000
1769546840.761510,-0.800000
1769546840.764146,-0.800000
1769546840.766869,-0.800000
1769546840.769501,-0.800000
1769546840.772397,-0.800000
1769546840.775145,-0.800000
1769546840.777845,-0.800000
1769546840.780653,-0.800000
1769546840.783412,-0.800000
1769546840.786068,-0.800000
1769546840.788876,-0.800000
1769546840.791555,-0.800000
1769546840.794347,-0.800000
1769546840.797052,-0.800000
1769546840.799856,-0.800000
1769546840.802585,-0.800000
1769546840.805312,-0.800000
1769546840.808004,-0.800000
1769546840.810697,-0.800000
1769546840.813370,-0.800000
