timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1769547017.796882,-0.008155,-0.007352,-0.897692,-0.000722,-0.000205,0.007689
1769547017.812371,-0.012001,-0.024484,0.101519,-0.000123,-0.000808,-0.000331
1769547017.812600,0.013070,-0.007709,0.095646,-0.000121,-0.000828,-0.000240
1769547017.827955,-0.005794,-0.045546,-1.345633,-0.000992,-0.000804,0.011552
1769547017.828150,0.012030,-0.025899,-0.196294,-0.000211,-0.000946,0.002212
1769547017.828245,0.019075,-0.058064,0.784479,0.000713,-0.001395,-0.005817
1769547017.828336,-0.001820,-0.027593,-1.610448,-0.001179,-0.000896,0.013715
1769547017.843810,0.003605,-0.041896,-0.495278,-0.000271,-0.000830,0.004654
1769547017.844103,-0.006669,0.047271,0.987020,0.000407,0.000979,-0.009639
1769547017.844286,-0.001317,-0.025460,-1.749496,-0.001129,-0.001203,0.011214
1769547017.858793,-0.022795,-0.003054,-1.671705,-0.001077,-0.000442,0.008201
1769547017.859065,0.016962,-0.000295,-0.839786,-0.000222,-0.000514,-0.001032
1769547017.859251,0.014717,-0.023572,-1.277587,-0.000382,0.000724,-0.000331
1769547017.873976,0.037612,0.001984,-3.048156,-0.001407,0.001119,0.011616
1769547017.874352,0.063697,-0.021542,-2.359822,-0.000463,0.000540,0.002474
1769547017.874522,0.018997,-0.002218,-1.984596,-0.000787,-0.001342,-0.006679
1769547017.889954,0.013096,0.020593,-5.059440,-0.001946,-0.001875,0.013568
1769547017.890225,0.022225,0.018933,-4.651832,-0.001279,-0.002596,0.004883
1769547017.890343,-0.050754,0.124447,-3.843746,-0.001519,-0.001678,-0.008957
1769547017.905245,0.029982,0.030216,-6.801756,-0.002564,-0.004721,0.011246
1769547017.905557,0.022662,0.079257,-7.181420,-0.003183,-0.003290,0.008033
1769547017.905868,0.030805,0.033377,-6.541856,-0.001230,-0.004505,-0.000893
1769547017.920790,0.002216,0.049857,-7.148220,-0.001052,-0.005024,-0.000449
1769547017.921001,-0.003918,0.052895,-8.779290,-0.000344,-0.005463,0.011854
1769547017.921112,0.004288,0.058834,-7.896435,0.001398,-0.005363,0.002745
1769547017.936374,0.040350,0.017288,-7.147980,0.002629,-0.006098,-0.006457
1769547017.936641,0.047333,0.017214,-9.846866,0.002145,-0.005205,0.014183
1769547017.936775,0.001310,0.039912,-8.868078,0.002795,-0.005552,0.005193
1769547017.951624,-0.056946,0.104403,-7.595488,0.003466,-0.004468,-0.006666
1769547017.951810,0.065315,0.008791,-9.769304,0.003091,-0.006095,0.011644
1769547017.951892,0.035022,0.001443,-9.476803,0.003630,-0.005215,0.008936
1769547017.967566,0.002056,0.040369,-8.342883,0.004355,-0.006967,-0.000374
1769547017.967760,-0.027624,0.060244,-8.478314,0.003732,-0.007394,-0.000161
1769547017.967854,-0.018882,0.028440,-9.720806,0.003385,-0.007783,0.012093
1769547017.983648,0.017988,-0.013364,-8.581175,0.005596,-0.008858,0.003020
1769547017.983901,0.017809,-0.030339,-7.374797,0.007331,-0.011235,-0.006451
1769547017.984030,-0.053081,0.027344,-9.806174,0.004720,-0.011912,0.014115
1769547017.984098,-0.056190,-0.010458,-8.641183,0.005874,-0.012118,0.004519
1769547017.999666,-0.069056,0.089340,-7.128038,0.006935,-0.011276,-0.008314
1769547017.999858,-0.077783,-0.068335,-9.231798,0.006928,-0.012705,0.009997
1769547017.999942,-0.072567,0.019973,-8.879217,0.007722,-0.012430,0.007921
1769547018.014708,-0.056127,-0.094175,-7.565867,0.009900,-0.012738,-0.001767
1769547018.014873,-0.020035,-0.043914,-7.531453,0.009520,-0.011835,-0.001489
1769547018.014963,-0.050460,-0.090385,-8.880643,0.008562,-0.010778,0.010741
1769547018.030215,-0.054180,-0.005374,-7.708284,0.008393,-0.009881,0.001866
1769547018.030397,-0.069655,-0.069581,-6.436232,0.009056,-0.008427,-0.007982
1769547018.030490,-0.017581,-0.071063,-8.902256,0.007111,-0.006287,0.013237
1769547018.046155,-0.025160,-0.009352,-7.652575,0.006063,-0.004857,0.003779
1769547018.046380,-0.095829,0.007821,-6.252448,0.004790,-0.003246,-0.007671
1769547018.046453,0.021735,-0.040934,-8.229839,0.002547,-0.002736,0.010545
1769547018.062197,-0.001492,-0.024424,-7.922852,0.001559,-0.001899,0.008671
1769547018.062427,-0.070955,-0.058277,-6.659583,0.001921,-0.002850,-0.000750
1769547018.062582,-0.026761,-0.016269,-6.809489,-0.000344,-0.000554,0.000443
1769547018.077653,0.006669,-0.010220,-8.082105,-0.001987,0.001254,0.011930
1769547018.077840,-0.063076,-0.009331,-6.930234,-0.002120,0.002551,0.002858
1769547018.077955,0.011578,-0.013401,-5.661955,-0.002394,0.004192,-0.007386
1769547018.078075,0.012853,-0.009784,-8.146926,-0.004976,0.005129,0.013857
1769547018.093460,-0.048802,-0.008852,-6.957642,-0.005603,0.005916,0.004587
1769547018.093601,-0.045694,0.017511,-5.596479,-0.006508,0.007781,-0.006516
1769547018.093698,0.053689,0.005472,-7.498254,-0.007469,0.008616,0.010254
1769547018.108777,-0.031172,-0.032491,-7.282776,-0.008794,0.011330,0.008850
1769547018.108960,0.042503,-0.039816,-5.828985,-0.008721,0.012274,-0.001801
1769547018.109044,0.078040,-0.008029,-6.018637,-0.010336,0.015998,-0.000771
1769547018.124790,0.013322,0.033956,-7.384822,-0.013853,0.017427,0.010870
1769547018.125265,0.018352,-0.002095,-6.206312,-0.015265,0.020157,0.001288
1769547018.125376,0.111582,0.087347,-4.959676,-0.016756,0.021732,-0.008679
1769547018.140299,0.023254,0.019237,-7.436733,-0.020537,0.022770,0.012724
1769547018.140462,0.060144,0.036547,-6.267277,-0.022155,0.024468,0.003489
1769547018.140531,0.128060,0.034979,-4.903267,-0.023477,0.026210,-0.006825
1769547018.156272,0.065954,0.097241,-6.806726,-0.026973,0.027875,0.009462
1769547018.156454,0.046159,0.059677,-6.591589,-0.027975,0.030602,0.008091
1769547018.156535,0.173236,0.060373,-5.164166,-0.027913,0.032368,-0.002960
1769547018.171593,0.083028,0.116314,-5.438274,-0.031149,0.034437,-0.001082
1769547018.172247,0.086769,0.090982,-6.731095,-0.033599,0.036017,0.010811
1769547018.172361,0.169149,0.099383,-5.533394,-0.033306,0.038081,0.001754
1769547018.187329,0.101226,0.107058,-4.335599,-0.033110,0.040222,-0.008081
1769547018.187568,0.104950,0.078953,-6.775499,-0.036410,0.040108,0.013669
1769547018.187649,0.172687,0.100844,-5.652435,-0.036846,0.043276,0.004787
1769547018.187711,0.136456,0.115549,-4.325288,-0.037461,0.045101,-0.006255
1769547018.202875,0.123411,0.088140,-6.213389,-0.040230,0.045732,0.009716
1769547018.203065,0.189607,0.135964,-6.021242,-0.042262,0.047096,0.008653
1769547018.203143,0.174290,0.085856,-4.534048,-0.043200,0.047824,-0.002964
1769547018.218845,0.122348,0.137932,-4.867347,-0.045364,0.049680,-0.000061
1769547018.219031,0.189835,0.143994,-6.218771,-0.047174,0.051329,0.012270
1769547018.219120,0.170648,0.156306,-5.094346,-0.047567,0.052637,0.003058
1769547018.234318,0.144415,0.148307,-3.917930,-0.048827,0.053806,-0.006388
1769547018.234483,0.193453,0.158605,-6.281756,-0.051834,0.053685,0.014268
1769547018.234554,0.177544,0.168188,-5.183378,-0.051742,0.054762,0.005444
1769547018.250322,0.140407,0.127208,-3.839652,-0.050867,0.054978,-0.005161
1769547018.250516,0.188732,0.153169,-5.770415,-0.052834,0.055468,0.010727
1769547018.250596,0.160465,0.154178,-5.586655,-0.053848,0.056119,0.009602
1769547018.266343,0.176782,0.126862,-4.125063,-0.053112,0.056171,-0.001866
1769547018.266562,0.155246,0.094271,-4.438787,-0.053947,0.056760,0.000148
1769547018.266655,0.180088,0.176097,-5.800963,-0.054750,0.057779,0.012702
1769547018.281918,0.125881,0.117024,-4.672563,-0.055700,0.057808,0.003640
1769547018.282117,0.167692,0.196291,-3.530867,-0.055747,0.058111,-0.005958
1769547018.282192,0.146147,0.122345,-5.831895,-0.056149,0.056940,0.014448
1769547018.297841,0.145807,0.145973,-4.803643,-0.055085,0.058662,0.005878
1769547018.298009,0.169292,0.073082,-3.362145,-0.053808,0.057801,-0.005597
1769547018.298084,0.145637,0.178935,-5.373745,-0.056771,0.058122,0.011262
1769547018.298157,0.097992,0.141655,-5.117449,-0.057774,0.058096,0.010113
1769547018.313311,0.201279,0.099112,-3.513010,-0.055109,0.058203,-0.002544
1769547018.313462,0.167773,0.113389,-3.986646,-0.056177,0.059529,0.001173
1769547018.313529,0.123941,0.173373,-5.385532,-0.058823,0.058549,0.013206
1769547018.328702,0.150046,0.131404,-4.225969,-0.058561,0.058709,0.004270
1769547018.328837,0.149817,0.169040,-3.119041,-0.056863,0.058373,-0.004855
1769547018.328909,0.110609,0.074652,-5.393788,-0.055561,0.055998,0.014657
1769547018.343866,0.115438,0.091175,-4.499264,-0.054525,0.056188,0.007106
1769547018.344071,0.161732,0.117307,-3.107378,-0.054566,0.056614,-0.004644
1769547018.344238,0.080033,0.155120,-5.178184,-0.057064,0.056790,0.012176
1769547018.359524,0.121452,0.130749,-4.943195,-0.054999,0.055456,0.010638
1769547018.359692,0.140235,0.036274,-3.369122,-0.050869,0.054227,-0.002058
1769547018.359770,0.092188,0.066401,-3.873415,-0.050731,0.052907,0.001997
1769547018.375003,0.048524,0.091310,-5.352943,-0.052475,0.051567,0.014706
1769547018.375188,0.113482,0.109320,-4.190566,-0.051016,0.051595,0.004896
1769547018.375285,0.035738,0.049943,-3.092623,-0.048139,0.049650,-0.004926
1769547018.390694,0.062366,-0.011081,-5.384820,-0.046570,0.047548,0.014293
1769547018.390863,0.062224,0.027644,-4.460644,-0.046316,0.049100,0.006803
1769547018.390944,0.052327,0.048224,-3.062678,-0.046019,0.047834,-0.004820
1769547018.405724,0.025737,0.063421,-5.128118,-0.047221,0.047569,0.012368
1769547018.405863,0.055779,0.047135,-5.014131,-0.045385,0.046504,0.010765
1769547018.405949,0.007241,-0.016621,-3.496327,-0.042885,0.044904,-0.002308
1769547018.421065,0.015089,-0.009331,-3.982695,-0.042509,0.045553,0.001846
1769547018.421212,0.053012,0.033210,-5.395649,-0.044921,0.045786,0.014190
1769547018.421283,0.001570,0.028401,-4.467779,-0.044676,0.043115,0.005413
1769547018.436591,0.018687,0.039130,-3.362997,-0.044220,0.044083,-0.004975
1769547018.436780,0.053262,-0.004432,-5.572700,-0.043845,0.044718,0.013362
1769547018.436869,0.028922,0.016516,-4.617287,-0.042156,0.044342,0.005151
1769547018.451902,-0.010430,-0.024387,-3.332930,-0.041287,0.042379,-0.006123
1769547018.452044,0.010706,0.042421,-5.547032,-0.043437,0.040830,0.011770
1769547018.452128,-0.029786,-0.000216,-5.431427,-0.042999,0.042188,0.010169
1769547018.467506,0.002481,-0.011741,-3.752127,-0.039489,0.040393,-0.002559
1769547018.467694,-0.009398,-0.067774,-4.309246,-0.038172,0.040784,0.001004
1769547018.467815,-0.028945,0.007198,-5.756019,-0.040104,0.039275,0.012790
1769547018.482733,-0.058911,-0.053919,-4.684076,-0.040612,0.040141,0.002972
