timestamp,tension (N)
1769547017.640342,-0.880000
1769547017.644396,-0.880000
1769547017.647190,-0.880000
1769547017.649979,-0.880000
1769547017.653580,-0.880000
1769547017.656988,-0.880000
1769547017.660176,-0.880000
1769547017.663777,-0.880000
1769547017.666475,-0.880000
1769547017.669170,-0.880000
1769547017.671897,-0.880000
1769547017.674586,-0.880000
1769547017.678180,-0.880000
1769547017.680872,-0.880000
1769547017.683713,-0.880000
1769547017.686435,-0.880000
1769547017.689193,-0.880000
1769547017.691868,-0.880000
1769547017.694612,-0.880000
1769547017.697939,-0.880000
1769547017.700698,-0.880000
1769547017.703568,-0.880000
1769547017.707013,-0.880000
1769547017.709743,-0.880000
1769547017.712484,-0.880000
1769547017.715194,-0.880000
1769547017.717960,-0.880000
1769547017.720673,-0.880000
1769547017.723486,-0.880000
1769547017.726218,-0.880000
1769547017.728953,-0.880000
1769547017.731664,-0.880000
1769547017.734455,-0.880000
1769547017.737179,-0.880000
1769547017.739888,-0.880000
1769547017.742616,-0.880000
1769547017.745327,-0.880000
1769547017.748041,-0.880000
1769547017.750777,-0.880000
1769547017.753490,-0.880000
1769547017.756237,-0.880000
1769547017.759118,-0.880000
1769547017.761854,-0.880000
1769547017.764607,-0.880000
1769547017.767308,-0.880000
1769547017.770103,-0.880000
1769547017.772869,-0.880000
1769547017.775641,-0.880000
1769547017.778337,-0.880000
1769547017.781174,-0.880000
1769547017.783870,-0.880000
1769547017.786642,-0.880000
1769547017.789329,-0.880000
1769547017.792111,-0.880000
1769547017.794898,-0.880000
1769547017.797670,-0.880000
1769547017.800348,-0.880000
1769547017.803095,-0.880000
1769547017.805897,-0.880000
1769547017.808624,-0.880000
1769547017.811375,-0.880000
1769547017.814235,-0.880000
1769547017.818824,-0.880000
1769547017.821520,-0.880000
1769547017.824257,-0.880000
1769547017.826973,-0.880000
1769547017.829682,-0.880000
1769547017.832945,-0.880000
1769547017.836214,-0.860000
1769547017.839750,-0.860000
1769547017.842491,-0.860000
1769547017.845274,-0.860000
1769547017.848039,-0.860000
1769547017.850870,-0.860000
1769547017.854151,-0.880000
1769547017.856915,-0.880000
1769547017.859799,-1.160000
1769547017.862599,-1.280000
1769547017.865449,-1.460000
1769547017.868278,-1.660000
1769547017.871111,-1.820000
1769547017.874140,-2.000000
1769547017.877012,-2.220000
1769547017.879824,-2.400000
1769547017.882688,-2.600000
1769547017.885515,-2.820000
1769547017.888400,-3.060000
1769547017.891361,-3.180000
1769547017.894196,-3.400000
1769547017.897027,-3.700000
1769547017.899935,-3.780000
1769547017.902771,-4.040000
1769547017.905769,-4.340000
1769547017.908681,-4.380000
1769547017.911547,-4.620000
1769547017.914464,-4.940000
1769547017.917315,-4.920000
1769547017.920197,-5.020000
1769547017.923162,-5.240000
1769547017.926116,-5.240000
1769547017.929068,-5.220000
1769547017.932014,-5.380000
1769547017.934849,-5.480000
1769547017.938111,-5.380000
