timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1769546471.716457,-0.007695,-0.007335,-2.243171,-0.001585,-0.000742,0.018624
1769546471.731469,-0.033073,0.007084,-0.829123,-0.000827,-0.000068,0.006960
1769546471.731711,-0.013081,0.003318,0.331519,0.000155,-0.000386,-0.002679
1769546471.746441,-0.013062,-0.007862,-1.760686,-0.001310,-0.000117,0.014387
1769546471.746605,0.000488,-0.023407,-1.252952,-0.000852,-0.000548,0.010684
1769546471.746696,0.000539,-0.012479,-0.007541,0.000161,-0.000751,0.000342
1769546471.761834,-0.011604,-0.006281,-1.025313,-0.000658,-0.000711,0.008460
1769546471.762060,-0.016341,0.000503,-1.861185,-0.001322,-0.000258,0.015650
1769546471.762170,-0.014145,-0.009945,-0.768077,-0.000492,-0.000285,0.006658
1769546471.777261,-0.014434,0.020785,0.701039,0.000380,0.000642,-0.005804
1769546471.777513,-0.008871,-0.013871,-2.179900,-0.001494,-0.000590,0.018455
1769546471.777597,-0.010305,0.017168,-0.846113,-0.000722,0.000368,0.006920
1769546471.792851,-0.009676,-0.003114,0.236996,0.000254,-0.000238,-0.002706
1769546471.793174,-0.024814,-0.011571,-1.965721,-0.001375,-0.000027,0.014777
1769546471.793331,0.003301,-0.004567,-1.523141,-0.000901,-0.000469,0.010441
1769546471.808102,-0.005757,-0.008206,-0.396381,-0.000263,-0.000563,0.000490
1769546471.808392,0.002577,0.000022,-1.430458,-0.001418,-0.000220,0.007952
1769546471.808521,0.000199,-0.005392,-2.401401,-0.001674,-0.000261,0.015516
1769546471.808632,-0.005148,0.001857,-1.396931,-0.000577,-0.000197,0.006505
1769546471.823044,-0.016143,0.026127,-0.086623,0.000676,0.001069,-0.006057
1769546471.823297,0.000057,-0.007511,-3.044728,-0.000682,-0.000015,0.018475
1769546471.823427,-0.018632,0.028009,-1.838679,0.000202,0.000705,0.007313
1769546471.838534,-0.008925,-0.001253,-0.669360,0.001573,-0.000226,-0.002868
1769546471.838941,0.000170,-0.015467,-2.851490,0.000142,0.000083,0.014983
1769546471.839067,0.013953,-0.016258,-2.310939,0.000756,-0.000270,0.010397
1769546471.854176,-0.004142,-0.020194,-1.041735,0.001677,-0.000027,0.000049
1769546471.854350,0.024967,-0.016242,-2.009498,0.001192,-0.000366,0.008164
1769546471.854416,-0.000769,-0.005094,-2.895905,0.000310,-0.000154,0.015486
1769546471.870301,-0.020562,0.006220,-1.812892,0.000735,-0.000102,0.006475
1769546471.870674,-0.032893,0.058346,-0.582964,0.001646,0.001564,-0.004625
1769546471.870826,0.006942,-0.010557,-3.189415,0.000407,-0.000400,0.018362
1769546471.885544,-0.042039,0.000606,-1.903569,0.001215,0.000321,0.007679
1769546471.885733,0.008627,-0.012250,-0.620810,0.002402,-0.000219,-0.002879
1769546471.885841,0.011303,-0.023419,-2.735572,0.001079,-0.000229,0.015063
1769546471.901036,-0.007625,-0.016654,-2.199686,0.001698,-0.000384,0.010593
1769546471.901192,0.008776,-0.037804,-0.899797,0.003188,-0.000559,-0.000003
1769546471.901281,0.007525,-0.053555,-1.878885,0.003006,-0.000522,0.007851
1769546471.916297,-0.005751,-0.032570,-2.770949,0.001955,-0.000406,0.015649
1769546471.916449,-0.010283,-0.047052,-1.668559,0.002977,-0.000405,0.006613
1769546471.916523,-0.021338,0.051722,-0.501180,0.003160,0.001190,-0.003980
1769546471.931815,-0.010979,-0.049358,-3.050215,0.001869,-0.000247,0.018198
1769546471.932000,-0.023213,-0.016778,-1.801402,0.002334,0.000036,0.007720
1769546471.932091,0.009618,-0.046137,-0.448854,0.003340,-0.001107,-0.002779
1769546471.947638,-0.012465,-0.051952,-2.653984,0.001654,-0.000222,0.015068
1769546471.947831,0.000192,-0.026051,-2.026607,0.001904,-0.000060,0.010320
1769546471.947899,0.007994,-0.029132,-0.736312,0.002349,0.000126,-0.000382
1769546471.963080,0.004109,-0.021950,-1.690523,0.001085,-0.000452,0.007240
1769546471.963278,-0.004110,-0.036248,-2.647053,-0.000220,-0.000254,0.015293
1769546471.963396,0.006202,-0.014760,-1.585144,-0.000044,-0.000307,0.006425
1769546471.963471,-0.034119,0.020112,-0.536723,-0.000099,0.000519,-0.002971
1769546471.979110,-0.011225,-0.037363,-2.997762,-0.001432,-0.000391,0.017913
1769546471.979276,0.003715,-0.010404,-1.790951,-0.001020,-0.000634,0.008224
1769546471.979404,0.003387,-0.058349,-0.409146,-0.000143,-0.001189,-0.003210
1769546471.995105,0.001998,-0.017695,-2.597336,-0.002164,-0.000461,0.014919
1769546471.995265,-0.005275,-0.028341,-1.983186,-0.002204,-0.000111,0.010348
1769546471.995337,0.016675,-0.022213,-0.693628,-0.001409,-0.000128,-0.000152
1769546472.010427,0.008218,-0.014220,-1.654050,-0.002688,-0.001114,0.007622
1769546472.010586,-0.017813,-0.027695,-2.600762,-0.003280,-0.000538,0.015630
1769546472.010683,0.001715,-0.008514,-1.470273,-0.002643,-0.000441,0.006345
1769546472.025924,-0.042577,-0.016303,-0.395884,-0.002501,-0.000405,-0.002628
1769546472.026080,0.005659,-0.019891,-2.921336,-0.004788,-0.000850,0.018738
1769546472.026149,0.010233,-0.016159,-1.637060,-0.004804,-0.000542,0.008234
1769546472.040926,0.017989,-0.041803,-0.154082,-0.004479,-0.001875,-0.003988
1769546472.041090,-0.005605,-0.015129,-2.490188,-0.006891,-0.000847,0.015443
1769546472.041165,0.001943,0.003454,-1.933132,-0.007430,-0.000221,0.010765
1769546472.056910,-0.001349,0.028035,-0.689444,-0.007381,-0.000013,0.000065
1769546472.057071,0.008647,-0.017608,-1.545922,-0.008156,-0.001152,0.007596
1769546472.057152,-0.004373,0.013912,-2.527456,-0.009677,-0.000305,0.015811
1769546472.072909,0.003962,0.007014,-1.442411,-0.009214,-0.000281,0.006662
1769546472.073073,0.005769,-0.003974,-0.446377,-0.009114,-0.000822,-0.001544
1769546472.073157,0.014464,0.024462,-2.825691,-0.011220,-0.000245,0.018032
1769546472.088637,-0.004860,-0.010443,-1.598175,-0.010880,-0.000433,0.008288
1769546472.088855,0.036074,-0.003304,-0.080700,-0.010120,-0.001722,-0.004003
1769546472.088938,-0.005354,0.008602,-2.478499,-0.011875,-0.000063,0.015273
1769546472.089003,-0.014184,0.025241,-1.907862,-0.011684,0.000027,0.010579
1769546472.104432,-0.009011,0.025932,-0.685040,-0.011177,0.000450,0.000339
1769546472.104650,0.013816,-0.003614,-1.450636,-0.012104,-0.000992,0.007441
1769546472.104720,-0.003459,0.014410,-2.490490,-0.013735,-0.000195,0.015686
1769546472.120198,-0.003066,0.044125,-1.391396,-0.013870,-0.000055,0.006709
1769546472.120633,0.011300,-0.000775,-0.362267,-0.013688,-0.001423,-0.001739
1769546472.120859,0.004174,0.024322,-2.740551,-0.015378,-0.000833,0.018047
1769546472.136305,-0.008515,0.015493,-1.561566,-0.015057,-0.000614,0.008312
1769546472.136535,0.035555,-0.013052,0.112752,-0.013820,-0.001757,-0.004746
1769546472.136607,0.002200,0.018769,-2.388573,-0.016317,-0.000474,0.015612
1769546472.151882,-0.001928,0.040687,-1.766846,-0.016525,-0.000463,0.010690
1769546472.152147,-0.016698,0.024802,-0.596385,-0.016343,-0.000971,0.000897
1769546472.152237,0.012079,0.035830,-1.260874,-0.017309,-0.001074,0.006525
1769546472.167468,-0.007942,0.036866,-2.367383,-0.018081,-0.000369,0.015962
1769546472.167696,-0.001212,0.049488,-1.279254,-0.017248,-0.000344,0.006770
1769546472.167763,0.005617,0.008604,-0.177288,-0.016019,-0.001066,-0.002217
1769546472.183548,-0.007795,0.016676,-2.662726,-0.017768,-0.000608,0.018048
1769546472.183734,-0.001227,0.029625,-1.452896,-0.017033,-0.000146,0.008429
1769546472.183822,0.037408,0.004769,0.319225,-0.015707,-0.001171,-0.005913
1769546472.183901,0.000918,0.036544,-2.309605,-0.018445,-0.000048,0.015770
1769546472.199270,-0.006000,0.055307,-1.742017,-0.018157,-0.000279,0.011090
1769546472.199489,-0.017283,0.035580,-0.576759,-0.017122,0.000319,0.001289
1769546472.199563,0.037059,0.015095,-1.091034,-0.017107,-0.001813,0.006017
1769546472.214689,-0.007263,-0.009694,-2.318328,-0.017251,-0.000148,0.015925
1769546472.214950,0.005327,0.029742,-1.163055,-0.016764,-0.000427,0.006568
