timestamp,tension (N)
1769546471.526078,-0.660000
1769546471.529000,-0.660000
1769546471.531727,-0.660000
1769546471.534482,-0.660000
1769546471.537408,-0.660000
1769546471.540220,-0.660000
1769546471.542993,-0.660000
1769546471.545747,-0.660000
1769546471.548504,-0.660000
1769546471.551275,-0.660000
1769546471.553951,-0.660000
1769546471.556652,-0.660000
1769546471.559488,-0.660000
1769546471.562294,-0.660000
1769546471.565087,-0.660000
1769546471.567854,-0.660000
1769546471.570593,-0.660000
1769546471.573288,-0.660000
1769546471.576026,-0.660000
1769546471.578818,-0.660000
1769546471.581649,-0.660000
1769546471.584544,-0.660000
1769546471.587405,-0.660000
1769546471.590225,-0.660000
1769546471.592945,-0.660000
1769546471.595759,-0.660000
1769546471.598535,-0.660000
1769546471.601369,-0.660000
1769546471.604206,-0.660000
1769546471.606901,-0.660000
1769546471.609610,-0.660000
1769546471.612271,-0.660000
1769546471.615122,-0.660000
1769546471.617919,-0.660000
1769546471.620593,-0.660000
1769546471.623334,-0.660000
1769546471.626081,-0.660000
1769546471.628833,-0.660000
1769546471.631530,-0.660000
1769546471.634282,-0.660000
1769546471.636978,-0.660000
1769546471.639869,-0.660000
1769546471.642618,-0.660000
1769546471.645402,-0.660000
1769546471.649658,-0.660000
1769546471.652408,-0.660000
1769546471.655110,-0.660000
1769546471.657856,-0.660000
1769546471.660594,-0.660000
1769546471.663725,-0.660000
1769546471.666992,-0.660000
1769546471.670502,-0.660000
1769546471.673300,-0.660000
1769546471.676000,-0.660000
1769546471.678815,-0.660000
1769546471.681542,-0.660000
1769546471.684991,-0.660000
1769546471.687682,-0.660000
1769546471.690374,-0.660000
1769546471.693209,-0.660000
1769546471.696001,-0.660000
1769546471.698861,-0.660000
1769546471.701590,-0.660000
1769546471.704604,-0.660000
1769546471.707321,-0.660000
1769546471.710010,-0.660000
1769546471.712786,-0.660000
1769546471.715560,-0.660000
1769546471.718278,-0.660000
1769546471.721055,-0.660000
1769546471.723840,-0.660000
1769546471.726555,-0.660000
1769546471.729273,-0.660000
1769546471.731965,-0.660000
1769546471.734810,-0.660000
1769546471.737515,-0.660000
1769546471.740372,-0.660000
1769546471.743155,-0.660000
1769546471.745954,-0.660000
1769546471.748714,-0.660000
1769546471.751449,-0.660000
1769546471.754244,-0.660000
