timestamp,tension (N)
1769546600.483151,-0.840000
1769546600.486052,-0.840000
1769546600.488892,-0.840000
1769546600.491853,-0.840000
1769546600.494670,-0.840000
1769546600.497559,-0.840000
1769546600.500336,-0.840000
1769546600.503220,-0.840000
1769546600.506120,-0.840000
1769546600.509051,-0.840000
1769546600.514042,-0.840000
1769546600.516965,-0.840000
1769546600.519782,-0.840000
1769546600.523286,-0.840000
1769546600.526461,-0.840000
1769546600.529613,-0.840000
1769546600.533205,-0.840000
1769546600.535935,-0.840000
1769546600.538628,-0.840000
1769546600.541446,-0.840000
1769546600.544272,-0.840000
1769546600.547452,-0.840000
1769546600.550277,-0.840000
1769546600.553077,-0.840000
1769546600.556270,-0.840000
1769546600.559030,-0.840000
1769546600.561777,-0.840000
1769546600.565270,-0.840000
1769546600.568056,-0.840000
1769546600.570817,-0.840000
1769546600.574171,-0.840000
1769546600.576848,-0.840000
1769546600.579635,-0.840000
1769546600.582383,-0.840000
1769546600.585123,-0.840000
1769546600.588048,-0.840000
1769546600.591028,-0.840000
1769546600.593787,-0.840000
1769546600.596537,-0.840000
1769546600.599260,-0.840000
1769546600.602052,-0.840000
1769546600.604857,-0.840000
1769546600.607591,-0.840000
1769546600.610402,-0.840000
1769546600.613118,-0.840000
1769546600.615986,-0.840000
1769546600.619041,-0.840000
1769546600.621843,-0.840000
1769546600.624648,-0.840000
1769546600.627415,-0.840000
1769546600.630285,-0.840000
1769546600.633152,-0.840000
1769546600.636079,-0.840000
1769546600.638835,-0.840000
1769546600.641591,-0.840000
1769546600.644349,-0.840000
1769546600.647199,-0.840000
1769546600.650058,-0.840000
1769546600.652939,-0.840000
1769546600.655717,-0.840000
1769546600.658468,-0.840000
1769546600.661267,-0.840000
1769546600.664018,-0.840000
1769546600.666794,-0.840000
1769546600.669535,-0.840000
1769546600.672311,-0.840000
1769546600.675140,-0.840000
1769546600.677912,-0.840000
1769546600.682765,-0.840000
1769546600.685528,-0.840000
1769546600.688338,-0.840000
1769546600.691785,-0.840000
1769546600.695101,-0.840000
1769546600.698304,-0.840000
1769546600.701849,-0.840000
1769546600.704613,-0.840000
1769546600.707403,-0.840000
1769546600.711034,-0.840000
1769546600.714394,-0.840000
1769546600.717303,-0.840000
1769546600.720076,-0.840000
1769546600.723488,-0.840000
1769546600.726337,-0.840000
1769546600.729112,-0.840000
1769546600.732470,-0.840000
1769546600.735368,-0.840000
1769546600.738212,-0.840000
1769546600.741399,-0.840000
1769546600.744176,-0.840000
1769546600.746877,-0.840000
1769546600.749735,-0.840000
1769546600.752575,-0.840000
1769546600.755438,-0.840000
1769546600.758234,-0.840000
1769546600.761182,-0.840000
1769546600.764096,-0.840000
1769546600.767192,-0.840000
1769546600.770175,-0.840000
1769546600.773165,-0.840000
1769546600.775947,-0.840000
1769546600.778833,-0.840000
1769546600.781707,-0.840000
1769546600.784699,-1.120000
1769546600.787614,-0.860000
1769546600.790545,-1.300000
1769546600.793510,-1.340000
1769546600.796402,-1.500000
1769546600.799447,-1.740000
1769546600.802423,-1.780000
1769546600.805416,-2.040000
1769546600.808510,-2.240000
1769546600.811500,-2.400000
1769546600.814452,-2.540000
1769546600.817468,-2.840000
1769546600.820728,-3.020000
1769546600.823702,-3.180000
1769546600.826598,-3.400000
1769546600.829478,-3.600000
1769546600.832395,-3.740000
1769546600.835256,-3.900000
1769546600.838259,-4.220000
1769546600.841094,-4.280000
1769546600.843956,-4.360000
1769546600.848430,-4.420000
1769546600.851377,-4.620000
1769546600.854347,-4.600000
1769546600.857977,-4.620000
1769546600.861549,-4.640000
1769546600.864753,-4.500000
1769546600.868434,-4.640000
1769546600.871330,-4.560000
1769546600.874347,-4.380000
1769546600.878147,-4.300000
1769546600.881723,-4.480000
1769546600.884574,-4.660000
1769546600.887468,-4.140000
1769546600.890316,-4.380000
1769546600.893226,-4.540000
1769546600.896060,-4.060000
1769546600.898960,-4.360000
1769546600.901922,-4.220000
1769546600.904771,-4.180000
1769546600.907697,-4.260000
1769546600.911108,-3.920000
1769546600.913937,-4.200000
1769546600.916740,-4.080000
1769546600.919581,-3.680000
1769546600.922316,-4.000000
1769546600.925093,-3.700000
1769546600.927911,-3.720000
1769546600.930797,-3.980000
1769546600.933722,-3.720000
1769546600.936510,-3.740000
1769546600.939492,-3.720000
1769546600.942348,-3.720000
1769546600.945172,-3.720000
1769546600.948080,-3.720000
1769546600.950933,-3.700000
1769546600.953772,-3.360000
1769546600.956601,-3.360000
1769546600.959465,-3.660000
1769546600.962286,-3.240000
1769546600.965123,-3.260000
1769546600.968015,-3.280000
1769546600.970904,-2.920000
1769546600.973799,-3.260000
1769546600.976645,-3.100000
1769546600.979421,-2.920000
1769546600.982304,-3.220000
1769546600.985159,-3.040000
1769546600.988199,-2.980000
1769546600.991012,-2.980000
1769546600.995490,-3.040000
1769546600.998273,-2.740000
1769546601.001125,-2.980000
1769546601.004886,-2.840000
1769546601.008217,-2.780000
1769546601.011441,-2.880000
1769546601.015091,-2.980000
1769546601.018089,-2.720000
1769546601.021033,-2.720000
1769546601.024331,-2.900000
1769546601.027913,-2.660000
1769546601.030806,-2.580000
1769546601.033678,-2.800000
1769546601.037051,-2.600000
1769546601.039875,-2.540000
1769546601.042719,-2.640000
1769546601.046183,-2.560000
1769546601.048908,-2.500000
1769546601.051705,-2.560000
1769546601.055344,-2.440000
1769546601.058221,-2.380000
1769546601.061049,-2.440000
1769546601.063950,-2.440000
1769546601.066833,-2.420000
1769546601.069603,-2.340000
1769546601.072462,-2.380000
1769546601.075265,-2.380000
1769546601.078142,-2.280000
1769546601.081087,-2.360000
1769546601.084073,-2.360000
1769546601.086999,-2.180000
1769546601.089869,-2.280000
1769546601.092751,-2.140000
1769546601.095605,-2.240000
1769546601.098438,-2.200000
1769546601.101289,-2.180000
1769546601.104216,-2.260000
1769546601.107126,-2.060000
1769546601.109998,-2.160000
1769546601.112922,-2.160000
1769546601.115856,-1.920000
1769546601.118662,-2.100000
1769546601.121533,-1.920000
1769546601.124490,-1.860000
1769546601.127169,-2.000000
1769546601.130033,-1.840000
1769546601.132851,-1.960000
1769546601.135819,-1.820000
1769546601.138728,-1.680000
1769546601.141609,-1.860000
1769546601.144462,-1.760000
1769546601.147330,-1.860000
1769546601.150141,-1.780000
1769546601.152957,-1.640000
1769546601.155753,-1.640000
1769546601.158843,-1.580000
1769546601.163532,-1.560000
1769546601.166359,-1.540000
1769546601.169483,-1.500000
1769546601.172800,-1.560000
1769546601.176151,-1.560000
1769546601.179669,-1.440000
1769546601.182405,-1.440000
1769546601.185262,-1.300000
1769546601.188087,-1.340000
1769546601.190958,-1.400000
1769546601.194196,-1.280000
1769546601.197078,-1.300000
1769546601.199865,-1.200000
1769546601.203258,-1.200000
1769546601.206038,-1.200000
1769546601.208924,-1.120000
1769546601.212277,-1.000000
1769546601.215009,-1.080000
1769546601.217781,-1.080000
1769546601.221138,-1.000000
1769546601.223959,-1.080000
1769546601.226625,-0.920000
1769546601.229407,-1.080000
1769546601.232101,-0.900000
1769546601.234963,-0.860000
1769546601.237761,-0.920000
1769546601.240588,-0.880000
1769546601.243365,-0.780000
1769546601.246103,-0.780000
1769546601.248961,-0.660000
1769546601.251692,-0.800000
1769546601.254400,-0.660000
1769546601.257167,-0.680000
1769546601.259942,-0.740000
1769546601.262765,-0.560000
1769546601.265537,-0.640000
1769546601.268218,-0.600000
1769546601.270988,-0.580000
1769546601.273769,-0.460000
1769546601.276615,-0.360000
1769546601.279427,-0.360000
1769546601.282319,-0.440000
1769546601.284991,-0.400000
1769546601.287804,-0.440000
