timestamp,tension (N)
1763418558.056869,-5.720000
1763418558.059766,-5.720000
1763418558.062599,-5.720000
1763418558.065433,-5.720000
1763418558.068350,-5.720000
1763418558.071198,-5.720000
1763418558.074073,-5.720000
1763418558.077006,-5.720000
1763418558.079944,-5.720000
1763418558.082879,-5.720000
1763418558.085758,-5.720000
1763418558.088935,-5.720000
1763418558.091958,-5.720000
1763418558.094909,-5.720000
1763418558.097879,-5.720000
1763418558.100992,-5.720000
1763418558.104323,-5.720000
1763418558.107605,-5.720000
1763418558.111523,-5.720000
1763418558.114555,-5.720000
1763418558.117540,-5.720000
1763418558.120869,-5.720000
1763418558.124323,-5.720000
1763418558.127595,-5.720000
1763418558.131138,-5.720000
1763418558.134232,-5.720000
1763418558.137591,-5.720000
1763418558.140588,-5.720000
1763418558.144040,-5.720000
1763418558.147038,-5.720000
1763418558.150053,-5.720000
1763418558.153272,-5.720000
1763418558.156343,-5.720000
1763418558.159446,-5.720000
1763418558.162552,-5.720000
1763418558.165597,-5.720000
1763418558.168594,-5.720000
1763418558.171845,-5.720000
1763418558.174893,-5.720000
1763418558.177873,-5.720000
1763418558.180846,-5.720000
1763418558.183842,-5.720000
1763418558.186718,-5.720000
1763418558.189535,-5.720000
1763418558.192380,-5.720000
1763418558.195202,-5.720000
1763418558.198011,-5.720000
1763418558.200964,-5.720000
1763418558.203819,-5.720000
1763418558.206728,-5.720000
1763418558.209579,-5.720000
1763418558.212430,-5.720000
1763418558.215269,-5.720000
1763418558.218233,-5.720000
1763418558.221207,-5.720000
1763418558.224092,-5.720000
1763418558.226986,-5.720000
1763418558.229884,-5.720000
1763418558.232772,-5.720000
1763418558.235679,-5.720000
1763418558.238538,-5.720000
1763418558.241391,-5.720000
1763418558.244221,-5.720000
1763418558.247045,-5.720000
1763418558.249859,-5.720000
1763418558.252696,-5.720000
1763418558.255738,-5.720000
1763418558.258581,-5.720000
1763418558.261399,-5.720000
1763418558.264223,-5.720000
1763418558.268374,-5.720000
1763418558.271185,-5.720000
1763418558.274074,-5.720000
1763418558.277702,-5.720000
1763418558.281132,-5.720000
1763418558.284409,-5.720000
1763418558.287864,-5.720000
1763418558.290713,-5.720000
1763418558.293601,-5.720000
1763418558.297268,-5.720000
1763418558.300865,-5.720000
1763418558.303746,-5.720000
1763418558.306685,-5.720000
1763418558.310130,-5.720000
1763418558.312964,-5.720000
1763418558.315774,-5.720000
1763418558.319302,-5.720000
1763418558.322279,-5.720000
1763418558.325188,-5.720000
1763418558.328656,-5.720000
1763418558.331638,-5.720000
1763418558.335128,-5.720000
1763418558.338186,-5.720000
1763418558.341178,-5.720000
1763418558.344212,-5.720000
1763418558.347203,-5.720000
1763418558.350266,-5.720000
1763418558.353240,-5.720000
1763418558.356341,-5.720000
1763418558.359429,-5.720000
1763418558.362530,-5.720000
1763418558.365622,-5.720000
1763418558.368788,-5.720000
1763418558.371893,-5.720000
1763418558.374974,-5.720000
1763418558.378043,-5.720000
1763418558.381207,-5.720000
1763418558.384370,-5.720000
