timestamp,tension (N)
1763418558.048456,-5.940000
1763418558.051347,-5.940000
1763418558.054197,-5.940000
1763418558.056959,-5.940000
1763418558.059815,-5.940000
1763418558.062695,-5.940000
1763418558.065490,-5.940000
1763418558.068607,-5.940000
1763418558.071440,-5.940000
1763418558.074327,-5.940000
1763418558.077114,-5.940000
1763418558.080047,-5.940000
1763418558.083013,-5.940000
1763418558.085918,-5.940000
1763418558.088848,-5.940000
1763418558.091741,-5.940000
1763418558.094763,-5.940000
1763418558.097664,-5.940000
1763418558.100750,-5.940000
1763418558.103855,-5.940000
1763418558.107113,-5.940000
1763418558.110127,-5.940000
1763418558.113063,-5.940000
1763418558.116033,-5.940000
1763418558.119040,-5.940000
1763418558.122073,-5.940000
1763418558.125038,-5.940000
1763418558.128011,-5.940000
1763418558.131080,-5.940000
1763418558.134145,-5.940000
1763418558.137177,-5.940000
1763418558.140251,-5.940000
1763418558.143336,-5.940000
1763418558.146347,-5.940000
1763418558.149404,-5.940000
1763418558.152581,-5.940000
1763418558.155587,-5.940000
1763418558.158613,-5.940000
1763418558.161725,-5.940000
1763418558.164644,-5.940000
1763418558.167750,-5.940000
1763418558.171099,-5.940000
1763418558.174189,-5.940000
1763418558.178673,-5.940000
1763418558.181707,-5.940000
1763418558.184769,-5.940000
1763418558.187840,-5.940000
1763418558.191190,-5.940000
1763418558.194543,-5.940000
1763418558.198060,-5.940000
1763418558.200903,-5.940000
1763418558.203752,-5.940000
1763418558.207480,-5.940000
1763418558.211038,-5.940000
1763418558.213856,-5.940000
1763418558.216703,-5.940000
1763418558.220248,-5.940000
1763418558.223181,-5.940000
1763418558.226080,-5.940000
1763418558.229414,-5.940000
1763418558.232281,-5.940000
1763418558.235095,-5.940000
1763418558.238518,-5.940000
1763418558.241324,-5.940000
1763418558.244114,-5.940000
1763418558.246946,-5.940000
1763418558.249815,-5.940000
1763418558.252678,-5.940000
1763418558.255602,-5.940000
1763418558.258479,-5.940000
1763418558.261350,-5.940000
1763418558.264196,-5.940000
1763418558.267178,-5.940000
1763418558.270108,-5.940000
1763418558.272933,-5.940000
1763418558.275696,-5.940000
1763418558.278498,-5.940000
1763418558.281360,-5.940000
1763418558.284201,-5.940000
1763418558.287063,-5.940000
1763418558.289890,-5.940000
1763418558.292794,-5.940000
1763418558.295677,-5.940000
1763418558.298575,-5.940000
1763418558.301439,-5.940000
1763418558.304291,-5.940000
1763418558.307178,-5.940000
1763418558.310141,-5.940000
1763418558.312972,-5.940000
1763418558.315783,-5.940000
1763418558.318597,-5.940000
1763418558.323598,-5.940000
1763418558.326535,-5.940000
1763418558.329483,-5.940000
1763418558.333058,-5.940000
1763418558.336441,-5.940000
1763418558.339852,-5.940000
1763418558.343313,-5.940000
1763418558.346303,-5.940000
