timestamp,tension (N)
1765421334.512128,0.005000
1765421334.515166,0.005000
1765421334.518490,0.005000
1765421334.521764,0.005000
1765421334.525088,0.005000
1765421334.528627,0.005000
1765421334.531626,0.005000
1765421334.534592,0.005000
1765421334.537796,0.005000
1765421334.541315,0.005000
1765421334.544333,0.005000
1765421334.547315,0.005000
1765421334.550510,0.005000
1765421334.554082,0.005000
1765421334.557077,0.005000
1765421334.560074,0.005000
1765421334.563113,0.005000
1765421334.566129,0.005000
1765421334.569109,0.005000
1765421334.572114,0.005000
1765421334.575099,0.005000
1765421334.578048,0.005000
1765421334.581011,0.005000
1765421334.584027,0.005000
1765421334.587537,0.005000
1765421334.590492,0.005000
1765421334.593524,0.005000
1765421334.596526,0.005000
1765421334.599520,0.005000
1765421334.602473,0.005000
1765421334.605507,0.005000
1765421334.608487,0.005000
1765421334.611496,0.005000
1765421334.614511,0.005000
1765421334.617657,0.005000
1765421334.620825,0.005000
1765421334.623846,0.005000
1765421334.626884,0.005000
1765421334.629947,0.005000
1765421334.633054,0.005000
1765421334.636137,0.005000
1765421334.639343,0.005000
1765421334.642433,0.005000
1765421334.645472,0.005000
1765421334.648544,0.005000
1765421334.651577,0.005000
1765421334.654615,0.005000
1765421334.657659,0.005000
1765421334.660766,0.005000
1765421334.663898,0.005000
1765421334.666978,0.005000
1765421334.670017,0.005000
1765421334.673012,0.005000
1765421334.675992,0.005000
1765421334.678991,0.005000
1765421334.683508,0.005000
1765421334.686557,0.005000
1765421334.689615,0.005000
1765421334.692663,0.005000
1765421334.696018,0.005000
1765421334.699274,0.005000
1765421334.702811,0.005000
1765421334.705942,0.005000
1765421334.709097,0.005000
1765421334.712268,0.005000
1765421334.715569,0.005000
1765421334.718683,0.005000
1765421334.721800,0.005000
1765421334.724834,0.005000
1765421334.728293,0.005000
1765421334.731353,0.005000
1765421334.734382,0.005000
1765421334.737448,0.005000
1765421334.740506,0.005000
1765421334.743516,0.005000
1765421334.746550,0.005000
1765421334.749573,0.005000
1765421334.752581,0.005000
1765421334.755648,0.005000
1765421334.758708,0.005000
1765421334.761740,0.005000
1765421334.764739,0.005000
1765421334.767741,0.005000
1765421334.770742,0.005000
1765421334.773754,0.005000
1765421334.776713,0.005000
1765421334.779746,0.005000
1765421334.782762,0.005000
1765421334.785742,0.005000
