timestamp,tension (N)
1765421334.461277,-0.020000
1765421334.464101,-0.020000
1765421334.466959,-0.020000
1765421334.470057,-0.020000
1765421334.472848,-0.020000
1765421334.475590,-0.020000
1765421334.478367,-0.020000
1765421334.481154,-0.020000
1765421334.486212,-0.020000
1765421334.488848,-0.020000
1765421334.491523,-0.020000
1765421334.495199,-0.020000
1765421334.498335,-0.020000
1765421334.501474,-0.020000
1765421334.504906,-0.020000
1765421334.507662,-0.020000
1765421334.510369,-0.020000
1765421334.513827,-0.020000
1765421334.517367,-0.020000
1765421334.520044,-0.020000
1765421334.522719,-0.020000
1765421334.526112,-0.020000
1765421334.528802,-0.020000
1765421334.531480,-0.020000
1765421334.534866,-0.020000
1765421334.537574,-0.020000
1765421334.540341,-0.020000
1765421334.543669,-0.020000
1765421334.546316,-0.020000
1765421334.548976,-0.020000
1765421334.551659,-0.020000
1765421334.554392,-0.020000
1765421334.557117,-0.020000
1765421334.559859,-0.020000
1765421334.562635,-0.020000
1765421334.565335,-0.020000
1765421334.568102,-0.020000
1765421334.570809,-0.020000
1765421334.573576,-0.020000
1765421334.576393,-0.020000
1765421334.579139,-0.020000
1765421334.581862,-0.020000
1765421334.584556,-0.020000
1765421334.587343,-0.020000
1765421334.590117,-0.020000
1765421334.592951,-0.020000
1765421334.595711,-0.020000
1765421334.598393,-0.020000
1765421334.601194,-0.020000
1765421334.604054,-0.020000
1765421334.606738,-0.020000
1765421334.609512,-0.020000
1765421334.612188,-0.020000
1765421334.614978,-0.020000
1765421334.617820,-0.020000
1765421334.620631,-0.020000
1765421334.623438,-0.020000
1765421334.626311,-0.020000
1765421334.629133,-0.020000
1765421334.631948,-0.020000
1765421334.634832,-0.020000
1765421334.637724,-0.020000
1765421334.640576,-0.020000
1765421334.643473,-0.020000
1765421334.646267,-0.020000
1765421334.650839,-0.020000
1765421334.653554,-0.020000
1765421334.656220,-0.020000
1765421334.659807,-0.020000
1765421334.663048,-0.020000
1765421334.666186,-0.020000
1765421334.669616,-0.020000
1765421334.672389,-0.020000
1765421334.675109,-0.020000
1765421334.678553,-0.020000
1765421334.681981,-0.020000
1765421334.684721,-0.020000
1765421334.687512,-0.020000
1765421334.690891,-0.020000
1765421334.693613,-0.020000
1765421334.696356,-0.020000
1765421334.699625,-0.020000
1765421334.702394,-0.020000
1765421334.705314,-0.020000
1765421334.708502,-0.020000
1765421334.711310,-0.020000
1765421334.714108,-0.020000
1765421334.716988,-0.020000
1765421334.719779,-0.020000
1765421334.722579,-0.020000
1765421334.725377,-0.020000
1765421334.728218,-0.020000
1765421334.731012,-0.020000
1765421334.733778,-0.020000
1765421334.736539,-0.020000
1765421334.739442,-0.020000
1765421334.742207,-0.020000
1765421334.744977,-0.020000
1765421334.747748,-0.020000
1765421334.750466,-0.020000
1765421334.753224,-0.020000
1765421334.755932,-0.020000
1765421334.758782,-0.020000
1765421334.761537,-0.020000
1765421334.764242,-0.020000
1765421334.767023,-0.020000
1765421334.769790,-0.020000
1765421334.772545,-0.020000
1765421334.775382,-0.020000
1765421334.778113,-0.020000
1765421334.780950,-0.020000
1765421334.783664,-0.020000
1765421334.786538,-0.020000
1765421334.789262,-0.020000
1765421334.792021,-0.020000
1765421334.794800,-0.020000
1765421334.797598,-0.020000
1765421334.800332,-0.020000
1765421334.803054,-0.020000
1765421334.805814,-0.020000
1765421334.810918,-0.020000
1765421334.813636,-0.020000
1765421334.816324,-0.020000
