timestamp,tension (N)
1765421056.422106,-0.005000
1765421056.425203,-0.005000
1765421056.428294,-0.005000
1765421056.431399,-0.005000
1765421056.434477,-0.005000
1765421056.437659,-0.005000
1765421056.440759,-0.005000
1765421056.444001,-0.005000
1765421056.447085,-0.005000
1765421056.450130,-0.005000
1765421056.453182,-0.005000
1765421056.456290,-0.005000
1765421056.459341,-0.005000
1765421056.462387,-0.005000
1765421056.465445,-0.005000
1765421056.468504,-0.005000
1765421056.471730,-0.005000
1765421056.474779,-0.005000
1765421056.477911,-0.005000
1765421056.480987,-0.005000
1765421056.484063,-0.005000
1765421056.487124,-0.005000
1765421056.490209,-0.005000
1765421056.493251,-0.005000
1765421056.496283,-0.005000
1765421056.499358,-0.005000
1765421056.502418,-0.005000
1765421056.505466,-0.005000
1765421056.508583,-0.005000
1765421056.511679,-0.005000
1765421056.514802,-0.005000
1765421056.518829,-0.005000
1765421056.521891,-0.005000
1765421056.525063,-0.005000
1765421056.528115,-0.005000
1765421056.531376,-0.005000
1765421056.534765,-0.005000
1765421056.538165,-0.005000
1765421056.541238,-0.005000
1765421056.544284,-0.005000
1765421056.547450,-0.005000
1765421056.550980,-0.005000
1765421056.554099,-0.005000
1765421056.557177,-0.005000
1765421056.560273,-0.005000
1765421056.563829,-0.005000
1765421056.566939,-0.005000
1765421056.570177,-0.005000
1765421056.573391,-0.005000
1765421056.576577,-0.005000
1765421056.580315,-0.005000
1765421056.583445,-0.005000
1765421056.586578,-0.005000
1765421056.589783,-0.005000
1765421056.592959,-0.005000
1765421056.596099,-0.005000
1765421056.599269,-0.005000
1765421056.602397,-0.005000
1765421056.605532,-0.005000
1765421056.608660,-0.005000
1765421056.611778,-0.005000
1765421056.614889,-0.005000
1765421056.618041,-0.005000
1765421056.621178,-0.005000
1765421056.624331,-0.005000
1765421056.627424,-0.005000
1765421056.630540,-0.005000
1765421056.633674,-0.005000
1765421056.636833,-0.005000
1765421056.640046,-0.005000
1765421056.643112,-0.005000
1765421056.646254,-0.005000
1765421056.649317,-0.005000
1765421056.652483,-0.005000
1765421056.655622,-0.005000
1765421056.658756,-0.005000
1765421056.661873,-0.005000
1765421056.664994,-0.005000
1765421056.668070,-0.005000
1765421056.671215,-0.005000
1765421056.674310,-0.005000
1765421056.677384,-0.005000
1765421056.680509,-0.005000
1765421056.683609,-0.005000
1765421056.686753,-0.005000
1765421056.689816,-0.005000
1765421056.693859,-0.005000
1765421056.696939,-0.005000
1765421056.699955,-0.005000
1765421056.703062,-0.005000
1765421056.706408,-0.005000
1765421056.709655,-0.005000
1765421056.713218,-0.005000
1765421056.716284,-0.005000
1765421056.719334,-0.005000
1765421056.722521,-0.005000
1765421056.726063,-0.005000
1765421056.729126,-0.005000
1765421056.732196,-0.005000
1765421056.735296,-0.005000
1765421056.738847,-0.005000
1765421056.741940,-0.005000
1765421056.744999,-0.005000
1765421056.748070,-0.005000
1765421056.751173,-0.005000
1765421056.754269,-0.005000
1765421056.757366,-0.005000
1765421056.760411,-0.005000
1765421056.763536,-0.005000
1765421056.766593,-0.005000
1765421056.769681,-0.005000
1765421056.772798,-0.005000
1765421056.775859,-0.005000
1765421056.778954,-0.005000
1765421056.781993,-0.005000
1765421056.785110,-0.005000
1765421056.788255,-0.005000
1765421056.791397,-0.005000
1765421056.794454,-0.005000
1765421056.797546,-0.005000
1765421056.800633,-0.005000
1765421056.803760,-0.005000
1765421056.806885,-0.005000
1765421056.809978,-0.005000
1765421056.813069,-0.005000
1765421056.816149,-0.005000
1765421056.819272,-0.005000
1765421056.822367,-0.005000
1765421056.825393,-0.005000
1765421056.828496,-0.005000
1765421056.831553,-0.005000
1765421056.834702,-0.005000
1765421056.838030,-0.005000
1765421056.841138,-0.005000
1765421056.844246,-0.005000
1765421056.847303,-0.005000
1765421056.850390,-0.005000
1765421056.853547,-0.005000
1765421056.856744,-0.005000
1765421056.861328,-0.005000
1765421056.864434,-0.005000
1765421056.867525,-0.005000
1765421056.870589,-0.005000
1765421056.873927,-0.005000
1765421056.877137,-0.005000
1765421056.880703,-0.005000
1765421056.883734,-0.005000
1765421056.886792,-0.005000
1765421056.890005,-0.005000
1765421056.893546,-0.005000
1765421056.896660,-0.005000
1765421056.899777,-0.005000
1765421056.902811,-0.005000
1765421056.906395,-0.005000
1765421056.909457,-0.005000
1765421056.912529,-0.005000
1765421056.915645,-0.005000
1765421056.918793,-0.005000
1765421056.921972,-0.005000
1765421056.925066,-0.005000
1765421056.928854,-0.005000
1765421056.931946,-0.005000
1765421056.935064,-0.005000
1765421056.938198,-0.005000
1765421056.941303,-0.005000
1765421056.944454,-0.005000
1765421056.947566,-0.005000
1765421056.950700,-0.005000
1765421056.953768,-0.005000
1765421056.956890,-0.005000
1765421056.960349,-0.005000
1765421056.963473,-0.005000
1765421056.966558,-0.005000
1765421056.969625,-0.005000
1765421056.972742,-0.005000
1765421056.975848,-0.005000
1765421056.978917,-0.005000
1765421056.982003,-0.005000
1765421056.985104,-0.005000
1765421056.988169,-0.005000
1765421056.991253,-0.005000
1765421056.994349,-0.005000
1765421056.997372,-0.005000
1765421057.000497,-0.005000
1765421057.003556,-0.005000
1765421057.006630,-0.005000
1765421057.009740,-0.005000
1765421057.012858,-0.005000
1765421057.015938,-0.005000
1765421057.020133,-0.005000
1765421057.023222,-0.005000
1765421057.026342,-0.005000
1765421057.029429,-0.005000
1765421057.032676,-0.005000
1765421057.035930,-0.005000
1765421057.039489,-0.005000
1765421057.042526,-0.005000
1765421057.045710,-0.005000
1765421057.048887,-0.005000
1765421057.052314,-0.005000
1765421057.055393,-0.005000
1765421057.058490,-0.005000
1765421057.061600,-0.005000
1765421057.065077,-0.005000
1765421057.068188,-0.005000
1765421057.071294,-0.005000
1765421057.074333,-0.005000
1765421057.077471,-0.005000
1765421057.080530,-0.005000
1765421057.083605,-0.005000
1765421057.086640,-0.005000
1765421057.089751,-0.005000
1765421057.092819,-0.005000
1765421057.095931,-0.005000
1765421057.099075,-0.005000
1765421057.102235,-0.005000
1765421057.105380,-0.005000
1765421057.108542,-0.005000
1765421057.111666,-0.005000
1765421057.114811,-0.005000
1765421057.117982,-0.005000
1765421057.121068,-0.005000
1765421057.124173,-0.005000
1765421057.127241,-0.005000
1765421057.130301,-0.005000
1765421057.133410,-0.005000
1765421057.136526,-0.005000
1765421057.139649,-0.005000
1765421057.142716,-0.005000
1765421057.145794,-0.005000
1765421057.148846,-0.005000
1765421057.151975,-0.005000
1765421057.155171,-0.005000
1765421057.158247,-0.005000
1765421057.161338,-0.005000
1765421057.164453,-0.005000
1765421057.167478,-0.005000
