timestamp,home1_rad,target1_rad,abs_angle1_rad,rel_angle1_rad,deg_angle1,velocity1_rad_s,torque1_Nm,home2_rad,target2_rad,abs_angle2_rad,rel_angle2_rad,deg_angle2,velocity2_rad_s,torque2_Nm,home3_rad,target3_rad,abs_angle3_rad,rel_angle3_rad,deg_angle3,velocity3_rad_s,torque3_Nm,home4_rad,target4_rad,abs_angle4_rad,rel_angle4_rad,deg_angle4,velocity4_rad_s,torque4_Nm
1765421056.727988,0.745594,0.571061,0.745594,0.000000,0.000000,0.008698,-0.010071,0.327497,1.200161,0.327878,0.000381,0.021857,0.010529,-0.000183,-2.025826,-1.851293,-2.025444,0.000381,0.021857,-0.056306,-0.000183,-0.303082,-1.175747,-0.302701,0.000381,0.021857,-0.080110,-0.000183
1765421056.731869,0.745594,0.571061,0.745594,0.000000,0.000000,0.028840,-0.002380,0.327497,1.200161,0.327878,0.000381,0.021857,-0.041657,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,0.028840,0.155459,-0.303082,-1.175747,-0.302701,0.000381,0.021857,-0.075532,-0.000183
1765421056.733947,0.745594,0.571061,0.745975,0.000381,0.021857,0.096590,-0.034241,0.327497,1.200161,0.327878,0.000381,0.021857,-0.013275,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,0.038911,-0.000183,-0.303082,-1.175747,-0.302701,0.000381,0.021857,-0.004120,-0.000183
1765421056.736068,0.745594,0.571061,0.745975,0.000381,0.021857,0.030671,-0.000183,0.327497,1.200161,0.327878,0.000381,0.021857,-0.005035,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,-0.000458,-0.000183,-0.303082,-1.175747,-0.302701,0.000381,0.021857,-0.024262,-0.023255
1765421056.738282,0.745594,0.571061,0.745594,0.000000,0.000000,0.005035,-0.000183,0.327497,1.200161,0.327878,0.000381,0.021857,-0.020600,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,0.029755,-0.000183,-0.303082,-1.175747,-0.302701,0.000381,0.021857,0.037079,-0.000183
1765421056.740430,0.745594,0.571061,0.745975,0.000381,0.021857,0.038911,-0.000183,0.327497,1.200161,0.327878,0.000381,0.021857,-0.000458,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,-0.014191,-0.000183,-0.303082,-1.175747,-0.302701,0.000381,0.021857,-0.001373,-0.000183
1765421056.742426,0.745594,0.571061,0.745975,0.000381,0.021857,-0.040742,-0.000183,0.327497,1.200161,0.327497,0.000000,0.000000,-0.028840,0.019959,-2.025826,-1.851293,-2.025063,0.000763,0.043714,-0.000458,-0.000183,-0.303082,-1.175747,-0.302701,0.000381,0.021857,0.020600,-0.000183
1765421056.744661,0.745594,0.571061,0.745594,0.000000,0.000000,-0.029755,-0.000183,0.327497,1.200161,0.327878,0.000381,0.021857,0.007782,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,0.061799,-0.000183,-0.303082,-1.175747,-0.302701,0.000381,0.021857,-0.059052,-0.000183
1765421056.746798,0.745594,0.571061,0.745594,0.000000,0.000000,-0.025177,-0.000183,0.327497,1.200161,0.327878,0.000381,0.021857,-0.059968,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,0.036164,0.030945,-0.303082,-1.175747,-0.302701,0.000381,0.021857,-0.012360,-0.025818
1765421056.748819,0.745594,0.571061,0.745594,0.000000,0.000000,-0.089265,-0.000183,0.327497,1.200161,0.327878,0.000381,0.021857,-0.000458,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,-0.062715,-0.000183,-0.303082,-1.175747,-0.303082,0.000000,0.000000,0.068208,-0.000183
1765421056.750823,0.745594,0.571061,0.745594,0.000000,0.000000,0.032502,-0.017029,0.327497,1.200161,0.327878,0.000381,0.021857,-0.040742,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,0.016938,0.078553,-0.303082,-1.175747,-0.302701,0.000381,0.021857,0.058137,-0.000183
1765421056.752703,0.745594,0.571061,0.745212,-0.000381,-0.021857,-0.128634,-0.000183,0.327497,1.200161,0.327497,0.000000,0.000000,-0.044404,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,-0.044404,-0.000183,-0.303082,-1.175747,-0.303082,0.000000,0.000000,-0.044404,-0.000183
1765421056.755200,0.745594,0.571061,0.745212,-0.000381,-0.021857,-0.045319,-0.000183,0.327497,1.200161,0.327497,0.000000,0.000000,-0.100252,-0.000183,-2.025826,-1.851293,-2.025444,0.000381,0.021857,-0.041657,-0.000183,-0.303082,-1.175747,-0.303082,0.000000,0.000000,-0.032502,-0.000183
1765421056.757267,0.745594,0.571061,0.745212,-0.000381,-0.021857,-0.046235,-0.044129,0.327497,1.200161,0.327878,0.000381,0.021857,-0.013275,-0.000183,-2.025826,-1.851293,-2.025063,0.000763,0.043714,0.009613,0.026917,-0.303082,-1.175747,-0.303082,0.000000,0.000000,-0.041657,-0.000183
