timestamp,tension (N)
1765421429.259490,0.015000
1765421429.262540,0.015000
1765421429.265582,0.015000
1765421429.268562,0.015000
1765421429.271551,0.015000
1765421429.274499,0.015000
1765421429.277484,0.015000
1765421429.280508,0.015000
1765421429.283511,0.015000
1765421429.286467,0.015000
1765421429.289469,0.015000
1765421429.292468,0.015000
1765421429.295464,0.015000
1765421429.298461,0.015000
1765421429.301477,0.015000
1765421429.304510,0.015000
1765421429.307479,0.015000
1765421429.310508,0.015000
1765421429.313500,0.015000
1765421429.316525,0.015000
1765421429.319597,0.015000
1765421429.322609,0.015000
1765421429.325565,0.015000
1765421429.328537,0.015000
1765421429.331528,0.015000
1765421429.334486,0.015000
1765421429.337425,0.015000
1765421429.340421,0.015000
1765421429.343509,0.015000
1765421429.346495,0.015000
1765421429.349536,0.015000
1765421429.352479,0.015000
1765421429.355591,0.015000
1765421429.358654,0.015000
1765421429.361609,0.015000
1765421429.364617,0.015000
1765421429.367574,0.015000
1765421429.370581,0.015000
1765421429.373579,0.015000
1765421429.378180,0.015000
1765421429.381234,0.015000
1765421429.384286,0.015000
1765421429.387378,0.015000
1765421429.390811,0.015000
1765421429.393992,0.015000
1765421429.397535,0.015000
1765421429.400635,0.015000
1765421429.403681,0.015000
1765421429.406808,0.015000
1765421429.410382,0.015000
1765421429.413346,0.015000
1765421429.416568,0.015000
1765421429.420074,0.015000
1765421429.423129,0.015000
1765421429.426132,0.015000
1765421429.429148,0.015000
1765421429.432192,0.015000
1765421429.435332,0.015000
1765421429.438426,0.015000
1765421429.441418,0.015000
1765421429.444730,0.015000
1765421429.447739,0.015000
1765421429.450847,0.015000
1765421429.453913,0.015000
1765421429.456963,0.015000
1765421429.460021,0.015000
1765421429.463100,0.015000
1765421429.466262,0.015000
1765421429.469346,0.015000
1765421429.472480,0.015000
1765421429.475599,0.015000
1765421429.478705,0.015000
1765421429.481786,0.015000
1765421429.484881,0.015000
1765421429.487877,0.015000
1765421429.490893,0.015000
1765421429.493884,0.015000
1765421429.496919,0.015000
1765421429.499982,0.015000
1765421429.503004,0.015000
1765421429.506041,0.015000
1765421429.509065,0.015000
1765421429.512064,0.015000
1765421429.515159,0.015000
1765421429.518188,0.015000
1765421429.521171,0.015000
