timestamp,tension (N)
1765421722.734983,0.005000
1765421722.737950,0.005000
1765421722.740943,0.005000
1765421722.743972,0.005000
1765421722.746970,0.005000
1765421722.749995,0.005000
1765421722.752975,0.005000
1765421722.756005,0.005000
1765421722.759033,0.005000
1765421722.761994,0.005000
1765421722.764947,0.005000
1765421722.767917,0.005000
1765421722.770918,0.005000
1765421722.773919,0.005000
1765421722.776923,0.005000
1765421722.779896,0.005000
1765421722.782928,0.005000
1765421722.785905,0.005000
1765421722.788915,0.005000
1765421722.792057,0.005000
1765421722.795082,0.005000
1765421722.798122,0.005000
1765421722.801187,0.005000
1765421722.804236,0.005000
1765421722.807297,0.005000
1765421722.810297,0.005000
1765421722.813271,0.005000
1765421722.816374,0.005000
1765421722.819421,0.005000
1765421722.822443,0.005000
1765421722.826410,0.005000
1765421722.829523,0.005000
1765421722.832510,0.005000
1765421722.835713,0.005000
1765421722.838965,0.005000
1765421722.842187,0.005000
1765421722.845785,0.005000
1765421722.848826,0.005000
1765421722.851918,0.005000
1765421722.855170,0.005000
1765421722.858649,0.005000
1765421722.862072,0.005000
1765421722.865265,0.005000
1765421722.868604,0.005000
1765421722.871857,0.005000
1765421722.874992,0.005000
1765421722.878806,0.005000
1765421722.882044,0.005000
1765421722.885158,0.005000
1765421722.888244,0.005000
1765421722.891309,0.005000
1765421722.894425,0.005000
1765421722.897605,0.005000
1765421722.900834,0.005000
1765421722.904001,0.005000
1765421722.907167,0.005000
1765421722.910366,0.005000
1765421722.913541,0.005000
1765421722.916878,0.005000
1765421722.920060,0.005000
1765421722.923255,0.005000
1765421722.926396,0.005000
1765421722.929592,0.005000
1765421722.932745,0.005000
1765421722.935908,0.005000
1765421722.939092,0.005000
1765421722.942243,0.005000
1765421722.945340,0.005000
1765421722.948395,0.005000
1765421722.951523,0.005000
1765421722.954632,0.005000
1765421722.957775,0.005000
1765421722.960913,0.005000
1765421722.964125,0.005000
1765421722.967431,0.005000
1765421722.970699,0.005000
1765421722.973972,0.005000
1765421722.977163,0.005000
1765421722.980319,0.005000
1765421722.983429,0.005000
1765421722.986479,0.005000
1765421722.989551,0.005000
1765421722.992875,0.005000
1765421722.996002,0.005000
1765421723.001679,0.005000
1765421723.004858,0.005000
1765421723.007940,0.005000
1765421723.010966,0.005000
1765421723.014038,0.005000
1765421723.017124,0.005000
1765421723.020537,0.005000
1765421723.023635,0.005000
1765421723.026660,0.005000
1765421723.029801,0.005000
1765421723.033327,0.005000
1765421723.036327,0.005000
1765421723.039305,0.005000
1765421723.042468,0.005000
1765421723.046061,0.005000
1765421723.049098,0.005000
1765421723.052090,0.005000
1765421723.055095,0.005000
1765421723.058073,0.005000
1765421723.061041,0.005000
1765421723.064225,0.005000
1765421723.067233,0.005000
1765421723.070248,0.005000
1765421723.073227,0.005000
1765421723.076270,0.005000
1765421723.079334,0.005000
1765421723.082377,0.005000
1765421723.085351,0.005000
1765421723.088352,0.005000
1765421723.091344,0.005000
1765421723.094302,0.005000
1765421723.097279,0.005000
1765421723.100372,0.005000
1765421723.103448,0.005000
1765421723.106486,0.005000
1765421723.109572,0.005000
1765421723.112681,0.005000
1765421723.115696,0.005000
1765421723.118751,0.005000
1765421723.121721,0.005000
1765421723.124737,0.005000
1765421723.127713,0.005000
1765421723.130729,0.005000
1765421723.133754,0.005000
1765421723.136746,0.005000
1765421723.139726,0.005000
1765421723.142727,0.005000
1765421723.145797,0.005000
1765421723.148774,0.005000
1765421723.151818,0.005000
1765421723.154843,0.005000
1765421723.157839,0.005000
1765421723.160901,0.005000
1765421723.163953,0.005000
1765421723.167014,0.005000
1765421723.170926,0.005000
1765421723.173954,0.005000
1765421723.176985,0.005000
1765421723.180169,0.005000
1765421723.183655,0.005000
1765421723.186693,0.005000
1765421723.190273,0.005000
1765421723.193289,0.005000
1765421723.196244,0.005000
1765421723.199463,0.005000
1765421723.202986,0.005000
1765421723.205983,0.005000
1765421723.208992,0.005000
1765421723.212223,0.005000
1765421723.215782,0.005000
1765421723.218787,0.005000
1765421723.221787,0.005000
1765421723.224845,0.005000
1765421723.227829,0.005000
1765421723.230838,0.005000
1765421723.233850,0.005000
1765421723.236812,0.005000
1765421723.239762,0.005000
1765421723.242732,0.005000
1765421723.245686,0.005000
1765421723.248687,0.005000
1765421723.251680,0.005000
1765421723.254692,0.005000
1765421723.257698,0.005000
1765421723.260772,0.005000
1765421723.263791,0.005000
1765421723.266826,0.005000
1765421723.269851,0.005000
1765421723.272850,0.005000
1765421723.275894,0.005000
1765421723.279107,0.005000
1765421723.282391,0.005000
1765421723.285434,0.005000
1765421723.288362,0.005000
1765421723.291465,0.005000
1765421723.294434,0.005000
1765421723.297434,0.005000
1765421723.300538,0.005000
1765421723.303631,0.005000
1765421723.306731,0.005000
1765421723.309680,0.005000
1765421723.312684,0.005000
1765421723.315947,0.005000
1765421723.318927,0.005000
1765421723.321945,0.005000
1765421723.325979,0.005000
1765421723.328976,0.005000
1765421723.331968,0.005000
1765421723.335135,0.005000
1765421723.338499,0.005000
1765421723.341744,0.005000
1765421723.345262,0.005000
1765421723.348287,0.005000
1765421723.351337,0.005000
1765421723.354482,0.005000
