timestamp,tension (N)
1765240587.907777,0.020000
1765240587.910375,0.020000
1765240587.913105,0.020000
1765240587.915726,0.020000
1765240587.918395,0.020000
1765240587.921072,0.020000
1765240587.923649,0.020000
1765240587.926171,0.020000
1765240587.928735,0.000000
1765240587.931105,0.000000
1765240587.933711,0.020000
1765240587.936140,0.000000
1765240587.938510,0.000000
1765240587.940947,0.000000
1765240587.943361,0.000000
1765240587.945814,0.000000
1765240587.948357,0.000000
1765240587.950831,0.000000
1765240587.953327,0.000000
1765240587.955734,0.000000
1765240587.958131,0.000000
1765240587.960549,0.000000
1765240587.963052,0.000000
1765240587.965463,0.000000
1765240587.967845,0.000000
1765240587.970297,0.000000
1765240587.972645,0.000000
1765240587.975096,0.000000
1765240587.977577,0.000000
1765240587.980107,0.000000
1765240587.982668,0.000000
1765240587.985080,0.000000
1765240587.987530,0.000000
1765240587.989939,0.000000
1765240587.992381,0.000000
1765240587.994876,0.000000
1765240587.998654,0.000000
1765240588.001149,0.000000
1765240588.003585,0.000000
1765240588.006140,0.000000
1765240588.008707,0.000000
1765240588.011583,0.000000
1765240588.014455,0.000000
1765240588.017755,0.000000
1765240588.020251,0.000000
1765240588.022756,0.000000
1765240588.025206,0.000000
1765240588.027734,0.000000
1765240588.030791,0.000000
1765240588.033372,0.000000
1765240588.035886,0.000000
1765240588.039156,0.000000
1765240588.041666,0.000000
1765240588.044178,0.000000
1765240588.047421,0.000000
1765240588.049954,0.000000
1765240588.052824,0.000000
1765240588.055880,0.020000
1765240588.058346,0.000000
1765240588.061101,0.020000
1765240588.063868,0.020000
1765240588.066539,0.020000
1765240588.069216,0.020000
1765240588.071878,0.020000
1765240588.074584,0.020000
1765240588.077257,0.020000
1765240588.079827,0.020000
1765240588.082376,0.020000
1765240588.085104,0.020000
1765240588.087728,0.020000
1765240588.090345,0.020000
1765240588.092997,0.020000
1765240588.095603,0.020000
1765240588.098277,0.020000
1765240588.100982,0.020000
1765240588.103648,0.020000
1765240588.106222,0.020000
1765240588.108891,0.020000
1765240588.111534,0.020000
1765240588.114165,0.020000
1765240588.116845,0.020000
1765240588.119357,0.020000
1765240588.122030,0.020000
1765240588.124696,0.020000
1765240588.127343,0.020000
1765240588.129969,0.020000
1765240588.132601,0.020000
1765240588.135168,0.020000
1765240588.137853,0.020000
1765240588.140496,0.020000
1765240588.143143,0.020000
1765240588.145888,0.020000
1765240588.148567,0.020000
1765240588.151294,0.020000
1765240588.153943,0.020000
1765240588.156543,0.020000
1765240588.159105,0.020000
1765240588.161706,0.020000
1765240588.164242,0.020000
1765240588.168606,0.020000
1765240588.171174,0.020000
1765240588.173806,0.020000
1765240588.176430,0.020000
1765240588.179189,0.020000
1765240588.182194,0.020000
1765240588.185313,0.020000
1765240588.188727,0.020000
1765240588.191398,0.020000
1765240588.194171,0.020000
1765240588.196777,0.020000
1765240588.199391,0.020000
1765240588.202514,0.020000
1765240588.205129,0.020000
1765240588.207718,0.020000
1765240588.210335,0.020000
1765240588.213062,0.020000
1765240588.215707,0.020000
1765240588.218336,0.020000
1765240588.221564,0.020000
1765240588.224444,0.020000
1765240588.227158,0.020000
1765240588.230235,0.020000
1765240588.232801,0.020000
1765240588.235377,0.020000
