timestamp,phase_index,target1_rad,angle1_rad,velocity1_rad_s,torque1_Nm,target2_rad,angle2_rad,velocity2_rad_s,torque2_Nm
1765240588.068770,1.000000,-1.902168,0.012207,0.055390,-0.000183,-1.116770,0.000381,0.046235,-0.081117
1765240588.069688,1.000000,-1.902168,0.012207,-0.003204,-0.000183,-1.116770,0.000000,-0.006867,-0.214786
1765240588.070493,1.000000,-1.902168,0.012207,0.009613,-0.010437,-1.116770,0.000381,-0.027924,-0.089174
1765240588.071118,1.000000,-1.902168,0.012207,0.077363,-0.000183,-1.116770,0.000000,0.042573,-0.095399
1765240588.071821,1.000000,-1.902168,0.012207,0.015106,-0.000183,-1.116770,0.000381,0.010529,-0.091371
1765240588.072511,1.000000,-1.902168,0.012207,-0.074617,-0.000183,-1.116770,0.000381,0.022431,-0.000183
1765240588.073157,1.000000,-1.902168,0.012207,0.006867,-0.000183,-1.116770,0.000000,-0.068208,-0.073060
1765240588.073894,1.000000,-1.902168,0.012207,0.043488,-0.000183,-1.116770,0.000381,0.010529,-0.000183
1765240588.074670,1.000000,-1.902168,0.012207,-0.035248,-0.000183,-1.116770,0.000381,0.036164,-0.000183
1765240588.075295,1.000000,-1.902168,0.012207,-0.059968,-0.000183,-1.116770,0.000381,0.007782,-0.092470
1765240588.075872,1.000000,-1.902168,0.012207,0.014191,-0.000183,-1.116770,0.000381,-0.021515,-0.005676
1765240588.076482,1.000000,-1.902168,0.012207,-0.003204,-0.000183,-1.116770,0.000381,0.026093,-0.088808
1765240588.077130,1.000000,-1.902168,0.012207,-0.087434,-0.000183,-1.116770,0.000000,-0.037079,-0.000183
1765240588.077737,1.000000,-1.902168,0.011826,0.037079,-0.000183,-1.116770,0.000000,-0.071870,-0.000183
1765240588.078482,1.000000,-1.902168,0.000381,0.019684,-0.056580,-1.116770,0.011826,-0.001373,-0.000183
1765240588.079931,1.000000,-1.902168,0.000381,-0.025177,-0.000183,-1.116770,0.012207,0.030671,-0.000183
1765240588.080974,1.000000,-1.902168,0.000000,-0.009613,-0.019959,-1.116770,0.012207,-0.009613,-0.002380
1765240588.082085,1.000000,-1.902168,0.000000,-0.010529,-0.000183,-1.116770,0.011826,-0.093843,-0.000183
1765240588.083106,1.000000,-1.902168,0.000000,-0.023346,-0.000183,-1.116770,0.011826,-0.004120,-0.000183
1765240588.084513,1.000000,-1.902168,0.000000,-0.154269,-0.165713,-1.116770,0.011826,-0.027008,-0.000183
1765240588.085666,1.000000,-1.902168,0.000000,-0.024262,-0.000183,-1.116770,0.011826,-0.088350,-0.000183
1765240588.086754,1.000000,-1.902168,-0.000381,-0.085603,-0.000183,-1.116770,0.011826,-0.023346,-0.000183
1765240588.087964,1.000000,-1.902168,-0.000381,-0.064546,-0.000183,-1.116770,0.011444,-0.095674,-0.000183
1765240588.088991,1.000000,-1.902168,-0.000381,0.060883,-0.000183,-1.116770,0.011826,0.044404,-0.000183
1765240588.090088,1.000000,-1.902168,0.000000,-0.014191,-0.047425,-1.116770,0.011826,-0.027924,-0.000183
1765240588.091192,1.000000,-1.902168,0.000000,-0.031586,-0.048524,-1.116770,0.011826,-0.008698,-0.000183
1765240588.092558,1.000000,-1.902168,-0.000381,-0.054475,-0.000183,-1.116770,0.011444,-0.003204,-0.000183
1765240588.093878,1.000000,-1.902168,-0.000381,0.044404,-0.000183,-1.116770,0.011444,0.019684,-0.000183
1765240588.095514,1.000000,-1.902168,-0.000381,-0.044404,-0.051820,-1.116770,0.011444,-0.056306,-0.000183
1765240588.096594,1.000000,-1.902168,-0.000381,0.013275,-0.000183,-1.116770,0.011444,0.004120,-0.047791
1765240588.097668,1.000000,-1.902168,-0.000381,-0.012360,-0.059876,-1.116770,0.011444,-0.083772,-0.094301
1765240588.098710,1.000000,-1.902168,-0.000381,0.026093,-0.040101,-1.116770,0.011444,-0.036164,-0.097597
1765240588.099840,1.000000,-1.902168,-0.000381,0.055390,-0.000183,-1.116770,0.011444,-0.022431,-0.000183
1765240588.101026,1.000000,-1.902168,-0.000381,0.007782,-0.000183,-1.116770,0.011063,-0.055390,-0.000183
1765240588.102097,1.000000,-1.902168,-0.000381,-0.013275,-0.008240,-1.116770,0.011063,-0.022431,-0.000183
1765240588.103157,1.000000,-1.902168,-0.000381,-0.056306,-0.024720,-1.116770,0.011063,0.008698,-0.010437
1765240588.104379,1.000000,-1.902168,-0.000381,-0.039826,-0.069032,-1.116770,0.011063,-0.119478,-0.000183
1765240588.105417,1.000000,-1.902168,-0.000381,-0.094759,-0.051087,-1.116770,0.011063,0.026093,-0.000183
1765240588.106473,1.000000,-1.902168,-0.000381,-0.027008,-0.000183,-1.116770,0.011063,-0.000458,-0.033875
1765240588.107605,1.000000,-1.902168,-0.000763,-0.023346,-0.055116,-1.116770,0.011063,-0.055390,-0.000183
1765240588.108645,1.000000,-1.902168,-0.000763,-0.011444,-0.138979,-1.116770,0.010681,-0.048066,-0.003479
1765240588.109773,1.000000,-1.902168,-0.000381,0.067292,-0.038270,-1.116770,0.011063,-0.001373,-0.000183
1765240588.110796,1.000000,-1.902168,-0.000381,-0.023346,-0.032776,-1.116770,0.010681,-0.103914,-0.044495
1765240588.111853,1.000000,-1.902168,-0.000381,-0.004120,-0.139712,-1.116770,0.010681,-0.074617,-0.000183
1765240588.113061,1.000000,-1.902168,-0.000381,0.079194,-0.039368,-1.116770,0.010681,-0.030671,-0.002014
1765240588.114104,1.000000,-1.902168,-0.000381,0.015106,-0.099794,-1.116770,0.010681,-0.057221,-0.070497
1765240588.115121,1.000000,-1.902168,-0.000381,0.022431,-0.108949,-1.116770,0.010681,0.022431,-0.000183
1765240588.116131,1.000000,-1.902168,-0.000381,0.043488,-0.001648,-1.116770,0.010681,0.005951,-0.000183
1765240588.117255,1.000000,-1.902168,-0.000381,-0.042573,-0.000183,-1.116770,0.010681,-0.052644,-0.100160
1765240588.118269,1.000000,-1.902168,-0.000381,-0.009613,-0.023987,-1.116770,0.010681,-0.067292,-0.009339
1765240588.119286,1.000000,-1.902168,-0.000381,-0.030671,-0.000183,-1.116770,0.010681,-0.079194,-0.066468
1765240588.120355,1.000000,-1.902168,-0.000381,-0.048066,-0.039734,-1.116770,0.010681,0.008698,-0.091737
1765240588.121433,1.000000,-1.902168,-0.000381,0.003204,-0.028382,-1.116770,0.010681,0.015106,-0.000183
1765240588.122437,1.000000,-1.902168,-0.000381,-0.016938,-0.000183,-1.116770,0.010681,-0.012360,-0.029847
1765240588.123386,1.000000,-1.902168,-0.000381,-0.019684,-0.036072,-1.116770,0.010681,-0.022431,-0.028748
1765240588.124503,1.000000,-1.902168,-0.000763,-0.079194,-0.027283,-1.116770,0.010300,0.037079,-0.077821
1765240588.125587,1.000000,-1.902168,-0.000381,0.032502,-0.000183,-1.116770,0.010681,-0.017853,-0.000183
1765240588.126595,1.000000,-1.902168,-0.000381,-0.021515,-0.057679,-1.116770,0.010681,-0.016022,-0.102724
1765240588.127588,1.000000,-1.902168,-0.000381,-0.007782,-0.063172,-1.116770,0.010300,-0.009613,-0.065370
1765240588.128608,1.000000,-1.902168,-0.000381,0.053559,-0.000183,-1.116770,0.010681,-0.008698,-0.047059
1765240588.129666,1.000000,-1.902168,-0.000381,-0.047150,-0.166445,-1.116770,0.010300,-0.035248,-0.013367
1765240588.130662,1.000000,-1.902168,-0.000381,0.077363,-0.115541,-1.116770,0.010300,-0.016938,-0.000183
1765240588.131703,1.000000,-1.902168,-0.000381,0.060883,-0.000183,-1.116770,0.010300,0.027924,-0.000183
1765240588.132755,1.000000,-1.902168,-0.000381,-0.042573,-0.096498,-1.116770,0.010300,-0.032502,-0.069032
1765240588.133868,1.000000,-1.902168,-0.000381,-0.032502,-0.143740,-1.116770,0.010300,0.004120,-0.017762
1765240588.134943,1.000000,-1.902168,-0.000763,-0.001373,-0.000183,-1.116770,0.010300,-0.019684,-0.028016
1765240588.135999,1.000000,-1.902168,-0.000381,0.031586,-0.075257,-1.116770,0.010300,0.005035,-0.030213
1765240588.137075,1.000000,-1.902168,-0.000763,-0.022431,-0.129091,-1.116770,0.010300,-0.069123,-0.000183
1765240588.138087,1.000000,-1.902168,-0.000763,0.010529,-0.000183,-1.116770,0.010300,0.039826,-0.000183
1765240588.139081,1.000000,-1.902168,-0.000381,0.055390,-0.000183,-1.116770,0.010300,0.005951,-0.024353
1765240588.140078,1.000000,-1.902168,-0.000763,-0.066377,-0.194278,-1.116770,0.010300,-0.007782,-0.003113
1765240588.141078,1.000000,-1.902168,-0.000381,-0.016938,-0.000183,-1.116770,0.010300,-0.031586,-0.000183
1765240588.142059,1.000000,-1.902168,-0.000763,-0.054475,-0.128359,-1.116770,0.010300,0.033417,-0.050355
1765240588.143120,1.000000,-1.902168,-0.000763,0.017853,-0.000183,-1.116770,0.010300,0.003204,-0.047425
1765240588.144213,1.000000,-1.902168,-0.000763,-0.050813,-0.057679,-1.116770,0.010300,-0.045319,-0.106020
1765240588.145299,1.000000,-1.902168,-0.000763,-0.009613,-0.025452,-1.116770,0.010300,-0.056306,-0.000183
1765240588.146321,1.000000,-1.902168,-0.000763,0.041657,-0.010803,-1.116770,0.010300,-0.031586,-0.021057
1765240588.147410,1.000000,-1.902168,-0.000381,0.035248,-0.209659,-1.116770,0.010300,-0.025177,-0.000183
1765240588.148448,1.000000,-1.902168,-0.000763,0.004120,-0.036805,-1.116770,0.010300,0.031586,-0.000183
1765240588.149428,1.000000,-1.902168,-0.000763,-0.045319,-0.120302,-1.116770,0.010300,0.027008,-0.000183
1765240588.150443,1.000000,-1.902168,-0.000763,-0.003204,-0.025452,-1.116770,0.010300,-0.007782,-0.055848
1765240588.151451,1.000000,-1.902168,-0.000763,-0.095674,-0.044862,-1.116770,0.009918,-0.008698,-0.000183
1765240588.152510,1.000000,-1.902168,-0.000763,-0.013275,-0.010803,-1.116770,0.009918,-0.087434,-0.104189
1765240588.153559,1.000000,-1.902168,-0.000763,0.026093,-0.000183,-1.116770,0.009918,-0.025177,-0.000183
1765240588.154639,1.000000,-1.902168,-0.000763,0.013275,-0.118471,-1.116770,0.009918,-0.057221,-0.000183
1765240588.155673,1.000000,-1.902168,-0.000763,0.020600,-0.133486,-1.116770,0.009918,-0.030671,-0.063172
1765240588.156768,1.000000,-1.902168,-0.000763,-0.028840,-0.000183,-1.116770,0.009918,0.032502,-0.000183
1765240588.157804,1.000000,-1.902168,-0.000763,-0.017853,-0.057679,-1.116770,0.009918,0.008698,-0.084047
1765240588.158915,1.000000,-1.902168,-0.001144,-0.003204,-0.056580,-1.116770,0.009918,-0.030671,-0.017762
1765240588.159898,1.000000,-1.902168,-0.000763,0.073701,-0.142275,-1.116770,0.009918,0.070954,-0.118471
1765240588.160849,1.000000,-1.902168,-0.000763,0.030671,-0.010803,-1.116770,0.009918,-0.047150,-0.012634
1765240588.162090,1.000000,-1.902168,-0.000763,-0.045319,-0.196109,-1.116770,0.009918,0.041657,-0.076722
1765240588.163308,1.000000,-1.902168,-0.000763,0.014191,-0.008240,-1.116770,0.010300,0.002289,-0.077821
1765240588.164403,1.000000,-1.902168,-0.000763,0.005035,-0.076356,-1.116770,0.009918,-0.004120,-0.052186
1765240588.165469,1.000000,-1.902168,-0.000763,0.056306,-0.118837,-1.116770,0.010300,0.073701,-0.007141
1765240588.166614,1.000000,-1.902168,-0.000763,0.007782,-0.000183,-1.116770,0.009918,0.023346,-0.003479
1765240588.167655,1.000000,-1.902168,-0.000763,0.014191,-0.027283,-1.116770,0.009918,-0.026093,-0.000183
1765240588.168671,1.000000,-1.902168,-0.000763,-0.030671,-0.154726,-1.116770,0.010300,0.017853,-0.052552
1765240588.169724,1.000000,-1.902168,-0.000763,0.038911,-0.007507,-1.116770,0.009918,-0.037079,-0.062440
1765240588.170756,1.000000,-1.902168,-0.000763,-0.042573,-0.007507,-1.116770,0.009918,-0.057221,-0.000183
1765240588.171815,1.000000,-1.902168,-0.000763,-0.007782,-0.007874,-1.116770,0.010300,0.001373,-0.100160
1765240588.172871,1.000000,-1.902168,-0.000763,-0.034333,-0.139712,-1.116770,0.009918,-0.089265,-0.000183
1765240588.173921,1.000000,-1.902168,-0.000763,-0.014191,-0.000183,-1.116770,0.009918,-0.049897,-0.000183
1765240588.174981,1.000000,-1.902168,-0.000763,0.005035,-0.000183,-1.116770,0.009918,-0.029755,-0.000183
1765240588.176039,1.000000,-1.902168,-0.000763,-0.050813,-0.261662,-1.116770,0.009918,-0.020600,-0.000183
1765240588.177028,1.000000,-1.902168,-0.000763,0.021515,-0.000183,-1.116770,0.009918,0.013275,-0.077455
1765240588.177972,1.000000,-1.902168,-0.000763,-0.058137,-0.021424,-1.116770,0.009918,-0.016938,-0.093202
1765240588.179236,1.000000,-1.902168,-0.000763,0.002289,-0.000183,-1.116770,0.009918,0.002289,-0.000183
1765240588.180308,1.000000,-1.902168,-0.000763,-0.027008,-0.126894,-1.116770,0.009537,-0.004120,-0.056580
1765240588.181405,1.000000,-1.902168,-0.001144,-0.032502,-0.064271,-1.116770,0.009918,0.071870,-0.067567
1765240588.182510,1.000000,-1.902168,-0.001144,-0.007782,-0.011536,-1.116770,0.009918,0.028840,-0.021790
1765240588.183562,1.000000,-1.902168,-0.000763,0.050813,-0.038270,-1.116770,0.009918,0.070039,-0.068299
1765240588.184565,1.000000,-1.902168,-0.000763,0.016938,-0.071962,-1.116770,0.009918,-0.001373,-0.041199
1765240588.185640,1.000000,-1.902168,-0.000763,-0.010529,-0.022522,-1.116770,0.009918,0.060883,-0.083314
1765240588.186633,1.000000,-1.902168,-0.000763,0.023346,-0.101259,-1.116770,0.009918,-0.052644,-0.057679
1765240588.187643,1.000000,-1.902168,-0.000763,-0.027924,-0.101259,-1.116770,0.009918,0.002289,-0.061707
1765240588.188656,1.000000,-1.902168,-0.000763,-0.012360,-0.050355,-1.116770,0.009918,0.069123,-0.091371
1765240588.189713,1.000000,-1.902168,-0.000763,-0.006867,-0.000183,-1.116770,0.009918,0.066377,-0.005310
1765240588.190646,1.000000,-1.902168,-0.000763,0.009613,-0.138613,-1.116770,0.009918,0.031586,-0.051087
1765240588.191659,1.000000,-1.902168,-0.000763,-0.035248,-0.084779,-1.116770,0.009918,-0.013275,-0.000183
1765240588.192620,1.000000,-1.902168,-0.000763,-0.049897,-0.052552,-1.116770,0.009918,-0.008698,-0.013367
1765240588.193719,1.000000,-1.902168,-0.000763,0.005951,-0.000183,-1.116770,0.009918,-0.016022,-0.017029
1765240588.194760,1.000000,-1.902168,-0.000763,0.050813,-0.017029,-1.116770,0.009918,-0.006867,-0.092470
1765240588.195936,1.000000,-1.902168,-0.000763,-0.029755,-0.063539,-1.116770,0.009918,0.022431,-0.116640
1765240588.197085,1.000000,-1.902168,-0.000763,0.019684,-0.001282,-1.116770,0.009918,0.048066,-0.000916
1765240588.198067,1.000000,-1.902168,-0.000763,0.018769,-0.012634,-1.116770,0.009918,-0.000458,-0.000183
1765240588.199175,1.000000,-1.902168,-0.000763,0.004120,-0.092103,-1.116770,0.009918,0.001373,-0.082216
1765240588.200129,1.000000,-1.902168,-0.000763,0.024262,-0.014466,-1.116770,0.009918,-0.023346,-0.034241
1765240588.201149,1.000000,-1.902168,-0.000763,-0.024262,-0.040467,-1.116770,0.009918,-0.072786,-0.000183
1765240588.202192,1.000000,-1.902168,-0.000763,-0.017853,-0.123964,-1.116770,0.009918,-0.027008,-0.061707
