timestamp,phase_index,target1_rad,angle1_rad,velocity1_rad_s,torque1_Nm,target2_rad,angle2_rad,velocity2_rad_s,torque2_Nm
1765240398.601392,1.000000,-8.293028,-0.001907,0.028840,-0.000183,-7.507630,6.433967,-0.028840,-0.000183
1765240398.603074,1.000000,-8.293028,-0.002289,-0.079194,-0.080385,-7.507630,6.433967,-0.026093,-0.000183
1765240398.604830,1.000000,-8.293028,-0.001907,-0.003204,-0.017395,-7.507630,6.433967,-0.047150,-0.000183
1765240398.606298,1.000000,-8.293028,-0.001907,-0.006867,-0.142641,-7.507630,6.433585,-0.071870,-0.000183
1765240398.607606,1.000000,-8.293028,-0.001907,0.067292,-0.050721,-7.507630,6.433967,-0.002289,-0.000183
1765240398.609038,1.000000,-8.293028,-0.002289,0.018769,-0.000183,-7.507630,6.433585,0.023346,-0.000183
1765240398.610373,1.000000,-8.293028,-0.001907,0.025177,-0.028748,-7.507630,6.433585,-0.060883,-0.000183
1765240398.611651,1.000000,-8.293028,-0.001907,0.003204,-0.084779,-7.507630,6.433585,-0.049897,-0.000183
1765240398.613032,1.000000,-8.293028,-0.001907,-0.096590,-0.023621,-7.507630,6.433585,-0.037995,-0.000183
1765240398.614319,1.000000,-8.293028,-0.001907,-0.037079,-0.084047,-7.507630,6.433585,-0.070954,-0.065736
1765240398.615645,1.000000,-8.293028,-0.002289,-0.006867,-0.000183,-7.507630,6.433585,-0.043488,-0.040833
1765240398.616836,1.000000,-8.293028,-0.001907,-0.008698,-0.195743,-7.507630,6.433585,-0.014191,-0.000183
1765240398.618096,1.000000,-8.293028,-0.001907,0.064546,0.028748,-7.507630,6.433585,-0.016022,-0.023987
1765240398.619280,1.000000,-8.293028,-0.001907,0.005035,-0.000183,-7.507630,6.433585,-0.051728,-0.000183
1765240398.620575,1.000000,-8.293028,-0.001907,-0.048066,-0.206729,-7.507630,6.433204,-0.074617,-0.036072
1765240398.621884,1.000000,-8.293028,-0.002289,-0.037079,-0.034607,-7.507630,6.433204,-0.134127,-0.000183
1765240398.623036,1.000000,-8.293028,-0.001907,0.085603,-0.000183,-7.507630,6.433204,-0.048066,-0.000183
1765240398.624286,1.000000,-8.293028,-0.002289,0.014191,-0.000183,-7.507630,6.432822,-0.086519,-0.003479
1765240398.625445,1.000000,-8.293028,-0.002289,-0.028840,-0.000183,-7.507630,6.432822,-0.009613,-0.000183
1765240398.626613,1.000000,-8.293028,-0.001907,0.072786,-0.000183,-7.507630,6.432822,-0.051728,-0.074159
