timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765229794.621223,0.000000,0.000000,0.048981,-0.000183
1765229794.621684,,,,
1765229794.621789,0.000381,0.021857,0.067292,-0.000183
1765229794.621943,0.000000,0.000000,0.094759,-0.000183
1765229794.622357,0.000000,0.000000,0.081941,-0.000183
1765229794.622904,0.000000,0.000000,0.009613,-0.072328
1765229794.623443,0.000000,0.000000,0.007782,-0.018494
1765229794.623977,0.000000,0.000000,-0.035248,-0.000183
1765229794.624475,0.000000,0.000000,-0.009613,-0.020325
1765229794.624958,0.000000,0.000000,-0.016938,-0.035340
1765229794.625487,0.000000,0.000000,-0.084688,-0.044495
1765229794.625992,0.000000,0.000000,-0.057221,-0.000183
1765229794.626501,0.000000,0.000000,-0.083772,-0.000183
1765229794.627027,0.000000,0.000000,-0.031586,-0.000183
1765229794.627518,0.000000,0.000000,0.004120,-0.000183
1765229794.627979,0.000000,0.000000,-0.020600,-0.000183
1765229794.628480,0.000000,0.000000,0.007782,-0.040833
1765229794.628969,-0.000381,-0.021857,-0.036164,-0.000183
1765229794.629452,-0.000381,-0.021857,-0.071870,-0.056214
1765229794.629951,0.000000,0.000000,0.021515,-0.000183
1765229794.630448,-0.000381,-0.021857,-0.046235,-0.000183
1765229794.630970,-0.000381,-0.021857,-0.067292,-0.003479
1765229794.631480,-0.000381,-0.021857,-0.069123,-0.000183
1765229794.631950,0.000000,0.000000,0.008698,-0.000183
1765229794.632454,0.000000,0.000000,0.002289,-0.000183
1765229794.632979,-0.000381,-0.021857,-0.003204,-0.000183
1765229794.633441,-0.000381,-0.021857,-0.033417,-0.037171
1765229794.633974,-0.000381,-0.021857,-0.080110,-0.000183
1765229794.634463,-0.000381,-0.021857,-0.021515,-0.000183
1765229794.634981,0.000000,0.000000,0.004120,-0.000183
1765229794.635547,-0.000381,-0.021857,0.009613,-0.000183
1765229794.636168,-0.000381,-0.021857,-0.020600,-0.000183
1765229794.636633,-0.000381,-0.021857,0.009613,-0.000183
1765229794.637114,-0.000381,-0.021857,0.022431,-0.000183
1765229794.637601,-0.000381,-0.021857,-0.016022,-0.071229
1765229794.638136,-0.000381,-0.021857,-0.094759,-0.000183
1765229794.638628,-0.000381,-0.021857,-0.103914,-0.000183
1765229794.639158,-0.000381,-0.021857,-0.032502,-0.000183
1765229794.639648,-0.000381,-0.021857,-0.034333,-0.029847
1765229794.640112,-0.000381,-0.021857,-0.052644,-0.000183
1765229794.640665,-0.000763,-0.043714,-0.048981,-0.051453
1765229794.641204,-0.000381,-0.021857,-0.021515,-0.007141
1765229794.641721,-0.000381,-0.021857,-0.010529,-0.000183
1765229794.642211,-0.000763,-0.043714,-0.022431,-0.054017
1765229794.642727,-0.000763,-0.043714,-0.058137,-0.033143
1765229794.643216,-0.000381,-0.021857,-0.008698,-0.000183
1765229794.643722,-0.000381,-0.021857,0.037079,-0.000183
1765229794.644207,-0.000381,-0.021857,-0.009613,-0.042298
1765229794.644719,-0.000381,-0.021857,0.036164,-0.000183
1765229794.645335,-0.000381,-0.021857,0.087434,-0.000183
1765229794.645880,-0.000381,-0.021857,0.045319,-0.000183
1765229794.646380,-0.000763,-0.043714,-0.065461,-0.016297
1765229794.646902,-0.000381,-0.021857,-0.069123,-0.023255
1765229794.647381,-0.000381,-0.021857,0.005035,-0.000183
1765229794.647856,-0.000381,-0.021857,0.035248,-0.000183
