timestamp,tension (N)
1765229828.120610,-3.240000
1765229828.123593,-3.240000
1765229828.126465,-3.240000
1765229828.129534,-3.240000
1765229828.132493,-3.240000
1765229828.135416,-3.240000
1765229828.138443,-3.240000
1765229828.141411,-3.240000
1765229828.144288,-3.240000
1765229828.147078,-3.240000
1765229828.149915,-3.240000
1765229828.152828,-3.240000
1765229828.155677,-3.240000
1765229828.158479,-3.240000
1765229828.161306,-3.240000
1765229828.164102,-3.240000
1765229828.166976,-3.240000
1765229828.169884,-3.240000
1765229828.172733,-3.240000
1765229828.175513,-3.240000
1765229828.178293,-3.240000
1765229828.181177,-3.240000
1765229828.183960,-3.240000
1765229828.186764,-3.240000
1765229828.189585,-3.240000
1765229828.192382,-3.240000
1765229828.195195,-3.240000
1765229828.198075,-3.240000
1765229828.200889,-3.240000
1765229828.203673,-3.240000
1765229828.206548,-3.240000
1765229828.209374,-3.240000
1765229828.212196,-3.240000
1765229828.214975,-3.240000
1765229828.217825,-3.240000
1765229828.220660,-3.240000
1765229828.223492,-3.240000
1765229828.226311,-3.240000
1765229828.229146,-3.240000
1765229828.232030,-3.240000
1765229828.234885,-3.240000
1765229828.237755,-3.240000
1765229828.240635,-3.240000
1765229828.243506,-3.240000
1765229828.246320,-3.240000
1765229828.251047,-3.240000
1765229828.253956,-3.240000
1765229828.256876,-3.240000
1765229828.260485,-3.240000
1765229828.263870,-3.240000
1765229828.267504,-3.240000
1765229828.270773,-3.220000
1765229828.273617,-3.220000
1765229828.276413,-3.240000
1765229828.279281,-3.240000
1765229828.282194,-3.220000
1765229828.285321,-3.220000
1765229828.288167,-3.220000
1765229828.290998,-3.220000
1765229828.294659,-3.220000
1765229828.297676,-3.220000
1765229828.300583,-3.240000
1765229828.303923,-3.240000
1765229828.306887,-3.240000
1765229828.309925,-3.220000
1765229828.313226,-3.220000
1765229828.316068,-3.220000
1765229828.318926,-3.220000
1765229828.321819,-3.220000
1765229828.324874,-3.220000
1765229828.327715,-3.220000
1765229828.330563,-3.220000
1765229828.333481,-3.220000
1765229828.336364,-3.220000
1765229828.339316,-3.220000
1765229828.342371,-3.220000
1765229828.345325,-3.220000
1765229828.348362,-3.220000
1765229828.351370,-3.220000
1765229828.354314,-3.220000
1765229828.357340,-3.220000
1765229828.360457,-3.220000
1765229828.363532,-3.220000
1765229828.366546,-3.220000
1765229828.369510,-3.220000
1765229828.372457,-3.220000
1765229828.375401,-3.220000
1765229828.378383,-3.220000
1765229828.381428,-3.220000
1765229828.384456,-3.220000
1765229828.387320,-3.200000
1765229828.390265,-3.200000
1765229828.393106,-3.200000
1765229828.395964,-3.200000
1765229828.398822,-3.200000
1765229828.401712,-3.200000
1765229828.404641,-3.200000
1765229828.407474,-3.200000
1765229828.410338,-3.200000
1765229828.413212,-3.200000
1765229828.416098,-3.200000
1765229828.421472,-3.200000
1765229828.424314,-3.200000
1765229828.427048,-3.200000
1765229828.430685,-3.200000
1765229828.433998,-3.200000
1765229828.437316,-3.200000
1765229828.440848,-3.180000
1765229828.443715,-3.180000
1765229828.446681,-3.180000
1765229828.450294,-3.180000
1765229828.453856,-3.180000
1765229828.456691,-3.160000
1765229828.459533,-3.160000
1765229828.462381,-3.160000
1765229828.465248,-3.160000
1765229828.468238,-3.160000
1765229828.471092,-3.160000
1765229828.474002,-3.140000
1765229828.476854,-3.140000
1765229828.479707,-3.140000
1765229828.483346,-3.140000
1765229828.486323,-3.140000
1765229828.489226,-3.140000
1765229828.492171,-3.140000
1765229828.495064,-3.140000
1765229828.497885,-3.140000
1765229828.500767,-3.140000
1765229828.503617,-3.140000
1765229828.506439,-3.140000
1765229828.509447,-3.160000
1765229828.512280,-3.160000
1765229828.515157,-3.160000
1765229828.518103,-3.160000
1765229828.521038,-3.160000
1765229828.523915,-3.180000
1765229828.526767,-3.180000
1765229828.529706,-3.180000
1765229828.532553,-3.200000
1765229828.535380,-3.200000
1765229828.538224,-3.200000
1765229828.541090,-3.220000
1765229828.544034,-3.220000
1765229828.546955,-3.220000
1765229828.549901,-3.240000
1765229828.552856,-3.240000
1765229828.555779,-3.260000
1765229828.558685,-3.260000
1765229828.561768,-3.260000
1765229828.567110,-3.280000
1765229828.569970,-3.280000
1765229828.573086,-3.280000
1765229828.576548,-3.300000
1765229828.579904,-3.300000
1765229828.583096,-3.300000
1765229828.586765,-3.300000
1765229828.589562,-3.320000
1765229828.592451,-3.320000
1765229828.596195,-3.300000
1765229828.599683,-3.300000
1765229828.602618,-3.300000
1765229828.605543,-3.300000
1765229828.609019,-3.280000
1765229828.611937,-3.280000
1765229828.614773,-3.260000
1765229828.618232,-3.260000
1765229828.621051,-3.240000
1765229828.623767,-3.000000
1765229828.627514,-2.980000
1765229828.630361,-3.200000
1765229828.633090,-3.200000
1765229828.635967,-3.200000
1765229828.638867,-3.180000
1765229828.641950,-3.180000
1765229828.644895,-3.180000
1765229828.647749,-3.180000
1765229828.650608,-3.180000
1765229828.653579,-3.180000
1765229828.656369,-3.180000
1765229828.659250,-3.180000
1765229828.662098,-3.180000
1765229828.664917,-3.180000
1765229828.667747,-3.180000
1765229828.670717,-3.180000
1765229828.673671,-3.180000
1765229828.676696,-3.180000
1765229828.679540,-3.180000
1765229828.682379,-3.180000
1765229828.685601,-3.180000
1765229828.688458,-3.180000
1765229828.691349,-3.180000
1765229828.694270,-3.180000
1765229828.697215,-3.180000
1765229828.700247,-3.180000
1765229828.703235,-3.180000
1765229828.706078,-3.180000
