timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765229828.360098,0.000381,0.021857,-0.024262,-0.000183
1765229828.360649,,,,
1765229828.360784,0.000000,0.000000,-0.050813,-0.000183
1765229828.360979,0.000000,0.000000,-0.053559,-0.000183
1765229828.361290,,,,
1765229828.361400,0.000381,0.021857,-0.010529,-0.000183
1765229828.361600,0.000381,0.021857,0.036164,-0.000183
1765229828.361895,0.000381,0.021857,0.090181,-0.000183
1765229828.362417,0.000381,0.021857,0.097505,0.058412
1765229828.362988,0.000381,0.021857,0.099336,-0.000183
1765229828.363596,0.000381,0.021857,-0.056306,0.006775
1765229828.364206,0.000381,0.021857,-0.000458,-0.000183
1765229828.364779,0.000381,0.021857,0.070039,-0.000183
1765229828.365310,0.000381,0.021857,0.017853,-0.000183
1765229828.365866,0.000381,0.021857,-0.027924,-0.000183
1765229828.366677,0.000381,0.021857,0.060883,-0.000183
1765229828.367369,0.000381,0.021857,-0.002289,-0.000183
1765229828.367927,0.000381,0.021857,0.019684,-0.000183
1765229828.368555,0.000381,0.021857,0.026093,-0.000183
1765229828.369123,0.000381,0.021857,0.056306,-0.000183
1765229828.369666,0.000381,0.021857,0.070954,-0.000183
1765229828.370181,0.000381,0.021857,0.070039,-0.000183
1765229828.370775,0.000381,0.021857,0.048981,-0.000183
1765229828.371336,0.000763,0.043714,0.037995,-0.000183
1765229828.371902,0.000763,0.043714,0.186313,-0.000183
1765229828.372539,0.000763,0.043714,0.090181,-0.000183
1765229828.373081,0.000763,0.043714,0.135958,-0.000183
1765229828.373628,0.000763,0.043714,0.138705,-0.000183
1765229828.374166,0.000763,0.043714,0.020600,-0.000183
1765229828.374660,0.001144,0.065571,0.016022,-0.000183
1765229828.375157,0.000763,0.043714,0.055390,-0.000183
1765229828.375683,0.000763,0.043714,-0.004120,-0.000183
1765229828.376181,0.001144,0.065571,-0.012360,-0.000183
1765229828.376701,0.000763,0.043714,0.072786,-0.000183
1765229828.377218,0.000763,0.043714,-0.039826,-0.000183
1765229828.377747,0.001144,0.065571,0.004120,-0.000183
1765229828.378245,0.001144,0.065571,0.090181,0.049256
1765229828.378757,0.001144,0.065571,0.122225,0.036072
1765229828.379323,0.001144,0.065571,0.094759,0.018494
