timestamp,tension (N)
1765229932.389992,-3.200000
1765229932.392856,-3.200000
1765229932.395921,-3.200000
1765229932.398841,-3.200000
1765229932.401747,-3.200000
1765229932.404559,-3.200000
1765229932.407411,-3.200000
1765229932.410320,-3.200000
1765229932.413155,-3.200000
1765229932.416026,-3.200000
1765229932.418897,-3.200000
1765229932.421703,-3.200000
1765229932.424619,-3.200000
1765229932.427379,-3.200000
1765229932.430263,-3.200000
1765229932.433282,-3.200000
1765229932.436124,-3.200000
1765229932.438899,-3.200000
1765229932.441740,-3.200000
1765229932.444556,-3.200000
1765229932.447281,-3.200000
1765229932.450128,-3.200000
1765229932.452881,-3.200000
1765229932.455657,-3.200000
1765229932.458510,-3.200000
1765229932.461344,-3.200000
1765229932.464164,-3.200000
1765229932.466967,-3.200000
1765229932.469828,-3.200000
1765229932.472621,-3.200000
1765229932.475425,-3.200000
1765229932.478198,-3.200000
1765229932.481176,-3.200000
1765229932.483960,-3.200000
1765229932.486741,-3.200000
1765229932.489853,-3.200000
1765229932.492630,-3.200000
1765229932.495416,-3.200000
1765229932.498246,-3.200000
1765229932.501025,-3.200000
1765229932.503808,-3.200000
1765229932.506655,-3.200000
1765229932.511145,-3.200000
1765229932.513919,-3.200000
1765229932.516660,-3.200000
1765229932.520226,-3.200000
1765229932.523655,-3.200000
1765229932.526874,-3.200000
1765229932.530428,-3.200000
1765229932.533443,-3.200000
1765229932.536278,-3.200000
1765229932.539696,-3.200000
1765229932.543257,-3.200000
1765229932.546050,-3.200000
1765229932.548817,-3.200000
1765229932.551658,-3.200000
1765229932.554568,-3.200000
1765229932.557399,-3.200000
1765229932.560250,-3.200000
1765229932.563067,-3.200000
1765229932.565863,-3.200000
1765229932.568766,-3.200000
1765229932.572213,-3.200000
1765229932.575080,-3.200000
1765229932.577861,-3.200000
1765229932.580684,-3.200000
1765229932.583525,-3.200000
1765229932.586354,-3.200000
1765229932.589162,-3.200000
1765229932.592020,-3.200000
1765229932.594968,-3.200000
1765229932.597906,-3.200000
1765229932.600917,-3.200000
1765229932.603815,-3.200000
1765229932.606843,-3.200000
1765229932.609770,-3.200000
1765229932.612715,-3.180000
1765229932.615611,-3.180000
1765229932.618536,-3.180000
1765229932.621449,-3.180000
1765229932.624301,-3.180000
