timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765229932.595471,-0.000381,-0.021857,0.064546,-0.000183
1765229932.595944,,,,
1765229932.596023,-0.000381,-0.021857,-0.007782,-0.000183
1765229932.596162,-0.000381,-0.021857,-0.065461,-0.000183
1765229932.596473,,,,
1765229932.596565,-0.000381,-0.021857,-0.095674,-0.000183
1765229932.596729,-0.000381,-0.021857,-0.059052,-0.000183
1765229932.597038,,,,
1765229932.597147,-0.000381,-0.021857,-0.028840,-0.000183
1765229932.597228,-0.000381,-0.021857,-0.010529,0.010437
1765229932.597671,,,,
1765229932.597763,-0.000381,-0.021857,-0.000458,0.005310
1765229932.597956,-0.000381,-0.021857,0.000458,-0.000183
1765229932.598255,,,,
1765229932.598348,-0.000381,-0.021857,0.035248,0.039734
1765229932.598512,0.000000,0.000000,0.042573,0.055482
1765229932.598880,,,,
1765229932.598969,-0.000381,-0.021857,0.079194,0.041566
1765229932.599066,0.000000,0.000000,0.092927,-0.000183
1765229932.599462,,,,
1765229932.599549,0.000000,0.000000,0.113985,-0.000183
1765229932.599659,0.000000,0.000000,0.099336,-0.000183
1765229932.600137,,,,
1765229932.600223,0.000000,0.000000,0.056306,-0.000183
1765229932.600362,0.000000,0.000000,0.097505,-0.000183
1765229932.600719,,,,
1765229932.600806,0.000000,0.000000,0.101167,0.008606
1765229932.600909,0.000000,0.000000,0.099336,-0.000183
1765229932.601446,,,,
1765229932.601541,0.000000,0.000000,0.048066,-0.000183
1765229932.601620,0.000000,0.000000,0.087434,-0.000183
1765229932.602035,,,,
1765229932.602123,0.000000,0.000000,0.076448,-0.000183
1765229932.602260,0.000000,0.000000,0.087434,-0.000183
1765229932.602635,,,,
1765229932.602724,0.000000,0.000000,0.082856,0.005310
1765229932.602863,0.000000,0.000000,0.067292,-0.000183
1765229932.603159,,,,
1765229932.603247,0.000381,0.021857,0.113069,-0.000183
1765229932.603388,0.000381,0.021857,0.157015,-0.000183
1765229932.603893,,,,
1765229932.603984,0.000381,0.021857,0.133211,-0.000183
1765229932.604087,0.000000,0.000000,0.051728,0.002747
1765229932.604537,,,,
1765229932.604670,0.000381,0.021857,0.007782,-0.000183
1765229932.604757,0.000381,0.021857,0.031586,-0.000183
1765229932.605018,0.000381,0.021857,0.108492,-0.000183
1765229932.605493,,,,
1765229932.605577,0.000381,0.021857,0.168002,-0.000183
1765229932.605741,0.000381,0.021857,0.147860,-0.000183
1765229932.606058,,,,
1765229932.606152,0.000381,0.021857,0.051728,-0.000183
1765229932.606288,0.000381,0.021857,0.002289,-0.000183
1765229932.606637,,,,
1765229932.606724,0.000381,0.021857,0.007782,-0.000183
1765229932.606854,0.000381,0.021857,-0.015106,0.013733
1765229932.607207,,,,
1765229932.607369,0.000381,0.021857,0.020600,-0.000183
1765229932.607497,0.000381,0.021857,0.022431,-0.000183
1765229932.607800,,,,
1765229932.607910,0.000381,0.021857,0.070039,-0.000183
1765229932.607994,0.000763,0.043714,0.072786,-0.000183
1765229932.608459,0.000381,0.021857,0.077363,0.002380
1765229932.608714,0.000763,0.043714,0.102083,0.029480
1765229932.609084,,,,
1765229932.609185,0.000381,0.021857,0.077363,0.035706
1765229932.609267,0.000763,0.043714,0.058137,-0.000183
1765229932.609659,,,,
1765229932.609800,0.000381,0.021857,-0.018769,-0.000183
1765229932.610256,0.000381,0.021857,0.016022,-0.000183
1765229932.610385,0.000763,0.043714,0.006867,-0.000183
1765229932.610796,0.000763,0.043714,0.097505,-0.000183
1765229932.611296,0.000763,0.043714,0.111238,-0.000183
1765229932.611816,0.000763,0.043714,0.081941,0.000916
1765229932.612334,0.000763,0.043714,0.030671,-0.000183
1765229932.612864,0.000763,0.043714,0.052644,-0.000183
1765229932.613334,0.000763,0.043714,0.085603,-0.000183
1765229932.613865,0.001144,0.065571,0.060883,-0.000183
1765229932.614322,0.001144,0.065571,0.083772,-0.000183
1765229932.614866,0.000763,0.043714,0.033417,-0.000183
1765229932.615353,0.000763,0.043714,0.019684,-0.000183
1765229932.615809,0.000763,0.043714,0.041657,0.013001
1765229932.616294,0.000763,0.043714,-0.000458,-0.000183
1765229932.616815,0.001144,0.065571,0.095674,-0.000183
1765229932.617308,0.001144,0.065571,0.114900,-0.000183
1765229932.617864,0.001144,0.065571,0.097505,0.039002
1765229932.618289,0.001144,0.065571,0.102998,0.020691
1765229932.618860,0.001144,0.065571,0.000458,-0.000183
1765229932.619337,0.001144,0.065571,0.089265,-0.000183
1765229932.619864,0.001144,0.065571,0.116732,-0.000183
1765229932.620310,0.001144,0.065571,0.012360,0.049256
1765229932.620815,0.001144,0.065571,-0.008698,0.049989
1765229932.621325,0.001526,0.087428,0.087434,0.075624
1765229932.621811,0.001526,0.087428,0.177157,0.048890
1765229932.622346,0.001526,0.087428,0.062715,-0.000183
