timestamp,tension (N)
1765230455.561012,-0.020000
1765230455.563665,-0.020000
1765230455.566628,-0.020000
1765230455.569367,-0.020000
1765230455.572072,-0.020000
1765230455.574727,-0.020000
1765230455.577486,-0.020000
1765230455.580295,-0.020000
1765230455.582971,-0.020000
1765230455.585699,-0.020000
1765230455.588420,-0.020000
1765230455.591104,-0.020000
1765230455.593831,-0.020000
1765230455.596514,-0.020000
1765230455.599219,-0.020000
1765230455.601857,-0.020000
1765230455.604515,-0.020000
1765230455.607161,-0.020000
1765230455.609854,-0.020000
1765230455.612641,-0.020000
1765230455.615275,-0.020000
1765230455.617986,-0.020000
1765230455.620748,-0.020000
1765230455.623454,-0.020000
1765230455.626184,-0.020000
1765230455.628877,-0.020000
1765230455.631610,-0.020000
1765230455.634332,-0.020000
1765230455.637129,-0.020000
1765230455.639855,-0.020000
1765230455.642599,-0.020000
1765230455.645347,-0.020000
1765230455.648104,-0.020000
1765230455.650775,-0.020000
1765230455.653453,-0.020000
1765230455.656187,-0.020000
1765230455.658909,-0.020000
1765230455.661663,-0.020000
1765230455.664366,-0.020000
1765230455.667150,-0.020000
1765230455.669852,-0.020000
1765230455.672550,-0.020000
1765230455.675223,-0.020000
1765230455.677962,-0.020000
1765230455.680701,-0.020000
1765230455.683523,-0.020000
1765230455.687404,-0.020000
1765230455.690322,-0.020000
1765230455.693084,-0.020000
1765230455.696454,-0.020000
1765230455.699683,-0.020000
1765230455.702853,-0.020000
1765230455.706385,-0.020000
1765230455.709100,-0.020000
1765230455.711869,-0.020000
1765230455.715321,-0.020000
1765230455.718836,-0.020000
1765230455.721570,-0.020000
1765230455.724263,-0.020000
1765230455.727652,-0.020000
1765230455.730361,-0.020000
1765230455.733129,-0.020000
1765230455.736480,-0.020000
1765230455.739218,-0.020000
1765230455.741957,-0.020000
1765230455.745350,-0.020000
1765230455.748171,-0.020000
1765230455.750907,-0.020000
1765230455.753691,-0.020000
1765230455.756424,-0.020000
1765230455.759233,-0.020000
1765230455.761986,-0.020000
1765230455.764760,-0.020000
1765230455.767378,-0.020000
1765230455.770113,-0.020000
1765230455.772943,-0.020000
1765230455.775662,-0.020000
1765230455.778442,-0.020000
1765230455.781128,-0.020000
1765230455.783916,-0.020000
1765230455.786610,-0.020000
1765230455.789319,-0.020000
1765230455.792073,-0.020000
1765230455.794956,-0.020000
1765230455.797752,-0.020000
1765230455.800496,-0.020000
1765230455.803242,-0.020000
1765230455.806101,-0.020000
1765230455.808933,-0.020000
1765230455.811737,-0.020000
1765230455.814566,-0.020000
1765230455.817295,-0.020000
1765230455.820085,-0.020000
1765230455.822798,-0.020000
1765230455.825655,-0.020000
1765230455.828381,-0.020000
1765230455.831244,-0.020000
1765230455.834074,-0.020000
1765230455.836741,-0.020000
1765230455.839575,-0.020000
1765230455.842274,-0.020000
1765230455.844954,-0.020000
1765230455.847688,-0.020000
1765230455.850558,-0.020000
1765230455.854692,-0.020000
1765230455.857392,-0.020000
1765230455.860235,-0.020000
1765230455.863754,-0.020000
1765230455.866980,-0.020000
1765230455.870150,-0.020000
1765230455.873739,-0.020000
1765230455.876481,-0.020000
1765230455.879231,-0.020000
1765230455.882596,-0.020000
1765230455.886076,-0.020000
1765230455.888823,-0.020000
1765230455.891658,-0.020000
1765230455.894941,-0.020000
1765230455.897737,-0.020000
1765230455.900435,-0.020000
1765230455.903845,-0.020000
1765230455.906635,-0.020000
1765230455.909296,-0.020000
