timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765230455.704888,0.000000,0.000000,-0.032502,-0.000183
1765230455.705316,0.000000,0.000000,-0.016022,-0.000183
1765230455.705540,0.000000,0.000000,-0.002289,-0.000183
1765230455.705820,0.000000,0.000000,0.017853,-0.000549
1765230455.706068,0.000000,0.000000,0.025177,-0.013367
1765230455.706439,0.000000,0.000000,0.013275,-0.000183
1765230455.706688,0.000000,0.000000,-0.022431,-0.069764
1765230455.707061,0.000000,0.000000,-0.023346,-0.060243
1765230455.707264,0.000000,0.000000,-0.050813,-0.079286
1765230455.707558,0.000000,0.000000,-0.041657,-0.000183
1765230455.707867,0.000000,0.000000,-0.056306,-0.000183
1765230455.708099,0.000000,0.000000,-0.091096,-0.031312
1765230455.708406,0.000000,0.000000,-0.086519,-0.000183
1765230455.708644,0.000000,0.000000,-0.050813,-0.000183
1765230455.708942,0.000000,0.000000,-0.015106,-0.000183
1765230455.709186,0.000000,0.000000,-0.027924,-0.000183
1765230455.709451,0.000000,0.000000,-0.037995,-0.100160
1765230455.709725,-0.000381,-0.021857,-0.048066,-0.073426
1765230455.709933,0.000000,0.000000,-0.042573,-0.059510
1765230455.710257,-0.000381,-0.021857,-0.066377,-0.032044
1765230455.710530,0.000000,0.000000,-0.052644,-0.000916
1765230455.710812,-0.000381,-0.021857,-0.037995,-0.000183
1765230455.711092,-0.000381,-0.021857,-0.037079,-0.000183
1765230455.711320,-0.000381,-0.021857,-0.075532,-0.056947
1765230455.711605,-0.000381,-0.021857,-0.080110,-0.093935
1765230455.711880,-0.000381,-0.021857,-0.065461,-0.043030
1765230455.712092,-0.000381,-0.021857,-0.017853,-0.047059
1765230455.712468,-0.000381,-0.021857,0.006867,-0.000183
1765230455.712893,-0.000381,-0.021857,0.022431,-0.000183
1765230455.713014,-0.000381,-0.021857,-0.038911,-0.000183
1765230455.713485,0.000000,0.000000,-0.000458,-0.000183
1765230455.713795,-0.000381,-0.021857,0.037995,-0.042664
1765230455.714087,-0.000381,-0.021857,0.047150,-0.000183
1765230455.714334,-0.000381,-0.021857,-0.037079,-0.000183
1765230455.714616,-0.000381,-0.021857,-0.059052,-0.000183
1765230455.714889,-0.000381,-0.021857,0.016022,-0.000183
1765230455.715161,-0.000381,-0.021857,0.003204,-0.000183
1765230455.715424,-0.000381,-0.021857,-0.035248,-0.000183
1765230455.715708,-0.000381,-0.021857,-0.089265,-0.000183
1765230455.715935,-0.000381,-0.021857,-0.095674,-0.000183
1765230455.716229,-0.000381,-0.021857,-0.037995,-0.000183
1765230455.716508,-0.000381,-0.021857,-0.036164,-0.000183
1765230455.716752,-0.000381,-0.021857,-0.038911,-0.000183
1765230455.717059,-0.000381,-0.021857,-0.102998,-0.000183
1765230455.717330,-0.000763,-0.043714,-0.130465,-0.000183
1765230455.717595,-0.000381,-0.021857,-0.095674,-0.000183
1765230455.717881,-0.000381,-0.021857,-0.054475,-0.000183
1765230455.718126,-0.000763,-0.043714,-0.023346,-0.000183
1765230455.718419,-0.000763,-0.043714,-0.056306,-0.000183
1765230455.718684,-0.000763,-0.043714,-0.116732,-0.000183
1765230455.718885,-0.000763,-0.043714,-0.171664,-0.000183
1765230455.719206,-0.000763,-0.043714,-0.199130,-0.000183
1765230455.719484,-0.000763,-0.043714,-0.160678,-0.000183
1765230455.719741,-0.000763,-0.043714,-0.103914,-0.000183
1765230455.720048,-0.000763,-0.043714,-0.050813,-0.000183
1765230455.720234,-0.000763,-0.043714,-0.052644,-0.000183
1765230455.720537,-0.001144,-0.065571,-0.105745,-0.000183
1765230455.720809,-0.000763,-0.043714,-0.118563,-0.000183
1765230455.721080,-0.000763,-0.043714,-0.135958,-0.000183
1765230455.721325,-0.000763,-0.043714,-0.116732,-0.000183
1765230455.721649,-0.000763,-0.043714,-0.077363,-0.091005
1765230455.721862,-0.000763,-0.043714,-0.058137,-0.083680
1765230455.722131,-0.000763,-0.043714,-0.014191,-0.101625
1765230455.722431,-0.000763,-0.043714,-0.005035,-0.084047
1765230455.722694,-0.000763,-0.043714,-0.003204,-0.000183
1765230455.722948,-0.000763,-0.043714,-0.037995,-0.000183
1765230455.723200,-0.000763,-0.043714,-0.036164,-0.000183
1765230455.723502,-0.000763,-0.043714,-0.016938,-0.000183
1765230455.723772,-0.000763,-0.043714,-0.039826,-0.059876
1765230455.724053,-0.001144,-0.065571,-0.082856,-0.130922
1765230455.724257,-0.001144,-0.065571,-0.132296,-0.187686
1765230455.724557,-0.000763,-0.043714,-0.076448,-0.000183
1765230455.724795,-0.000763,-0.043714,-0.017853,-0.034241
1765230455.725038,-0.000763,-0.043714,0.025177,-0.077089
1765230455.725307,-0.001144,-0.065571,0.035248,-0.000183
1765230455.725511,-0.001144,-0.065571,-0.033417,-0.000183
1765230455.725785,-0.001144,-0.065571,-0.115816,-0.000183
1765230455.726030,-0.001144,-0.065571,-0.113069,-0.000183
1765230455.726295,-0.001144,-0.065571,-0.069123,-0.000183
1765230455.726620,-0.000763,-0.043714,0.032502,-0.000183
1765230455.726805,-0.001144,-0.065571,0.063630,-0.000183
1765230455.727129,-0.001144,-0.065571,0.078279,-0.083314
1765230455.727368,-0.001144,-0.065571,0.057221,-0.061341
1765230455.727641,-0.000763,-0.043714,0.087434,-0.024353
1765230455.727880,-0.001144,-0.065571,0.040742,-0.024353
1765230455.728212,-0.001144,-0.065571,-0.012360,-0.014466
1765230455.728420,-0.001144,-0.065571,-0.081941,-0.060609
1765230455.728717,-0.001144,-0.065571,-0.094759,-0.064271
1765230455.728957,-0.001144,-0.065571,-0.059052,-0.084413
1765230455.729226,-0.001144,-0.065571,0.003204,-0.047425
1765230455.729557,-0.001144,-0.065571,-0.042573,-0.100526
1765230455.729713,-0.001144,-0.065571,-0.045319,-0.040467
1765230455.730089,-0.001144,-0.065571,-0.032502,-0.000183
1765230455.730344,-0.001144,-0.065571,0.001373,-0.000183
1765230455.730593,-0.001144,-0.065571,0.006867,-0.000183
1765230455.730844,-0.001144,-0.065571,-0.019684,-0.000183
1765230455.731137,-0.001144,-0.065571,-0.008698,-0.000183
