timestamp,tension (N)
1765332001.522159,-0.085000
1765332001.525245,-0.085000
1765332001.528408,-0.085000
1765332001.531609,-0.085000
1765332001.534723,-0.085000
1765332001.537862,-0.085000
1765332001.540996,-0.085000
1765332001.544114,-0.085000
1765332001.547251,-0.085000
1765332001.550337,-0.085000
1765332001.553489,-0.085000
1765332001.556628,-0.085000
1765332001.559727,-0.085000
1765332001.562849,-0.085000
1765332001.566051,-0.085000
1765332001.569165,-0.085000
1765332001.572313,-0.085000
1765332001.575431,-0.085000
1765332001.578593,-0.085000
1765332001.581740,-0.085000
1765332001.584894,-0.085000
1765332001.589533,-0.085000
1765332001.592612,-0.085000
1765332001.595744,-0.085000
1765332001.598937,-0.085000
1765332001.602391,-0.085000
1765332001.605670,-0.085000
1765332001.609258,-0.085000
1765332001.612405,-0.085000
1765332001.615619,-0.085000
1765332001.618957,-0.085000
1765332001.622193,-0.085000
1765332001.625324,-0.085000
1765332001.628482,-0.085000
1765332001.631651,-0.085000
1765332001.635253,-0.085000
1765332001.638347,-0.085000
1765332001.641545,-0.085000
1765332001.644740,-0.085000
1765332001.647980,-0.085000
1765332001.651176,-0.085000
1765332001.654417,-0.085000
1765332001.658116,-0.085000
1765332001.661325,-0.085000
1765332001.664475,-0.090000
1765332001.667538,-0.090000
1765332001.670657,-0.090000
1765332001.673790,-0.090000
1765332001.676808,-0.090000
1765332001.679924,-0.090000
1765332001.682979,-0.090000
1765332001.686017,-0.090000
1765332001.688997,-0.090000
1765332001.692089,-0.090000
1765332001.695152,-0.090000
1765332001.698148,-0.090000
1765332001.701203,-0.090000
1765332001.704220,-0.090000
1765332001.707361,-0.095000
1765332001.710587,-0.095000
1765332001.713741,-0.095000
1765332001.716877,-0.095000
1765332001.720048,-0.095000
1765332001.723165,-0.095000
1765332001.726359,-0.095000
1765332001.729452,-0.095000
1765332001.732622,-0.095000
1765332001.735805,-0.095000
1765332001.738931,-0.095000
1765332001.742081,-0.095000
1765332001.745170,-0.095000
1765332001.748280,-0.095000
1765332001.751501,-0.095000
1765332001.755747,-0.095000
1765332001.758872,-0.095000
1765332001.762000,-0.095000
1765332001.765058,-0.095000
1765332001.768357,-0.095000
1765332001.771715,-0.100000
1765332001.775301,-0.100000
1765332001.778436,-0.100000
1765332001.781624,-0.100000
1765332001.784879,-0.100000
1765332001.788316,-0.100000
1765332001.791423,-0.100000
1765332001.794614,-0.100000
1765332001.797752,-0.100000
1765332001.801244,-0.100000
1765332001.804460,-0.100000
1765332001.807618,-0.100000
1765332001.810828,-0.100000
1765332001.813928,-0.100000
1765332001.817027,-0.100000
1765332001.820168,-0.100000
1765332001.823242,-0.095000
1765332001.826309,-0.095000
1765332001.829547,-0.095000
1765332001.832650,-0.095000
1765332001.835903,-0.095000
1765332001.839069,-0.095000
1765332001.842249,-0.095000
1765332001.845317,-0.095000
1765332001.848444,-0.095000
1765332001.851632,-0.095000
1765332001.854747,-0.095000
1765332001.857834,-0.095000
1765332001.860989,-0.095000
1765332001.864093,-0.095000
1765332001.867242,-0.095000
1765332001.870323,-0.095000
1765332001.873477,-0.095000
1765332001.876628,-0.095000
1765332001.879734,-0.095000
1765332001.882840,-0.095000
1765332001.885980,-0.095000
1765332001.889139,-0.095000
1765332001.892271,-0.095000
1765332001.895338,-0.095000
1765332001.898506,-0.095000
1765332001.901618,-0.090000
1765332001.904692,-0.090000
1765332001.907768,-0.090000
1765332001.912678,-0.090000
1765332001.915756,-0.090000
1765332001.918834,-0.090000
1765332001.921912,-0.090000
1765332001.925013,-0.090000
1765332001.928224,-0.090000
1765332001.931781,-0.090000
1765332001.934817,-0.090000
1765332001.937839,-0.090000
1765332001.940924,-0.090000
1765332001.944305,-0.090000
1765332001.947379,-0.090000
1765332001.950483,-0.090000
1765332001.953514,-0.090000
1765332001.956893,-0.090000
1765332001.959908,-0.090000
1765332001.962923,-0.090000
1765332001.965946,-0.090000
1765332001.968998,-0.090000
1765332001.971992,-0.090000
1765332001.975004,-0.090000
1765332001.978019,-0.090000
1765332001.981036,-0.090000
