timestamp,tension (N)
1765332001.499360,0.000000
1765332001.501817,0.000000
1765332001.504243,0.000000
1765332001.506661,0.000000
1765332001.509093,0.000000
1765332001.512297,0.000000
1765332001.514882,0.000000
1765332001.517377,0.000000
1765332001.519766,0.000000
1765332001.522214,0.000000
1765332001.524660,0.000000
1765332001.527242,0.020000
1765332001.530331,0.000000
1765332001.532719,0.000000
1765332001.535130,0.000000
1765332001.537627,0.000000
1765332001.540083,0.000000
1765332001.542507,0.000000
1765332001.544916,0.000000
1765332001.547289,0.000000
1765332001.549711,0.000000
1765332001.552131,0.000000
1765332001.554589,0.000000
1765332001.557070,0.000000
1765332001.559600,0.000000
1765332001.562101,0.000000
1765332001.564547,0.000000
1765332001.566939,0.000000
1765332001.569400,0.000000
1765332001.571782,0.000000
1765332001.574379,0.000000
1765332001.576893,0.000000
1765332001.579519,0.020000
1765332001.581942,0.000000
1765332001.584584,0.020000
1765332001.587219,0.020000
1765332001.589598,0.000000
1765332001.592261,0.020000
1765332001.594736,0.000000
1765332001.597219,0.000000
1765332001.599641,0.000000
1765332001.602152,0.000000
1765332001.604590,0.000000
1765332001.607010,0.000000
1765332001.609424,0.000000
1765332001.611905,0.000000
1765332001.614761,0.000000
1765332001.617450,0.000000
1765332001.620060,0.000000
1765332001.622501,0.000000
1765332001.624954,0.000000
1765332001.627368,0.000000
1765332001.629907,0.000000
1765332001.632374,0.000000
1765332001.634877,0.000000
1765332001.637328,0.000000
1765332001.639807,0.000000
1765332001.642414,0.000000
1765332001.645039,0.000000
1765332001.647593,0.000000
1765332001.651933,0.000000
1765332001.654400,0.000000
1765332001.657062,0.000000
1765332001.660446,0.000000
1765332001.663401,0.000000
1765332001.666350,0.000000
1765332001.669657,0.000000
1765332001.672108,0.000000
1765332001.674645,0.000000
1765332001.677063,0.000000
1765332001.679651,0.000000
1765332001.682849,0.020000
1765332001.685339,0.000000
1765332001.687919,0.020000
1765332001.690435,0.000000
1765332001.693143,0.020000
1765332001.695806,0.020000
1765332001.698578,0.020000
1765332001.701466,0.020000
1765332001.704225,0.020000
1765332001.706797,0.020000
1765332001.709310,0.000000
1765332001.712071,0.020000
1765332001.714795,0.020000
1765332001.717309,0.000000
1765332001.719874,0.020000
1765332001.722681,0.020000
1765332001.725137,0.000000
1765332001.727832,0.020000
1765332001.730632,0.020000
1765332001.733356,0.020000
1765332001.736160,0.020000
1765332001.738848,0.020000
1765332001.741457,0.020000
1765332001.744206,0.020000
1765332001.746863,0.020000
1765332001.749517,0.020000
1765332001.752127,0.020000
1765332001.754863,0.020000
1765332001.757292,0.000000
1765332001.759963,0.020000
1765332001.762382,0.000000
1765332001.764749,0.000000
