timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765332001.656876,-0.000381,-0.021857,-0.039826,-0.000183
1765332001.657346,,,,
1765332001.657502,-0.000381,-0.021857,-0.027008,-0.085512
1765332001.657636,-0.000381,-0.021857,0.024262,-0.077455
1765332001.658054,,,,
1765332001.658145,-0.000381,-0.021857,-0.018769,-0.005676
1765332001.658304,-0.000381,-0.021857,0.002289,-0.000183
1765332001.658588,-0.000381,-0.021857,-0.035248,-0.008972
1765332001.659095,-0.000763,-0.043714,-0.111238,-0.000183
1765332001.659677,-0.000763,-0.043714,-0.104829,-0.000183
1765332001.660178,-0.000763,-0.043714,-0.040742,-0.000183
1765332001.660717,-0.000763,-0.043714,-0.111238,-0.000183
1765332001.661198,-0.000763,-0.043714,-0.045319,-0.000183
1765332001.661733,-0.000763,-0.043714,-0.107576,0.026917
1765332001.662287,-0.001144,-0.065571,-0.134127,0.029847
1765332001.662799,-0.000763,-0.043714,-0.054475,-0.100160
1765332001.663311,-0.001144,-0.065571,-0.097505,-0.000183
1765332001.663854,-0.001144,-0.065571,-0.193637,-0.000183
1765332001.664451,-0.001144,-0.065571,-0.157931,-0.000183
1765332001.664990,-0.001526,-0.087428,-0.167086,-0.000183
1765332001.665596,-0.001526,-0.087428,-0.200046,-0.000183
1765332001.666394,-0.001526,-0.087428,-0.166171,-0.000183
1765332001.666963,-0.001907,-0.109285,-0.178073,-0.024720
1765332001.667492,-0.001907,-0.109285,-0.162509,-0.000183
1765332001.668022,-0.001907,-0.109285,-0.165255,-0.000183
1765332001.668580,-0.001907,-0.109285,-0.124971,-0.000183
1765332001.669097,-0.001907,-0.109285,-0.143282,-0.000183
1765332001.669604,-0.002289,-0.131142,-0.200961,-0.000183
1765332001.670144,-0.002289,-0.131142,-0.220188,-0.000183
1765332001.670703,-0.002289,-0.131142,-0.186313,-0.000183
1765332001.671273,-0.002670,-0.152999,-0.260472,-0.000183
1765332001.671860,-0.002670,-0.152999,-0.210117,-0.000183
1765332001.672369,-0.002670,-0.152999,-0.183566,-0.000183
1765332001.672946,-0.003052,-0.174856,-0.211948,-0.000183
1765332001.673454,-0.003052,-0.174856,-0.247654,-0.000183
1765332001.673959,-0.003052,-0.174856,-0.160678,-0.000183
1765332001.674417,-0.003052,-0.174856,-0.141451,-0.000183
1765332001.675008,-0.003052,-0.174856,-0.119478,-0.094667
1765332001.675452,-0.003052,-0.174856,-0.089265,-0.000183
1765332001.675978,-0.003433,-0.196712,-0.171664,-0.000183
1765332001.676481,-0.003433,-0.196712,-0.160678,-0.000183
1765332001.676966,-0.003433,-0.196712,-0.141451,-0.000183
1765332001.677465,-0.003433,-0.196712,-0.186313,-0.017029
1765332001.677976,-0.003433,-0.196712,-0.183566,-0.000183
1765332001.678404,-0.003815,-0.218569,-0.173495,-0.004944
1765332001.678933,-0.003815,-0.218569,-0.182650,-0.000183
1765332001.679430,-0.003815,-0.218569,-0.200961,-0.000183
1765332001.679963,-0.003815,-0.218569,-0.175326,-0.000183
1765332001.680473,-0.003815,-0.218569,-0.168917,-0.000183
1765332001.680991,-0.004196,-0.240426,-0.110323,-0.000183
1765332001.681448,-0.004196,-0.240426,-0.092927,-0.000183
1765332001.681947,-0.004196,-0.240426,-0.140536,-0.047059
1765332001.682482,-0.004196,-0.240426,-0.169833,-0.000183
1765332001.683155,-0.004196,-0.240426,-0.142367,-0.000183
1765332001.683774,-0.004578,-0.262283,-0.164340,-0.000183
1765332001.684232,-0.004578,-0.262283,-0.226596,-0.000183
1765332001.684695,-0.004578,-0.262283,-0.141451,-0.000183
1765332001.685160,-0.004959,-0.284140,-0.175326,-0.000183
1765332001.685656,-0.004959,-0.284140,-0.199130,-0.000183
1765332001.686156,-0.004578,-0.262283,-0.103914,-0.000183
1765332001.686625,-0.004959,-0.284140,-0.073701,-0.000183
1765332001.687086,-0.004959,-0.284140,-0.172580,-0.000183
1765332001.687559,-0.004959,-0.284140,-0.179904,-0.010437
1765332001.688014,-0.004959,-0.284140,-0.142367,-0.025452
1765332001.688554,-0.005341,-0.305997,-0.141451,-0.000183
1765332001.689049,-0.005341,-0.305997,-0.160678,-0.000183
1765332001.689566,-0.005341,-0.305997,-0.161593,-0.000183
1765332001.690013,-0.005341,-0.305997,-0.121309,-0.000183
1765332001.690553,-0.005341,-0.305997,-0.173495,-0.000183
1765332001.691037,-0.005722,-0.327854,-0.146944,-0.017029
1765332001.691600,-0.005722,-0.327854,-0.180819,-0.079286
1765332001.692145,-0.005722,-0.327854,-0.123140,-0.003845
1765332001.692629,-0.005722,-0.327854,-0.143282,-0.000183
1765332001.693128,-0.005722,-0.327854,-0.181735,-0.016663
1765332001.693611,-0.006104,-0.349711,-0.140536,-0.067567
1765332001.694110,-0.006104,-0.349711,-0.165255,-0.000183
1765332001.694610,-0.006104,-0.349711,-0.135042,-0.000183
1765332001.695142,-0.006485,-0.371568,-0.117647,-0.039734
1765332001.695627,-0.006485,-0.371568,-0.135958,-0.000183
1765332001.696103,-0.006485,-0.371568,-0.161593,-0.040833
1765332001.696566,-0.006485,-0.371568,-0.190890,-0.076722
1765332001.697057,-0.006485,-0.371568,-0.127718,-0.021790
1765332001.697500,-0.006485,-0.371568,-0.109407,-0.103090
1765332001.697986,-0.006485,-0.371568,-0.161593,-0.030213
1765332001.698451,-0.006485,-0.371568,-0.127718,-0.047425
1765332001.698963,-0.006485,-0.371568,-0.061799,-0.000183
1765332001.699448,-0.006867,-0.393425,-0.104829,-0.000183
1765332001.699923,-0.006867,-0.393425,-0.186313,-0.000183
1765332001.700429,-0.006867,-0.393425,-0.177157,-0.000183
1765332001.700906,-0.006867,-0.393425,-0.068208,-0.000183
1765332001.701429,-0.007248,-0.415282,-0.149691,-0.000183
1765332001.701953,-0.007248,-0.415282,-0.173495,-0.000183
1765332001.702409,-0.007248,-0.415282,-0.184482,-0.000183
1765332001.702928,-0.007630,-0.437139,-0.262303,-0.000183
1765332001.703379,-0.007630,-0.437139,-0.219272,-0.000183
1765332001.703925,-0.007630,-0.437139,-0.177157,-0.000183
1765332001.704394,-0.007630,-0.437139,-0.203708,-0.000183
1765332001.704925,-0.007630,-0.437139,-0.230259,-0.000183
1765332001.705401,-0.008011,-0.458996,-0.167086,-0.000183
1765332001.705919,-0.008011,-0.458996,-0.197299,-0.000183
1765332001.706374,-0.008392,-0.480853,-0.227512,-0.000183
1765332001.706890,-0.008392,-0.480853,-0.233005,-0.000183
1765332001.707414,-0.008392,-0.480853,-0.164340,-0.000183
1765332001.707941,-0.008392,-0.480853,-0.214694,-0.000183
1765332001.708386,-0.008774,-0.502710,-0.269627,-0.000183
1765332001.708912,-0.008774,-0.502710,-0.240330,-0.000183
1765332001.709408,-0.008774,-0.502710,-0.215610,-0.000183
1765332001.709951,-0.008774,-0.502710,-0.154269,-0.000183
1765332001.710430,-0.008774,-0.502710,-0.151522,-0.000183
1765332001.710947,-0.009155,-0.524567,-0.197299,-0.000183
1765332001.711435,-0.009155,-0.524567,-0.200046,-0.030579
1765332001.712032,-0.009155,-0.524567,-0.193637,-0.059510
1765332001.712574,-0.009155,-0.524567,-0.157931,-0.000183
1765332001.713048,-0.009155,-0.524567,-0.150607,-0.000183
1765332001.713596,-0.009537,-0.546423,-0.149691,-0.000183
1765332001.714112,-0.009537,-0.546423,-0.149691,-0.000183
1765332001.714698,-0.009537,-0.546423,-0.143282,-0.010437
1765332001.715208,-0.009537,-0.546423,-0.160678,-0.000183
1765332001.716208,-0.009537,-0.546423,-0.101167,-0.012634
1765332001.716701,-0.009918,-0.568280,-0.135042,-0.030579
