timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765332081.752603,0.000381,0.021857,0.002289,-0.000183
1765332081.753061,,,,
1765332081.753154,0.000000,0.000000,0.022431,-0.000183
1765332081.753295,0.000381,0.021857,0.036164,-0.000183
1765332081.753675,0.000381,0.021857,0.017853,-0.000183
1765332081.754186,0.000381,0.021857,0.076448,-0.000183
1765332081.754709,0.000381,0.021857,0.105745,-0.038270
1765332081.755209,0.000381,0.021857,0.030671,-0.000183
1765332081.755661,0.000381,0.021857,-0.084688,-0.012634
1765332081.756161,0.000381,0.021857,-0.065461,-0.000183
1765332081.756731,0.000381,0.021857,0.023346,-0.000183
1765332081.757249,0.000381,0.021857,-0.088350,-0.028016
1765332081.757708,0.000381,0.021857,-0.071870,-0.067567
1765332081.758206,0.000000,0.000000,-0.037079,-0.000183
1765332081.758723,0.000000,0.000000,-0.120394,-0.000183
1765332081.759178,0.000000,0.000000,-0.108492,-0.000183
1765332081.759701,0.000000,0.000000,-0.132296,-0.000183
1765332081.760167,0.000000,0.000000,-0.058137,-0.019226
1765332081.760697,-0.000381,-0.021857,-0.080110,-0.000183
1765332081.761133,0.000000,0.000000,-0.076448,-0.000183
1765332081.761621,-0.000381,-0.021857,-0.095674,-0.000183
1765332081.762148,-0.000381,-0.021857,-0.159762,-0.014099
1765332081.762632,-0.000381,-0.021857,-0.092012,-0.000183
1765332081.763097,-0.000381,-0.021857,-0.094759,-0.000183
1765332081.763587,-0.000381,-0.021857,-0.148775,-0.000183
1765332081.764086,-0.000763,-0.043714,-0.188144,-0.000183
1765332081.764610,-0.000763,-0.043714,-0.131380,-0.000183
1765332081.765103,-0.000763,-0.043714,-0.152438,-0.000183
1765332081.765722,-0.000763,-0.043714,-0.169833,-0.000183
1765332081.766377,-0.000763,-0.043714,-0.094759,-0.000183
1765332081.766898,-0.000763,-0.043714,-0.093843,-0.000183
1765332081.767385,-0.000763,-0.043714,-0.060883,-0.000183
1765332081.767878,-0.000763,-0.043714,-0.054475,-0.000183
1765332081.768352,-0.000763,-0.043714,-0.072786,-0.044129
1765332081.768871,-0.001144,-0.065571,-0.103914,-0.046326
1765332081.769325,-0.001144,-0.065571,-0.070954,-0.000183
1765332081.769847,-0.001144,-0.065571,-0.071870,-0.011536
1765332081.770334,-0.001144,-0.065571,-0.166171,-0.006043
1765332081.770822,-0.001144,-0.065571,-0.015106,-0.000183
1765332081.771363,-0.001144,-0.065571,-0.043488,-0.000183
1765332081.771993,-0.001144,-0.065571,-0.097505,-0.074159
1765332081.772424,-0.001526,-0.087428,-0.074617,-0.057679
1765332081.772887,-0.001526,-0.087428,-0.093843,-0.001648
1765332081.773370,-0.001526,-0.087428,-0.084688,-0.060609
1765332081.773854,-0.001526,-0.087428,-0.142367,-0.023255
1765332081.774351,-0.001526,-0.087428,-0.153353,-0.040101
1765332081.774854,-0.001526,-0.087428,-0.050813,-0.000183
1765332081.775383,-0.001526,-0.087428,-0.102083,-0.000183
1765332081.775892,-0.001526,-0.087428,-0.075532,-0.000183
1765332081.776340,-0.001526,-0.087428,0.015106,-0.000183
1765332081.776838,-0.001907,-0.109285,-0.104829,-0.008972
1765332081.777360,-0.001907,-0.109285,-0.177157,-0.006775
1765332081.777825,-0.001907,-0.109285,-0.111238,-0.000183
1765332081.778395,-0.001907,-0.109285,-0.081025,-0.041566
1765332081.778852,-0.002289,-0.131142,-0.172580,-0.000183
1765332081.779418,-0.002289,-0.131142,-0.196384,-0.000183
1765332081.779994,-0.002289,-0.131142,-0.208286,-0.027649
1765332081.780482,-0.002289,-0.131142,-0.070039,-0.000183
1765332081.781048,-0.002289,-0.131142,-0.128634,-0.000183
1765332081.781493,-0.002670,-0.152999,-0.178988,-0.011902
1765332081.781962,-0.002670,-0.152999,-0.123140,-0.000183
