timestamp,angle_rad,angle_deg,velocity_rad_s,torque_Nm
1765332108.465995,-0.000381,-0.021857,-0.082856,-0.000183
1765332108.466471,-0.000381,-0.021857,-0.118563,-0.000183
1765332108.467020,0.000000,0.000000,0.020600,-0.000183
1765332108.467574,0.000000,0.000000,0.015106,-0.000183
1765332108.468224,0.000000,0.000000,-0.043488,-0.000183
1765332108.468783,0.000000,0.000000,0.012360,-0.000183
1765332108.469311,0.000000,0.000000,0.017853,-0.000183
1765332108.469815,0.000000,0.000000,0.034333,-0.000183
1765332108.470322,0.000000,0.000000,0.063630,-0.000183
1765332108.470807,0.000000,0.000000,0.107576,0.104555
1765332108.471526,0.000000,0.000000,0.126802,0.033875
1765332108.472131,0.000381,0.021857,0.094759,-0.036805
1765332108.472658,0.000381,0.021857,0.118563,-0.000183
1765332108.473176,0.000000,0.000000,0.082856,0.051087
1765332108.473700,0.000381,0.021857,0.126802,0.050721
1765332108.474240,0.000381,0.021857,0.061799,-0.000183
1765332108.474727,0.000381,0.021857,0.044404,-0.000183
1765332108.475221,0.000381,0.021857,0.121309,-0.000183
1765332108.475683,0.000381,0.021857,0.091096,-0.000183
1765332108.476212,0.000381,0.021857,0.032502,-0.000183
1765332108.476754,0.000381,0.021857,-0.005951,-0.000183
1765332108.477232,0.000381,0.021857,-0.007782,-0.000183
1765332108.477709,0.000381,0.021857,0.020600,0.069398
1765332108.478177,0.000381,0.021857,0.063630,0.039368
1765332108.478650,0.000763,0.043714,0.131380,-0.000183
1765332108.479180,0.000381,0.021857,0.038911,-0.000183
1765332108.479709,0.000381,0.021857,0.026093,0.019593
1765332108.480222,0.000763,0.043714,0.067292,0.001648
1765332108.480742,0.000763,0.043714,0.079194,0.047425
1765332108.481236,0.000763,0.043714,0.063630,0.083680
1765332108.481706,0.000763,0.043714,0.135042,0.087709
1765332108.482166,0.000763,0.043714,0.096590,-0.000183
1765332108.482669,0.000763,0.043714,0.027924,-0.000183
1765332108.483179,0.000763,0.043714,0.037995,-0.000183
1765332108.483667,0.000763,0.043714,0.063630,0.094301
1765332108.484165,0.000763,0.043714,0.076448,0.139345
1765332108.484645,0.001144,0.065571,0.093843,0.051453
1765332108.485099,0.000763,0.043714,0.068208,-0.000183
1765332108.485612,0.001144,0.065571,-0.022431,0.003479
1765332108.486150,0.000763,0.043714,0.002289,-0.000183
1765332108.486602,0.001144,0.065571,0.038911,-0.000183
1765332108.487102,0.001144,0.065571,0.113985,-0.000183
