timestamp,tension (N)
1765407730.007395,-0.005000
1765407730.010449,-0.005000
1765407730.013545,-0.005000
1765407730.016623,-0.005000
1765407730.019692,-0.005000
1765407730.022887,-0.005000
1765407730.026012,-0.005000
1765407730.029056,-0.005000
1765407730.032084,-0.005000
1765407730.035163,-0.005000
1765407730.038264,-0.005000
1765407730.041384,-0.005000
1765407730.044410,-0.005000
1765407730.047460,-0.005000
1765407730.050521,-0.005000
1765407730.053632,-0.005000
1765407730.057680,-0.005000
1765407730.060847,-0.005000
1765407730.063911,-0.005000
1765407730.066991,-0.005000
1765407730.070154,-0.005000
1765407730.073448,-0.005000
1765407730.076952,-0.005000
1765407730.079992,-0.005000
1765407730.083112,-0.005000
1765407730.086199,-0.005000
1765407730.089732,-0.005000
1765407730.092862,-0.005000
1765407730.095964,-0.005000
1765407730.099042,-0.005000
1765407730.102903,-0.005000
1765407730.106001,-0.005000
1765407730.109024,-0.005000
1765407730.112127,-0.005000
1765407730.115207,-0.005000
1765407730.118974,-0.005000
1765407730.122060,-0.005000
1765407730.125118,-0.005000
1765407730.128146,-0.005000
1765407730.131265,-0.005000
1765407730.134330,-0.005000
1765407730.137404,-0.005000
1765407730.140464,-0.005000
1765407730.143536,-0.005000
1765407730.146709,-0.005000
1765407730.149815,-0.005000
1765407730.152966,-0.005000
1765407730.156074,-0.005000
1765407730.159159,-0.005000
1765407730.162295,-0.005000
1765407730.165433,-0.005000
1765407730.168635,-0.005000
1765407730.172127,-0.005000
1765407730.175352,-0.005000
1765407730.178524,-0.005000
1765407730.181689,-0.005000
1765407730.184860,-0.005000
1765407730.188057,-0.005000
1765407730.191172,-0.005000
1765407730.194381,-0.005000
1765407730.197551,-0.005000
1765407730.200687,-0.005000
1765407730.203874,-0.005000
1765407730.207037,-0.005000
1765407730.210203,-0.005000
1765407730.214278,-0.005000
1765407730.217493,-0.005000
1765407730.220758,-0.005000
1765407730.223870,-0.005000
1765407730.227030,-0.005000
1765407730.230175,-0.005000
1765407730.234052,-0.005000
1765407730.237343,-0.005000
1765407730.241317,-0.005000
1765407730.244851,-0.005000
1765407730.248022,-0.005000
1765407730.251187,-0.005000
1765407730.254369,-0.005000
1765407730.257645,-0.005000
1765407730.260972,-0.005000
1765407730.264722,-0.005000
1765407730.267976,-0.005000
1765407730.271174,-0.005000
1765407730.274425,-0.005000
1765407730.277652,-0.005000
1765407730.280845,-0.005000
1765407730.284057,-0.005000
1765407730.287377,-0.005000
1765407730.290573,-0.005000
1765407730.293801,-0.005000
1765407730.297007,-0.005000
1765407730.300204,-0.005000
1765407730.303523,-0.005000
1765407730.306763,-0.005000
1765407730.310091,-0.005000
1765407730.313362,-0.005000
1765407730.316680,-0.005000
1765407730.319988,-0.005000
1765407730.323208,-0.005000
1765407730.326483,-0.005000
1765407730.329677,-0.005000
1765407730.332868,-0.005000
1765407730.336127,-0.005000
1765407730.339416,-0.005000
1765407730.342671,-0.005000
1765407730.345890,-0.005000
1765407730.349146,-0.005000
1765407730.352399,-0.005000
1765407730.355615,-0.005000
1765407730.358844,-0.005000
1765407730.362053,-0.005000
1765407730.365365,-0.005000
1765407730.369367,-0.005000
1765407730.372657,-0.005000
1765407730.375968,-0.005000
1765407730.379224,-0.005000
1765407730.382476,-0.005000
1765407730.385768,-0.005000
1765407730.389094,-0.005000
1765407730.392336,-0.005000
1765407730.396397,-0.005000
1765407730.399878,-0.005000
1765407730.403062,-0.005000
1765407730.406289,-0.005000
1765407730.409512,-0.005000
1765407730.412781,-0.005000
1765407730.415992,-0.005000
1765407730.419260,-0.005000
1765407730.422488,-0.005000
1765407730.425635,-0.005000
1765407730.429087,-0.005000
1765407730.431998,0.000000
1765407730.434877,0.000000
1765407730.438019,-0.005000
1765407730.440880,0.000000
1765407730.443744,0.000000
1765407730.446946,-0.005000
1765407730.450014,-0.005000
1765407730.453092,-0.005000
1765407730.456214,-0.005000
1765407730.459355,-0.005000
1765407730.462501,-0.005000
1765407730.465704,-0.005000
1765407730.468802,-0.005000
1765407730.472023,-0.005000
1765407730.475246,-0.005000
1765407730.478380,-0.005000
1765407730.481544,-0.005000
1765407730.484728,-0.005000
1765407730.488027,-0.005000
1765407730.491286,-0.005000
1765407730.494505,-0.005000
1765407730.497746,-0.005000
1765407730.501071,-0.005000
1765407730.504382,-0.005000
1765407730.507598,-0.005000
1765407730.510796,-0.005000
1765407730.514354,-0.005000
1765407730.517642,-0.005000
1765407730.520990,-0.005000
1765407730.525569,-0.005000
1765407730.528808,-0.005000
1765407730.532070,-0.005000
1765407730.535334,-0.005000
1765407730.538623,-0.005000
1765407730.541957,-0.005000
1765407730.545258,-0.005000
1765407730.548506,-0.005000
1765407730.552392,-0.005000
1765407730.555960,-0.005000
