timestamp,tension (N)
1765416495.640543,0.005000
1765416495.643562,0.005000
1765416495.646495,0.005000
1765416495.649488,0.005000
1765416495.652496,0.005000
1765416495.655663,0.005000
1765416495.659205,0.005000
1765416495.662198,0.005000
1765416495.665233,0.005000
1765416495.668550,0.005000
1765416495.671901,0.005000
1765416495.674864,0.005000
1765416495.677903,0.005000
1765416495.681116,0.005000
1765416495.684700,0.005000
1765416495.687707,0.005000
1765416495.690693,0.005000
1765416495.693786,0.005000
1765416495.696964,0.005000
1765416495.699939,0.005000
1765416495.702891,0.005000
1765416495.705860,0.005000
1765416495.708849,0.005000
1765416495.711801,0.005000
1765416495.714792,0.005000
1765416495.717771,0.005000
1765416495.720754,0.005000
1765416495.723745,0.005000
1765416495.726732,0.005000
1765416495.729750,0.005000
1765416495.732695,0.005000
1765416495.735701,0.005000
1765416495.738696,0.005000
1765416495.741688,0.005000
1765416495.744723,0.005000
1765416495.747702,0.005000
1765416495.750722,0.005000
1765416495.753736,0.005000
1765416495.756716,0.005000
1765416495.759708,0.005000
1765416495.762779,0.005000
1765416495.765718,0.005000
1765416495.768691,0.005000
1765416495.771692,0.005000
1765416495.774642,0.005000
1765416495.777665,0.005000
1765416495.780691,0.005000
1765416495.783628,0.005000
1765416495.786659,0.005000
1765416495.789644,0.005000
1765416495.792624,0.005000
1765416495.796591,0.005000
1765416495.799561,0.005000
1765416495.802533,0.005000
1765416495.805899,0.005000
1765416495.809386,0.005000
1765416495.812372,0.005000
1765416495.816034,0.005000
1765416495.819061,0.005000
1765416495.822079,0.005000
1765416495.825237,0.005000
1765416495.828750,0.005000
1765416495.831741,0.005000
1765416495.834779,0.005000
1765416495.837977,0.005000
1765416495.841715,0.005000
1765416495.844754,0.005000
1765416495.847706,0.005000
1765416495.850709,0.005000
1765416495.853767,0.005000
1765416495.856736,0.005000
1765416495.859768,0.005000
1765416495.862769,0.005000
1765416495.865774,0.005000
1765416495.868804,0.005000
1765416495.872436,0.005000
1765416495.875510,0.005000
1765416495.878621,0.005000
1765416495.881655,0.005000
1765416495.884712,0.005000
1765416495.887819,0.005000
1765416495.890852,0.005000
1765416495.893939,0.005000
1765416495.897041,0.005000
1765416495.900154,0.005000
1765416495.903929,0.005000
1765416495.907113,0.005000
1765416495.910239,0.005000
1765416495.913433,0.005000
1765416495.916616,0.005000
1765416495.919708,0.005000
1765416495.922788,0.005000
1765416495.925934,0.005000
1765416495.928965,0.005000
1765416495.931950,0.005000
1765416495.934946,0.005000
1765416495.937975,0.005000
1765416495.941070,0.005000
1765416495.944084,0.005000
1765416495.947163,0.005000
1765416495.950428,0.005000
1765416495.953423,0.005000
1765416495.956467,0.005000
1765416495.959532,0.005000
1765416495.964011,0.005000
1765416495.967000,0.005000
1765416495.970045,0.005000
1765416495.973235,0.005000
1765416495.976569,0.005000
1765416495.979801,0.005000
1765416495.983287,0.005000
1765416495.986273,0.005000
1765416495.989303,0.005000
1765416495.992474,0.005000
1765416495.996080,0.005000
1765416495.999087,0.005000
1765416496.002098,0.005000
1765416496.005259,0.005000
1765416496.008802,0.005000
1765416496.011850,0.005000
1765416496.014844,0.005000
1765416496.017950,0.005000
1765416496.020944,0.005000
1765416496.023891,0.005000
1765416496.026876,0.005000
1765416496.029833,0.005000
1765416496.032775,0.005000
1765416496.035751,0.005000
1765416496.038702,0.005000
1765416496.041666,0.005000
1765416496.044726,0.005000
1765416496.047803,0.005000
1765416496.050772,0.005000
1765416496.053825,0.005000
1765416496.056818,0.005000
1765416496.059810,0.005000
1765416496.062844,0.005000
1765416496.065840,0.005000
1765416496.068889,0.005000
1765416496.071855,0.005000
1765416496.074892,0.005000
1765416496.077917,0.005000
1765416496.080904,0.005000
1765416496.083960,0.005000
1765416496.086942,0.005000
1765416496.090003,0.005000
1765416496.093293,0.005000
1765416496.096239,0.005000
1765416496.099262,0.005000
1765416496.102257,0.005000
1765416496.105286,0.005000
1765416496.108276,0.005000
1765416496.111308,0.005000
1765416496.115935,0.005000
1765416496.118899,0.005000
1765416496.121881,0.005000
1765416496.125195,0.005000
1765416496.128469,0.005000
1765416496.131665,0.005000
1765416496.135668,0.005000
1765416496.138657,0.005000
1765416496.141646,0.005000
1765416496.144634,0.005000
1765416496.148020,0.005000
1765416496.150998,0.005000
1765416496.153966,0.005000
1765416496.157251,0.005000
1765416496.160789,0.005000
1765416496.163804,0.005000
1765416496.166792,0.005000
1765416496.169830,0.005000
1765416496.172822,0.005000
1765416496.175801,0.005000
1765416496.178840,0.005000
1765416496.181782,0.005000
1765416496.184784,0.005000
1765416496.187787,0.005000
1765416496.190838,0.005000
1765416496.193864,0.005000
1765416496.196864,0.005000
1765416496.200044,0.005000
1765416496.203086,0.005000
1765416496.206045,0.005000
1765416496.209045,0.005000
1765416496.212026,0.005000
1765416496.215087,0.005000
1765416496.218086,0.005000
1765416496.221070,0.005000
1765416496.224071,0.005000
1765416496.227087,0.005000
1765416496.230121,0.005000
1765416496.233136,0.005000
1765416496.236140,0.005000
1765416496.239191,0.005000
1765416496.242232,0.005000
1765416496.245369,0.005000
1765416496.248465,0.005000
1765416496.251523,0.005000
1765416496.254487,0.005000
1765416496.257518,0.005000
1765416496.260626,0.005000
1765416496.265857,0.005000
1765416496.268898,0.005000
1765416496.271891,0.005000
1765416496.275038,0.005000
1765416496.278443,0.005000
1765416496.281625,0.005000
1765416496.285150,0.005000
1765416496.288153,0.005000
1765416496.291173,0.005000
1765416496.294379,0.005000
1765416496.297931,0.005000
1765416496.301022,0.005000
1765416496.304031,0.005000
1765416496.307212,0.005000
1765416496.310749,0.005000
1765416496.313838,0.005000
1765416496.316871,0.005000
1765416496.319833,0.005000
1765416496.322770,0.005000
1765416496.325819,0.005000
1765416496.328800,0.005000
1765416496.331756,0.005000
1765416496.334752,0.005000
1765416496.337751,0.005000
1765416496.340705,0.005000
1765416496.343730,0.005000
1765416496.346675,0.005000
1765416496.349727,0.005000
1765416496.352761,0.005000
1765416496.355840,0.005000
1765416496.358839,0.005000
1765416496.361800,0.005000
1765416496.364795,0.005000
1765416496.368518,0.005000
1765416496.371548,0.005000
1765416496.374554,0.005000
1765416496.377623,0.005000
1765416496.380703,0.005000
1765416496.383782,0.005000
1765416496.386818,0.005000
1765416496.389844,0.005000
1765416496.392800,0.005000
1765416496.395834,0.005000
1765416496.398805,0.005000
1765416496.401842,0.005000
1765416496.404839,0.005000
1765416496.407894,0.005000
1765416496.410928,0.005000
1765416496.414020,0.005000
1765416496.417039,0.005000
1765416496.420043,0.005000
1765416496.423126,0.005000
1765416496.426140,0.005000
1765416496.429097,0.005000
1765416496.432075,0.005000
1765416496.435056,0.005000
1765416496.439408,0.005000
1765416496.442365,0.005000
1765416496.445381,0.005000
1765416496.448622,0.005000
1765416496.451943,0.005000
1765416496.455251,0.005000
1765416496.458742,0.005000
1765416496.461919,0.005000
1765416496.464919,0.005000
1765416496.467953,0.005000
1765416496.471557,0.005000
1765416496.474519,0.005000
1765416496.477563,0.005000
1765416496.480716,0.005000
1765416496.484257,0.005000
1765416496.487272,0.005000
1765416496.490258,0.005000
1765416496.493404,0.005000
1765416496.496500,0.005000
1765416496.499536,0.005000
1765416496.502488,0.005000
1765416496.505478,0.005000
1765416496.508468,0.005000
1765416496.511487,0.005000
1765416496.514474,0.005000
1765416496.517445,0.005000
1765416496.520466,0.005000
1765416496.523467,0.005000
1765416496.526490,0.005000
1765416496.529493,0.005000
1765416496.532458,0.005000
1765416496.535532,0.005000
1765416496.538576,0.005000
1765416496.541512,0.005000
1765416496.544525,0.005000
1765416496.547529,0.005000
1765416496.550561,0.005000
1765416496.553613,0.005000
1765416496.556645,0.005000
1765416496.559714,0.005000
1765416496.562701,0.005000
1765416496.565716,0.005000
1765416496.568721,0.005000
1765416496.571696,0.005000
1765416496.574730,0.005000
1765416496.577711,0.005000
1765416496.580788,0.005000
1765416496.583793,0.005000
1765416496.586838,0.005000
1765416496.589929,0.005000
1765416496.592927,0.005000
1765416496.595964,0.005000
1765416496.598957,0.005000
1765416496.603027,0.005000
1765416496.606028,0.005000
1765416496.609024,0.005000
1765416496.612267,0.005000
1765416496.615590,0.005000
1765416496.618807,0.005000
1765416496.622376,0.005000
1765416496.625379,0.005000
1765416496.628389,0.005000
1765416496.631593,0.005000
1765416496.635167,0.005000
1765416496.638110,0.005000
1765416496.641160,0.005000
1765416496.644385,0.005000
