timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1765493014.770275,0.000985,0.001586,-0.019677,0.000024,0.000019,0.000180
1765493014.770459,-0.000722,-0.001110,-0.039304,-0.000033,0.000020,0.000320
1765493014.786251,-0.000137,0.000452,0.012141,0.000034,-0.000018,-0.000103
1765493014.786416,-0.000976,0.000187,-0.006887,0.000040,-0.000017,0.000050
1765493014.786487,-0.000304,0.000651,-0.044737,-0.000024,0.000008,0.000385
1765493014.801782,0.001463,0.002581,0.004804,0.000053,0.000014,0.000027
1765493014.801979,-0.001781,0.000046,0.010135,0.000023,0.000008,-0.000074
1765493014.802050,-0.001041,0.000106,-0.035292,0.000044,0.000004,0.000326
1765493014.817330,-0.000617,0.001464,-0.014954,-0.000023,-0.000034,0.000127
1765493014.817542,-0.000159,0.001424,0.020503,-0.000018,-0.000017,-0.000091
1765493014.817612,-0.000214,0.001316,-0.018392,0.000034,0.000019,0.000150
1765493014.833323,-0.001849,0.001558,-0.035324,0.000033,0.000009,0.000326
1765493014.833794,-0.000533,0.001669,0.018352,0.000023,-0.000015,-0.000097
1765493014.833899,-0.000567,0.002409,-0.003382,0.000033,-0.000007,0.000086
1765493014.848679,-0.001863,0.002604,-0.046252,0.000028,0.000004,0.000392
1765493014.848873,0.000242,0.000819,0.000679,0.000004,-0.000046,0.000015
1765493014.848943,0.000688,0.001443,0.010847,0.000029,-0.000050,-0.000056
1765493014.864187,-0.000626,0.003251,-0.032545,0.000032,0.000008,0.000339
1765493014.864388,-0.000533,0.002500,-0.011592,0.000081,-0.000024,0.000156
1765493014.864458,-0.001336,0.000695,0.021137,0.000008,-0.000038,-0.000092
1765493014.880350,-0.001008,0.002345,-0.019722,0.000040,0.000013,0.000198
1765493014.880591,0.001345,0.002538,-0.035903,0.000016,0.000036,0.000339
1765493014.880696,-0.000906,0.000954,0.016967,0.000048,-0.000041,-0.000080
1765493014.880760,-0.000097,0.005047,0.000615,0.000087,-0.000011,0.000075
1765493014.895941,-0.000621,0.001742,-0.040117,0.000013,-0.000054,0.000339
1765493014.896148,-0.000923,0.002048,0.005476,0.000022,-0.000067,0.000038
1765493014.896225,-0.000124,0.002398,0.013642,-0.000014,-0.000072,-0.000044
1765493014.911448,0.000969,0.000317,-0.035202,0.000013,-0.000023,0.000337
1765493014.911639,0.001850,0.001495,-0.014909,0.000033,-0.000047,0.000162
1765493014.911708,-0.002467,0.002836,0.020985,0.000051,-0.000083,-0.000091
1765493014.927030,0.001057,0.003497,-0.020428,0.000054,-0.000037,0.000204
1765493014.927173,-0.001456,0.001808,-0.034633,0.000034,0.000029,0.000321
1765493014.927252,-0.000464,0.003622,0.019067,0.000043,-0.000077,-0.000038
1765493014.942443,-0.001756,0.002203,0.000772,0.000043,-0.000017,0.000108
1765493014.942611,0.001355,0.001079,-0.039895,-0.000023,-0.000046,0.000391
1765493014.942706,0.000736,0.004960,0.008894,0.000057,-0.000065,0.000057
1765493014.958394,-0.001714,0.003949,0.017708,0.000046,-0.000014,-0.000026
1765493014.958578,-0.001433,0.004170,-0.031175,-0.000011,-0.000026,0.000333
1765493014.958680,-0.000923,0.004207,-0.012901,0.000051,-0.000065,0.000204
1765493014.973810,-0.000064,0.002286,0.021023,0.000026,-0.000097,-0.000114
1765493014.973977,-0.000165,0.000824,-0.016194,0.000011,-0.000080,0.000214
1765493014.974051,-0.001025,0.003539,-0.030426,0.000034,0.000011,0.000367
1765493014.989062,-0.001236,0.004086,0.016892,0.000076,-0.000090,-0.000049
1765493014.989220,0.000738,0.006003,-0.000031,0.000081,-0.000054,0.000104
1765493014.989295,0.000207,0.003285,-0.038674,0.000050,-0.000030,0.000391
1765493014.989358,0.000680,0.003988,0.002092,0.000002,-0.000070,0.000063
1765493015.004582,-0.000044,0.005283,0.013484,0.000051,-0.000091,-0.000042
1765493015.004764,-0.000167,0.002989,-0.029082,0.000050,-0.000050,0.000361
1765493015.004842,-0.000912,0.006599,-0.010927,0.000055,-0.000049,0.000182
1765493015.020613,-0.002044,0.004528,0.024432,0.000050,-0.000091,-0.000079
1765493015.020780,0.000251,0.003983,-0.017663,0.000038,-0.000044,0.000210
1765493015.020853,-0.001014,0.003931,-0.035228,-0.000024,-0.000078,0.000375
1765493015.035934,-0.000435,0.003102,0.016953,0.000059,-0.000111,-0.000044
1765493015.036138,0.000711,0.005431,0.004053,0.000040,-0.000054,0.000046
1765493015.036212,-0.002158,0.003755,-0.038036,0.000054,-0.000095,0.000415
1765493015.051328,0.002337,0.004968,0.007599,0.000046,-0.000068,0.000074
1765493015.051546,-0.001254,0.003084,0.019793,0.000001,-0.000150,-0.000026
1765493015.051641,0.001045,0.004197,-0.031836,0.000055,-0.000046,0.000368
1765493015.067291,-0.000534,0.003948,-0.012842,0.000019,-0.000084,0.000209
1765493015.067500,0.000045,0.005629,0.022280,0.000074,-0.000171,-0.000089
1765493015.067572,-0.000893,0.004189,-0.012195,0.000050,-0.000110,0.000221
1765493015.083247,-0.000936,0.007354,-0.031300,0.000085,-0.000030,0.000364
1765493015.083415,0.000317,0.005505,0.020472,-0.000016,-0.000086,-0.000048
1765493015.083504,-0.000921,0.005065,-0.002639,0.000008,-0.000082,0.000145
1765493015.099014,0.000258,0.005203,-0.038012,0.000060,-0.000075,0.000416
1765493015.099334,-0.002040,0.005176,0.006796,0.000041,-0.000150,0.000086
1765493015.099439,0.001982,0.004569,0.020478,0.000056,-0.000096,-0.000026
1765493015.114568,-0.000525,0.006090,-0.028504,0.000058,-0.000077,0.000357
1765493015.114767,-0.000898,0.005661,-0.008757,0.000049,-0.000082,0.000221
1765493015.114841,-0.000380,0.006896,0.026432,0.000072,-0.000117,-0.000083
1765493015.114902,-0.001716,0.005161,-0.013549,0.000017,-0.000116,0.000233
1765493015.129472,-0.000136,0.004896,-0.029074,0.000031,-0.000100,0.000386
1765493015.129656,-0.000823,0.005764,0.018979,0.000055,-0.000109,-0.000037
1765493015.129739,-0.000825,0.007376,0.003992,0.000071,-0.000113,0.000088
1765493015.144914,-0.000577,0.003796,-0.037881,0.000023,-0.000085,0.000450
