timestamp,tension (N)
1765493014.721723,-0.620000
1765493014.724582,-0.620000
1765493014.727413,-0.620000
1765493014.730600,-0.620000
1765493014.733395,-0.620000
1765493014.736187,-0.620000
1765493014.739711,-0.620000
1765493014.742546,-0.620000
1765493014.745289,-0.620000
1765493014.748120,-0.620000
1765493014.750988,-0.620000
1765493014.753959,-0.620000
1765493014.756775,-0.620000
1765493014.759684,-0.620000
1765493014.762509,-0.620000
1765493014.765287,-0.620000
1765493014.768101,-0.620000
1765493014.770826,-0.620000
1765493014.773646,-0.620000
1765493014.776454,-0.620000
1765493014.779321,-0.620000
1765493014.782160,-0.620000
1765493014.784961,-0.620000
1765493014.788016,-0.620000
1765493014.790843,-0.620000
1765493014.793649,-0.620000
1765493014.796454,-0.620000
1765493014.799289,-0.620000
1765493014.802108,-0.620000
1765493014.804954,-0.620000
1765493014.807721,-0.620000
1765493014.810576,-0.620000
1765493014.813321,-0.620000
1765493014.816045,-0.620000
1765493014.818789,-0.620000
1765493014.821502,-0.620000
1765493014.824272,-0.620000
1765493014.827001,-0.620000
1765493014.829733,-0.620000
1765493014.832574,-0.620000
1765493014.835355,-0.620000
1765493014.838192,-0.620000
1765493014.840993,-0.620000
1765493014.843703,-0.620000
1765493014.846448,-0.620000
1765493014.849232,-0.620000
1765493014.852010,-0.620000
1765493014.854791,-0.620000
1765493014.857656,-0.620000
1765493014.860394,-0.620000
1765493014.863106,-0.620000
1765493014.865841,-0.620000
1765493014.868664,-0.620000
1765493014.873679,-0.620000
1765493014.876488,-0.620000
1765493014.879280,-0.620000
1765493014.882761,-0.620000
1765493014.886164,-0.620000
1765493014.889355,-0.620000
1765493014.892827,-0.620000
1765493014.895609,-0.620000
1765493014.898479,-0.620000
1765493014.902001,-0.620000
1765493014.905644,-0.620000
1765493014.908494,-0.620000
1765493014.911301,-0.620000
1765493014.914617,-0.620000
1765493014.917401,-0.620000
1765493014.920231,-0.620000
1765493014.923572,-0.620000
1765493014.926306,-0.620000
1765493014.929142,-0.620000
1765493014.932611,-0.620000
1765493014.935372,-0.620000
1765493014.938226,-0.620000
1765493014.941016,-0.620000
1765493014.943805,-0.620000
1765493014.946716,-0.620000
1765493014.949484,-0.620000
1765493014.952282,-0.620000
1765493014.955089,-0.620000
1765493014.957876,-0.620000
1765493014.960676,-0.620000
