timestamp,tension (N)
1765493014.771736,-0.520000
1765493014.774453,-0.520000
1765493014.777175,-0.520000
1765493014.779930,-0.520000
1765493014.782547,-0.520000
1765493014.785236,-0.520000
1765493014.788140,-0.520000
1765493014.790959,-0.520000
1765493014.793695,-0.520000
1765493014.796377,-0.520000
1765493014.799117,-0.520000
1765493014.801975,-0.520000
1765493014.804745,-0.520000
1765493014.807577,-0.520000
1765493014.810334,-0.520000
1765493014.813105,-0.520000
1765493014.815861,-0.520000
1765493014.818598,-0.520000
1765493014.821347,-0.520000
1765493014.824073,-0.520000
1765493014.826778,-0.520000
1765493014.829559,-0.520000
1765493014.832287,-0.520000
1765493014.835072,-0.520000
1765493014.837839,-0.520000
1765493014.841841,-0.520000
1765493014.845035,-0.520000
1765493014.847789,-0.520000
1765493014.851021,-0.520000
1765493014.854377,-0.520000
1765493014.857565,-0.520000
1765493014.861128,-0.520000
1765493014.863883,-0.520000
1765493014.866555,-0.520000
1765493014.869272,-0.520000
1765493014.872010,-0.520000
1765493014.875383,-0.520000
1765493014.878197,-0.520000
1765493014.880943,-0.520000
1765493014.884369,-0.520000
1765493014.887127,-0.520000
1765493014.889846,-0.520000
1765493014.892573,-0.520000
1765493014.895263,-0.520000
1765493014.897993,-0.520000
1765493014.900720,-0.520000
1765493014.904032,-0.520000
1765493014.906701,-0.520000
1765493014.909386,-0.520000
1765493014.912183,-0.520000
1765493014.914927,-0.520000
1765493014.917675,-0.520000
1765493014.920408,-0.520000
1765493014.923181,-0.520000
1765493014.925960,-0.520000
1765493014.928711,-0.520000
1765493014.931423,-0.520000
1765493014.934276,-0.520000
1765493014.936937,-0.520000
1765493014.939679,-0.520000
1765493014.942485,-0.520000
1765493014.945259,-0.520000
1765493014.948008,-0.520000
1765493014.950744,-0.520000
1765493014.953472,-0.520000
1765493014.956175,-0.520000
1765493014.958972,-0.520000
1765493014.961727,-0.520000
1765493014.964454,-0.520000
1765493014.967161,-0.520000
1765493014.969875,-0.520000
1765493014.972574,-0.520000
1765493014.975323,-0.520000
1765493014.978026,-0.520000
