timestamp,tension (N)
1765493014.572807,-0.780000
1765493014.575608,-0.780000
1765493014.578403,-0.780000
1765493014.581234,-0.780000
1765493014.584275,-0.780000
1765493014.587059,-0.780000
1765493014.589865,-0.780000
1765493014.592730,-0.780000
1765493014.595505,-0.780000
1765493014.598321,-0.780000
1765493014.601164,-0.780000
1765493014.604056,-0.780000
1765493014.606859,-0.780000
1765493014.609758,-0.780000
1765493014.612629,-0.780000
1765493014.615419,-0.780000
1765493014.618328,-0.780000
1765493014.621115,-0.780000
1765493014.623906,-0.780000
1765493014.626745,-0.780000
1765493014.629505,-0.780000
1765493014.632306,-0.780000
1765493014.635196,-0.780000
1765493014.637993,-0.780000
1765493014.640896,-0.780000
1765493014.643679,-0.780000
1765493014.646542,-0.780000
1765493014.649406,-0.780000
1765493014.652385,-0.780000
1765493014.655211,-0.780000
1765493014.657980,-0.780000
1765493014.660766,-0.780000
1765493014.663737,-0.780000
1765493014.666586,-0.780000
1765493014.669467,-0.780000
1765493014.672260,-0.780000
1765493014.675064,-0.780000
1765493014.677875,-0.780000
1765493014.680755,-0.780000
1765493014.683757,-0.780000
1765493014.686697,-0.780000
1765493014.689479,-0.780000
1765493014.692329,-0.780000
1765493014.695144,-0.780000
1765493014.697937,-0.780000
1765493014.700873,-0.780000
1765493014.703617,-0.780000
1765493014.706495,-0.780000
1765493014.709378,-0.780000
1765493014.713617,-0.780000
1765493014.716445,-0.780000
1765493014.719338,-0.780000
1765493014.722646,-0.780000
1765493014.725981,-0.780000
1765493014.729099,-0.780000
1765493014.732680,-0.780000
1765493014.735489,-0.780000
1765493014.738353,-0.780000
1765493014.741716,-0.780000
1765493014.745142,-0.780000
1765493014.748030,-0.780000
1765493014.750896,-0.780000
1765493014.754205,-0.780000
1765493014.756970,-0.780000
1765493014.759768,-0.780000
1765493014.763069,-0.780000
1765493014.765769,-0.780000
1765493014.768592,-0.780000
1765493014.772028,-0.780000
1765493014.774745,-0.780000
1765493014.777563,-0.780000
1765493014.780690,-0.780000
1765493014.783643,-0.780000
1765493014.786779,-0.780000
1765493014.789769,-0.780000
1765493014.792568,-0.780000
1765493014.795321,-0.780000
1765493014.798135,-0.780000
1765493014.800916,-0.780000
1765493014.803685,-0.780000
1765493014.806391,-0.780000
1765493014.809173,-0.780000
1765493014.811960,-0.780000
1765493014.814723,-0.780000
1765493014.817578,-0.780000
1765493014.820342,-0.780000
1765493014.823272,-0.780000
1765493014.826036,-0.780000
1765493014.828823,-0.780000
1765493014.831580,-0.780000
1765493014.834323,-0.780000
1765493014.837156,-0.780000
1765493014.839998,-0.780000
1765493014.842835,-0.780000
1765493014.845508,-0.780000
1765493014.848265,-0.780000
1765493014.851034,-0.780000
1765493014.853805,-0.780000
1765493014.856704,-0.780000
1765493014.859447,-0.780000
1765493014.862189,-0.780000
1765493014.864919,-0.780000
1765493014.867654,-0.780000
1765493014.870403,-0.780000
1765493014.873215,-0.780000
1765493014.877954,-0.780000
1765493014.880697,-0.780000
1765493014.883412,-0.780000
1765493014.886306,-0.780000
1765493014.889135,-0.780000
1765493014.891916,-0.780000
1765493014.895093,-0.780000
1765493014.898587,-0.780000
1765493014.901402,-0.780000
1765493014.904187,-0.780000
1765493014.907645,-0.780000
1765493014.911203,-0.780000
1765493014.913899,-0.780000
1765493014.916681,-0.780000
1765493014.920228,-0.780000
1765493014.923036,-0.780000
1765493014.925861,-0.780000
1765493014.929070,-0.780000
1765493014.931750,-0.780000
1765493014.934574,-0.780000
1765493014.938199,-0.780000
1765493014.940922,-0.780000
1765493014.943642,-0.780000
1765493014.946397,-0.780000
1765493014.949259,-0.780000
1765493014.952027,-0.780000
1765493014.954819,-0.780000
1765493014.957757,-0.780000
1765493014.960607,-0.780000
1765493014.963520,-0.780000
1765493014.966322,-0.780000
1765493014.969081,-0.780000
1765493014.971891,-0.780000
1765493014.974669,-0.780000
1765493014.977452,-0.780000
1765493014.980268,-0.780000
1765493014.982974,-0.780000
1765493014.985809,-0.780000
1765493014.988588,-0.780000
1765493014.991328,-0.780000
1765493014.994076,-0.780000
1765493014.996864,-0.780000
1765493014.999606,-0.780000
1765493015.002473,-0.780000
1765493015.005273,-0.780000
1765493015.007943,-0.780000
1765493015.010747,-0.780000
1765493015.013486,-0.780000
1765493015.016206,-0.780000
1765493015.019047,-0.780000
1765493015.021793,-0.780000
1765493015.024638,-0.780000
1765493015.027673,-0.780000
1765493015.030456,-0.780000
1765493015.033278,-0.780000
1765493015.036195,-0.780000
1765493015.039033,-0.780000
1765493015.041771,-0.800000
1765493015.044583,-1.040000
1765493015.048643,-1.100000
1765493015.051469,-1.100000
1765493015.054471,-1.240000
1765493015.057869,-1.280000
1765493015.061309,-1.380000
1765493015.064553,-1.520000
1765493015.067915,-1.600000
1765493015.070927,-1.640000
1765493015.073831,-1.820000
1765493015.077125,-1.900000
1765493015.080861,-1.980000
1765493015.083710,-2.060000
1765493015.086763,-2.200000
1765493015.090264,-2.380000
1765493015.093085,-2.420000
1765493015.096051,-2.560000
1765493015.099828,-2.720000
1765493015.102753,-2.900000
1765493015.105701,-3.100000
1765493015.109102,-3.300000
1765493015.111880,-3.500000
1765493015.114837,-3.660000
1765493015.117662,-3.800000
1765493015.120495,-4.020000
1765493015.123316,-4.240000
1765493015.126296,-4.460000
1765493015.129320,-4.600000
1765493015.132221,-4.840000
1765493015.135338,-5.120000
1765493015.138234,-5.240000
1765493015.141210,-5.520000
1765493015.144125,-5.700000
1765493015.147026,-5.840000
1765493015.149921,-6.080000
1765493015.152864,-6.200000
1765493015.155858,-6.420000
1765493015.158791,-6.540000
1765493015.161887,-6.700000
1765493015.164776,-6.880000
1765493015.167736,-7.020000
1765493015.170686,-7.160000
1765493015.173630,-7.380000
1765493015.176384,-7.500000
1765493015.179382,-7.600000
1765493015.182347,-7.820000
1765493015.185426,-7.920000
1765493015.188421,-8.160000
1765493015.191397,-8.360000
1765493015.194617,-8.400000
1765493015.197567,-8.560000
1765493015.200560,-8.740000
1765493015.203451,-8.860000
1765493015.206429,-9.020000
1765493015.209441,-9.100000
1765493015.212402,-9.220000
1765493015.215529,-9.220000
1765493015.220873,-9.360000
1765493015.223752,-9.400000
1765493015.226637,-9.560000
1765493015.229358,-9.500000
1765493015.232247,-9.660000
1765493015.235457,-9.620000
1765493015.238874,-9.620000
1765493015.242615,-9.620000
1765493015.245616,-9.740000
1765493015.248556,-9.760000
1765493015.252134,-9.780000
1765493015.255840,-9.800000
1765493015.258759,-9.760000
1765493015.261744,-9.780000
1765493015.265323,-9.720000
1765493015.268296,-9.760000
1765493015.271269,-9.720000
1765493015.274877,-9.680000
1765493015.277833,-9.620000
1765493015.280739,-9.560000
1765493015.284342,-9.540000
1765493015.287106,-9.500000
1765493015.289910,-9.500000
1765493015.292768,-9.580000
1765493015.295721,-9.460000
1765493015.298700,-9.440000
1765493015.301464,-9.500000
1765493015.304325,-9.360000
1765493015.307117,-9.380000
1765493015.309912,-9.460000
1765493015.312814,-9.380000
1765493015.315781,-9.320000
1765493015.318930,-9.300000
1765493015.321790,-9.260000
1765493015.324605,-9.380000
1765493015.327440,-9.300000
1765493015.330261,-9.360000
1765493015.333204,-9.340000
1765493015.335983,-9.300000
1765493015.338906,-9.340000
1765493015.342115,-9.080000
1765493015.344871,-9.080000
1765493015.347604,-9.100000
1765493015.350476,-9.340000
1765493015.353379,-9.120000
1765493015.356294,-9.120000
1765493015.359279,-9.120000
1765493015.362277,-9.140000
1765493015.365141,-9.140000
1765493015.368094,-9.140000
1765493015.371041,-9.140000
1765493015.373950,-9.160000
1765493015.376884,-9.160000
1765493015.379919,-9.160000
1765493015.382769,-9.160000
1765493015.385627,-9.160000
1765493015.390700,-9.160000
1765493015.394001,-9.180000
1765493015.396850,-9.180000
1765493015.399802,-9.460000
1765493015.403216,-9.200000
1765493015.406429,-9.440000
1765493015.409945,-9.220000
1765493015.412823,-9.500000
1765493015.416161,-9.240000
1765493015.419681,-9.260000
1765493015.422629,-9.260000
1765493015.425598,-9.260000
1765493015.428943,-9.280000
1765493015.431743,-9.280000
1765493015.434633,-9.280000
1765493015.438023,-9.280000
1765493015.440835,-9.280000
1765493015.443638,-9.280000
1765493015.447131,-9.280000
1765493015.449973,-9.280000
1765493015.452866,-9.280000
1765493015.456251,-9.280000
1765493015.459282,-9.280000
1765493015.462100,-9.280000
1765493015.465072,-9.280000
1765493015.468003,-9.280000
1765493015.470962,-9.280000
1765493015.473860,-9.260000
1765493015.476712,-9.260000
1765493015.479667,-9.260000
1765493015.482670,-9.260000
1765493015.485651,-9.260000
1765493015.488632,-9.240000
1765493015.491454,-9.240000
1765493015.494267,-9.240000
1765493015.497288,-9.240000
1765493015.500132,-9.240000
1765493015.502892,-9.240000
1765493015.505824,-9.240000
1765493015.508707,-9.220000
1765493015.511667,-9.220000
1765493015.514618,-9.220000
1765493015.517468,-9.220000
1765493015.520312,-9.220000
1765493015.523235,-9.220000
1765493015.526207,-9.220000
1765493015.529090,-9.220000
1765493015.531874,-9.220000
1765493015.534753,-9.200000
1765493015.537621,-9.200000
1765493015.540443,-9.200000
1765493015.543396,-9.200000
1765493015.546292,-9.200000
1765493015.549117,-9.200000
1765493015.552001,-9.200000
1765493015.556179,-9.200000
1765493015.559136,-9.200000
1765493015.561961,-9.200000
1765493015.565681,-9.180000
1765493015.568915,-9.180000
1765493015.572136,-9.180000
1765493015.575714,-9.180000
1765493015.578623,-9.180000
1765493015.581489,-9.180000
1765493015.585171,-9.180000
1765493015.588706,-9.180000
1765493015.591648,-9.180000
1765493015.594595,-9.160000
1765493015.597911,-9.160000
1765493015.600850,-9.160000
1765493015.603715,-9.160000
1765493015.607050,-9.160000
1765493015.609898,-9.140000
1765493015.612840,-9.140000
1765493015.616133,-9.140000
1765493015.619077,-9.140000
1765493015.621944,-9.140000
1765493015.624762,-9.140000
1765493015.627606,-9.120000
1765493015.630511,-9.120000
1765493015.633420,-9.120000
1765493015.636461,-9.120000
1765493015.639373,-9.120000
1765493015.642220,-9.100000
1765493015.645044,-9.100000
1765493015.647883,-9.100000
1765493015.650733,-9.080000
1765493015.653460,-9.080000
1765493015.656253,-9.080000
1765493015.659019,-9.060000
1765493015.661816,-9.060000
1765493015.664645,-9.060000
1765493015.667534,-9.040000
1765493015.670331,-9.040000
1765493015.673130,-9.020000
1765493015.675954,-8.780000
1765493015.678869,-9.020000
1765493015.681622,-9.000000
1765493015.684219,-9.000000
1765493015.686830,-9.000000
1765493015.689768,-8.980000
1765493015.692624,-8.980000
1765493015.695421,-8.980000
1765493015.698337,-8.960000
1765493015.701330,-8.960000
1765493015.704123,-8.960000
1765493015.706908,-8.940000
1765493015.709821,-8.940000
1765493015.712701,-8.940000
1765493015.715631,-8.940000
1765493015.718492,-8.940000
1765493015.723522,-8.920000
1765493015.726351,-8.920000
1765493015.729149,-8.920000
1765493015.731957,-8.920000
1765493015.734887,-8.900000
1765493015.737880,-8.900000
1765493015.741153,-8.900000
1765493015.744709,-8.900000
1765493015.747604,-8.880000
1765493015.750421,-8.880000
1765493015.754012,-8.880000
1765493015.757638,-8.880000
1765493015.760449,-8.880000
1765493015.763363,-8.860000
1765493015.766758,-8.860000
1765493015.769733,-8.860000
1765493015.772485,-8.860000
1765493015.775986,-8.860000
1765493015.778804,-8.840000
1765493015.781771,-8.840000
1765493015.785081,-8.840000
1765493015.787929,-8.840000
1765493015.790795,-8.840000
1765493015.793816,-8.820000
1765493015.796601,-8.820000
1765493015.799432,-8.820000
1765493015.802347,-8.820000
1765493015.805300,-8.800000
1765493015.808242,-8.800000
1765493015.811144,-8.800000
1765493015.814072,-8.780000
1765493015.816877,-8.780000
1765493015.819799,-8.780000
1765493015.822721,-8.780000
1765493015.825645,-8.760000
1765493015.828482,-8.760000
1765493015.831536,-8.760000
1765493015.834468,-8.740000
1765493015.837445,-8.740000
1765493015.840288,-8.740000
1765493015.843220,-8.720000
1765493015.846304,-8.720000
1765493015.849235,-8.720000
1765493015.852362,-8.700000
1765493015.855529,-8.700000
1765493015.858525,-8.680000
1765493015.861502,-8.680000
1765493015.864523,-8.420000
1765493015.867538,-8.660000
1765493015.870618,-8.660000
1765493015.873437,-8.640000
1765493015.876497,-8.400000
1765493015.879466,-8.620000
1765493015.882477,-8.400000
1765493015.885446,-8.380000
1765493015.891042,-8.580000
