timestamp,tension (N)
1765493014.805132,-0.540000
1765493014.807941,-0.540000
1765493014.810711,-0.540000
1765493014.813564,-0.540000
1765493014.816420,-0.540000
1765493014.819224,-0.540000
1765493014.821932,-0.540000
1765493014.824652,-0.540000
1765493014.827382,-0.540000
1765493014.830224,-0.540000
1765493014.832989,-0.540000
1765493014.835713,-0.540000
1765493014.838468,-0.540000
1765493014.841228,-0.540000
1765493014.844131,-0.540000
1765493014.846890,-0.540000
1765493014.849648,-0.540000
1765493014.852389,-0.540000
1765493014.855181,-0.540000
1765493014.857891,-0.540000
1765493014.860676,-0.540000
1765493014.863431,-0.540000
1765493014.866180,-0.540000
1765493014.868931,-0.540000
1765493014.872075,-0.540000
1765493014.874853,-0.540000
1765493014.877684,-0.540000
1765493014.880576,-0.540000
1765493014.883310,-0.540000
1765493014.886120,-0.540000
1765493014.888883,-0.540000
1765493014.891587,-0.540000
1765493014.894333,-0.540000
1765493014.897101,-0.540000
1765493014.899807,-0.540000
1765493014.904254,-0.540000
1765493014.906995,-0.540000
1765493014.909773,-0.540000
1765493014.912560,-0.540000
1765493014.915254,-0.540000
1765493014.918390,-0.540000
1765493014.921661,-0.540000
1765493014.925259,-0.540000
1765493014.927995,-0.540000
1765493014.930788,-0.540000
1765493014.933546,-0.540000
1765493014.936294,-0.540000
1765493014.939630,-0.540000
1765493014.942497,-0.540000
1765493014.945294,-0.540000
1765493014.948582,-0.540000
1765493014.951259,-0.540000
1765493014.954003,-0.540000
1765493014.956780,-0.540000
1765493014.959559,-0.540000
1765493014.962280,-0.540000
1765493014.965010,-0.540000
1765493014.968306,-0.540000
1765493014.971104,-0.540000
1765493014.974360,-0.540000
1765493014.977427,-0.540000
1765493014.980261,-0.540000
1765493014.983075,-0.540000
1765493014.985880,-0.540000
1765493014.988649,-0.540000
1765493014.991377,-0.540000
1765493014.994173,-0.540000
1765493014.996921,-0.540000
1765493015.000104,-0.540000
1765493015.002919,-0.540000
1765493015.005635,-0.540000
1765493015.008377,-0.540000
1765493015.011139,-0.540000
1765493015.013880,-0.540000
1765493015.016642,-0.540000
1765493015.019389,-0.540000
1765493015.022154,-0.540000
1765493015.024921,-0.540000
1765493015.027716,-0.540000
1765493015.030525,-0.540000
1765493015.033311,-0.540000
1765493015.036087,-0.540000
1765493015.038795,-0.560000
1765493015.041582,-0.560000
1765493015.044395,-0.580000
1765493015.047054,-0.820000
1765493015.049870,-0.900000
1765493015.052567,-0.980000
1765493015.055322,-1.040000
1765493015.058151,-1.140000
1765493015.062768,-1.280000
1765493015.065709,-1.360000
1765493015.068552,-1.480000
1765493015.072106,-1.600000
1765493015.075316,-1.700000
1765493015.078847,-1.820000
1765493015.082396,-1.960000
1765493015.085321,-2.080000
1765493015.088256,-2.180000
1765493015.091123,-2.280000
1765493015.093954,-2.380000
1765493015.097644,-2.500000
1765493015.100515,-2.620000
1765493015.103484,-2.740000
1765493015.106424,-2.900000
1765493015.109210,-3.080000
1765493015.112135,-3.220000
1765493015.114931,-3.400000
1765493015.118383,-3.640000
1765493015.121184,-3.840000
1765493015.123842,-4.000000
1765493015.126739,-4.200000
1765493015.129560,-4.420000
1765493015.132366,-4.600000
1765493015.135238,-4.820000
1765493015.138075,-5.040000
1765493015.140964,-5.220000
1765493015.143944,-5.420000
1765493015.146775,-5.640000
1765493015.149557,-5.800000
1765493015.152507,-5.960000
1765493015.155349,-6.140000
1765493015.158201,-6.280000
1765493015.161178,-6.420000
1765493015.164105,-6.600000
1765493015.167028,-6.720000
1765493015.169868,-6.860000
1765493015.172585,-7.000000
1765493015.175468,-7.140000
1765493015.178365,-7.280000
1765493015.181247,-7.420000
1765493015.184020,-7.500000
1765493015.186939,-7.640000
1765493015.189772,-7.760000
1765493015.192702,-7.880000
1765493015.195433,-8.000000
1765493015.198323,-8.120000
1765493015.201248,-8.220000
1765493015.204155,-8.380000
1765493015.206968,-8.500000
1765493015.209918,-8.620000
1765493015.212829,-8.700000
1765493015.215694,-8.800000
1765493015.221185,-8.900000
1765493015.224025,-8.980000
1765493015.226715,-9.000000
1765493015.229569,-9.040000
1765493015.232348,-9.080000
1765493015.235830,-9.120000
1765493015.239208,-9.160000
1765493015.243000,-9.200000
1765493015.245850,-9.220000
1765493015.248714,-9.240000
1765493015.251560,-9.260000
1765493015.254485,-9.280000
1765493015.258201,-9.280000
1765493015.261117,-9.280000
1765493015.264011,-9.280000
1765493015.266860,-9.300000
1765493015.269789,-9.280000
1765493015.272684,-9.280000
1765493015.275569,-9.280000
1765493015.279094,-9.260000
1765493015.281915,-9.240000
1765493015.284806,-9.240000
1765493015.287615,-9.240000
1765493015.290400,-9.220000
1765493015.293176,-9.220000
1765493015.296015,-9.220000
1765493015.298884,-9.200000
1765493015.301759,-9.200000
1765493015.304574,-9.200000
1765493015.307468,-9.200000
1765493015.310380,-9.220000
1765493015.313179,-9.240000
1765493015.316010,-9.240000
1765493015.318805,-9.240000
1765493015.321572,-9.260000
1765493015.324382,-9.260000
1765493015.327220,-9.260000
1765493015.330069,-9.280000
1765493015.332966,-9.260000
1765493015.335958,-9.280000
1765493015.338829,-9.260000
1765493015.341650,-9.260000
1765493015.344628,-9.260000
1765493015.347440,-9.240000
1765493015.350281,-9.240000
1765493015.353201,-9.260000
1765493015.356080,-9.260000
1765493015.358870,-9.240000
1765493015.361722,-9.260000
1765493015.364607,-9.280000
1765493015.367550,-9.260000
1765493015.370395,-9.280000
1765493015.373262,-9.260000
1765493015.377623,-9.280000
1765493015.380373,-9.040000
1765493015.383160,-9.060000
1765493015.385953,-9.060000
1765493015.388755,-9.080000
1765493015.391734,-9.080000
1765493015.395048,-9.100000
1765493015.398562,-9.100000
1765493015.401523,-9.120000
1765493015.404403,-9.120000
1765493015.408013,-9.140000
1765493015.411719,-9.140000
1765493015.414491,-9.140000
1765493015.417347,-9.160000
1765493015.421017,-9.160000
1765493015.423826,-9.180000
1765493015.426593,-9.180000
1765493015.430118,-9.180000
1765493015.432988,-9.180000
1765493015.435823,-9.200000
1765493015.439448,-9.200000
1765493015.442211,-9.200000
1765493015.445055,-9.200000
1765493015.447981,-9.200000
1765493015.450841,-9.220000
1765493015.453723,-9.220000
1765493015.456635,-9.220000
1765493015.459564,-9.220000
1765493015.462431,-9.220000
1765493015.465356,-9.220000
1765493015.468193,-9.220000
1765493015.471076,-9.220000
1765493015.473953,-9.220000
1765493015.476848,-9.220000
1765493015.479761,-9.200000
1765493015.482591,-9.200000
1765493015.485337,-9.200000
1765493015.488161,-9.200000
1765493015.490989,-9.200000
1765493015.493813,-9.200000
1765493015.496575,-9.180000
1765493015.499401,-9.180000
1765493015.502236,-9.180000
1765493015.505144,-9.180000
1765493015.507977,-9.160000
1765493015.510913,-9.160000
1765493015.513747,-9.160000
1765493015.516576,-9.140000
1765493015.519441,-9.140000
1765493015.522283,-9.140000
1765493015.525154,-9.120000
1765493015.527963,-9.120000
1765493015.530815,-9.120000
1765493015.533636,-9.100000
1765493015.536381,-9.100000
1765493015.539135,-9.100000
1765493015.541968,-9.080000
1765493015.544765,-9.080000
1765493015.547576,-9.060000
1765493015.551834,-9.060000
1765493015.554683,-9.040000
1765493015.557467,-9.040000
1765493015.560180,-9.040000
1765493015.563040,-9.020000
1765493015.566045,-9.020000
1765493015.569381,-9.020000
1765493015.573147,-9.000000
1765493015.575818,-9.000000
1765493015.578416,-9.000000
1765493015.581839,-8.980000
1765493015.585483,-8.980000
1765493015.588318,-8.980000
1765493015.591118,-8.960000
1765493015.593950,-8.960000
1765493015.596752,-8.960000
1765493015.599573,-8.940000
1765493015.602345,-8.940000
1765493015.605623,-8.940000
1765493015.608587,-8.920000
1765493015.611476,-8.920000
1765493015.614884,-8.920000
1765493015.617637,-8.920000
1765493015.620485,-8.920000
1765493015.623353,-8.900000
1765493015.626189,-8.900000
1765493015.628968,-8.900000
1765493015.631803,-8.900000
1765493015.634569,-8.880000
1765493015.637447,-8.880000
1765493015.640282,-8.880000
1765493015.643125,-8.880000
1765493015.645992,-8.880000
1765493015.648850,-8.880000
1765493015.651702,-8.880000
1765493015.654555,-8.860000
1765493015.657383,-8.860000
1765493015.660275,-8.860000
1765493015.663128,-8.860000
1765493015.666148,-8.860000
1765493015.668939,-8.860000
1765493015.671845,-8.860000
1765493015.674704,-8.860000
1765493015.677567,-8.860000
1765493015.680504,-8.860000
1765493015.683369,-8.840000
1765493015.686277,-8.840000
1765493015.689129,-8.840000
1765493015.691962,-8.840000
1765493015.694866,-8.840000
1765493015.697689,-8.840000
1765493015.700608,-8.840000
1765493015.705563,-8.820000
1765493015.708335,-8.820000
1765493015.711586,-8.820000
1765493015.715003,-8.820000
1765493015.718332,-8.800000
1765493015.721568,-8.800000
1765493015.725158,-8.800000
1765493015.727963,-8.780000
1765493015.730801,-8.780000
1765493015.733707,-8.780000
1765493015.736572,-8.760000
1765493015.739802,-8.760000
1765493015.742571,-8.760000
1765493015.745399,-8.740000
1765493015.748214,-8.740000
1765493015.751013,-8.740000
1765493015.753786,-8.720000
1765493015.756600,-8.720000
1765493015.760063,-8.700000
1765493015.762939,-8.700000
1765493015.765772,-8.700000
1765493015.769213,-8.680000
1765493015.771980,-8.680000
1765493015.774805,-8.680000
1765493015.777661,-8.680000
1765493015.780565,-8.660000
1765493015.783436,-8.660000
1765493015.786305,-8.660000
1765493015.789151,-8.640000
1765493015.792061,-8.640000
1765493015.794973,-8.620000
1765493015.797855,-8.620000
1765493015.800692,-8.620000
1765493015.803584,-8.620000
1765493015.806370,-8.600000
1765493015.809107,-8.600000
1765493015.811899,-8.600000
1765493015.814719,-8.580000
1765493015.817575,-8.580000
1765493015.820374,-8.580000
1765493015.823212,-8.560000
1765493015.826062,-8.560000
1765493015.828948,-8.560000
1765493015.831918,-8.560000
1765493015.834813,-8.540000
1765493015.837668,-8.540000
1765493015.840653,-8.540000
