timestamp,phase_index,home1,target1_rad,abs_angle1_rad,rel_angle1_rad,velocity1_rad_s,torque1_Nm,home2,target2_rad,abs_angle2_rad,rel_angle2_rad,velocity2_rad_s,torque2_Nm,home3,target3_rad,abs_angle3_rad,rel_angle3_rad,velocity3_rad_s,torque3_Nm,home4,target4_rad,abs_angle4_rad,rel_angle4_rad,velocity4_rad_s,torque4_Nm
1765493015.083793,1.000000,0.541886,1.938149,0.655184,0.113298,1.322499,0.180362,0.615511,0.790044,0.676165,0.060655,1.316091,-0.000183,-1.149577,-2.894906,-1.182765,-0.033188,-1.258412,-0.108949,-0.721561,-0.547028,-0.721561,0.000000,0.026093,-0.000183
1765493015.087148,1.000000,0.541886,1.938149,0.658236,0.116350,1.278553,0.006043,0.615511,0.790044,0.679217,0.063706,1.300526,0.180362,-1.149577,-2.894906,-1.185054,-0.035477,-1.259327,-0.000183,-0.721561,-0.547028,-0.720798,0.000763,0.094759,0.059876
1765493015.089312,1.000000,0.541886,1.938149,0.660906,0.119020,1.371023,-0.000183,0.615511,0.790044,0.682269,0.066758,1.347219,0.079652,-1.149577,-2.894906,-1.188106,-0.038529,-1.248341,-0.000183,-0.721561,-0.547028,-0.720798,0.000763,0.113985,0.225406
1765493015.091762,1.000000,0.541886,1.938149,0.664340,0.122454,1.376516,0.013001,0.615511,0.790044,0.685321,0.069810,1.327993,0.196841,-1.149577,-2.894906,-1.191157,-0.041581,-1.200732,-0.113344,-0.721561,-0.547028,-0.720417,0.001144,0.271458,0.262394
1765493015.094116,1.000000,0.541886,1.938149,0.667010,0.125124,1.307851,0.004211,0.615511,0.790044,0.688373,0.072862,1.257496,0.141543,-1.149577,-2.894906,-1.193828,-0.044251,-1.245594,-0.000183,-0.721561,-0.547028,-0.719654,0.001907,0.343786,0.298283
1765493015.096260,1.000000,0.541886,1.938149,0.670062,0.128176,1.332570,-0.000183,0.615511,0.790044,0.690661,0.075151,1.207141,0.110780,-1.149577,-2.894906,-1.196880,-0.047303,-1.329824,-0.000183,-0.721561,-0.547028,-0.718128,0.003433,0.514076,0.278141
1765493015.098576,1.000000,0.541886,1.938149,0.673114,0.131228,1.315175,-0.000183,0.615511,0.790044,0.693713,0.078202,1.240101,0.212589,-1.149577,-2.894906,-1.199931,-0.050355,-1.256580,-0.180728,-0.721561,-0.547028,-0.716983,0.004578,0.517739,0.221744
1765493015.100752,1.000000,0.541886,1.938149,0.676165,0.134279,1.304189,-0.000183,0.615511,0.790044,0.696002,0.080491,1.171435,0.041566,-1.149577,-2.894906,-1.202602,-0.053025,-1.271229,-0.000183,-0.721561,-0.547028,-0.715076,0.006485,0.772259,0.254337
1765493015.103185,1.000000,0.541886,1.938149,0.679980,0.138094,1.403067,-0.000183,0.615511,0.790044,0.699435,0.083925,1.239185,0.003113,-1.149577,-2.894906,-1.205653,-0.056077,-1.286793,-0.040467,-0.721561,-0.547028,-0.713169,0.008392,0.961776,0.141909
1765493015.105307,1.000000,0.541886,1.938149,0.682650,0.140764,1.377432,0.075624,0.615511,0.790044,0.702106,0.086595,1.301442,0.052186,-1.149577,-2.894906,-1.208705,-0.059129,-1.320668,-0.000183,-0.721561,-0.547028,-0.710498,0.011063,1.043259,-0.000183
