timestamp,tension (N)
1765492936.708759,-0.640000
1765492936.711637,-0.640000
1765492936.714650,-0.640000
1765492936.717491,-0.640000
1765492936.720438,-0.640000
1765492936.723315,-0.640000
1765492936.726256,-0.640000
1765492936.729133,-0.640000
1765492936.731886,-0.640000
1765492936.734700,-0.640000
1765492936.737601,-0.640000
1765492936.741558,-0.640000
1765492936.744400,-0.640000
1765492936.747264,-0.640000
1765492936.750777,-0.640000
1765492936.754066,-0.640000
1765492936.757375,-0.640000
1765492936.760806,-0.640000
1765492936.763672,-0.640000
1765492936.766557,-0.640000
1765492936.770018,-0.640000
1765492936.773395,-0.640000
1765492936.776234,-0.640000
1765492936.779064,-0.640000
1765492936.782514,-0.640000
1765492936.785317,-0.640000
1765492936.788165,-0.640000
1765492936.791529,-0.640000
1765492936.794275,-0.640000
1765492936.797099,-0.640000
1765492936.800510,-0.640000
1765492936.803291,-0.640000
1765492936.806110,-0.640000
1765492936.808835,-0.640000
1765492936.811604,-0.640000
1765492936.814379,-0.640000
1765492936.817102,-0.640000
1765492936.819878,-0.640000
1765492936.822617,-0.640000
1765492936.825348,-0.640000
1765492936.828115,-0.640000
1765492936.830906,-0.640000
1765492936.833655,-0.640000
1765492936.836493,-0.640000
1765492936.839259,-0.640000
1765492936.841997,-0.640000
1765492936.844787,-0.640000
1765492936.847578,-0.640000
1765492936.850350,-0.640000
1765492936.853145,-0.640000
1765492936.855896,-0.640000
1765492936.858764,-0.640000
1765492936.861537,-0.640000
1765492936.864331,-0.640000
1765492936.867119,-0.640000
1765492936.869855,-0.640000
1765492936.872688,-0.640000
1765492936.875499,-0.640000
1765492936.878365,-0.640000
1765492936.881171,-0.640000
1765492936.883999,-0.640000
1765492936.886727,-0.640000
1765492936.889550,-0.640000
1765492936.892337,-0.640000
1765492936.897096,-0.640000
1765492936.900136,-0.640000
1765492936.902944,-0.640000
1765492936.906353,-0.640000
1765492936.909584,-0.640000
1765492936.912830,-0.640000
1765492936.916242,-0.640000
1765492936.919032,-0.640000
1765492936.921856,-0.640000
1765492936.925524,-0.640000
1765492936.928968,-0.640000
1765492936.931868,-0.640000
1765492936.934554,-0.640000
1765492936.937928,-0.640000
1765492936.940831,-0.640000
1765492936.943611,-0.640000
1765492936.947072,-0.640000
1765492936.949912,-0.640000
1765492936.952751,-0.640000
1765492936.955978,-0.640000
1765492936.958788,-0.640000
1765492936.961524,-0.640000
1765492936.964369,-0.640000
1765492936.967152,-0.640000
1765492936.969968,-0.640000
1765492936.972772,-0.640000
1765492936.975626,-0.640000
1765492936.978484,-0.640000
1765492936.981339,-0.640000
1765492936.984143,-0.640000
1765492936.986989,-0.640000
1765492936.989762,-0.640000
1765492936.992701,-0.640000
1765492936.995498,-0.640000
1765492936.998273,-0.640000
1765492937.001100,-0.640000
1765492937.003948,-0.640000
1765492937.006737,-0.640000
1765492937.009516,-0.640000
1765492937.012232,-0.640000
1765492937.015156,-0.640000
1765492937.017855,-0.620000
1765492937.020632,-0.620000
1765492937.023526,-0.620000
1765492937.026317,-0.600000
1765492937.029034,-0.600000
1765492937.031855,-0.580000
1765492937.034756,-0.580000
1765492937.037518,-0.560000
1765492937.040365,-0.560000
1765492937.043217,-0.560000
1765492937.046065,-0.540000
1765492937.048918,-0.540000
1765492937.051708,-0.540000
1765492937.054546,-0.540000
1765492937.057360,-0.540000
1765492937.060215,-0.540000
1765492937.063011,-0.560000
1765492937.068367,-0.840000
1765492937.071211,-0.860000
1765492937.073971,-0.900000
1765492937.077365,-0.940000
1765492937.080549,-1.000000
1765492937.083823,-1.040000
1765492937.087395,-1.120000
1765492937.090197,-1.200000
1765492937.093082,-1.260000
1765492937.096746,-1.320000
1765492937.100404,-1.400000
1765492937.103287,-1.440000
1765492937.106030,-1.500000
1765492937.109517,-1.560000
1765492937.112367,-1.640000
1765492937.115224,-1.660000
1765492937.118658,-1.700000
1765492937.121561,-1.720000
1765492937.124463,-1.740000
1765492937.127887,-1.740000
1765492937.130725,-1.760000
1765492937.133539,-1.780000
1765492937.136528,-1.800000
1765492937.139567,-1.840000
1765492937.142492,-1.880000
1765492937.145401,-1.860000
1765492937.148376,-1.860000
1765492937.151256,-1.840000
1765492937.154189,-1.820000
1765492937.157258,-1.800000
1765492937.160166,-1.800000
1765492937.163246,-1.800000
1765492937.166015,-1.840000
1765492937.168800,-1.860000
1765492937.171542,-1.900000
1765492937.174544,-1.940000
1765492937.177295,-2.000000
1765492937.180155,-2.040000
1765492937.182983,-2.120000
1765492937.185900,-2.180000
1765492937.188794,-2.240000
1765492937.191698,-2.320000
1765492937.194639,-2.380000
1765492937.197554,-2.440000
1765492937.200346,-2.480000
1765492937.203215,-2.500000
1765492937.206095,-2.540000
1765492937.209018,-2.560000
1765492937.214050,-2.580000
1765492937.216887,-2.580000
1765492937.220303,-2.600000
1765492937.223738,-2.620000
1765492937.227389,-2.640000
1765492937.230595,-2.660000
1765492937.233543,-2.700000
1765492937.236397,-2.680000
1765492937.239945,-2.640000
1765492937.243532,-2.600000
1765492937.246384,-2.620000
1765492937.249225,-2.600000
1765492937.252840,-2.600000
1765492937.255679,-2.600000
1765492937.258524,-2.620000
1765492937.261990,-2.620000
1765492937.264801,-2.600000
1765492937.267667,-2.660000
1765492937.271173,-2.640000
1765492937.274100,-2.640000
1765492937.277042,-2.620000
1765492937.279941,-2.380000
1765492937.282793,-2.380000
1765492937.285602,-2.400000
1765492937.288471,-2.400000
1765492937.291347,-2.400000
1765492937.294244,-2.420000
1765492937.297125,-2.420000
1765492937.300073,-2.440000
1765492937.302922,-2.440000
1765492937.305825,-2.460000
1765492937.308640,-2.720000
1765492937.311566,-2.760000
1765492937.314529,-2.760000
1765492937.317560,-2.820000
1765492937.320491,-2.880000
1765492937.323294,-2.900000
1765492937.326211,-2.920000
1765492937.329159,-2.920000
1765492937.332070,-2.940000
1765492937.334887,-2.900000
1765492937.337734,-2.900000
1765492937.340613,-2.880000
1765492937.343492,-2.640000
1765492937.346533,-2.640000
1765492937.349342,-2.640000
1765492937.352209,-2.640000
1765492937.355041,-2.640000
1765492937.357943,-2.640000
1765492937.360814,-2.620000
1765492937.363663,-2.620000
1765492937.366552,-2.600000
1765492937.369432,-2.600000
1765492937.372345,-2.600000
1765492937.375300,-2.600000
1765492937.380632,-2.580000
1765492937.383502,-2.580000
1765492937.386396,-2.580000
1765492937.390044,-2.580000
1765492937.393533,-2.580000
1765492937.396731,-2.580000
1765492937.400269,-2.580000
1765492937.403135,-2.600000
1765492937.405950,-2.600000
1765492937.409737,-2.620000
1765492937.413249,-2.900000
1765492937.416264,-2.960000
1765492937.419142,-2.980000
1765492937.422462,-3.040000
1765492937.425280,-3.020000
1765492937.428024,-3.000000
1765492937.431493,-2.980000
1765492937.434315,-2.740000
1765492937.437200,-2.740000
1765492937.440686,-2.740000
1765492937.443568,-2.760000
1765492937.446399,-2.760000
1765492937.449272,-2.760000
1765492937.452260,-2.780000
1765492937.455077,-2.780000
1765492937.458068,-2.780000
1765492937.460886,-2.800000
1765492937.463776,-2.820000
1765492937.466570,-3.040000
1765492937.469538,-3.080000
1765492937.472539,-3.120000
1765492937.475352,-3.140000
1765492937.478224,-3.140000
1765492937.481241,-3.140000
1765492937.484107,-3.160000
1765492937.486967,-3.160000
1765492937.489729,-3.200000
1765492937.492647,-3.200000
1765492937.495558,-3.240000
1765492937.498530,-3.300000
1765492937.501359,-3.340000
1765492937.504224,-3.380000
1765492937.507201,-3.360000
1765492937.510034,-3.380000
1765492937.512989,-3.380000
1765492937.515932,-3.380000
1765492937.518983,-3.440000
1765492937.524137,-3.560000
1765492937.526936,-3.660000
1765492937.529887,-3.760000
1765492937.533529,-3.880000
1765492937.537007,-3.960000
1765492937.540143,-4.040000
1765492937.543596,-4.080000
1765492937.546508,-4.080000
1765492937.549821,-4.100000
1765492937.553525,-4.120000
1765492937.556366,-4.120000
1765492937.559321,-4.140000
1765492937.562640,-4.160000
1765492937.565541,-4.200000
1765492937.568357,-4.280000
1765492937.571885,-4.340000
1765492937.574690,-4.380000
1765492937.577561,-4.460000
1765492937.581118,-4.480000
1765492937.583949,-4.480000
1765492937.586771,-4.480000
1765492937.589664,-4.460000
1765492937.592484,-4.420000
1765492937.595322,-4.420000
1765492937.598291,-4.440000
1765492937.601187,-4.540000
1765492937.604007,-4.580000
1765492937.606851,-4.680000
1765492937.609737,-4.780000
1765492937.612667,-4.880000
1765492937.615545,-4.960000
1765492937.618489,-5.060000
1765492937.621261,-5.100000
1765492937.624175,-5.140000
1765492937.626994,-5.160000
1765492937.629949,-5.200000
1765492937.632812,-5.240000
1765492937.635664,-5.260000
1765492937.638471,-5.300000
1765492937.641391,-5.280000
1765492937.644217,-5.300000
1765492937.647135,-5.320000
1765492937.649975,-5.380000
1765492937.652848,-5.460000
1765492937.655537,-5.500000
1765492937.658320,-5.540000
1765492937.661272,-5.600000
1765492937.664140,-5.680000
1765492937.667045,-5.720000
1765492937.669923,-5.740000
1765492937.672752,-5.720000
1765492937.675723,-5.700000
1765492937.678591,-5.680000
1765492937.681473,-5.680000
1765492937.684347,-5.680000
1765492937.687224,-5.720000
1765492937.691975,-5.740000
1765492937.694805,-5.800000
1765492937.697688,-5.820000
1765492937.701253,-5.860000
1765492937.704603,-5.900000
1765492937.708004,-5.880000
1765492937.711401,-5.860000
1765492937.714221,-5.900000
1765492937.717656,-5.960000
1765492937.721253,-6.020000
1765492937.724024,-6.080000
1765492937.726949,-6.180000
1765492937.730567,-6.240000
1765492937.733529,-6.280000
1765492937.736488,-6.360000
1765492937.739630,-6.340000
1765492937.742502,-6.340000
1765492937.745316,-6.360000
1765492937.748797,-6.380000
1765492937.751691,-6.420000
1765492937.754479,-6.500000
1765492937.757425,-6.560000
1765492937.760297,-6.640000
1765492937.763322,-6.660000
1765492937.766185,-6.600000
1765492937.769117,-6.580000
1765492937.771980,-6.540000
1765492937.774852,-6.480000
1765492937.777842,-6.480000
1765492937.780694,-6.460000
1765492937.783557,-6.440000
1765492937.786688,-6.440000
1765492937.789586,-6.380000
1765492937.792528,-6.380000
1765492937.795376,-6.360000
1765492937.798193,-6.380000
1765492937.801160,-6.440000
1765492937.804189,-6.440000
1765492937.807275,-6.460000
1765492937.810330,-6.520000
1765492937.813401,-6.560000
1765492937.816370,-6.580000
1765492937.819292,-6.620000
1765492937.822215,-6.660000
1765492937.825227,-6.700000
1765492937.828247,-6.680000
1765492937.831356,-6.700000
1765492937.834301,-6.740000
1765492937.837192,-6.760000
1765492937.840105,-6.780000
1765492937.842954,-6.800000
1765492937.845828,-6.780000
1765492937.848902,-6.760000
1765492937.851917,-6.700000
1765492937.856793,-6.460000
1765492937.859664,-6.460000
1765492937.862646,-6.460000
1765492937.866150,-6.460000
1765492937.869549,-6.460000
1765492937.872830,-6.460000
1765492937.876340,-6.460000
1765492937.879192,-6.460000
1765492937.881984,-6.460000
1765492937.884870,-6.460000
1765492937.887668,-6.460000
1765492937.891010,-6.460000
1765492937.893958,-6.480000
1765492937.896849,-6.480000
1765492937.900287,-6.480000
1765492937.903166,-6.480000
1765492937.906061,-6.480000
1765492937.909546,-6.480000
1765492937.912297,-6.500000
1765492937.915038,-6.500000
1765492937.918544,-6.520000
1765492937.921381,-6.520000
1765492937.924176,-6.760000
1765492937.927049,-6.540000
1765492937.929895,-6.560000
1765492937.932774,-6.560000
1765492937.935776,-6.560000
1765492937.938680,-6.560000
1765492937.941745,-6.560000
1765492937.944601,-6.560000
1765492937.947550,-6.540000
1765492937.950303,-6.540000
1765492937.953171,-6.540000
1765492937.956023,-6.540000
1765492937.958885,-6.540000
1765492937.961713,-6.560000
1765492937.964563,-6.560000
1765492937.967362,-6.820000
1765492937.970281,-6.840000
1765492937.973229,-6.900000
1765492937.976032,-6.900000
1765492937.978789,-6.920000
1765492937.981670,-6.940000
1765492937.984544,-6.880000
1765492937.987340,-6.900000
1765492937.990252,-6.680000
1765492937.993232,-6.680000
1765492937.996178,-6.700000
1765492937.999043,-6.700000
1765492938.001827,-6.720000
1765492938.004764,-6.720000
1765492938.007646,-6.720000
1765492938.010501,-6.720000
1765492938.013345,-6.720000
1765492938.016383,-6.700000
1765492938.019175,-6.700000
1765492938.021985,-6.700000
1765492938.024942,-6.700000
1765492938.029002,-6.700000
1765492938.031921,-6.720000
1765492938.034842,-6.720000
1765492938.038512,-7.020000
1765492938.041704,-7.100000
1765492938.044996,-7.180000
1765492938.048533,-7.260000
1765492938.051401,-7.320000
1765492938.054261,-7.320000
1765492938.057941,-7.340000
1765492938.061517,-7.340000
1765492938.064411,-7.420000
1765492938.067304,-7.480000
1765492938.070772,-7.520000
1765492938.073619,-7.540000
1765492938.076576,-7.620000
1765492938.079967,-7.660000
1765492938.082778,-7.700000
1765492938.085721,-7.720000
1765492938.089184,-7.780000
1765492938.092073,-7.820000
1765492938.095044,-7.800000
1765492938.098068,-7.820000
1765492938.101157,-7.840000
1765492938.104113,-7.840000
1765492938.106932,-7.800000
1765492938.109895,-7.800000
1765492938.112874,-7.780000
1765492938.115882,-7.720000
1765492938.118737,-7.700000
1765492938.121673,-7.720000
1765492938.124543,-7.780000
1765492938.127515,-7.820000
1765492938.130416,-7.860000
1765492938.133545,-7.860000
1765492938.136543,-7.840000
1765492938.139642,-7.860000
1765492938.142646,-7.900000
1765492938.145694,-7.960000
1765492938.148490,-8.020000
1765492938.151570,-8.080000
1765492938.154494,-8.140000
1765492938.157319,-8.240000
1765492938.160238,-8.300000
1765492938.163084,-8.360000
1765492938.165952,-8.480000
1765492938.168802,-8.600000
1765492938.171804,-8.720000
1765492938.174728,-8.840000
1765492938.177642,-8.960000
1765492938.180593,-9.020000
1765492938.183585,-9.040000
1765492938.186607,-9.080000
1765492938.189525,-9.080000
1765492938.192379,-9.040000
1765492938.197107,-8.960000
1765492938.200002,-8.920000
1765492938.202821,-8.840000
1765492938.206111,-8.800000
1765492938.209511,-8.760000
1765492938.212745,-8.740000
1765492938.216285,-8.740000
1765492938.219126,-8.760000
1765492938.221936,-8.760000
1765492938.225634,-8.820000
1765492938.229256,-8.900000
1765492938.232212,-8.940000
1765492938.234915,-9.020000
1765492938.238385,-9.080000
1765492938.241387,-9.200000
1765492938.244249,-9.280000
1765492938.247609,-9.440000
1765492938.250487,-9.580000
1765492938.253495,-9.640000
1765492938.256867,-9.620000
1765492938.259701,-9.620000
1765492938.262491,-9.600000
1765492938.265523,-9.560000
1765492938.268535,-9.520000
1765492938.271323,-9.500000
1765492938.274237,-9.460000
1765492938.277194,-9.440000
1765492938.280431,-9.460000
1765492938.283336,-9.480000
1765492938.286267,-9.520000
1765492938.289091,-9.500000
1765492938.292016,-9.480000
1765492938.294942,-9.460000
1765492938.297805,-9.440000
1765492938.300687,-9.480000
1765492938.303552,-9.520000
1765492938.306480,-9.560000
1765492938.309322,-9.620000
1765492938.312226,-9.660000
1765492938.315136,-9.680000
1765492938.318011,-9.740000
1765492938.320817,-9.800000
1765492938.323672,-9.860000
1765492938.326578,-9.860000
1765492938.329474,-9.840000
1765492938.332622,-9.780000
1765492938.335542,-9.700000
1765492938.338393,-9.400000
1765492938.341256,-9.400000
1765492938.344134,-9.400000
1765492938.347334,-9.400000
1765492938.350227,-9.420000
1765492938.353154,-9.400000
1765492938.356073,-9.400000
