timestamp,tension (N)
1765492936.700342,-0.940000
1765492936.703166,-0.940000
1765492936.705943,-0.940000
1765492936.708852,-0.940000
1765492936.711816,-0.940000
1765492936.714691,-0.940000
1765492936.717571,-0.940000
1765492936.720489,-0.940000
1765492936.723416,-0.940000
1765492936.726228,-0.940000
1765492936.729142,-0.940000
1765492936.731937,-0.940000
1765492936.734736,-0.940000
1765492936.737581,-0.940000
1765492936.740468,-0.940000
1765492936.743308,-0.940000
1765492936.746237,-0.940000
1765492936.749117,-0.940000
1765492936.751928,-0.940000
1765492936.754736,-0.940000
1765492936.758996,-0.940000
1765492936.761855,-0.940000
1765492936.764696,-0.940000
1765492936.768020,-0.940000
1765492936.771301,-0.940000
1765492936.774484,-0.940000
1765492936.778031,-0.940000
1765492936.780759,-0.940000
1765492936.783472,-0.940000
1765492936.787063,-0.940000
1765492936.790646,-0.940000
1765492936.793473,-0.940000
1765492936.796253,-0.940000
1765492936.799531,-0.940000
1765492936.802425,-0.940000
1765492936.805164,-0.940000
1765492936.808490,-0.940000
1765492936.811178,-0.940000
1765492936.813889,-0.940000
1765492936.817471,-0.940000
1765492936.820257,-0.940000
1765492936.822973,-0.940000
1765492936.825676,-0.940000
1765492936.828489,-0.940000
1765492936.831251,-0.940000
1765492936.833954,-0.940000
1765492936.836780,-0.940000
1765492936.839554,-0.940000
1765492936.842322,-0.940000
1765492936.845131,-0.940000
1765492936.847887,-0.940000
1765492936.850653,-0.940000
1765492936.853430,-0.940000
1765492936.856277,-0.940000
1765492936.859064,-0.940000
1765492936.861838,-0.940000
1765492936.864635,-0.940000
1765492936.867365,-0.940000
1765492936.870161,-0.940000
1765492936.872978,-0.940000
1765492936.875817,-0.940000
1765492936.878671,-0.940000
1765492936.881551,-0.940000
1765492936.884484,-0.940000
1765492936.887357,-0.940000
1765492936.890317,-0.940000
1765492936.893145,-0.940000
1765492936.896053,-0.940000
1765492936.898880,-0.940000
1765492936.901666,-0.940000
1765492936.904552,-0.940000
1765492936.907320,-0.940000
1765492936.910172,-0.940000
1765492936.912909,-0.940000
1765492936.915803,-0.940000
1765492936.918698,-0.940000
1765492936.923901,-0.940000
1765492936.926721,-0.940000
1765492936.929579,-0.940000
1765492936.932813,-0.940000
1765492936.936234,-0.940000
1765492936.939299,-0.940000
1765492936.942814,-0.940000
1765492936.945628,-0.940000
1765492936.948392,-0.940000
1765492936.951859,-0.940000
1765492936.955553,-0.940000
1765492936.958216,-0.940000
1765492936.961007,-0.940000
1765492936.964539,-0.940000
1765492936.967360,-0.940000
1765492936.970114,-0.940000
1765492936.973317,-0.940000
1765492936.976161,-0.940000
1765492936.978914,-0.940000
1765492936.982234,-0.940000
1765492936.985014,-0.940000
1765492936.987856,-0.940000
1765492936.990705,-0.940000
1765492936.993586,-0.940000
1765492936.996596,-0.940000
1765492936.999284,-0.940000
1765492937.001998,-0.940000
1765492937.004836,-0.940000
1765492937.007568,-0.940000
1765492937.010546,-0.940000
1765492937.013309,-0.940000
1765492937.016277,-0.940000
1765492937.019141,-0.940000
1765492937.021909,-0.960000
1765492937.024783,-0.960000
1765492937.027667,-0.960000
1765492937.030496,-0.980000
1765492937.033234,-0.980000
1765492937.036198,-1.260000
1765492937.039052,-1.300000
1765492937.041833,-1.360000
1765492937.044669,-1.380000
1765492937.047554,-1.460000
1765492937.050539,-1.540000
1765492937.053299,-1.480000
1765492937.056162,-1.580000
1765492937.058924,-1.640000
1765492937.061795,-1.580000
1765492937.064631,-1.760000
1765492937.067485,-1.760000
1765492937.070317,-1.760000
1765492937.073197,-1.920000
1765492937.076044,-1.960000
1765492937.078861,-2.100000
1765492937.081947,-2.140000
1765492937.084847,-2.260000
1765492937.089540,-2.460000
1765492937.092525,-2.720000
1765492937.095422,-2.680000
1765492937.099259,-2.880000
1765492937.102689,-3.120000
1765492937.106074,-3.300000
1765492937.109803,-3.380000
1765492937.112730,-3.520000
1765492937.115662,-3.660000
1765492937.119512,-3.780000
1765492937.123126,-3.920000
1765492937.125942,-4.060000
1765492937.128918,-4.080000
1765492937.132562,-4.280000
1765492937.135479,-4.400000
1765492937.138377,-4.460000
1765492937.141953,-4.640000
1765492937.144798,-4.800000
1765492937.147730,-4.900000
1765492937.151486,-5.120000
1765492937.154367,-5.200000
1765492937.157319,-5.320000
1765492937.160401,-5.460000
1765492937.163345,-5.680000
1765492937.166368,-5.780000
1765492937.169280,-5.940000
1765492937.172198,-6.100000
1765492937.175287,-6.300000
1765492937.178103,-6.500000
1765492937.180946,-6.560000
1765492937.183798,-6.720000
1765492937.186714,-6.920000
1765492937.189609,-6.940000
1765492937.192605,-7.100000
1765492937.195653,-7.140000
1765492937.198546,-7.340000
1765492937.201586,-7.340000
1765492937.204541,-7.520000
1765492937.207547,-7.600000
1765492937.210413,-7.660000
1765492937.213442,-7.820000
1765492937.216269,-7.940000
1765492937.219279,-7.960000
1765492937.222162,-8.180000
1765492937.225063,-8.220000
1765492937.228038,-8.320000
1765492937.230968,-8.580000
1765492937.234023,-8.640000
1765492937.236908,-8.760000
1765492937.239758,-9.040000
1765492937.242610,-9.040000
1765492937.245545,-9.260000
1765492937.248513,-9.440000
1765492937.251397,-9.480000
1765492937.254320,-9.680000
1765492937.257507,-9.780000
1765492937.260397,-9.900000
1765492937.265051,-10.020000
1765492937.268158,-10.240000
1765492937.271818,-10.380000
1765492937.275630,-10.540000
1765492937.278735,-10.620000
1765492937.281816,-10.800000
