timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1765493067.297803,-0.002240,-0.001033,-0.004119,-0.000004,0.000013,0.000017
1765493067.313580,-0.000297,-0.000922,-0.035935,-0.000021,0.000012,0.000288
1765493067.313728,0.000235,0.000183,0.008744,-0.000007,-0.000031,-0.000105
1765493067.313800,0.000216,0.000197,0.008766,-0.000017,-0.000014,-0.000105
1765493067.328696,0.000478,-0.002828,-0.031673,-0.000042,0.000025,0.000298
1765493067.328969,-0.000204,-0.000340,0.003507,-0.000011,-0.000004,0.000017
1765493067.329083,-0.000572,-0.000855,0.020321,-0.000000,0.000000,-0.000188
1765493067.344552,0.000126,0.000650,-0.019670,0.000010,0.000074,0.000159
1765493067.344759,0.000949,0.000631,-0.022981,-0.000031,-0.000007,0.000212
1765493067.344848,0.000659,0.002213,0.025085,-0.000023,-0.000018,-0.000210
1765493067.344914,-0.001408,-0.000034,-0.004094,0.000020,0.000008,0.000047
1765493067.359638,-0.000278,0.000474,-0.033185,-0.000053,-0.000033,0.000288
1765493067.359854,-0.000530,0.002128,0.014831,0.000035,-0.000011,-0.000117
1765493067.359956,-0.000168,-0.001004,0.010161,-0.000004,-0.000034,-0.000094
1765493067.374901,-0.000284,-0.000882,-0.032465,-0.000001,0.000023,0.000304
1765493067.375131,-0.001023,-0.000333,-0.001929,-0.000051,-0.000043,0.000052
1765493067.375219,-0.000090,0.000311,0.025818,0.000016,-0.000075,-0.000165
1765493067.390819,0.000201,-0.000832,-0.016879,0.000031,-0.000021,0.000193
1765493067.391025,-0.001468,0.001678,-0.020971,-0.000003,0.000040,0.000223
1765493067.391096,0.001488,0.000753,0.025137,-0.000012,-0.000056,-0.000194
1765493067.406350,-0.000639,0.000480,-0.008775,-0.000028,-0.000000,0.000088
1765493067.406561,-0.001540,0.000359,-0.038610,-0.000053,0.000031,0.000329
1765493067.406631,-0.000146,-0.001012,0.019132,-0.000003,-0.000045,-0.000096
1765493067.422330,0.000276,-0.000786,0.012173,0.000027,-0.000054,-0.000100
1765493067.422534,0.001329,0.000483,-0.031770,-0.000044,-0.000014,0.000288
1765493067.422612,-0.002138,0.000890,0.001999,0.000056,-0.000039,0.000041
1765493067.437850,-0.002097,0.002032,0.025073,0.000018,-0.000069,-0.000152
1765493067.438129,-0.000269,-0.001093,-0.021696,-0.000020,0.000010,0.000164
1765493067.438380,-0.001885,-0.000101,-0.025122,-0.000043,-0.000009,0.000194
1765493067.453068,-0.000044,0.001263,0.024338,0.000060,-0.000087,-0.000170
1765493067.453204,0.000989,0.001930,-0.001868,-0.000020,0.000013,0.000088
1765493067.453273,-0.003499,0.000084,-0.036024,-0.000003,0.000012,0.000300
1765493067.468068,-0.000943,0.001428,0.016273,0.000022,-0.000013,-0.000100
1765493067.468229,0.000288,-0.000389,0.013497,-0.000000,-0.000093,-0.000129
1765493067.468307,0.000964,0.002223,-0.037394,0.000025,0.000010,0.000301
1765493067.484054,-0.002556,0.004015,-0.001497,0.000025,-0.000031,0.000037
1765493067.484218,-0.001278,0.002495,0.025731,0.000029,-0.000068,-0.000164
1765493067.484286,0.000157,0.002557,-0.019662,-0.000009,0.000024,0.000183
1765493067.500075,-0.001441,0.000110,-0.021080,-0.000002,-0.000012,0.000171
1765493067.500236,-0.000927,0.001788,0.023690,0.000015,-0.000020,-0.000181
1765493067.500306,-0.000579,0.001848,-0.005431,-0.000020,-0.000057,0.000071
1765493067.500367,0.000969,0.001239,-0.034592,0.000009,-0.000018,0.000306
1765493067.515781,-0.001695,0.001451,0.014237,0.000041,-0.000076,-0.000047
1765493067.515962,-0.000924,-0.000054,0.016229,0.000043,-0.000031,-0.000118
1765493067.516038,-0.001472,0.002719,-0.031810,-0.000039,-0.000015,0.000324
1765493067.530810,-0.000116,0.001104,-0.000010,0.000045,-0.000066,0.000053
1765493067.531013,-0.000114,0.002224,0.022395,-0.000033,-0.000085,-0.000157
1765493067.531088,0.000584,-0.000591,-0.019578,0.000002,-0.000028,0.000205
1765493067.546444,-0.000673,0.002097,-0.020251,-0.000051,0.000008,0.000212
1765493067.546655,-0.001702,0.002250,0.029189,0.000009,-0.000055,-0.000176
1765493067.546722,0.000223,0.002809,-0.003362,-0.000025,-0.000045,0.000066
1765493067.562439,0.000150,0.000757,-0.037955,-0.000033,-0.000057,0.000335
1765493067.562694,-0.002114,0.001170,0.014838,0.000040,-0.000052,-0.000094
1765493067.562782,-0.000104,0.000892,0.017638,0.000028,-0.000057,-0.000106
1765493067.578107,0.000587,0.003889,-0.033954,0.000005,-0.000027,0.000313
1765493067.578378,0.001040,0.001377,0.003519,0.000017,-0.000010,0.000047
1765493067.578477,-0.000526,0.002453,0.026495,-0.000040,-0.000066,-0.000181
1765493067.594084,0.000571,0.001801,-0.015439,-0.000043,-0.000027,0.000200
1765493067.594289,-0.000601,0.002103,-0.026551,0.000027,-0.000028,0.000230
1765493067.594360,-0.000076,0.000766,0.026464,0.000018,-0.000086,-0.000176
1765493067.609662,0.000288,0.001870,0.004860,0.000049,-0.000046,0.000070
1765493067.609863,0.000596,0.003402,-0.034617,0.000002,-0.000049,0.000325
1765493067.609933,-0.001293,0.003107,0.015559,0.000031,-0.000067,-0.000070
1765493067.609999,0.000298,0.003094,0.014933,0.000010,-0.000064,-0.000069
1765493067.625111,0.000130,0.001228,-0.031135,-0.000029,-0.000002,0.000288
1765493067.625345,0.000270,0.003760,0.004109,0.000021,-0.000035,0.000042
1765493067.625449,-0.001238,0.002410,0.029075,0.000039,-0.000109,-0.000199
1765493067.640548,0.000196,0.001989,-0.016274,-0.000012,-0.000032,0.000160
1765493067.640740,-0.001050,0.000459,-0.019444,-0.000041,-0.000034,0.000269
1765493067.640815,0.000319,0.001548,0.028619,0.000013,-0.000071,-0.000142
1765493067.656147,-0.002178,0.002831,-0.003390,-0.000022,-0.000065,0.000083
1765493067.656335,-0.000627,0.001734,-0.037358,0.000003,-0.000048,0.000330
1765493067.656422,0.000708,0.004282,0.017659,0.000007,-0.000061,-0.000081
1765493067.671513,0.000324,0.002573,0.019699,0.000027,-0.000076,-0.000094
1765493067.671700,-0.001069,0.001515,-0.028986,-0.000046,-0.000027,0.000335
1765493067.671771,-0.000576,-0.000140,0.001479,-0.000040,-0.000085,0.000046
1765493067.687068,0.001477,0.000318,0.019679,-0.000006,-0.000050,-0.000164
1765493067.687244,0.000585,0.002255,-0.014793,-0.000040,-0.000039,0.000189
1765493067.687370,0.000650,0.001807,-0.017595,0.000035,-0.000062,0.000217
1765493067.702552,0.001193,0.004839,0.032601,0.000031,-0.000110,-0.000169
1765493067.702951,-0.000558,0.002304,-0.000642,-0.000017,-0.000068,0.000060
1765493067.703024,-0.001018,0.003440,-0.031149,-0.000006,-0.000045,0.000342
1765493067.718570,0.000313,0.002125,0.019095,0.000014,-0.000081,-0.000065
1765493067.718764,0.000676,0.003816,0.016998,-0.000006,-0.000033,-0.000087
1765493067.718839,0.000204,0.002688,-0.031125,-0.000002,-0.000069,0.000341
1765493067.734180,0.000660,0.004015,0.002132,-0.000008,-0.000053,0.000072
1765493067.734361,-0.000035,0.002223,0.030581,0.000037,-0.000103,-0.000159
1765493067.734449,0.000235,0.002003,-0.012780,-0.000002,-0.000071,0.000194
1765493067.749851,-0.001030,0.001361,-0.021700,-0.000006,-0.000019,0.000212
1765493067.750023,0.000329,0.004855,0.028516,-0.000017,-0.000088,-0.000168
1765493067.750114,-0.000914,0.004967,-0.004157,0.000008,-0.000095,0.000085
1765493067.750186,0.000209,0.001196,-0.029113,0.000010,-0.000069,0.000305
1765493067.765628,-0.001711,0.004343,0.019124,-0.000021,-0.000085,-0.000029
1765493067.765783,-0.000128,0.003765,0.014882,-0.000025,-0.000062,-0.000104
1765493067.765861,0.000966,0.002191,-0.033173,-0.000025,-0.000040,0.000318
1765493067.780688,-0.000880,0.001500,0.000612,0.000028,-0.000140,0.000042
1765493067.781131,-0.002433,0.004592,0.025640,0.000013,-0.000146,-0.000162
1765493067.781238,0.001028,0.001545,-0.016234,0.000024,-0.000037,0.000188
1765493067.796690,-0.001384,0.004538,-0.018299,0.000023,-0.000023,0.000242
1765493067.796880,-0.000523,0.003977,0.027272,-0.000042,-0.000060,-0.000128
1765493067.796961,-0.000147,0.003034,-0.004714,-0.000034,-0.000104,0.000095
1765493067.812140,-0.000633,0.002647,-0.033193,-0.000050,-0.000081,0.000324
1765493067.812320,0.000699,0.002360,0.020497,-0.000004,-0.000072,-0.000071
1765493067.812408,-0.000449,0.001644,0.018410,0.000031,-0.000132,-0.000036
1765493067.827498,-0.001797,0.003952,-0.028441,0.000028,-0.000036,0.000347
1765493067.827638,0.000687,0.002478,0.000031,-0.000017,-0.000120,0.000054
1765493067.827707,-0.000900,0.003230,0.025170,-0.000026,-0.000091,-0.000128
1765493067.842806,0.001045,0.003499,-0.015487,0.000005,-0.000064,0.000230
1765493067.842960,-0.000995,0.002836,-0.018225,0.000003,-0.000041,0.000247
1765493067.843030,-0.000027,0.005129,0.028447,0.000043,-0.000087,-0.000157
1765493067.858261,-0.001314,0.003323,0.000051,0.000019,-0.000092,0.000106
1765493067.858411,-0.000646,0.003679,-0.031112,-0.000034,-0.000030,0.000336
1765493067.858482,0.001123,0.002586,0.014971,0.000006,-0.000102,-0.000058
1765493067.873707,-0.000901,0.002277,0.013524,-0.000034,-0.000136,-0.000087
1765493067.873885,0.000604,0.003334,-0.032616,-0.000008,-0.000066,0.000290
1765493067.873974,0.001160,0.003724,0.006190,0.000049,-0.000123,0.000077
1765493067.889760,-0.000046,0.005137,0.031294,0.000004,-0.000097,-0.000140
1765493067.889964,-0.002998,0.004953,-0.014272,-0.000002,-0.000031,0.000196
1765493067.890054,-0.000097,0.003186,-0.021784,0.000023,-0.000159,0.000236
1765493067.890134,-0.000467,0.003419,0.029243,-0.000015,-0.000111,-0.000152
1765493067.904833,0.000290,0.004266,0.000023,0.000023,-0.000068,0.000084
1765493067.905003,-0.000154,0.003888,-0.029812,0.000025,-0.000089,0.000348
1765493067.905204,-0.000412,0.005553,0.020386,0.000073,-0.000099,-0.000023
1765493067.920859,-0.000452,0.004540,0.020404,0.000029,-0.000099,-0.000052
1765493067.921009,0.000587,0.003901,-0.029062,-0.000014,-0.000037,0.000330
1765493067.921079,-0.000093,0.002990,0.002101,-0.000004,-0.000132,0.000077
1765493067.936131,-0.000026,0.005135,0.027851,0.000013,-0.000125,-0.000122
1765493067.936294,-0.000552,0.006326,-0.012226,-0.000006,-0.000062,0.000179
1765493067.936365,-0.000981,0.004238,-0.021010,-0.000019,-0.000080,0.000248
1765493067.951762,-0.001609,0.003632,0.033319,0.000007,-0.000172,-0.000141
1765493067.951913,-0.000538,0.004233,0.002140,-0.000035,-0.000096,0.000084
1765493067.951998,-0.000602,0.003652,-0.035963,-0.000016,-0.000087,0.000354
1765493067.967677,-0.000893,0.002857,0.011490,0.000009,-0.000102,-0.000046
1765493067.968125,0.000378,0.002039,0.021068,0.000033,-0.000149,-0.000082
1765493067.968269,-0.000533,0.004094,-0.029857,0.000027,-0.000121,0.000342
1765493067.982910,0.001137,0.005657,0.005472,0.000031,-0.000095,0.000066
1765493067.983100,0.002402,0.003231,0.031382,0.000050,-0.000110,-0.000112
1765493067.983181,-0.000148,0.002697,-0.017607,-0.000018,-0.000125,0.000213
1765493067.998252,-0.000608,0.004533,-0.022289,-0.000038,-0.000059,0.000278
1765493067.998399,0.000826,0.004163,0.031339,0.000036,-0.000168,-0.000100
1765493067.998472,-0.000858,0.004502,0.001427,0.000025,-0.000150,0.000130
1765493068.014017,-0.000616,0.005648,-0.026933,-0.000033,-0.000046,0.000377
1765493068.014173,-0.001633,0.004744,0.019751,-0.000009,-0.000181,-0.000022
1765493068.014246,0.000399,0.004007,0.020467,0.000014,-0.000187,-0.000023
1765493068.029345,0.000621,0.004347,-0.029034,-0.000032,-0.000104,0.000354
1765493068.029510,0.001142,0.002760,0.004912,0.000014,-0.000150,0.000100
1765493068.029590,0.000381,0.005382,0.029907,0.000025,-0.000110,-0.000128
1765493068.029656,-0.001710,0.008040,-0.012918,0.000004,-0.000111,0.000226
1765493068.044617,0.000245,0.004076,-0.021633,0.000027,-0.000059,0.000289
1765493068.044768,-0.000456,0.003472,0.027220,0.000004,-0.000111,-0.000117
1765493068.044858,0.000693,0.004937,0.002870,-0.000042,-0.000130,0.000101
1765493068.060133,-0.001766,0.002429,-0.031892,0.000018,-0.000114,0.000347
1765493068.060680,-0.000399,0.005975,0.023181,0.000027,-0.000160,-0.000017
1765493068.060857,0.000370,0.003524,0.019014,0.000032,-0.000132,-0.000064
1765493068.076269,-0.001807,0.001962,-0.028384,-0.000013,-0.000085,0.000341
1765493068.076435,0.000247,0.005723,0.002195,-0.000047,-0.000066,0.000102
1765493068.076518,0.000756,0.005132,0.026571,-0.000027,-0.000139,-0.000104
1765493068.092167,0.001084,0.003388,-0.012818,-0.000005,-0.000126,0.000195
