timestamp,tension (N)
1765493067.318052,-0.460000
1765493067.320948,-0.460000
1765493067.323692,-0.460000
1765493067.326484,-0.460000
1765493067.329252,-0.460000
1765493067.331951,-0.460000
1765493067.334711,-0.460000
1765493067.337427,-0.460000
1765493067.340193,-0.460000
1765493067.342885,-0.460000
1765493067.345618,-0.460000
1765493067.348303,-0.460000
1765493067.351031,-0.460000
1765493067.353844,-0.460000
1765493067.356511,-0.460000
1765493067.361622,-0.460000
1765493067.364354,-0.460000
1765493067.367097,-0.460000
1765493067.369805,-0.460000
1765493067.372492,-0.460000
1765493067.375634,-0.460000
1765493067.378817,-0.460000
1765493067.382325,-0.460000
1765493067.385032,-0.460000
1765493067.387734,-0.460000
1765493067.390412,-0.460000
1765493067.393084,-0.460000
1765493067.396633,-0.460000
1765493067.399314,-0.460000
1765493067.402002,-0.460000
1765493067.404787,-0.460000
1765493067.407465,-0.460000
1765493067.410221,-0.460000
1765493067.412926,-0.460000
1765493067.416151,-0.460000
1765493067.418872,-0.460000
1765493067.421607,-0.460000
1765493067.424280,-0.460000
1765493067.426988,-0.460000
1765493067.429725,-0.460000
1765493067.432457,-0.460000
1765493067.435148,-0.460000
1765493067.437872,-0.460000
1765493067.440637,-0.460000
1765493067.443323,-0.460000
1765493067.446028,-0.460000
1765493067.448770,-0.460000
1765493067.451490,-0.460000
1765493067.454197,-0.460000
1765493067.456884,-0.460000
1765493067.459622,-0.460000
1765493067.462379,-0.460000
1765493067.465146,-0.460000
1765493067.467928,-0.460000
1765493067.470616,-0.460000
1765493067.473351,-0.460000
1765493067.476071,-0.460000
1765493067.478773,-0.460000
1765493067.481501,-0.460000
1765493067.484321,-0.460000
1765493067.487035,-0.460000
1765493067.489758,-0.460000
1765493067.492442,-0.460000
1765493067.495144,-0.460000
1765493067.497885,-0.460000
1765493067.500632,-0.460000
1765493067.503360,-0.460000
1765493067.506030,-0.460000
1765493067.508798,-0.460000
1765493067.511506,-0.460000
1765493067.514341,-0.460000
1765493067.518245,-0.460000
1765493067.521075,-0.460000
1765493067.523781,-0.460000
1765493067.526510,-0.460000
1765493067.529193,-0.460000
1765493067.532300,-0.460000
1765493067.535511,-0.460000
1765493067.539016,-0.460000
1765493067.541725,-0.460000
1765493067.544395,-0.460000
1765493067.547120,-0.440000
1765493067.549838,-0.440000
1765493067.553206,-0.200000
