timestamp,tension (N)
1765493067.345946,-0.440000
1765493067.348749,-0.440000
1765493067.351468,-0.440000
1765493067.354166,-0.440000
1765493067.356894,-0.440000
1765493067.359663,-0.440000
1765493067.362361,-0.440000
1765493067.365059,-0.440000
1765493067.367783,-0.440000
1765493067.370541,-0.440000
1765493067.373276,-0.440000
1765493067.376033,-0.440000
1765493067.378772,-0.440000
1765493067.381485,-0.440000
1765493067.384243,-0.440000
1765493067.386998,-0.440000
1765493067.389733,-0.440000
1765493067.392481,-0.440000
1765493067.395246,-0.440000
1765493067.397940,-0.440000
1765493067.400660,-0.440000
1765493067.403439,-0.440000
1765493067.406144,-0.440000
1765493067.408828,-0.440000
1765493067.411552,-0.440000
1765493067.414297,-0.440000
1765493067.417036,-0.440000
1765493067.419713,-0.440000
1765493067.422536,-0.440000
1765493067.425243,-0.440000
1765493067.428002,-0.440000
1765493067.430808,-0.440000
1765493067.433605,-0.440000
1765493067.436321,-0.440000
1765493067.441337,-0.440000
1765493067.444111,-0.440000
1765493067.446865,-0.440000
1765493067.449672,-0.440000
1765493067.452427,-0.440000
1765493067.455474,-0.440000
1765493067.458707,-0.440000
1765493067.462215,-0.440000
1765493067.464979,-0.440000
1765493067.467701,-0.440000
1765493067.470461,-0.440000
1765493067.473255,-0.440000
1765493067.476520,-0.440000
1765493067.479207,-0.440000
1765493067.481955,-0.440000
1765493067.484662,-0.440000
1765493067.487400,-0.440000
1765493067.490120,-0.440000
1765493067.492833,-0.440000
1765493067.496225,-0.440000
1765493067.499038,-0.440000
1765493067.501792,-0.440000
1765493067.504627,-0.440000
1765493067.507439,-0.440000
1765493067.510139,-0.440000
1765493067.512822,-0.440000
1765493067.515602,-0.440000
1765493067.518336,-0.440000
1765493067.521169,-0.440000
1765493067.523866,-0.440000
1765493067.526680,-0.440000
1765493067.529429,-0.440000
1765493067.532198,-0.440000
1765493067.534970,-0.440000
1765493067.537928,-0.440000
1765493067.540704,-0.440000
1765493067.543470,-0.440000
1765493067.546339,-0.440000
1765493067.549273,-0.440000
1765493067.552015,-0.440000
1765493067.554765,-0.440000
1765493067.557513,-0.440000
1765493067.560300,-0.440000
1765493067.563107,-0.440000
1765493067.566046,-0.440000
1765493067.568749,-0.440000
1765493067.571466,-0.440000
1765493067.574197,-0.440000
1765493067.576944,-0.440000
1765493067.579666,-0.440000
1765493067.582458,-0.440000
1765493067.585206,-0.460000
1765493067.587913,-0.460000
1765493067.590638,-0.480000
1765493067.593293,-0.700000
1765493067.596028,-0.760000
1765493067.598634,-0.800000
1765493067.601336,-0.840000
1765493067.604001,-0.900000
1765493067.606805,-0.920000
1765493067.610840,-1.000000
1765493067.613622,-1.060000
1765493067.616392,-1.100000
1765493067.619225,-1.160000
1765493067.622033,-1.220000
1765493067.625370,-1.280000
1765493067.628449,-1.340000
1765493067.632077,-1.420000
1765493067.634904,-1.480000
1765493067.637734,-1.540000
1765493067.640492,-1.620000
1765493067.643331,-1.720000
1765493067.646726,-1.840000
1765493067.649611,-1.960000
1765493067.652428,-2.080000
1765493067.655299,-2.240000
1765493067.658126,-2.360000
1765493067.660954,-2.480000
1765493067.663778,-2.620000
1765493067.666605,-2.720000
1765493067.669516,-2.840000
1765493067.672429,-2.960000
1765493067.675240,-3.060000
1765493067.678883,-3.180000
1765493067.681669,-3.280000
1765493067.684491,-3.420000
1765493067.687414,-3.520000
1765493067.690256,-3.620000
1765493067.693082,-3.760000
1765493067.695973,-3.840000
1765493067.698875,-3.980000
1765493067.701762,-4.140000
1765493067.704626,-4.260000
1765493067.707469,-4.380000
1765493067.710365,-4.560000
1765493067.713299,-4.660000
1765493067.716162,-4.800000
1765493067.719099,-4.920000
1765493067.721892,-5.060000
1765493067.724784,-5.180000
1765493067.727614,-5.300000
1765493067.730489,-5.400000
1765493067.733399,-5.520000
1765493067.736309,-5.640000
1765493067.739182,-5.760000
1765493067.742053,-5.900000
1765493067.744716,-6.000000
1765493067.747635,-6.160000
1765493067.750522,-6.260000
1765493067.753435,-6.380000
1765493067.756320,-6.520000
1765493067.759216,-6.620000
1765493067.762024,-6.720000
1765493067.765288,-6.880000
1765493067.768295,-6.980000
1765493067.772527,-7.220000
1765493067.775512,-7.320000
1765493067.778327,-7.480000
1765493067.781224,-7.640000
1765493067.784088,-7.760000
1765493067.787485,-7.920000
1765493067.790853,-8.100000
1765493067.794608,-8.300000
1765493067.797456,-8.440000
1765493067.800305,-8.580000
1765493067.803215,-8.720000
1765493067.806064,-8.860000
1765493067.809791,-8.980000
1765493067.812658,-9.120000
1765493067.815625,-9.260000
1765493067.818568,-9.400000
1765493067.821397,-9.480000
1765493067.824269,-9.620000
1765493067.827229,-9.720000
1765493067.830710,-9.860000
1765493067.833691,-9.980000
1765493067.836708,-10.100000
1765493067.840628,-10.280000
1765493067.843617,-10.440000
1765493067.846636,-10.560000
1765493067.849817,-10.680000
1765493067.852839,-10.820000
1765493067.855902,-10.960000
1765493067.859035,-11.100000
1765493067.862156,-11.220000
1765493067.865234,-11.400000
1765493067.868366,-11.520000
1765493067.871417,-11.700000
1765493067.874475,-11.840000
1765493067.877471,-12.000000
1765493067.880637,-12.140000
1765493067.883765,-12.320000
1765493067.886829,-12.460000
1765493067.890004,-12.560000
1765493067.893327,-12.660000
1765493067.896536,-12.760000
1765493067.899650,-12.840000
1765493067.902700,-12.900000
1765493067.905820,-12.960000
1765493067.908808,-12.980000
1765493067.911807,-12.980000
1765493067.914643,-13.000000
1765493067.917644,-13.040000
1765493067.920918,-13.040000
1765493067.924061,-13.080000
1765493067.927056,-13.160000
1765493067.932246,-13.260000
1765493067.935218,-13.320000
1765493067.938879,-13.400000
1765493067.942694,-13.480000
1765493067.945709,-13.520000
1765493067.949425,-13.580000
1765493067.953151,-13.640000
1765493067.956618,-13.720000
1765493067.960469,-13.740000
1765493067.963521,-13.780000
1765493067.966512,-13.800000
1765493067.969526,-13.820000
1765493067.972543,-13.860000
1765493067.976038,-13.900000
1765493067.979114,-13.940000
1765493067.982164,-13.960000
1765493067.985021,-14.000000
1765493067.988132,-14.040000
1765493067.991189,-14.080000
1765493067.994220,-14.120000
1765493067.997433,-14.160000
1765493068.000399,-14.200000
1765493068.003506,-14.240000
1765493068.006921,-14.300000
1765493068.009949,-14.340000
1765493068.012995,-14.340000
1765493068.016050,-14.380000
1765493068.019056,-14.400000
1765493068.022026,-14.360000
1765493068.025082,-14.340000
1765493068.028068,-14.320000
1765493068.031010,-14.300000
1765493068.033945,-14.300000
1765493068.036885,-14.300000
1765493068.039903,-14.320000
1765493068.042876,-14.300000
1765493068.045892,-14.280000
1765493068.048874,-14.280000
1765493068.051841,-14.280000
1765493068.054844,-14.240000
1765493068.057812,-14.240000
1765493068.060803,-14.240000
1765493068.063820,-14.220000
1765493068.066790,-14.180000
1765493068.069782,-14.180000
1765493068.072799,-14.180000
1765493068.075811,-14.180000
1765493068.078789,-14.180000
1765493068.081755,-13.960000
1765493068.084763,-13.960000
