timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1765493238.814773,0.001128,0.001701,-0.048253,-0.000000,0.000004,0.000369
1765493238.829877,0.000476,0.002747,-0.010286,0.000052,-0.000052,0.000104
1765493238.830018,0.001754,0.003692,0.013451,0.000080,-0.000051,-0.000084
1765493238.845311,-0.001679,0.001839,-0.028456,-0.000023,0.000014,0.000274
1765493238.845541,-0.000050,0.004294,-0.034608,-0.000012,0.000005,0.000322
1765493238.845635,0.000105,0.004638,0.012824,-0.000001,-0.000080,-0.000071
1765493238.861106,0.002054,0.003365,-0.018379,0.000063,-0.000010,0.000181
1765493238.861346,-0.000834,0.003444,-0.043390,0.000002,-0.000045,0.000433
1765493238.861453,0.003327,0.004302,0.005474,0.000041,-0.000058,0.000028
1765493238.861549,-0.002342,0.006796,0.006074,0.000012,-0.000020,0.000041
1765493238.876307,-0.000443,0.004653,-0.042671,-0.000021,-0.000041,0.000439
1765493238.876621,0.000094,0.002926,-0.011644,0.000014,-0.000128,0.000116
1765493238.876762,0.001338,0.005851,0.013548,0.000004,-0.000098,-0.000047
1765493238.892316,0.000877,0.005627,-0.027173,0.000035,-0.000091,0.000305
1765493238.892537,-0.000737,0.007178,-0.029891,0.000045,-0.000070,0.000358
1765493238.892610,-0.000221,0.006398,0.017616,0.000068,-0.000090,-0.000025
1765493238.908099,0.000091,0.006487,-0.010823,0.000033,-0.000071,0.000211
1765493238.908277,-0.000375,0.006123,-0.042708,0.000026,-0.000075,0.000475
1765493238.908367,-0.001070,0.005534,0.005433,0.000022,-0.000116,0.000069
1765493238.924056,-0.000604,0.008673,0.008744,0.000079,-0.000109,0.000065
1765493238.924234,0.000883,0.007831,-0.039302,0.000074,-0.000071,0.000487
1765493238.924307,-0.000645,0.009793,-0.001339,0.000044,-0.000106,0.000182
1765493238.940017,0.000597,0.007375,0.015600,0.000062,-0.000110,0.000005
1765493238.940199,-0.000393,0.006926,-0.027687,-0.000036,-0.000070,0.000364
1765493238.940285,0.000487,0.008358,-0.031956,0.000040,-0.000093,0.000365
1765493238.955532,0.001035,0.007535,0.016218,0.000063,-0.000158,-0.000018
1765493238.955734,0.001344,0.008544,-0.008809,0.000005,-0.000145,0.000194
1765493238.955806,-0.000332,0.005111,-0.039950,0.000030,-0.000137,0.000480
1765493238.970896,-0.000176,0.008460,0.009510,0.000087,-0.000138,0.000105
1765493238.971088,0.002228,0.007371,0.012980,0.000040,-0.000174,0.000058
1765493238.971155,0.000052,0.008262,-0.042005,-0.000002,-0.000122,0.000494
1765493238.971286,0.000167,0.008849,0.001554,0.000028,-0.000137,0.000222
1765493238.986017,0.000703,0.008277,0.018951,0.000107,-0.000201,0.000017
1765493238.986171,0.002186,0.009723,-0.018932,0.000067,-0.000148,0.000347
1765493238.986258,0.001747,0.009557,-0.025677,0.000036,-0.000150,0.000405
1765493239.001966,0.001841,0.008501,0.019125,0.000008,-0.000205,0.000029
1765493239.002142,-0.000250,0.009090,-0.009428,-0.000001,-0.000174,0.000253
1765493239.002254,0.000152,0.011201,-0.038609,0.000063,-0.000161,0.000547
1765493239.017425,0.001109,0.011032,0.012261,0.000071,-0.000240,0.000129
1765493239.017621,0.000281,0.011965,0.012219,0.000038,-0.000236,0.000107
1765493239.017726,-0.001067,0.010944,-0.036507,0.000024,-0.000188,0.000552
1765493239.033403,-0.000142,0.009954,-0.002055,0.000064,-0.000232,0.000212
1765493239.033836,-0.000099,0.009711,0.020357,0.000066,-0.000235,0.000035
1765493239.033935,0.001027,0.010001,-0.021639,0.000078,-0.000213,0.000411
1765493239.049488,0.001002,0.011500,-0.022238,0.000047,-0.000201,0.000447
1765493239.049671,0.001568,0.012073,0.027254,0.000059,-0.000288,0.000047
1765493239.049756,0.002289,0.012403,-0.003979,0.000045,-0.000261,0.000277
1765493239.064909,0.001429,0.011795,-0.031067,0.000047,-0.000258,0.000529
1765493239.065145,0.000325,0.011499,0.010154,0.000074,-0.000269,0.000136
1765493239.065228,0.002374,0.011737,0.017835,0.000074,-0.000302,0.000164
1765493239.081069,0.000621,0.012301,-0.036619,0.000059,-0.000248,0.000536
1765493239.081350,0.001132,0.013108,0.002743,0.000100,-0.000250,0.000242
1765493239.081418,0.000360,0.011901,0.024546,0.000068,-0.000286,0.000088
1765493239.096983,0.000258,0.013794,-0.018276,0.000042,-0.000265,0.000407
1765493239.097223,0.000669,0.012599,-0.021651,0.000044,-0.000294,0.000436
1765493239.097308,0.000350,0.012319,0.022428,0.000041,-0.000304,0.000060
1765493239.097375,0.001971,0.013632,-0.003388,0.000121,-0.000288,0.000301
1765493239.112544,-0.000939,0.013299,-0.031084,0.000067,-0.000295,0.000582
1765493239.112760,0.000805,0.015110,0.017768,0.000064,-0.000343,0.000189
1765493239.112831,-0.000827,0.014091,0.016345,0.000031,-0.000363,0.000160
1765493239.128470,0.000292,0.015897,-0.030492,0.000071,-0.000297,0.000554
1765493239.128802,-0.001265,0.015457,0.005481,0.000027,-0.000331,0.000255
1765493239.128881,0.000443,0.016146,0.028518,0.000073,-0.000355,0.000073
1765493239.144521,0.000700,0.015515,-0.012746,0.000062,-0.000272,0.000436
1765493239.144785,0.000708,0.015041,-0.018263,0.000078,-0.000284,0.000448
1765493239.144877,0.000021,0.015958,0.030660,0.000063,-0.000335,0.000095
1765493239.160036,-0.000042,0.015307,-0.000634,0.000073,-0.000321,0.000313
1765493239.160392,0.000300,0.016395,-0.030452,0.000063,-0.000313,0.000578
1765493239.160506,0.000888,0.017513,0.020364,0.000137,-0.000356,0.000184
1765493239.176097,0.000071,0.017519,0.023878,0.000099,-0.000373,0.000201
1765493239.176293,-0.000866,0.018583,-0.026422,0.000097,-0.000307,0.000579
