timestamp,tension (N)
1765493238.582559,-0.520000
1765493238.585427,-0.520000
1765493238.588285,-0.520000
1765493238.591136,-0.520000
1765493238.593897,-0.520000
1765493238.596723,-0.520000
1765493238.599598,-0.520000
1765493238.602467,-0.520000
1765493238.605358,-0.520000
1765493238.608223,-0.520000
1765493238.611062,-0.520000
1765493238.613952,-0.520000
1765493238.616832,-0.520000
1765493238.619703,-0.520000
1765493238.622521,-0.520000
1765493238.625268,-0.520000
1765493238.627978,-0.520000
1765493238.630718,-0.520000
1765493238.633479,-0.520000
1765493238.636309,-0.520000
1765493238.640978,-0.520000
1765493238.643735,-0.520000
1765493238.646590,-0.520000
1765493238.650554,-0.520000
1765493238.653427,-0.520000
1765493238.656746,-0.520000
1765493238.660184,-0.520000
1765493238.662987,-0.520000
1765493238.665747,-0.520000
1765493238.669330,-0.520000
1765493238.672852,-0.520000
1765493238.675620,-0.520000
1765493238.678407,-0.520000
1765493238.681981,-0.520000
1765493238.684833,-0.520000
1765493238.687603,-0.520000
1765493238.690892,-0.520000
1765493238.693653,-0.520000
1765493238.696407,-0.520000
1765493238.699860,-0.520000
1765493238.702601,-0.520000
1765493238.705435,-0.520000
1765493238.708212,-0.520000
1765493238.710959,-0.520000
1765493238.713677,-0.520000
1765493238.716505,-0.520000
1765493238.719208,-0.520000
1765493238.721965,-0.520000
1765493238.724724,-0.520000
1765493238.727450,-0.520000
1765493238.730319,-0.520000
1765493238.733123,-0.520000
1765493238.735891,-0.520000
1765493238.738658,-0.520000
1765493238.741428,-0.520000
1765493238.744257,-0.520000
1765493238.747123,-0.520000
1765493238.749847,-0.520000
1765493238.752705,-0.520000
1765493238.755551,-0.520000
1765493238.758374,-0.520000
1765493238.761175,-0.520000
1765493238.764357,-0.520000
1765493238.767187,-0.520000
1765493238.770082,-0.520000
1765493238.772848,-0.520000
1765493238.775776,-0.520000
1765493238.778744,-0.520000
1765493238.781745,-0.520000
1765493238.786780,-0.520000
1765493238.789572,-0.520000
1765493238.792385,-0.520000
1765493238.795991,-0.520000
1765493238.799323,-0.520000
1765493238.802505,-0.520000
1765493238.806041,-0.520000
1765493238.808805,-0.520000
1765493238.811627,-0.520000
1765493238.815191,-0.520000
1765493238.818693,-0.520000
1765493238.821519,-0.520000
1765493238.824255,-0.520000
1765493238.827773,-0.520000
1765493238.830592,-0.520000
1765493238.833404,-0.520000
1765493238.836678,-0.520000
1765493238.839435,-0.520000
1765493238.842313,-0.520000
1765493238.845765,-0.520000
1765493238.848601,-0.520000
1765493238.851383,-0.520000
1765493238.854177,-0.520000
1765493238.857000,-0.520000
1765493238.859859,-0.520000
1765493238.862704,-0.520000
1765493238.865633,-0.520000
1765493238.868371,-0.520000
1765493238.871210,-0.520000
1765493238.874020,-0.520000
1765493238.877137,-0.520000
1765493238.880044,-0.520000
1765493238.882792,-0.520000
1765493238.885583,-0.520000
1765493238.888468,-0.520000
1765493238.891238,-0.540000
1765493238.894022,-0.520000
1765493238.896862,-0.520000
1765493238.899678,-0.520000
1765493238.902428,-0.520000
1765493238.905201,-0.520000
1765493238.907829,-0.500000
1765493238.910608,-0.500000
1765493238.913294,-0.500000
1765493238.916116,-0.480000
1765493238.918945,-0.480000
1765493238.921783,-0.480000
1765493238.924666,-0.480000
1765493238.927534,-0.460000
1765493238.930312,-0.460000
1765493238.933170,-0.460000
1765493238.936085,-0.460000
1765493238.939085,-0.460000
1765493238.941846,-0.460000
1765493238.944695,-0.460000
1765493238.947480,-0.460000
1765493238.951996,-0.480000
1765493238.954708,-0.800000
1765493238.957512,-0.820000
1765493238.960858,-0.900000
1765493238.964176,-0.980000
1765493238.967475,-1.020000
1765493238.970961,-1.120000
1765493238.973787,-1.160000
1765493238.976724,-1.220000
1765493238.980382,-1.300000
1765493238.983973,-1.360000
1765493238.986800,-1.400000
1765493238.989775,-1.440000
1765493238.993155,-1.500000
1765493238.995959,-1.560000
1765493238.998857,-1.600000
1765493239.002251,-1.640000
1765493239.005018,-1.700000
1765493239.007817,-1.720000
1765493239.011438,-1.740000
1765493239.014551,-1.740000
1765493239.017461,-1.720000
1765493239.020380,-1.740000
1765493239.023318,-1.720000
1765493239.026196,-1.720000
1765493239.029108,-1.740000
1765493239.032063,-1.740000
1765493239.035114,-1.720000
1765493239.038069,-1.740000
1765493239.041029,-1.740000
1765493239.044073,-1.760000
1765493239.046951,-1.760000
1765493239.049871,-1.800000
1765493239.052741,-1.840000
1765493239.055603,-1.880000
1765493239.058612,-1.920000
1765493239.061445,-1.960000
1765493239.064352,-2.040000
1765493239.067250,-2.080000
1765493239.070114,-2.140000
1765493239.072990,-2.200000
1765493239.076007,-2.260000
1765493239.078822,-2.320000
1765493239.081694,-2.400000
1765493239.084692,-2.420000
1765493239.087514,-2.480000
1765493239.090439,-2.520000
