timestamp,tension (N)
1765493238.678508,-0.560000
1765493238.681382,-0.560000
1765493238.684124,-0.560000
1765493238.687414,-0.560000
1765493238.690172,-0.560000
1765493238.692871,-0.560000
1765493238.696314,-0.560000
1765493238.698999,-0.560000
1765493238.701678,-0.560000
1765493238.704388,-0.560000
1765493238.707086,-0.560000
1765493238.709783,-0.560000
1765493238.712536,-0.560000
1765493238.715250,-0.560000
1765493238.717974,-0.560000
1765493238.720667,-0.560000
1765493238.723375,-0.560000
1765493238.726081,-0.560000
1765493238.728763,-0.560000
1765493238.731555,-0.560000
1765493238.734269,-0.560000
1765493238.737084,-0.560000
1765493238.739756,-0.560000
1765493238.742428,-0.560000
1765493238.745117,-0.560000
1765493238.747968,-0.560000
1765493238.750727,-0.560000
1765493238.753492,-0.560000
1765493238.756250,-0.560000
1765493238.758965,-0.560000
1765493238.761662,-0.560000
1765493238.764513,-0.560000
1765493238.767277,-0.560000
1765493238.770183,-0.560000
1765493238.772947,-0.560000
1765493238.775639,-0.560000
1765493238.778417,-0.560000
1765493238.781085,-0.560000
1765493238.783846,-0.560000
1765493238.786561,-0.560000
1765493238.789327,-0.560000
1765493238.792043,-0.560000
1765493238.794876,-0.560000
1765493238.797663,-0.560000
1765493238.800402,-0.560000
1765493238.803156,-0.560000
1765493238.806026,-0.560000
1765493238.808714,-0.560000
1765493238.813602,-0.560000
1765493238.816263,-0.560000
1765493238.818949,-0.560000
1765493238.821594,-0.560000
1765493238.824296,-0.560000
1765493238.827439,-0.560000
1765493238.830680,-0.560000
1765493238.834230,-0.560000
1765493238.836972,-0.560000
1765493238.839704,-0.560000
1765493238.842504,-0.560000
1765493238.845257,-0.560000
1765493238.848499,-0.560000
1765493238.851208,-0.560000
1765493238.853951,-0.560000
1765493238.856741,-0.560000
1765493238.859484,-0.560000
1765493238.862255,-0.560000
1765493238.864992,-0.560000
1765493238.868065,-0.560000
1765493238.870815,-0.560000
1765493238.873590,-0.560000
1765493238.877111,-0.540000
1765493238.879851,-0.540000
1765493238.882526,-0.260000
1765493238.885214,-0.220000
1765493238.887939,-0.140000
1765493238.890815,-0.080000
1765493238.893517,-0.040000
1765493238.896086,0.000000
1765493238.898463,0.000000
1765493238.900941,0.000000
1765493238.903495,0.020000
1765493238.906055,0.020000
1765493238.908681,0.020000
1765493238.911145,0.000000
1765493238.913674,0.020000
1765493238.916289,0.020000
1765493238.918693,0.000000
1765493238.921280,0.020000
1765493238.923757,0.000000
1765493238.926361,0.020000
1765493238.928816,0.000000
1765493238.931247,0.000000
1765493238.933674,0.000000
1765493238.936403,-0.220000
1765493238.939080,-0.200000
1765493238.941745,-0.200000
1765493238.944683,-0.200000
1765493238.948025,-0.180000
1765493238.950798,-0.180000
1765493238.953565,-0.160000
1765493238.956264,-0.160000
1765493238.958936,-0.160000
1765493238.961720,-0.140000
1765493238.964507,-0.140000
1765493238.967194,-0.140000
1765493238.969939,-0.140000
1765493238.972759,-0.120000
1765493238.975573,-0.120000
1765493238.978284,-0.120000
1765493238.981012,-0.100000
1765493238.985963,-0.100000
1765493238.988664,-0.100000
1765493238.991257,-0.100000
1765493238.993960,-0.080000
1765493238.996623,-0.080000
1765493238.999659,-0.080000
1765493239.002739,-0.080000
1765493239.006093,-0.080000
1765493239.008755,-0.060000
1765493239.012241,-0.060000
1765493239.015804,-0.060000
1765493239.018521,-0.060000
1765493239.021203,-0.060000
1765493239.024562,-0.060000
1765493239.027184,-0.060000
1765493239.029808,-0.040000
1765493239.032521,-0.040000
1765493239.035188,-0.040000
1765493239.037922,-0.040000
1765493239.040586,-0.040000
1765493239.043743,-0.040000
1765493239.046376,-0.040000
1765493239.049105,-0.040000
1765493239.051720,-0.040000
1765493239.054421,-0.040000
1765493239.057081,-0.040000
1765493239.059755,-0.040000
1765493239.062411,-0.020000
1765493239.065140,-0.020000
1765493239.067883,-0.020000
1765493239.070578,-0.020000
1765493239.073354,-0.020000
1765493239.076094,-0.020000
1765493239.078783,-0.020000
1765493239.081496,-0.020000
1765493239.084161,-0.020000
1765493239.087006,-0.020000
1765493239.089701,-0.020000
1765493239.092438,-0.020000
1765493239.095108,-0.020000
1765493239.098057,-0.020000
1765493239.100746,-0.020000
1765493239.103446,-0.020000
1765493239.106205,-0.020000
1765493239.108938,-0.020000
1765493239.111573,-0.020000
1765493239.114372,-0.020000
1765493239.117169,-0.020000
1765493239.119641,0.000000
1765493239.122431,-0.020000
1765493239.125146,-0.020000
1765493239.127762,-0.020000
1765493239.130222,0.000000
1765493239.132762,0.000000
1765493239.135316,0.000000
1765493239.137818,0.000000
1765493239.140362,0.000000
1765493239.142910,0.000000
1765493239.145268,0.000000
1765493239.147728,0.000000
1765493239.150157,0.000000
1765493239.153938,0.000000
1765493239.156420,0.000000
1765493239.158931,0.000000
1765493239.161344,0.000000
1765493239.163757,0.000000
1765493239.166849,0.000000
1765493239.169880,0.000000
1765493239.173118,0.000000
1765493239.175594,0.000000
1765493239.178104,0.000000
1765493239.180624,0.000000
1765493239.183097,0.000000
1765493239.186336,0.000000
1765493239.188804,0.000000
1765493239.191805,0.000000
1765493239.194659,0.000000
1765493239.197067,0.000000
1765493239.199503,0.000000
1765493239.201952,0.000000
1765493239.204401,0.000000
1765493239.206943,0.000000
1765493239.209396,0.000000
1765493239.211835,0.000000
1765493239.214257,0.000000
1765493239.216714,0.000000
1765493239.219125,0.000000
1765493239.221586,0.000000
1765493239.224032,0.000000
1765493239.226503,0.000000
1765493239.228966,0.000000
1765493239.231375,0.000000
1765493239.233867,0.000000
1765493239.236396,0.000000
1765493239.238886,0.000000
1765493239.241357,0.000000
1765493239.243847,0.000000
1765493239.246327,0.000000
1765493239.248731,0.000000
1765493239.251030,0.000000
1765493239.253512,0.000000
1765493239.255935,0.000000
1765493239.258375,0.000000
1765493239.260679,0.000000
1765493239.263198,0.000000
1765493239.265572,0.000000
1765493239.267967,0.000000
1765493239.270316,0.000000
1765493239.272733,0.000000
1765493239.275189,0.000000
1765493239.277646,0.000000
1765493239.280103,0.000000
1765493239.282603,0.000000
1765493239.284937,0.000000
1765493239.287405,0.000000
1765493239.289867,0.000000
1765493239.292281,0.000000
1765493239.294684,0.000000
1765493239.297156,0.000000
1765493239.301269,0.000000
1765493239.303532,0.000000
1765493239.305965,0.000000
1765493239.308379,0.000000
1765493239.310843,0.000000
1765493239.313827,0.000000
1765493239.316743,0.000000
1765493239.319984,0.000000
1765493239.322351,0.000000
1765493239.324747,0.000000
1765493239.327251,0.000000
1765493239.329762,0.000000
1765493239.333155,0.000000
1765493239.335492,0.000000
1765493239.337826,0.000000
1765493239.340258,0.000000
1765493239.342682,0.000000
1765493239.345085,0.000000
1765493239.347445,0.000000
1765493239.349730,0.000000
1765493239.352152,0.000000
1765493239.354494,0.000000
1765493239.356771,0.000000
1765493239.359236,0.000000
1765493239.361525,0.000000
1765493239.363952,0.000000
1765493239.366303,0.000000
1765493239.368747,0.000000
1765493239.371179,0.000000
1765493239.373474,0.000000
1765493239.375868,0.000000
1765493239.378226,0.000000
1765493239.380683,0.000000
1765493239.383142,0.000000
1765493239.385557,0.000000
1765493239.388019,0.000000
1765493239.390469,0.000000
1765493239.392883,0.000000
1765493239.395267,0.000000
1765493239.397701,0.000000
1765493239.400126,0.000000
1765493239.402457,0.000000
1765493239.404922,0.000000
1765493239.407219,0.000000
1765493239.409689,0.000000
1765493239.411948,0.000000
1765493239.414372,0.000000
1765493239.416655,0.000000
1765493239.419105,0.000000
1765493239.421459,0.000000
1765493239.423926,0.000000
1765493239.426201,0.000000
1765493239.428695,0.000000
1765493239.431248,0.000000
1765493239.433632,0.000000
1765493239.436089,0.000000
1765493239.438514,0.000000
1765493239.440970,0.000000
1765493239.443429,0.000000
1765493239.445835,0.000000
1765493239.448258,0.000000
1765493239.450742,0.000000
1765493239.453098,0.000000
1765493239.455353,0.000000
1765493239.457748,0.000000
1765493239.461703,0.000000
1765493239.463960,0.000000
1765493239.466441,0.000000
1765493239.469009,0.000000
1765493239.471429,0.000000
1765493239.474520,0.000000
1765493239.477406,0.000000
1765493239.480816,0.000000
1765493239.483128,0.000000
1765493239.485436,0.000000
1765493239.487682,0.000000
1765493239.490190,0.000000
1765493239.493407,0.000000
1765493239.495715,0.000000
1765493239.498233,0.000000
1765493239.500752,0.000000
1765493239.503221,0.000000
1765493239.505648,0.000000
1765493239.507922,0.000000
1765493239.510235,0.000000
1765493239.512577,0.000000
1765493239.515101,0.000000
1765493239.517504,0.000000
1765493239.519926,0.000000
1765493239.522221,0.000000
1765493239.524691,0.000000
1765493239.527169,0.000000
1765493239.529433,0.000000
1765493239.531856,0.000000
1765493239.534110,0.000000
1765493239.536527,0.000000
1765493239.538863,0.000000
1765493239.541271,0.000000
1765493239.543723,0.000000
1765493239.546030,0.000000
1765493239.548518,0.000000
1765493239.550939,0.000000
1765493239.553430,0.000000
1765493239.555835,0.000000
1765493239.558204,0.000000
1765493239.560681,0.000000
1765493239.563096,0.000000
1765493239.565597,0.000000
1765493239.568099,0.000000
1765493239.570510,0.000000
1765493239.572939,0.000000
1765493239.575286,0.000000
1765493239.577767,0.000000
1765493239.580271,0.000000
1765493239.582739,0.000000
1765493239.585054,0.000000
1765493239.587421,0.000000
1765493239.589871,0.000000
1765493239.592257,0.000000
1765493239.594658,0.000000
1765493239.597102,0.000000
1765493239.599524,0.000000
1765493239.601956,0.000000
1765493239.604322,0.000000
1765493239.606729,0.000000
1765493239.609243,0.000000
1765493239.611686,0.000000
1765493239.614029,0.000000
1765493239.616475,0.000000
