timestamp,tension (N)
1765493238.582810,-0.740000
1765493238.585787,-0.740000
1765493238.588693,-0.740000
1765493238.591633,-0.740000
1765493238.594487,-0.740000
1765493238.597373,-0.740000
1765493238.600343,-0.740000
1765493238.603247,-0.740000
1765493238.605970,-0.740000
1765493238.608890,-0.740000
1765493238.611849,-0.740000
1765493238.614733,-0.740000
1765493238.617677,-0.740000
1765493238.620558,-0.740000
1765493238.623375,-0.740000
1765493238.626188,-0.740000
1765493238.628964,-0.740000
1765493238.631719,-0.740000
1765493238.634455,-0.740000
1765493238.637210,-0.740000
1765493238.639963,-0.740000
1765493238.642769,-0.740000
1765493238.645624,-0.740000
1765493238.649657,-0.740000
1765493238.652423,-0.740000
1765493238.655201,-0.740000
1765493238.658804,-0.740000
1765493238.662095,-0.740000
1765493238.665330,-0.740000
1765493238.668707,-0.740000
1765493238.671569,-0.740000
1765493238.674295,-0.740000
1765493238.677907,-0.740000
1765493238.681571,-0.740000
1765493238.684360,-0.740000
1765493238.687150,-0.740000
1765493238.690627,-0.740000
1765493238.693366,-0.740000
1765493238.696087,-0.740000
1765493238.699342,-0.740000
1765493238.702046,-0.740000
1765493238.704861,-0.740000
1765493238.708335,-0.740000
1765493238.711101,-0.740000
1765493238.713828,-0.740000
1765493238.716575,-0.740000
1765493238.719311,-0.740000
1765493238.722163,-0.740000
1765493238.725020,-0.740000
1765493238.727844,-0.740000
1765493238.730660,-0.740000
1765493238.733445,-0.740000
1765493238.736310,-0.740000
1765493238.739094,-0.740000
1765493238.741845,-0.740000
1765493238.744713,-0.740000
1765493238.747453,-0.740000
1765493238.750284,-0.740000
1765493238.753060,-0.740000
1765493238.755992,-0.740000
1765493238.758698,-0.740000
1765493238.761547,-0.740000
1765493238.764421,-0.740000
1765493238.767274,-0.740000
1765493238.770072,-0.740000
1765493238.773044,-0.740000
1765493238.775868,-0.740000
1765493238.778689,-0.740000
1765493238.781570,-0.740000
1765493238.784384,-0.740000
1765493238.787153,-0.740000
1765493238.789858,-0.740000
1765493238.792706,-0.740000
1765493238.795486,-0.740000
1765493238.798482,-0.740000
1765493238.801259,-0.740000
1765493238.804132,-0.740000
1765493238.806969,-0.740000
1765493238.809825,-0.740000
1765493238.814589,-0.740000
1765493238.817343,-0.740000
1765493238.820149,-0.740000
1765493238.823701,-0.740000
1765493238.826971,-0.740000
1765493238.830295,-0.740000
1765493238.833661,-0.740000
1765493238.836524,-0.740000
1765493238.839321,-0.740000
1765493238.842850,-0.740000
1765493238.846255,-0.740000
1765493238.849071,-0.740000
1765493238.851805,-0.740000
1765493238.855371,-0.740000
1765493238.858239,-0.740000
1765493238.861469,-0.740000
1765493238.864419,-0.740000
1765493238.867184,-0.740000
1765493238.870011,-0.740000
1765493238.873302,-0.740000
1765493238.876560,-0.740000
1765493238.879488,-0.740000
1765493238.882430,-0.740000
1765493238.885104,-0.740000
1765493238.887862,-0.740000
1765493238.890596,-0.740000
1765493238.893350,-0.740000
1765493238.896144,-0.740000
1765493238.899037,-0.740000
1765493238.901859,-0.740000
1765493238.904652,-0.760000
1765493238.907529,-0.760000
1765493238.910283,-0.760000
1765493238.913099,-0.760000
1765493238.915849,-0.760000
1765493238.918619,-0.780000
1765493238.921424,-0.780000
1765493238.924346,-1.040000
1765493238.927248,-1.100000
1765493238.930215,-1.120000
1765493238.933090,-1.220000
1765493238.936103,-1.160000
1765493238.939099,-1.260000
1765493238.941980,-1.360000
1765493238.944796,-1.320000
1765493238.947639,-1.380000
1765493238.950555,-1.440000
1765493238.953342,-1.540000
1765493238.956262,-1.580000
1765493238.959052,-1.660000
1765493238.961980,-1.680000
1765493238.964768,-1.700000
1765493238.967783,-1.840000
1765493238.970603,-2.000000
1765493238.973481,-2.100000
1765493238.978805,-2.400000
1765493238.981741,-2.500000
1765493238.984616,-2.640000
1765493238.988380,-2.840000
1765493238.991632,-3.000000
1765493238.995030,-3.060000
1765493238.998695,-3.240000
1765493239.001657,-3.340000
1765493239.004508,-3.400000
1765493239.008295,-3.520000
1765493239.011969,-3.720000
1765493239.014776,-3.820000
1765493239.017723,-3.900000
1765493239.021404,-4.040000
1765493239.024202,-4.260000
1765493239.027095,-4.280000
1765493239.030005,-4.440000
1765493239.032987,-4.540000
1765493239.035816,-4.700000
1765493239.038719,-4.880000
1765493239.041830,-5.000000
1765493239.044742,-5.140000
1765493239.047805,-5.200000
1765493239.050828,-5.320000
1765493239.053793,-5.560000
1765493239.056904,-5.660000
1765493239.059774,-5.780000
1765493239.062760,-5.980000
1765493239.065715,-6.080000
1765493239.068732,-6.220000
1765493239.071612,-6.460000
1765493239.074513,-6.460000
1765493239.077445,-6.600000
1765493239.080496,-6.820000
1765493239.083469,-6.840000
1765493239.086410,-7.040000
1765493239.089364,-7.120000
1765493239.092293,-7.220000
1765493239.095288,-7.320000
1765493239.098263,-7.460000
1765493239.101382,-7.480000
1765493239.104440,-7.600000
1765493239.107502,-7.760000
1765493239.110628,-7.940000
1765493239.113512,-8.100000
1765493239.116467,-8.180000
1765493239.119437,-8.300000
1765493239.122457,-8.420000
1765493239.125424,-8.600000
1765493239.128337,-8.800000
1765493239.131316,-8.820000
1765493239.134305,-9.040000
1765493239.137272,-9.160000
1765493239.140197,-9.320000
1765493239.143220,-9.440000
1765493239.146050,-9.600000
1765493239.149055,-9.620000
1765493239.153818,-9.900000
1765493239.156926,-10.000000
1765493239.160188,-10.180000
1765493239.163667,-10.280000
1765493239.167285,-10.480000
1765493239.170659,-10.680000
1765493239.174533,-10.760000
1765493239.177590,-10.820000
1765493239.180625,-10.940000
1765493239.184479,-11.160000
1765493239.188284,-11.280000
1765493239.191652,-11.340000
1765493239.194647,-11.480000
1765493239.198147,-11.680000
1765493239.201229,-11.760000
1765493239.204371,-11.960000
1765493239.208024,-12.160000
1765493239.211022,-12.360000
1765493239.214092,-12.380000
1765493239.217706,-12.600000
1765493239.220861,-12.700000
1765493239.224004,-12.760000
1765493239.227080,-12.880000
1765493239.230259,-12.980000
1765493239.233240,-13.000000
1765493239.236369,-13.140000
1765493239.239483,-13.300000
1765493239.242718,-13.360000
1765493239.245891,-13.360000
1765493239.248968,-13.560000
1765493239.252048,-13.600000
1765493239.255060,-13.540000
1765493239.258164,-13.700000
1765493239.261267,-13.800000
1765493239.264871,-13.800000
1765493239.268078,-13.940000
1765493239.271058,-14.000000
1765493239.274276,-13.980000
1765493239.277471,-14.160000
1765493239.280546,-14.260000
1765493239.283736,-14.220000
1765493239.286932,-14.280000
1765493239.290063,-14.380000
1765493239.293116,-14.340000
1765493239.296342,-14.380000
1765493239.299605,-14.540000
1765493239.304471,-14.520000
1765493239.307614,-14.520000
1765493239.311163,-14.400000
1765493239.315025,-14.400000
1765493239.318184,-14.520000
1765493239.321167,-14.540000
1765493239.324861,-14.420000
1765493239.328364,-14.260000
1765493239.331850,-14.220000
1765493239.335468,-14.240000
1765493239.338538,-14.160000
1765493239.341556,-14.140000
1765493239.345054,-14.060000
1765493239.348776,-13.980000
1765493239.351852,-14.020000
1765493239.354823,-14.020000
1765493239.358104,-13.940000
1765493239.361086,-13.700000
1765493239.364287,-13.980000
1765493239.367670,-13.720000
1765493239.370734,-13.740000
1765493239.374221,-13.740000
1765493239.377307,-13.740000
1765493239.380294,-13.740000
1765493239.383317,-13.760000
1765493239.386462,-13.760000
1765493239.389554,-13.760000
1765493239.392542,-13.760000
1765493239.395567,-13.760000
1765493239.398614,-13.760000
1765493239.401611,-13.760000
1765493239.404672,-13.760000
1765493239.408738,-13.740000
1765493239.411983,-13.740000
1765493239.415051,-13.740000
1765493239.418124,-13.740000
1765493239.421254,-13.740000
1765493239.424382,-13.740000
1765493239.427649,-13.740000
1765493239.430884,-13.740000
1765493239.433876,-13.740000
1765493239.436889,-13.740000
1765493239.440429,-13.740000
1765493239.443455,-13.760000
1765493239.446468,-13.760000
1765493239.449574,-13.760000
1765493239.452592,-13.760000
1765493239.455615,-13.780000
1765493239.458596,-13.780000
1765493239.461705,-13.780000
1765493239.464726,-13.800000
1765493239.467866,-13.800000
1765493239.472296,-13.800000
1765493239.475300,-13.820000
1765493239.478721,-13.820000
1765493239.482449,-13.840000
1765493239.485520,-13.840000
1765493239.488528,-13.840000
1765493239.492108,-13.860000
1765493239.495540,-13.860000
1765493239.498897,-13.860000
1765493239.502614,-13.880000
1765493239.505676,-13.880000
1765493239.508722,-13.880000
1765493239.512236,-13.880000
1765493239.516073,-13.880000
1765493239.519214,-13.880000
1765493239.522293,-13.880000
1765493239.525515,-13.880000
1765493239.528612,-13.880000
1765493239.531609,-13.880000
1765493239.534970,-13.880000
1765493239.538061,-13.880000
1765493239.541663,-13.860000
1765493239.544752,-13.860000
1765493239.547801,-13.860000
1765493239.550860,-13.600000
1765493239.554065,-13.580000
1765493239.557061,-13.820000
1765493239.560193,-13.820000
1765493239.563269,-13.560000
1765493239.566397,-13.440000
1765493239.569457,-13.780000
1765493239.572561,-13.760000
1765493239.575681,-13.420000
1765493239.578821,-13.440000
1765493239.581981,-13.480000
1765493239.584996,-13.420000
1765493239.588172,-13.340000
1765493239.591289,-13.400000
1765493239.594402,-13.440000
1765493239.597345,-13.360000
1765493239.600287,-13.300000
1765493239.603262,-13.340000
1765493239.606379,-13.360000
1765493239.609421,-13.360000
1765493239.612525,-13.280000
1765493239.615563,-13.340000
1765493239.618575,-13.300000
1765493239.623822,-13.260000
1765493239.626939,-13.520000
1765493239.630278,-13.500000
1765493239.634033,-13.260000
1765493239.637115,-13.480000
1765493239.640256,-13.480000
1765493239.643604,-13.480000
1765493239.647013,-13.460000
1765493239.650433,-13.460000
1765493239.654120,-13.460000
1765493239.657277,-13.460000
1765493239.660261,-13.440000
1765493239.663726,-13.440000
1765493239.667337,-13.440000
1765493239.670418,-13.440000
1765493239.673540,-13.440000
1765493239.676913,-13.440000
1765493239.680035,-13.440000
1765493239.683091,-13.440000
1765493239.686404,-13.460000
1765493239.689430,-13.460000
1765493239.693103,-13.460000
1765493239.696259,-13.460000
1765493239.699295,-13.460000
1765493239.702340,-13.460000
1765493239.705490,-13.460000
1765493239.708588,-13.460000
1765493239.711729,-13.460000
1765493239.714812,-13.460000
1765493239.718019,-13.460000
1765493239.721030,-13.460000
1765493239.724045,-13.460000
1765493239.727107,-13.460000
1765493239.730164,-13.460000
1765493239.733305,-13.460000
1765493239.736307,-13.440000
1765493239.739333,-13.440000
1765493239.742414,-13.440000
1765493239.745466,-13.420000
1765493239.748447,-13.420000
1765493239.751690,-13.400000
1765493239.754726,-13.400000
1765493239.757842,-13.380000
