timestamp,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1765493372.889688,0.002238,0.002333,-0.045255,-0.000046,0.000106,0.000418
1765493372.905741,-0.001161,0.000465,0.004772,0.000014,-0.000038,0.000005
1765493372.906016,0.002408,-0.000774,0.006966,-0.000025,-0.000007,-0.000019
1765493372.921605,0.000172,0.000541,-0.042544,-0.000123,0.000090,0.000353
1765493372.921812,0.002815,0.000603,-0.012162,0.000008,-0.000014,0.000112
1765493372.921882,0.000431,0.004271,0.012261,-0.000013,0.000014,-0.000051
1765493372.921958,-0.000063,0.002057,-0.027033,-0.000033,-0.000001,0.000277
1765493372.937010,0.001493,0.003643,-0.034479,-0.000026,0.000081,0.000330
1765493372.937211,0.000036,0.002089,0.013659,-0.000006,-0.000006,-0.000053
1765493372.937290,0.001960,0.004960,-0.015572,-0.000075,-0.000003,0.000132
1765493372.952003,0.001135,0.003414,-0.044727,-0.000030,-0.000017,0.000407
1765493372.952205,0.000465,0.001909,0.004120,0.000010,-0.000053,0.000024
1765493372.952291,0.002865,0.005334,0.009674,0.000009,0.000013,0.000031
1765493372.967489,0.000675,0.004183,-0.039884,-0.000053,0.000059,0.000390
1765493372.967704,-0.002417,0.003839,-0.011474,-0.000028,-0.000028,0.000177
1765493372.967788,0.000878,0.001993,0.012876,0.000003,-0.000051,-0.000087
1765493372.983030,0.001630,0.006301,-0.024466,-0.000000,-0.000039,0.000244
1765493372.983221,0.000775,0.003083,-0.031778,-0.000010,-0.000027,0.000342
1765493372.983293,0.002540,0.007376,0.021159,0.000032,-0.000026,-0.000039
1765493372.999079,-0.000373,0.004909,-0.006663,-0.000072,-0.000101,0.000149
1765493372.999285,0.001992,0.004940,-0.044013,0.000027,-0.000016,0.000460
1765493372.999366,0.002496,0.005599,0.005577,0.000019,-0.000035,0.000078
1765493373.014449,0.002477,0.005988,0.014470,-0.000026,-0.000029,0.000013
1765493373.014642,0.002426,0.003630,-0.037175,0.000020,-0.000063,0.000418
1765493373.014715,0.001713,0.008607,-0.007425,0.000025,-0.000069,0.000185
1765493373.029649,0.000932,0.005315,0.019773,-0.000037,-0.000128,-0.000063
1765493373.029841,0.003638,0.004705,-0.021462,-0.000002,-0.000043,0.000318
1765493373.029925,0.004429,0.006247,-0.034452,0.000004,-0.000036,0.000390
1765493373.045612,0.001757,0.008338,0.015745,-0.000012,-0.000115,0.000026
1765493373.045796,0.001286,0.003533,-0.006582,-0.000004,-0.000110,0.000200
1765493373.045876,0.002394,0.007072,-0.040547,-0.000020,-0.000040,0.000461
1765493373.061822,0.001328,0.008188,0.010361,-0.000023,-0.000106,0.000085
1765493373.061996,0.001777,0.006411,0.013795,-0.000024,-0.000181,0.000072
1765493373.062100,0.001247,0.004755,-0.031706,-0.000021,-0.000129,0.000406
1765493373.062177,0.003345,0.006672,-0.007318,0.000032,-0.000111,0.000213
1765493373.077718,0.002196,0.009438,0.023914,-0.000025,-0.000152,-0.000020
1765493373.077940,-0.001151,0.008985,-0.017530,-0.000041,-0.000101,0.000303
1765493373.078042,0.000416,0.006221,-0.026271,-0.000021,-0.000063,0.000372
1765493373.093206,0.003392,0.008756,0.017066,-0.000001,-0.000131,-0.000003
1765493373.093414,0.001263,0.008801,-0.006658,-0.000062,-0.000093,0.000180
1765493373.093493,-0.002406,0.008051,-0.038542,-0.000040,-0.000096,0.000490
1765493373.108701,0.001037,0.007480,0.007458,0.000100,-0.000145,0.000102
1765493373.108915,0.003014,0.008616,0.015108,0.000027,-0.000144,0.000073
1765493373.109012,0.000038,0.009900,-0.028270,-0.000040,-0.000094,0.000444
