timestamp,tension (N)
1765493372.825892,-0.420000
1765493372.828700,-0.420000
1765493372.831580,-0.420000
1765493372.834511,-0.420000
1765493372.837396,-0.420000
1765493372.840222,-0.420000
1765493372.843121,-0.420000
1765493372.845926,-0.420000
1765493372.848838,-0.420000
1765493372.851732,-0.420000
1765493372.854618,-0.420000
1765493372.857409,-0.420000
1765493372.861569,-0.420000
1765493372.864458,-0.420000
1765493372.867205,-0.420000
1765493372.870704,-0.420000
1765493372.874114,-0.420000
1765493372.877266,-0.420000
1765493372.880713,-0.420000
1765493372.883441,-0.420000
1765493372.886268,-0.420000
1765493372.889882,-0.420000
1765493372.893423,-0.420000
1765493372.896233,-0.420000
1765493372.898991,-0.420000
1765493372.902525,-0.420000
1765493372.905231,-0.420000
1765493372.908067,-0.420000
1765493372.911484,-0.420000
1765493372.914245,-0.420000
1765493372.917003,-0.420000
1765493372.920502,-0.420000
1765493372.923232,-0.420000
1765493372.925980,-0.420000
1765493372.928751,-0.420000
1765493372.931484,-0.420000
1765493372.934211,-0.420000
1765493372.937054,-0.420000
1765493372.939868,-0.420000
1765493372.942657,-0.420000
1765493372.945391,-0.420000
1765493372.948146,-0.420000
1765493372.950913,-0.420000
1765493372.953612,-0.420000
1765493372.956386,-0.420000
1765493372.959110,-0.420000
1765493372.961825,-0.420000
1765493372.964575,-0.420000
1765493372.967345,-0.420000
1765493372.970060,-0.420000
1765493372.972788,-0.420000
1765493372.975517,-0.420000
1765493372.978434,-0.420000
1765493372.981196,-0.420000
1765493372.984061,-0.420000
1765493372.986866,-0.420000
1765493372.989789,-0.420000
1765493372.992651,-0.420000
1765493372.995426,-0.420000
1765493372.998231,-0.420000
1765493373.000943,-0.420000
1765493373.003686,-0.420000
1765493373.006489,-0.420000
1765493373.009455,-0.420000
1765493373.012269,-0.420000
1765493373.015063,-0.420000
1765493373.017834,-0.420000
1765493373.020660,-0.420000
1765493373.023523,-0.420000
1765493373.026391,-0.420000
1765493373.029281,-0.420000
1765493373.033637,-0.420000
1765493373.036460,-0.420000
1765493373.039267,-0.420000
1765493373.042850,-0.420000
1765493373.046138,-0.420000
1765493373.049335,-0.420000
1765493373.052878,-0.420000
1765493373.055678,-0.420000
1765493373.058457,-0.420000
1765493373.062030,-0.420000
1765493373.065575,-0.420000
1765493373.068480,-0.420000
1765493373.071258,-0.420000
1765493373.074633,-0.420000
1765493373.077526,-0.420000
1765493373.080507,-0.420000
1765493373.083561,-0.420000
1765493373.086435,-0.420000
1765493373.089266,-0.420000
1765493373.092652,-0.420000
1765493373.095400,-0.420000
1765493373.098252,-0.420000
1765493373.101016,-0.420000
1765493373.103891,-0.420000
1765493373.106746,-0.420000
1765493373.109520,-0.420000
1765493373.112435,-0.420000
1765493373.115272,-0.420000
1765493373.118141,-0.420000
1765493373.120893,-0.420000
1765493373.123739,-0.420000
1765493373.126509,-0.420000
1765493373.129467,-0.420000
1765493373.132185,-0.400000
1765493373.134968,-0.400000
1765493373.137665,-0.400000
1765493373.140463,-0.400000
1765493373.143325,-0.380000
